wavelength,Back_PooTorm,Belly_PooTorm,Breast_PooTorm,Crissum_PooTorm,Crown_PooTorm,DorTail_PooTorm,Patch10_PooTorm,Patch11_PooTorm,Patch12_PooTorm,Patch13_PooTorm,Rump_PooTorm,Throat_PooTorm,WingTip_PooTorm
348.54,6.30506666667,17.8155,3.06426666667,3.44656491228,5.6428,5.0302,12.0781333333,14.7646666667,13.885,23.0935333333,11.265,16.8127333333,5.78066666667
348.91,5.98639999999,17.5169666667,2.7606,3.16497192983,5.39153333333,4.79286666667,11.7983333333,14.5405333333,13.6042,22.8269333333,11.0593333334,16.6382,5.44953333333
349.27,6.05240000001,17.6416666667,2.8472,3.25497192983,5.51213333333,4.936,11.9117333333,14.6615333333,13.7050666667,22.9135,11.1373666667,16.7296,5.5254
349.64,5.96346666666,17.5726,2.76806666666,3.1853122807,5.44193333334,4.89553333333,11.8586666667,14.6793333333,13.6592,22.9214,11.1067333333,16.7788666667,5.4614
350.00,5.97326666667,17.6218666667,2.7376,3.21258596491,5.4244,4.9096,11.9158666667,14.6682666666,13.6983333333,22.9908,11.1359333333,16.8668666667,5.4546
350.37,5.90553333334,17.6970333333,2.6234,3.19802456141,5.38519999999,4.826,11.8933333333,14.6608666667,13.6697333334,22.9818333333,11.0933666667,16.9601333333,5.36206666667
350.73,5.95106666666,17.7618333333,2.66606666667,3.19716140351,5.44593333333,4.92013333333,11.9998,14.7521333333,13.7306666667,22.9359,11.0971666667,17.1204,5.3942
351.10,6.04060000001,17.9354333333,2.78693333333,3.34893684211,5.59746666666,4.9596,12.1786,14.7838666667,13.7715333333,23.0154666667,11.2764,17.3164666667,5.5356
351.46,5.9912,17.899,2.64653333333,3.27028421053,5.47546666667,4.77266666667,12.1454,14.7306666667,13.7308,22.9813,11.2497666667,17.2838,5.44093333333
351.83,6.03086666667,17.9696666667,2.67266666667,3.26465964912,5.41726666667,4.76293333333,12.2081333333,14.7454,13.7595333333,23.0775333334,11.3353333333,17.3399333333,5.4712
352.19,6.39833333333,18.2831,2.98286666667,3.57441403509,5.70106666667,5.09146666667,12.4726666667,15.0867333334,14.0771333333,23.3872,11.6210666667,17.7284666667,5.75993333333
352.55,6.69853333334,18.5832333333,3.2708,3.83047719298,5.92406666667,5.3546,12.7844,15.3161333333,14.3946666667,23.7241333333,11.8222666666,17.9679333333,5.96626666667
352.92,6.78553333333,18.7377,3.2796,3.85910877193,5.92646666666,5.42846666667,12.8980666667,15.3816666667,14.5396,23.8484333333,11.7901,18.1208666667,6.02
353.28,6.76733333333,18.9064666667,3.25253333334,3.82750175439,5.95053333334,5.40653333333,12.9883333333,15.4353333333,14.5811333333,23.9656666667,11.8066,18.2520666667,6.02853333333
353.65,6.83819999999,19.0744333333,3.39226666667,3.91040701755,6.08519999999,5.50113333333,13.21,15.5667333333,14.7228,24.1564,11.8551333333,18.4041333333,6.03473333333
354.01,6.88646666666,19.2103333333,3.43206666667,3.96092982456,6.18800000001,5.557,13.3988666667,15.7158666667,14.8216666667,24.2885,11.8993,18.5726666667,6.0992
354.38,7.05733333333,19.4011333333,3.58486666667,4.10217192983,6.38993333334,5.70073333333,13.6888,15.9239333333,15.0301333333,24.4679333333,12.0798,18.8130666667,6.29913333333
354.74,7.01786666667,19.4291,3.439,4.0173122807,6.34133333333,5.57433333333,13.7212666667,15.9684666667,15.0593333333,24.5674,12.0842,18.7976666667,6.19793333333
355.11,7.14086666666,19.5147,3.5546,4.10704561404,6.4328,5.72253333333,13.8811333333,16.1440666667,15.2608,24.6635,12.2173,18.9798666667,6.3
355.47,7.28726666667,19.6855666667,3.71066666667,4.25985614035,6.59339999999,5.91953333333,14.0908666667,16.3471333333,15.4441333333,24.8973666667,12.3825666667,19.1909333333,6.48006666667
355.83,7.23839999999,19.7304333333,3.68733333333,4.24032631579,6.59799999999,5.8568,14.1311333333,16.4562,15.4763333333,24.9033333333,12.3265333333,19.1678,6.47073333333
356.20,7.12386666667,19.6982666667,3.53466666667,4.07746315789,6.51226666667,5.71773333333,14.1319333333,16.3712666667,15.4045333333,24.8112333333,12.2191,19.0627333333,6.33926666667
356.56,6.98993333334,19.7718,3.39753333333,3.93664912281,6.4262,5.58126666667,14.0878666667,16.3464666667,15.3602,24.7962333333,12.1413,19.1443333333,6.28493333333
356.93,7.02959999999,19.8562333333,3.49153333333,4.01942807017,6.51233333333,5.58153333333,14.1250666667,16.3904666667,15.3481333333,24.839,12.225,19.1646,6.34186666666
357.29,6.94813333333,19.7359,3.41533333333,3.89232982456,6.38993333333,5.4494,14.078,16.3617333333,15.2866,24.7631333333,12.1452666667,19.1284,6.21286666667
357.66,7.10226666666,19.8591,3.52106666667,3.96130877193,6.42753333333,5.4934,14.1712666667,16.4698666667,15.3862666667,24.7969333333,12.2022666667,19.177,6.31726666667
