wavelength,Back_TiaOlim,Belly_TiaOlim,Breast_TiaOlim,Crissum_TiaOlim,Crown_TiaOlim,DorTail_TiaOlim,Patch10_TiaOlim,Rump_TiaOlim,Throat_TiaOlim,WingTip_TiaOlim
731.98,18.5460666667,44.7928666667,9.94026666667,37.1982666667,16.7591333333,20.4044,25.52,22.38,28.4383333333,18.7579333333
732.30,18.4442,44.6652666667,9.82440000001,37.2746666667,16.7129333333,20.3744666667,25.4921666667,22.4898666667,28.4731333333,18.759
732.62,18.4644666667,44.8650666667,9.998,37.4734,16.8027333333,20.5151333333,25.6850833333,22.6044666667,28.5403333333,18.8745333333
732.94,18.6538,44.8794666667,10.3030666667,37.5583333333,16.9522,20.7168666667,25.6921666666,22.8885333333,28.6150666667,19.0248666667
733.25,18.7798,44.8982,10.3898666667,37.4618666667,17.1329333333,20.7363333333,25.66825,22.9554,28.6584666667,19.0364666667
733.57,18.9522,44.9751333333,10.6695333333,37.5738666667,17.2924666667,20.8616,25.83425,23.2858,28.8136,19.3760666667
733.89,19.0957333333,45.2880666667,10.8647333333,37.8626,17.4164666667,21.0374666667,25.9965,23.6007333333,29.0302,19.5478666667
734.21,19.2374666666,45.6617333334,10.9232666667,38.0644,17.4614,21.1482,26.12925,23.7840666667,29.1243333333,19.8136
734.52,19.4364,45.9224,11.0302,38.1117333333,17.5969333333,21.395,26.4115,23.9213333333,29.259,20.0232666667
734.84,19.5295333333,46.0611333333,11.0857333333,38.0704666667,17.6521333333,21.4788666667,26.38025,23.9943333333,29.2497333333,20.0238666667
735.16,19.8730666667,46.3012666667,11.3369333333,38.1728666667,17.9744666667,21.64,26.6629166667,24.1555333333,29.4831333333,20.2474
735.48,19.7488666667,46.1913333333,11.2152666667,37.9678,17.9609333334,21.3893333333,26.5811666667,23.9804666667,29.4296,20.1628
735.79,19.5324666667,45.8605333333,10.8946666667,37.7432,17.8446666667,21.1653333333,26.51125,23.6522,29.3080666666,20.0252
736.11,19.2325333333,45.6346666667,10.6423333333,37.5055333334,17.4610666667,20.8961333333,26.3075833333,23.3556,28.9973333333,19.9367333333
736.43,18.9951333333,45.4776,10.4444,37.4254666667,17.2198666667,20.747,26.12275,23.0,28.7776666667,19.5295333333
736.74,19.0509333333,45.0384666667,10.5148666667,37.2594,17.1812666667,20.7525333333,26.1094166666,22.9676666667,28.7918,19.6308
737.06,19.052,44.6599333333,10.5530666667,37.2337333333,17.1442666667,20.7098666667,26.2615833333,22.8274666667,28.6902,19.5472666667
737.38,19.3298666666,44.7616,10.8634,37.5277333333,17.4432666666,21.0077333333,26.4938333333,23.1048666667,28.8952,19.7867333333
737.69,19.5330666667,44.8343333333,11.1018,37.7732,17.6236,21.1227333333,26.7681666667,23.275,29.078,20.0630666667
738.01,18.9312,44.7163333333,10.5813333333,37.459,17.1589333333,20.7594666667,26.2775833333,22.8480666667,28.6944,19.7163333333
738.33,18.8543333334,44.6504666667,10.65,37.5616,17.2023333333,20.8516666667,26.2804166667,22.9656666667,28.6804666667,19.727
738.64,18.927,44.9893333333,10.8666666667,37.7862666667,17.3624,20.9816666667,26.4171666667,23.2162666667,28.8030666667,19.8032
738.96,18.9319333333,45.0761333333,10.9651333333,37.9291333334,17.5144666667,21.1172666667,26.5400833333,23.2652666667,28.9341333333,19.8712
739.28,18.9816666667,45.2468666667,11.0229333333,37.9895333333,17.6398666667,21.2166666666,26.70675,23.4419333333,29.0762,20.0402
739.59,18.6944666667,45.2988666667,10.6503333333,37.9326666667,17.5517333333,21.1091333333,26.54225,23.1787333333,28.8226,19.7055333333
739.91,18.4778666667,45.6739333333,10.4192,38.0808,17.3332666667,20.9215333333,26.4920833333,23.1102,28.7720666667,19.5342666667
740.23,18.1055333333,45.4786666667,9.98119999999,37.8086,16.9973333333,20.5391333333,26.3198333333,22.6856666667,28.4662,19.1513333333
740.54,17.7524666667,45.0202,9.59599999999,37.3157333333,16.6312,20.2374,26.0006666667,22.1869333333,28.1339333333,18.6868
740.86,17.9842,45.0814,10.0076666667,37.5457333333,16.8654666667,20.4154,26.36975,22.3395333333,28.211,18.8099333333
741.18,17.9580666667,45.1476,9.85046666667,37.4768666667,16.6705333333,20.3797333333,26.36875,22.2578,28.0948,18.6865333333
741.49,18.046,45.0966,9.76973333333,37.5324666667,16.5712666667,20.4579333334,26.4296666667,22.1762666667,28.0989333333,18.6761333333
741.81,18.2102,45.3129333333,9.93673333334,37.6208,16.6141333333,20.6243333333,26.3424166667,22.2338666667,28.0392666667,18.7889333333
742.12,17.9910666667,45.0116,9.74826666667,37.4194,16.4340666667,20.4954,26.0921666667,21.9274,27.663,18.5789333333
742.44,17.8417333333,45.2787333333,9.59806666667,37.4217333333,16.3121333333,20.3476666667,26.1681666667,21.8245333333,27.5678,18.5816
742.76,17.5708,44.3871333333,9.36213333334,36.7167333333,16.0428,20.0721333333,25.7383333333,21.4669333333,27.2213333333,18.2224666667
743.07,17.8603333333,44.5604,9.82186666667,37.1562666667,16.4190666667,20.5229333333,25.9495833333,21.8504,27.6211333333,18.645
743.39,18.2022666667,45.1852,10.0085333333,37.9061333333,16.8917333333,21.0142666667,26.40325,22.3675333333,28.151,19.0712666667
743.70,18.4827333333,45.6541333333,10.2668666667,38.2259333333,17.3806,21.4194,26.7849166667,22.7404,28.5706,19.5933333333
744.02,18.6147333333,45.6402666667,10.248,38.2736,17.4511333333,21.5019333333,26.7135833333,22.6946666667,28.679,19.6995333333
744.34,18.5473333333,45.615,10.1612,37.9759333333,17.4165333333,21.4295333333,26.4609166667,22.642,28.5794666667,19.6808
744.65,18.2244666667,45.168,9.7526,37.6766,17.1966666667,21.1866666667,26.3176666667,22.5323333333,28.3656,19.4198666667
744.97,18.4399333333,45.6098666667,9.95553333335,37.901,17.5016,21.3824666667,26.5095833333,22.7974666667,28.6707333333,19.6241333333
745.28,18.9030666667,45.7555333333,10.4172,38.2043333333,17.8741333333,21.8752666667,26.9535,23.2493333333,29.0461333333,19.9616
745.60,19.0558,46.193,10.7686666667,38.448,18.2812,22.249,27.3086666667,23.5566666667,29.2642666667,20.3486
