wavelength,Back_TanMeyf,Belly_TanMeyf,Breast_TanMeyf,Crissum_TanMeyf,Crown_TanMeyf,DorTail_TanMeyf,Patch10_TanMeyf,Patch11_TanMeyf,Patch12_TanMeyf,Rump_TanMeyf,Throat_TanMeyf,WingTip_TanMeyf
189.05,751.852,607.407333333,733.333333333,837.037,1174.07433333,770.370333333,1196.29633333,670.370666667,225.925666667,451.852,781.481666667,1688.889
189.43,-3200.0,-2450.0,-2800.0,-3200.0,-5016.66666667,-2933.33333333,-5133.33333333,-2400.0,-766.666666667,-1450.0,-3433.33333333,-7650.0
189.81,2288.889,2055.55533333,2088.889,2466.66666667,3433.33333333,2133.33333333,3877.77766667,1633.33333333,844.444333333,1400.0,2466.66666667,5266.667
190.19,6666.66666667,5666.66666667,5566.66666667,6633.33333333,9066.66666667,6400.0,11100.0,4533.33333333,2166.66666667,4633.33333333,7266.66666667,16200.0
190.57,666.666666667,636.666666667,643.333333333,716.666666667,913.333333333,736.666666667,1140.0,486.666666667,246.666666667,540.0,716.666666667,1670.0
190.95,435.555333333,415.555666667,415.555666667,500.0,597.777666667,480.000333333,751.111,346.666333333,175.555666667,357.778,502.222333333,1006.667
191.33,322.727,286.363666667,289.394,348.484666667,445.454666667,353.030333333,534.848333333,274.242666667,143.939666667,274.242666667,350.0,709.091
191.71,249.425333333,231.034666667,206.896666667,270.115,350.575,295.402333333,424.138,221.839,120.69,220.689666667,305.747,562.069
192.09,315.873,314.285666667,279.365333333,361.905,452.381,450.793666667,577.777666667,287.301666667,233.333,304.762,406.349333333,776.19
192.47,248.0,245.333333333,240.0,308.0,361.333333333,372.0,482.666666667,245.333333333,176.0,284.0,353.333333333,664.0
192.85,174.999666667,186.111,211.111,225.926,256.481333333,250.925666667,355.555666667,187.963,125.0,234.259,262.037,488.889
193.23,125.203333333,139.024666667,173.984,200.0,214.634333333,232.520666667,296.748,157.723666667,111.382333333,213.008,213.008,407.317
193.61,83.66,106.536,123.529333333,159.477,169.934666667,191.503,233.333333333,137.908333333,92.8103333333,179.084666667,170.588,329.412
193.99,80.2723333333,97.959,118.367333333,140.136,168.707666667,203.401666667,232.653,144.898,85.034,176.870666667,162.585333333,324.49
194.37,68.182,78.283,103.535,107.070666667,142.929,155.050666667,190.404,103.030333333,72.7276666667,131.313333333,116.161333333,251.515
194.75,55.224,68.657,78.607,95.5223333333,124.378,149.751,189.054666667,84.0796666667,64.1793333333,119.900666667,101.989666667,252.239
195.13,43.1923333333,64.7886666667,74.1783333333,85.446,116.901333333,141.314333333,182.629333333,65.2586666667,60.0936666667,111.737,89.671,257.746
195.51,40.5796666667,60.8696666667,77.778,86.9566666667,105.797333333,141.545666667,200.483333333,55.5553333333,56.522,111.111333333,94.203,266.667
195.89,37.097,51.613,98.387,100.537666667,102.150333333,139.247333333,219.892333333,62.903,73.6563333333,117.204333333,93.5483333333,283.871
196.27,25.0,40.7896666667,84.649,84.2106666667,91.6663333333,108.333333333,180.702,54.3856666667,59.6493333333,93.421,82.4563333333,218.421
196.65,32.6086666667,42.3913333333,69.2026666667,78.9856666667,86.9563333333,105.435,163.406,49.6376666667,61.594,73.913,77.8986666667,192.391
197.03,38.5416666667,44.4443333333,60.764,83.6806666667,92.014,118.402666667,167.361,50.6943333333,72.2223333333,70.139,80.5556666667,195.833
197.40,47.195,50.165,63.036,96.6996666667,94.0593333333,116.831666667,178.218,54.1253333333,72.2773333333,72.2773333333,92.739,188.119
197.78,54.6393333333,53.952,81.0993333333,109.278,97.938,120.275,185.910666667,57.0446666667,70.1033333333,77.3196666667,95.876,194.845
198.16,59.9253333333,58.427,101.498333333,131.460666667,107.116,130.711666667,214.606666667,59.9253333333,81.2733333333,77.9023333333,111.610333333,231.461
198.54,64.257,66.2653333333,107.630333333,139.357666667,111.646333333,142.57,235.743333333,71.8876666667,93.976,76.3053333333,132.53,260.241
198.92,67.0883333333,64.135,124.050666667,140.506333333,118.987666667,141.772333333,244.304,72.9956666667,92.8266666667,71.3076666667,139.662333333,267.089
199.30,72.727,68.1816666667,123.484666667,138.636333333,120.454666667,138.636666667,232.954666667,83.3333333333,102.651666667,75.7573333333,141.287666667,253.409
199.68,69.4063333333,71.6896666667,146.118333333,151.598333333,137.899666667,152.054666667,266.666666667,99.0866666667,117.808666667,78.5386666667,153.425,294.521
200.06,62.441,70.892,134.272333333,134.742,138.497666667,144.601,265.727666667,93.8966666667,110.329,69.4836666667,149.295666667,292.958
200.44,74.5096666667,78.4313333333,142.157,142.156666667,145.588333333,153.921333333,276.961,99.0193333333,125.980333333,74.5096666667,148.529333333,330.882
200.82,74.138,58.6206666667,147.126666667,144.253,157.471333333,165.517,304.022666667,105.747,126.437,80.4596666667,145.977,367.241
201.19,68.75,45.139,161.111,148.611,162.499666667,168.75,344.444333333,110.416666667,117.361,86.111,160.416666667,422.917
201.57,53.968,20.6346666667,143.650666667,121.428333333,150.0,161.904666667,343.651,100.793666667,105.555666667,69.0476666667,138.095333333,473.81
201.95,46.491,8.772,135.964666667,105.263,160.526333333,185.965333333,368.421333333,107.017333333,111.403333333,65.7896666667,151.754333333,502.632
202.33,44.8716666667,19.231,91.6666666667,71.795,128.846,149.359,260.256333333,78.2053333333,85.2563333333,69.2306666667,116.666666667,346.154
202.71,33.3333333333,31.4813333333,93.827,92.593,130.246666667,151.234666667,236.419666667,70.3703333333,91.975,82.716,118.518666667,314.815
203.09,34.6403333333,33.3333333333,84.3136666667,108.497,136.601666667,158.17,247.058666667,84.9673333333,110.457333333,88.235,133.333666667,337.255
203.47,34.8486666667,36.3636666667,96.9696666667,113.636333333,156.818333333,185.606,279.545333333,96.9696666667,142.424333333,103.788,151.515333333,390.909
203.85,47.8786666667,48.4846666667,83.6366666667,106.666666667,132.727333333,164.848333333,227.273,91.515,122.424,98.1816666667,130.302666667,321.818
204.22,41.3793333333,44.8276666667,80.4593333333,97.1263333333,121.264333333,162.643666667,212.069,86.2066666667,107.471,89.0803333333,124.712666667,305.172
204.60,32.5756666667,35.6063333333,84.091,93.9393333333,134.091,206.818,256.060333333,106.818,100.757333333,82.5756666667,161.363666667,356.818
204.98,16.6666666667,47.2223333333,108.333333333,120.370333333,149.074333333,251.851666667,299.074,132.407666667,141.667,99.9996666667,213.889,419.444
205.36,20.7406666667,68.1483333333,94.074,116.296333333,123.703666667,228.889,243.704,105.926,130.370666667,88.1483333333,174.814666667,320.0
205.74,17.361,86.111,121.527666667,125.694666667,118.75,233.333333333,234.722333333,89.5833333333,150.000333333,88.1946666667,180.555666667,306.25
206.12,31.6666666667,92.222,119.444333333,126.111,107.222333333,198.889,205.555666667,83.889,152.222,86.111,162.222333333,256.667
206.50,23.3916666667,91.813,123.976666667,125.731333333,100.000333333,194.737,211.695666667,94.737,155.555666667,82.4563333333,160.818666667,275.439
206.87,34.9206666667,103.968,162.698333333,141.27,131.746,244.444666667,284.127,116.666666667,180.952666667,95.238,190.476,328.571
207.25,51.2196666667,116.26,178.862,137.398333333,143.902333333,252.845333333,275.609666667,104.064666667,176.423,113.008,200.813,321.951
207.63,51.4283333333,118.095,205.714333333,158.095333333,138.095333333,277.143,304.762,107.619333333,169.523666667,117.142666667,233.333333333,325.714
208.01,35.4166666667,117.708333333,217.708333333,170.833333333,144.791666667,297.916666667,337.5,94.7916666667,188.541666667,119.791666667,276.041666667,331.25
208.39,90.6666666667,158.666666667,318.666666667,253.333333333,198.666666667,385.333333333,481.333333333,130.666666667,265.333333333,190.666666667,369.333333333,456.0
208.77,73.016,115.079333333,208.730333333,180.159,127.777666667,242.857333333,298.412666667,88.889,163.492333333,151.587333333,229.365,309.524
209.14,78.7876666667,154.545666667,264.646333333,222.222,147.474666667,282.828,375.757333333,100.0,183.838333333,189.899,281.818333333,390.909
209.52,102.222333333,268.889,560.0,426.666666667,282.222333333,531.111,813.333333333,220.0,395.555666667,388.888666667,606.666666667,900.0
209.90,440.0,806.666666667,1740.0,1300.0,986.666666667,1526.66666667,2606.66666667,900.0,1080.0,1166.66666667,1980.0,2600.0
210.28,-633.333333333,-1300.0,-2966.66633333,-2266.66666667,-1722.22233333,-2633.33333333,-4455.55533333,-1500.0,-1533.333,-1855.55533333,-3422.22233333,-4666.667
210.66,-139.583333333,-243.75,-587.5,-443.75,-337.5,-529.166666667,-858.333333333,-331.25,-300.0,-331.25,-700.0,-868.75
211.03,-151.282,-292.308,-702.564333333,-538.461666667,-364.102333333,-628.205333333,-1043.59,-417.949,-346.154,-423.077,-856.410333333,-1100.0
211.41,-46.6666666667,-211.111333333,-595.555666667,-437.777666667,-266.666666667,-520.0,-873.333333333,-355.555666667,-226.666666667,-313.333333333,-695.555666667,-966.667
211.79,-6.66666666667,-171.666666667,-411.666666667,-328.333333333,-191.666666667,-381.666666667,-606.666666667,-281.666666667,-171.666666667,-203.333333333,-483.333333333,-745.0
212.17,-24.2423333333,-140.909,-378.788333333,-251.515,-148.485,-331.818333333,-527.272666667,-233.333333333,-165.151666667,-157.575666667,-409.091,-663.636
212.55,-7.40733333333,-164.814666667,-474.074,-305.555666667,-209.259,-425.926,-611.111,-277.777666667,-231.481666667,-183.333333333,-501.852,-772.222
212.92,-38.0953333333,-216.666666667,-652.381,-426.190666667,-323.809333333,-566.667,-800.000333333,-361.905,-390.476,-223.809666667,-669.047666667,-978.571
213.30,-466.666666667,-826.666666667,-2020.0,-1380.0,-1086.66666667,-1926.66666667,-2413.33333333,-1166.66666667,-1253.33333333,-813.333333333,-2000.0,-2880.0
213.68,2166.66666667,4266.66666667,10100.0,6600.0,5333.33333333,8900.0,10966.6666667,5700.0,5066.66666667,3700.0,9100.0,13100.0
214.06,150.0,350.0,697.618666667,461.904666667,397.619333333,692.857333333,795.238333333,416.666333333,440.476,309.524,616.666333333,935.714
214.44,136.111333333,386.111,755.555666667,472.222333333,411.111,777.778,872.222333333,455.555333333,505.555333333,333.333333333,611.111333333,983.333
214.81,27.778,242.592333333,457.407333333,264.814666667,262.963,464.815,546.296333333,233.333333333,348.148,218.518666667,338.889,633.333
215.19,32.4073333333,139.814666667,238.889,153.703666667,158.333333333,255.555666667,297.222333333,139.815,218.518666667,124.074,181.481666667,350.0
215.57,63.8886666667,169.444333333,249.074,170.370333333,171.296333333,288.889,332.407333333,168.518666667,268.518333333,138.889,216.666666667,344.444
215.95,61.7886666667,156.910666667,221.951333333,143.089666667,157.723666667,255.284666667,325.203,125.203333333,219.512,122.764333333,193.496,317.073
216.32,62.5,161.666666667,220.833333333,172.5,187.5,269.166666667,335.833333333,136.666666667,231.666666667,140.0,221.666666667,360.0
216.70,55.5553333333,165.812333333,212.820333333,173.504,189.743666667,270.085333333,341.880333333,131.623666667,240.171,129.059666667,206.837333333,353.846
217.08,43.0556666667,220.833333333,294.444333333,218.055666667,254.166666667,356.944333333,548.611333333,143.055666667,379.166666667,159.722333333,288.889,520.833
217.46,46.6666666667,177.777666667,261.111,206.666666667,240.0,265.555666667,452.222,101.111,333.333,136.666666667,241.111,406.667
217.83,89.3333333333,220.0,341.333333333,288.0,297.333333333,349.333333333,582.666666667,113.333333333,426.666666667,172.0,330.666666667,484.0
218.21,-700.0,-1900.0,-4050.0,-2933.33333333,-3016.66666667,-3433.33333333,-6616.66666667,-400.0,-4366.66666667,-1433.33333333,-3600.0,-5900.0
218.59,-27.0833333333,-135.416666667,-443.75,-289.583333333,-345.833333333,-316.666666667,-766.666666667,31.25,-466.666666667,-143.75,-420.833333333,-668.75
218.97,-29.6293333333,-70.37,-261.728333333,-165.432,-209.876666667,-180.247,-444.444333333,24.6913333333,-241.975,-61.7286666667,-259.259333333,-385.185
219.34,2.17366666667,-33.3333333333,-145.652,-62.3186666667,-97.1013333333,-92.029,-242.029,26.087,-123.913,-11.5943333333,-143.478333333,-215.217
219.72,7.5,-27.5,-174.166666667,-69.1666666667,-105.0,-94.1666666667,-271.666666667,21.6666666667,-133.333333333,-16.6666666667,-146.666666667,-252.5
220.10,23.457,-8.64233333333,-106.790333333,-44.4446666667,-54.9383333333,-51.8516666667,-179.012333333,15.4323333333,-92.5926666667,-9.25933333333,-96.9133333333,-162.963
220.47,27.3223333333,-12.0216666667,-91.2566666667,-32.7866666667,-32.787,-38.2513333333,-157.923666667,14.2073333333,-63.9343333333,0.546666666667,-61.7486666667,-129.508
220.85,37.0833333333,1.66666666667,-51.6666666667,-10.4166666667,-7.5,-15.0,-95.4166666667,17.0833333333,-15.8333333333,20.8333333333,-34.5833333333,-86.25
221.23,30.8333333333,-9.16666666667,-49.1666666667,-16.6666666667,-16.6666666667,-26.25,-90.8333333333,2.5,-11.25,11.6666666667,-36.6666666667,-85.0
221.61,40.7406666667,-8.889,-26.296,-1.852,-5.92566666667,-15.5553333333,-70.0,7.40733333333,5.92566666667,17.037,-25.926,-70.0
221.98,46.377,-7.609,-16.304,4.34766666667,-6.15933333333,-16.6666666667,-64.493,2.89866666667,1.81133333333,21.0143333333,-21.7393333333,-64.13
222.36,46.25,-22.9166666667,-21.25,-11.6666666667,-21.6666666667,-22.0833333333,-86.6666666667,-13.75,-29.5833333333,10.0,-37.5,-77.5
222.74,26.5626666667,-59.3746666667,-44.2706666667,-41.1456666667,-50.0,-55.729,-136.979,-41.1456666667,-67.1873333333,-2.604,-68.229,-129.687
223.11,36.6666666667,-49.4443333333,-22.2223333333,-38.889,-31.6666666667,-54.4443333333,-138.333333333,-35.0003333333,-61.111,4.44466666667,-67.2223333333,-136.667
223.49,35.593,-43.503,-5.65,-51.4126666667,-33.8983333333,-47.4576666667,-131.073333333,-24.8586666667,-50.2823333333,6.77966666667,-66.1016666667,-144.068
223.87,32.0986666667,-60.494,-4.93833333333,-64.8146666667,-59.8763333333,-60.494,-151.234666667,-20.9876666667,-64.1973333333,6.79033333333,-95.062,-174.074
224.24,-0.000333333333333,-135.353666667,-49.495,-124.242333333,-158.586,-133.333333333,-278.788,-59.596,-136.364,-31.313,-172.727,-312.121
224.62,-24.4446666667,-163.333333333,-75.5556666667,-126.666666667,-191.111,-165.555666667,-298.888666667,-74.4446666667,-168.889,-54.4443333333,-213.333666667,-343.333
225.00,-235.897666667,-512.820333333,-312.820666667,-415.384666667,-571.794666667,-461.538333333,-848.718,-276.923333333,-561.538666667,-305.128333333,-664.102333333,-915.385
225.38,-269.444333333,-511.111,-352.777666667,-452.778,-566.666666667,-458.333333333,-916.667,-275.0,-505.555666667,-330.555666667,-672.222333333,-1033.333
225.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.13,-5.67214725796e+15,-6.31186311412e+15,-6.22656766663e+15,-5.7147949817e+15,-9.42514694743e+15,-7.25011303649e+15,-1.35619761506e+16,-4.60595416436e+15,-9.89427190862e+15,-5.7147949817e+15,-1.07472263835e+16,-1.70164417739e+16
226.51,2333.33333333,2366.66666667,2383.33333333,2150.0,3633.33333333,3050.0,5400.0,1950.0,3433.33333333,2116.66666667,4216.66666667,6950.0
226.88,-377.777666667,-352.778,-436.111,-350.0,-536.111,-477.778,-852.777666667,-352.777666667,-541.667,-363.889,-716.666666667,-1116.667
227.26,-284.127333333,-236.508,-336.508,-265.079333333,-369.841333333,-306.349,-534.920666667,-253.968333333,-382.539666667,-257.142666667,-447.619333333,-680.952
227.64,-175.238,-129.524,-217.142666667,-149.523666667,-228.571333333,-173.333,-318.095333333,-170.476333333,-228.571666667,-142.857,-278.095333333,-360.0
228.01,-67.6056666667,-36.1503333333,-89.6713333333,-49.765,-94.366,-60.094,-136.15,-66.6666666667,-100.938666667,-61.5023333333,-106.572666667,-136.62
228.39,-38.6906666667,-8.92866666667,-51.786,-24.405,-47.9166666667,-30.9526666667,-77.976,-37.7973333333,-63.3926666667,-29.762,-65.476,-78.571
228.76,-29.227,-0.241666666667,-35.749,-21.0146666667,-36.4736666667,-18.3573333333,-66.6666666667,-30.1933333333,-53.3816666667,-21.4973333333,-52.6573333333,-58.696
229.14,-18.2926666667,3.65833333333,-27.0326666667,-14.4306666667,-26.626,-15.0406666667,-52.642,-21.7476666667,-40.0406666667,-12.3983333333,-40.4473333333,-46.341
229.52,-15.254,1.13,-27.4953333333,-11.2993333333,-26.5536666667,-17.3256666667,-49.1526666667,-19.774,-41.996,-9.981,-41.808,-40.113
229.89,-11.282,2.05133333333,-21.5386666667,-9.402,-22.0513333333,-11.2816666667,-43.932,-17.7776666667,-35.3843333333,-3.59,-35.8973333333,-33.846
230.27,-11.675,-2.70733333333,-25.042,-12.69,-18.4433333333,-16.2436666667,-47.039,-18.7816666667,-35.8713333333,-4.907,-37.394,-35.025
230.65,-12.7553333333,-3.74133333333,-24.83,-14.6256666667,-18.5373333333,-22.7893333333,-47.9593333333,-19.0476666667,-38.9456666667,-7.14266666667,-40.6466666667,-31.122
231.02,-10.4273333333,-1.19633333333,-21.0253333333,-10.7693333333,-15.3846666667,-22.564,-44.4446666667,-17.265,-37.607,-5.641,-38.4616666667,-28.718
231.40,-10.9426666667,-4.04033333333,-22.5586666667,-8.41733333333,-15.1513333333,-22.3906666667,-45.118,-21.717,-39.057,-4.88233333333,-36.7003333333,-27.778
231.78,-14.3316666667,-10.1446666667,-23.027,-12.0773333333,-18.5183333333,-24.3153333333,-47.8256666667,-23.6713333333,-37.842,-8.53466666667,-37.5203333333,-31.884
232.15,-14.4926666667,-13.8483333333,-19.9673333333,-14.0096666667,-18.6793333333,-24.638,-48.1483333333,-21.9003333333,-32.3673333333,-6.92433333333,-38.325,-36.232
232.53,-13.4003333333,-14.2376666667,-11.8926666667,-14.2376666667,-21.7753333333,-20.6033333333,-47.5713333333,-19.0956666667,-27.806,-6.198,-36.6833333333,-34.171
232.90,-14.6736666667,-18.6593333333,-15.5796666667,-13.0433333333,-27.174,-23.1883333333,-49.094,-20.8333333333,-29.167,-5.97833333333,-40.2173333333,-37.5
233.28,-15.603,-21.0996666667,-13.1206666667,-14.5386666667,-28.546,-20.2126666667,-48.5816666667,-24.1133333333,-30.6736666667,-7.97866666667,-40.603,-47.872
233.66,-18.4993333333,-22.862,-11.518,-16.5793333333,-28.9703333333,-19.7206666667,-47.2946666667,-23.909,-28.0976666667,-8.55166666667,-40.4886666667,-53.403
234.03,-14.937,-18.239,-8.805,-11.321,-22.799,-15.8803333333,-39.151,-19.025,-19.0253333333,-6.132,-33.1763333333,-46.698
234.41,-10.5556666667,-13.1943333333,-4.99966666667,-7.22233333333,-21.389,-8.47233333333,-31.5276666667,-14.3056666667,-12.0836666667,-2.91666666667,-27.0833333333,-40.417
234.78,-3.35833333333,-8.209,-2.73666666667,-3.60733333333,-13.8056666667,-0.870333333333,-23.3833333333,-9.82566666667,-3.23366666667,2.61166666667,-17.1643333333,-33.209
235.16,3.20733333333,-6.18533333333,1.48933333333,-0.687333333333,-10.1946666667,3.551,-19.8166666667,-5.72733333333,0.229,6.3,-10.5383333333,-29.21
235.54,5.18033333333,-9.572,1.80166666667,-1.239,-10.698,4.61733333333,-20.6083333333,-3.82866666667,2.02733333333,3.60366666667,-13.626,-28.041
235.91,11.9206666667,-4.52533333333,5.40833333333,3.753,-4.636,8.38833333333,-16.5563333333,2.318,4.415,6.84333333333,-7.83633333333,-23.841
236.29,10.8863333333,-5.49966666667,2.245,1.23466666667,-6.50933333333,7.071,-17.3963333333,-1.01033333333,-0.336666666667,5.05066666667,-7.07066666667,-23.569
236.66,10.7776666667,-9.778,-4.889,-2.0,-6.0,3.00033333333,-20.667,-3.889,-7.44466666667,2.88866666667,-10.7776666667,-23.0
237.04,10.1823333333,-9.003,-6.645,-5.895,-4.60866666667,0.321333333333,-19.7213333333,-4.823,-9.11066666667,1.822,-10.611,-22.83
237.41,10.0976666667,-4.99466666667,-7.92633333333,-3.58333333333,-2.82266666667,-0.108333333333,-19.2183333333,-1.303,-10.2066666667,2.60566666667,-5.64633333333,-17.264
237.79,12.3836666667,-0.309333333333,-4.02466666667,-0.103333333333,1.23866666667,3.612,-15.7893333333,3.50866666667,-10.3196666667,5.26333333333,-1.75466666667,-9.907
238.17,11.7886666667,-1.016,-4.77666666667,-1.118,0.711666666667,3.76,-16.7683333333,4.573,-10.3656666667,5.28433333333,-1.82933333333,-7.622
238.54,10.4356666667,-1.82366666667,-3.64733333333,-4.053,2.12733333333,2.73533333333,-16.92,5.06566666667,-11.9556666667,3.95133333333,-0.810666666667,-4.559
238.92,8.38033333333,0.470666666667,-4.42533333333,-1.036,1.12966666667,2.25966666667,-15.4423333333,5.64966666667,-9.981,4.51966666667,0.565,-4.802
239.29,4.686,0.707666666667,-7.25033333333,-1.14933333333,-1.48029736617e-16,1.32633333333,-14.7656666667,5.04,-9.99133333333,4.06733333333,-1.68,-1.061
239.67,5.92933333333,4.32733333333,-5.529,-0.0803333333333,2.404,2.484,-9.69566666667,9.295,-7.612,6.57066666667,3.045,4.327
240.04,3.871,3.44066666667,-5.80666666667,-0.072,1.43366666667,2.437,-7.31166666667,8.96066666667,-6.953,6.23633333333,1.43366666667,4.516
240.42,4.557,5.181,-4.86866666667,1.68533333333,2.55933333333,3.246,-4.49433333333,10.4246666667,-4.24433333333,7.05366666667,1.124,6.554
240.79,6.26633333333,8.26733333333,-0.842666666667,4.37066666667,4.16033333333,5.00266666667,-0.948,11.6903333333,0.368666666667,8.79433333333,4.26533333333,8.373
241.17,7.25033333333,8.755,1.96066666667,6.42966666667,4.788,6.84,0.547,12.3116666667,2.73566666667,8.34466666667,6.019,9.029
241.54,7.1,7.822,3.209,5.97666666667,5.41533333333,7.34066666667,1.444,11.9533333333,3.289,8.02233333333,5.53533333333,9.025
241.92,6.867,7.47466666667,3.61266666667,5.43633333333,5.22166666667,7.153,1.32333333333,10.1573333333,3.00433333333,7.94033333333,5.25733333333,8.584
242.29,6.76,7.82566666667,3.497,5.361,4.662,6.627,1.16533333333,9.39066666667,1.898,7.55933333333,5.26133333333,8.192
242.67,7.36866666667,8.06466666667,3.95333333333,6.072,4.99666666667,7.432,1.48666666667,9.42433333333,2.27733333333,8.191,5.34433333333,7.97
243.05,7.19966666667,6.863,3.33966666667,4.657,5.08533333333,7.47566666667,1.74666666667,8.854,1.56233333333,7.65933333333,4.59533333333,7.813
243.42,7.06066666667,6.45433333333,3.54566666667,4.09066666667,5.06066666667,7.33333333333,2.0,8.879,1.66633333333,6.909,4.394,7.0
243.80,6.88933333333,6.46833333333,4.031,4.21166666667,5.14433333333,7.28033333333,2.196,7.70166666667,1.62466666667,6.91933333333,3.85066666667,6.227
244.17,6.488,5.26766666667,3.92866666667,3.60133333333,5.00033333333,6.399,1.60733333333,6.161,1.042,5.80366666667,3.75,5.446
244.55,5.30566666667,3.77733333333,4.037,3.08533333333,4.41166666667,5.82466666667,0.634333333333,4.81533333333,-0.317333333333,4.7,3.08533333333,3.374
244.92,4.742,2.92866666667,3.766,3.23566666667,4.15666666667,6.19266666667,0.613666666667,4.10033333333,-1.116,4.12833333333,2.45466666667,2.176
245.30,5.026,3.51533333333,4.11466666667,3.672,5.0,7.00533333333,1.58866666667,4.53133333333,-0.859333333333,4.50533333333,2.86466666667,2.891
245.67,5.777,4.08533333333,4.254,3.916,5.052,7.20333333333,2.56233333333,4.42366666667,-0.144666666667,4.49566666667,3.094,4.423
246.05,6.148,4.24766666667,4.15866666667,3.89,4.98566666667,7.31066666667,3.15233333333,4.89566666667,0.223333333333,3.91233333333,3.13,4.024
246.42,6.08466666667,3.82566666667,4.233,3.724,5.43366666667,7.30566666667,3.317,4.823,0.325333333333,3.419,3.15466666667,3.541
246.79,5.496,3.388,4.08433333333,3.42566666667,5.11933333333,6.88866666667,3.181,4.14066666667,-0.225666666667,2.89833333333,3.12466666667,3.331
