wavelength,Back_EunCamm,Belly_EunCamm,Breast_EunCamm,Crissum_EunCamm,Crown_EunCamm,DorTail_EunCamm,Rump_EunCamm,Throat_EunCamm,WingTip_EunCamm
228.76,-15.1337333333,-19.854,-24.0389333333,-22.6763333333,-26.8613333333,-24.6470666667,-20.5839333333,-11.7274666667,-16.9342666667
229.14,-21.9858,-26.4775333333,-30.5436666667,-30.4966,-36.7375333333,-32.2222333333,-27.1394666667,-18.6288666667,-21.7494
229.52,-18.5562666667,-20.9342666667,-25.4776666667,-25.2228666667,-33.121,-26.0296666667,-21.9532666667,-17.5795333333,-17.1550666667
229.89,-17.572,-17.2018,-21.8931333333,-23.2098666667,-31.7283333333,-20.3909,-18.5185333333,-15.0618,-14.3620666667
230.27,-10.7999333333,-13.3333333333,-17.9999333333,-19.1112,-28.8887333333,-15.7778333333,-15.7778666667,-10.4,-11.1556666667
230.65,-5.64413333333,-9.61146666667,-13.5786666667,-12.638,-22.9856,-7.54606666665,-11.0428666667,-7.19833333334,-6.83006666666
231.02,-0.912733333342,-4.56353333334,-10.2778666667,-4.2064,-19.2858,-1.90473333334,-4.52366666667,-2.93653333331,-1.82526666666
231.40,-3.37846666667,-7.97286666667,-15.946,-6.17113333333,-27.5225333333,-8.58109999999,-2.83786666668,-4.36940000002,-4.14426666665
231.78,3.00653333333,2.22220000001,-1.08939999999,2.00426666667,-16.1222,4.0087,7.18946666667,3.61646666666,6.10013333334
232.15,-2.82833333333,0.858600000014,-6.11093333333,0.4546,-20.1516,2.24736666667,6.26259999999,-0.65646666666,3.68673333333
232.53,-1.30086666666,1.84286666667,-7.04613333332,3.41459999999,-23.1436,3.6043,9.70186666666,-2.00546666668,2.92693333333
232.90,9.16066666669,8.72906666665,2.11026666669,12.2302,-12.0864,11.7506333333,16.2110666667,3.21346666667,12.4700666667
233.28,9.48359999999,8.45073333334,1.0798,12.0188,-9.95300000002,11.9483333333,12.8169333333,2.30046666669,12.2066
233.66,3.79480000001,3.12826666667,-5.69239999999,5.79466666667,-13.6923333333,9.12813333333,6.56406666667,-1.17953333332,9.33326666667
234.03,10.2348666667,9.34273333332,-0.32873333334,12.8169333333,-5.72773333333,14.3428666667,10.3756,3.28646666667,15.5869333333
234.41,8.089,9.06666666666,0.35553333334,13.911,-5.4222,16.0888333333,10.4,4.0888,16.9777333333
234.78,14.4654,16.1846,7.16986666666,19.7902666667,1.59333333335,24.0251666667,14.8006666666,12.8722666667,24.3604666667
235.16,9.12293333332,7.63153333334,0.307000000006,10.7455333333,-3.02633333335,18.0703,6.22800000001,4.86846666667,17.2806
235.54,0.92113333334,-0.087800000014,-5.921,3.94733333333,-9.5614,14.6710666667,-3.68426666668,-5.4824,11.1842666667
235.91,-6.92646666666,-7.14286666666,-15.8008666667,-2.12133333334,-18.0952,4.99996666666,-10.9524,-12.9005333333,3.80953333333
236.29,-8.82113333333,-7.11386666667,-14.187,-4.47166666667,-17.6422666667,5.00003333334,-10.8944,-11.6666,5.24399999999
236.66,-9.71113333333,-4.00773333334,-10.5586666667,-3.16000000001,-14.0654666667,5.91519999999,-11.1367333333,-8.63186666667,7.01339999999
237.04,-11.3953333333,-4.22479999999,-10.6976,-3.7598,-12.3256,5.58133333334,-10.3100666667,-7.94580000001,3.52713333334
237.41,-3.04959999999,3.82979999999,-0.922066666646,3.79433333334,-2.37600000001,13.0495666667,-1.34759999999,0.922066666672,10.1774
237.79,5.66046666665,12.2640666667,8.55346666665,11.3837333333,5.03146666665,18.0662666667,5.09426666667,9.02513333333,16.0062666667
238.17,8.09313333333,14.9635333333,11.7321333333,13.2168,5.90979999999,18.4570333333,7.21986666667,13.6825333333,18.1076666667
238.54,9.53139999999,16.7604,12.8514,13.253,7.63053333333,17.2824333333,8.70153333333,13.735,18.2062
238.92,7.14459999999,15.0440666667,11.5723333333,10.5661333333,7.24533333334,13.1071666667,7.49686666667,9.107,15.3458666667
239.29,9.60973333334,17.8596,15.0056666667,14.1805333333,10.2564666667,15.3288666667,11.4159333333,13.6008666667,18.5953333333
239.67,12.3231333333,19.3334,17.899,15.4948666667,13.5958666667,17.0100333333,14.0606666667,16.0202,20.6667333333
240.04,14.6525333333,20.7915333333,20.0351333333,16.8338,15.9541333333,20.1758666667,15.5496666666,18.2234,21.847
240.42,14.3578,18.9438666667,18.7707333333,16.6746666667,15.8708666667,18.9912666667,14.9566,17.1158,20.8826
240.79,11.6738,15.8866666667,15.1631333333,13.603,13.39,15.8086333333,12.4821333333,13.9432,18.0567333333
241.17,11.1196666667,15.3796666667,14.6717333333,12.4067333333,12.6641333333,15.0579666667,11.8789333333,13.166,17.9278666667
