wavelength,Back_DigMysm,Belly_DigMysm,Breast_DigMysm,Crissum_DigMysm,Crown_DigMysm,DorTail_DigMysm,Patch10_DigMysm,Patch11_DigMysm,Patch12_DigMysm,Rump_DigMysm,Throat_DigMysm,WingTip_DigMysm
212.92,75.4902666666,97.4509333333,34.5098666665,65.4902,-7.05879999999,44.9020666667,27.2548666666,3.52933333336,74.1176,4.70586666665,-18.8235333333,2.94120000001
213.30,69.1891333333,79.6394666666,27.0270000001,60.7207333334,-6.66666666665,32.2522666667,21.9819333333,-5.40533333333,64.5044,11.1712,-18.1080666667,-0.900800000074
213.68,48.9922,49.7673333335,10.2325333335,48.6820666666,-20.9303333333,18.4495333333,20.1549333333,-18.9148,44.6510666667,5.7364,-17.5194,-12.2480666667
214.06,16.9333333333,19.8666666666,-8.13333333334,22.5333333333,-40.2666666667,5.46666666667,8.26666666666,-37.7333333333,21.4666666667,-14.9333333333,-40.8666666667,-24.1333333333
214.44,19.4118,13.5293999999,-31.9608,9.4118,-75.4902666667,-4.11759999999,4.90193333332,-80.3920666667,23.3334666666,-30.196,-79.1176000001,-47.2549333334
214.81,-3.87093333332,-18.4946666666,-48.1718666667,-20.6451333334,-111.397733333,-34.1935333333,-25.1613333334,-129.032266667,3.65579999994,-56.3441333333,-110.645,-75.2689333333
215.19,14.4186666667,-2.17046666674,-21.0853333333,-2.63573333332,-62.7906666666,-15.3488666667,-3.87613333333,-75.9689333333,16.2790666666,-26.6667333333,-67.9845666667,-36.5891999999
215.57,19.8485333333,10.1515333332,-15.9091333335,8.48486666665,-49.0909333333,-9.24226666667,7.12113333332,-63.4848666667,25.0,-14.9999333333,-58.8636,-31.9696666666
215.95,11.7646666667,0.98053333334,-58.0391999998,-0.98046666668,-87.0588666665,-25.4899999999,0.19586666666,-101.568666667,22.1568666667,-32.7450666667,-83.1371333333,-62.7452666667
216.32,15.7692666667,7.94859999994,-34.2307333334,14.7436,-47.3076,-13.5898,10.1282666667,-66.0257333333,16.1538666667,-13.718,-48.6538666667,-37.3076666667
216.70,27.4074,25.7613333333,-3.12766666666,32.2634,-8.55973333335,10.4527333333,26.9136,-22.9630666667,23.9506666666,11.1112,-8.10703333333,-7.40759999999
217.08,32.5448,33.9067333333,3.87093333333,36.9892,2.07879999999,20.932,34.5520666667,-12.1863333333,30.6093333333,17.4193333333,3.871,0.286733333312
217.46,33.9934,38.8778666667,5.94046666667,38.6799333333,3.30013333333,21.3860666667,33.7952666667,-8.58086666668,29.5049333333,17.9538666667,6.0396,1.51806666665
217.83,27.3118,34.8389333333,0.21513333332,31.2543333333,-0.42993333334,12.473,26.6666666667,-15.6272,22.0071333333,9.6774,-2.83156666666,-4.01426666667
218.21,33.4706666667,42.4742666667,6.94153333333,33.6083333333,7.69760000001,11.9587333333,30.5842,-7.01040000002,28.2474,16.2886666667,4.87960000001,2.61179999999
218.59,30.523,40.2615333333,9.01960000001,34.9673333333,10.4575333333,13.9868666667,29.2156666667,-3.52953333335,23.9215333333,16.4052666667,7.64693333333,6.33980000001
218.97,29.9687333333,36.7600666667,10.3426,37.1340666667,12.9594666667,17.3208,29.9065333333,-2.55453333334,21.9937333333,15.4518,8.31796666669,7.41433333334
219.34,22.6666,28.2964,7.33320000001,36.0741333333,3.03686666665,6.88873333334,24.2222666667,-18.3704,16.0740666667,7.55566666667,0.07416666666,-2.07419999999
219.72,13.0736,17.6624,-4.58880000001,25.8009333333,-13.5064666667,-10.7360666667,9.95673333332,-41.1255333333,5.71426666666,-8.57140000001,-17.1427666667,-18.7879333333
220.10,22.7351333333,23.4186666667,7.09413333333,32.5640666667,-4.10260000001,-2.47866666665,14.7862666667,-28.547,10.9401333333,-1.11120000001,-8.50439999999,-10.1709333333
220.47,19.3034666667,18.6069333333,1.99006666675,25.7712666666,-14.2289333333,-14.9254,6.46773333336,-39.0049333333,7.86066666666,-11.6418,-15.7710333333,-21.1940666667
220.85,23.1181333333,22.3656,6.66659999994,29.7849333333,-12.3655333333,-12.3654666667,7.31186666668,-35.9139333333,13.871,-8.60199999999,-15.5375666667,-20.1076
221.23,16.0606,15.8584000001,4.74733333334,23.2323333333,-12.8283333333,-21.4141333333,-2.52526666666,-37.8788666667,8.68693333335,-12.5252666667,-20.1514,-19.798
221.61,19.3711333334,7.04406666667,6.28926666674,24.2768,-17.4843333333,-22.1384,-5.66046666673,-44.5284,10.063,-17.2327333333,-24.5911333333,-22.1382
221.98,28.1356,4.18066666674,12.2033333333,29.8305333333,-12.3164,-10.6215333333,1.01693333327,-31.8643333333,15.3672,-10.1695333333,-15.1976666667,-12.6554
222.36,24.1111333333,-9.55559999994,10.1112,31.8889333333,-15.0,-7.77779999999,2.55553333334,-36.4446,10.1110666667,-9.44446666666,-14.9444,-15.5555333333
222.74,55.6462,11.8368,45.8503333333,61.3604666667,-2.17686666666,10.3402666667,25.5781333334,-22.8570666667,38.3674666667,10.6122666667,3.4693,-2.72099999999
223.11,59.8693333333,21.5687333334,46.1438666667,60.6537333333,-0.2614,6.79746666667,30.0654,-12.9411333333,39.2156666667,14.6405333333,-0.13073333332,-1.17653333332
223.49,62.7672666667,20.6290666666,38.2389333333,50.6918666667,-0.62906666668,9.93713333334,24.6540666667,-5.91186666665,31.5724,16.9811333333,-8.36466666668,-1.63526666665
223.87,62.6666666667,26.1539333333,39.0768666667,50.1538666667,14.7692666667,21.6411333333,25.0255333333,9.84613333332,37.3334,29.9486666667,3.48703333333,9.74366666666
224.24,48.4931333333,19.8174,29.8630666667,37.6255333333,8.40173333334,13.6985333333,15.7078,2.10059999998,29.4976666667,22.6484666667,-6.02736666667,5.75346666666
224.62,61.4493333334,31.4975999999,43.0918666667,53.3332,20.3864666667,25.5073333333,27.8261333333,11.2076,34.686,34.0096666667,0.72463333334,20.2897333333
225.00,60.1877333333,28.3567333333,44.2252666667,47.9811333333,19.3426,26.0094666667,23.5680666667,1.69026666668,34.2723333333,31.737,2.53520000001,23.1926
225.38,46.3110666667,16.8889333333,30.9334666667,32.0888666667,8.88886666666,21.1554666666,9.24446666667,-4.26673333334,23.3779333333,22.1333333333,-4.13333333333,11.9110666667
225.75,42.1482,25.4814666667,33.4074,34.5926666667,14.5185333333,20.3702666667,14.9628666667,5.92600000002,23.1112,27.7035333333,3.44446666667,15.8517333333
226.13,36.8889333333,31.4285333333,30.0950666667,30.9841333333,18.0952666667,19.873,13.5872,8.69833333335,23.746,27.6824666667,7.36506666665,17.2698
226.51,43.3042666667,42.5508,36.8694,34.145,25.4492,29.8551333333,18.3768,19.1884,32.0578666667,32.0578666667,15.3913333333,24.2898666667
226.88,28.5782,31.7016,21.6782666667,22.0512,17.9952666667,21.6317333334,11.3752666667,10.1165333333,21.7250666667,21.1653333333,8.95113333333,15.8042
227.26,27.3053333333,28.1038,21.6766,20.7983333333,18.6028666667,23.1138,13.4130666667,11.9362,21.8762666667,23.0739333333,12.7546333333,18.6826666667
227.64,29.0384666667,30.7371333333,25.2564,25.1282666667,23.4294666667,28.2694,20.2244,16.8910666667,25.9935333333,27.0832666667,21.1379,24.7114666667
228.01,29.1015333333,31.2462,27.7391333333,26.4058,24.2028666667,30.2899333333,24.6376,18.8406666667,26.8114666667,27.2753333333,24.8986333334,27.8260666667
228.39,27.3836666667,30.385,28.3398666667,26.2948,24.5684666667,29.5086666667,24.3826,20.664,24.8604666667,26.3478666667,25.9628333333,28.6321333333
228.76,24.2167333333,26.5725333333,26.2427333333,22.5440666667,22.6384666666,27.185,21.8374666667,19.4346,22.6854,24.1461333333,25.371,26.6666
229.14,22.4562666667,26.1403333333,25.9429333333,21.9518666667,22.7194,25.7018,22.1928666667,20.5702666667,22.4343333333,24.6052,25.3728333334,26.1842
229.52,24.0438,26.8415333333,28.5244666667,23.8688666667,25.0927333333,27.1693333333,25.3114666667,22.2951333334,23.9999333333,26.3825333333,27.4425666667,28.3496666666
229.89,20.8669333333,22.3734,25.0154666667,19.5253333333,21.548,24.6231333333,21.8367333333,18.5758666667,21.9195333333,22.1052666667,24.4685,25.2838666667
230.27,18.8751333333,18.9376,23.9586,17.5834,18.7294,22.146,19.6250666667,17.1876666667,19.3961333333,19.9376,22.1564,22.5209333333
230.65,15.3942666667,15.1,20.5889333333,14.2374,15.4575333333,17.9600666666,15.878,12.9547333333,14.6792666666,16.0462666667,18.8959333333,18.5700666667
231.02,18.1128,18.2358,23.8768666666,15.6922666667,17.9076666667,19.4668666667,17.2103333333,15.6716666667,16.7999333333,18.2564,20.9333666667,19.364
231.40,18.3386,20.8947333333,25.2184666667,15.8040666667,18.2747333333,19.8083333333,16.8478,17.5718,17.6784,17.3164,20.9157666666,18.4026
231.78,16.3976666667,18.7836,24.1637333333,13.4736666667,15.5088,15.5088666667,14.152,16.0235333333,15.2047333333,12.8655333333,18.7719,14.386
232.15,15.6554666667,17.3284,23.0462,12.7840666667,15.1310666667,14.1322666667,11.8352,16.0049333333,14.2571333333,11.186,18.2273333333,12.1846
232.53,18.3333333333,19.6718,23.6364,15.4798,15.8838,15.6819333333,13.4849333333,17.0958,17.3738,13.7121333333,20.6567,13.7122666667
232.90,20.8204,22.2821333333,23.5896666667,16.8205333334,16.8717333333,18.6922666667,15.8207333333,19.5898,20.3846,14.9743333333,22.0512333333,14.5640666667
233.28,22.7734666667,23.1296,22.7480666667,17.4809333333,16.8702666667,21.2215333333,16.2338666667,19.9744,22.5445333333,15.6742666667,22.6717333333,15.14
233.66,21.0513333333,22.4360666667,20.7435333334,16.0257333333,14.9999333333,18.8976,14.5642,17.6922,20.2308,12.3076666667,20.4359,12.0512666667
234.03,20.6036,23.0176666667,20.4664666667,15.83,15.6379333333,17.6954,13.0040666667,16.0219333333,18.8477333333,11.0288666667,19.3141666667,10.1235333333
234.41,20.2176666667,23.4559333333,19.8912,16.0544,16.5986666667,18.9933333333,13.8230666666,14.4760666667,20.7346,11.3741333333,18.4218,10.2312666667
234.78,19.2926,21.3334,18.8298,15.3197333333,15.3469333333,18.9114666667,13.0068666667,13.6598,20.7346666667,11.4830666667,16.9933,10.5305333333
235.16,15.68,17.2,15.2533333333,13.8666666667,13.7866666667,16.6933333333,10.8533333333,11.8133333333,17.1733333333,10.08,14.6266666667,10.8266666667
235.54,12.4495333333,14.6213333333,11.8686666667,12.9798666667,11.5656666667,15.1768,10.1262,8.71226666667,13.8384,9.8484,12.4117666667,11.2120666667
235.91,9.51326666667,12.1598,8.83913333335,10.6616,9.03873333335,15.6555333333,8.68913333334,6.66673333333,11.8102,9.16360000001,10.2996333333,10.9612
236.29,9.53066666667,13.0048,8.35673333334,10.3052,8.96706666666,16.4085333333,9.69486666668,7.08926666666,11.0563333333,9.64793333331,9.60096666666,11.3146
236.66,6.96873333333,10.337,5.83046666666,7.5262,7.68860000001,15.7723333333,7.94439999999,5.06406666665,7.06166666666,6.89893333334,7.22419999999,7.54926666666
237.04,3.31033333333,8.22993333333,3.7472,6.02286666666,5.40226666667,12.6668,5.28733333333,2.59773333333,3.58619999999,4.18393333333,3.60916666665,4.94253333333
237.41,1.35160000001,7.58306666667,2.72619999999,5.54393333333,3.8258,11.5005333333,3.73420000001,2.29106666667,0.160466666668,1.4662,2.2796,3.11566666667
237.79,1.79146666667,8.82093333333,3.21986666665,5.85053333333,5.17006666666,13.2198666667,4.44446666667,3.71873333333,1.74606666667,4.62573333333,3.45809999999,5.69146666666
238.17,1.51226666667,8.328,3.06706666667,5.53779999999,4.85626666667,12.8860666667,4.19600000001,4.83493333334,1.49086666667,5.45266666666,3.86586666667,6.38973333334
238.54,5.9722,12.4009333333,7.24193333335,9.70226666667,8.71033333333,16.8850666667,8.21413333334,9.64293333333,4.64280000001,9.52386666667,8.77976666666,11.2698666666
238.92,7.02040000001,14.8418666667,8.45426666667,12.1228666667,10.6144,18.4172,10.5772666667,11.9554,6.16386666667,10.5586666667,11.0055666667,13.3334
239.29,7.97933333332,14.8878666667,9.39553333335,12.5561333333,10.9844,18.6873333333,11.2090666667,12.8325333333,7.35746666666,10.6561333333,11.7358,13.4370666667
239.67,11.1382666667,15.9024,12.3414,13.7886,13.1869333333,19.8861333333,12.7316,14.4552666667,10.1302,12.6016,12.9836333333,15.0082
240.04,12.5105333333,16.9362666667,13.8155333333,14.5674,15.163,19.2481333333,13.4466666667,15.0497333333,11.5178666667,13.8581333333,13.1702,15.7730666666
240.42,13.4812,18.0038,15.145,15.0462,16.2539333333,19.6796666667,13.9001333333,16.0690666667,12.7296666667,14.9968666667,14.202,17.8928666667
240.79,13.0179333334,16.846,14.7907333333,14.1162666667,15.3670666667,18.2163333333,12.9960666667,15.0298666667,12.6373333333,14.7145333333,13.3170666667,18.2056
241.17,13.6219333333,16.6906666667,15.1804,13.7662666667,15.0938,17.9221333333,13.0350666667,14.6802,12.9678666667,15.1803333333,14.1462333333,18.7878666667
