wavelength,Back_EmbHerf,Belly_EmbHerf,Breast_EmbHerf,Crissum_EmbHerf,Crown_EmbHerf,DorTail_EmbHerf,Patch10_EmbHerf,Patch11_EmbHerf,Rump_EmbHerf,Throat_EmbHerf,WingTip_EmbHerf
740.86,23.6384166667,57.76725,50.8163333334,35.1329166667,17.9985,12.8292083333,26.8085,18.055,22.554,62.016,14.7328333333
741.18,23.3501666666,57.4843333333,50.5861666667,34.6205,17.6849166667,12.5150833333,26.384,17.7060833334,22.181,61.9621666667,14.22525
741.49,23.5273333333,57.8928333333,51.0196666667,34.9383333333,17.96975,12.7033333333,26.6174166667,17.94525,22.3784166667,62.5633333334,14.276
741.81,23.2540833333,57.2621666667,50.5293333334,34.70775,17.7625,12.6485833333,26.4580833333,17.7068333333,22.2264166667,62.1471666667,14.181
742.12,23.0571666667,56.9485833334,50.2995,34.5278333333,17.6615,12.6170416666,26.4409166667,17.6833333333,22.22125,61.6796666667,14.11225
742.44,23.14325,57.0894166667,50.2904166667,34.6376666666,17.8855,12.9530833333,26.601,17.9865833334,22.417,61.9554166667,14.2384166667
742.76,23.1145833333,57.0985833333,50.3316666667,34.6606666667,17.93325,13.1747916667,26.72925,18.0321666667,22.4763333333,61.9863333333,14.1333333334
743.07,23.453,57.6865,51.1341666667,35.0754166667,18.4349166667,13.7010416667,27.08975,18.3765,22.83875,62.5098333333,14.4175833333
743.39,23.51775,57.79975,51.2648333333,35.0065833333,18.4155,13.6974166667,27.2793333333,18.2149166667,22.7470833333,62.5889166667,14.3838333333
743.70,23.1029166667,57.4049166667,50.599,34.5115,17.93125,13.1756666667,26.8304166667,17.7150833333,22.3409166667,62.1406666667,14.01425
744.02,22.55875,56.9054166667,50.02,34.1928333333,17.6065,12.7174166666,26.3810833333,17.2485833333,21.61575,61.527,13.5666666667
744.34,22.3515,56.7206666667,49.9324166666,33.9338333333,17.35475,12.5722916667,26.3293333333,17.0984166667,21.3934166667,61.1875833333,13.4648333333
744.65,22.2859166666,56.7971666666,50.0,34.2685833333,17.2368333333,12.3907916667,26.32125,16.8919166667,21.2753333333,61.1941666667,13.4099166667
744.97,22.082,56.34925,49.72975,34.0689166667,16.9129166666,12.182,25.8620833334,16.5640833333,20.9258333333,60.7586666667,13.1396666667
745.28,22.25325,56.7638333334,50.11,34.3486666667,17.1003333334,12.3692916667,26.0808333333,16.8593333333,21.18975,61.0801666667,13.3449166667
745.60,22.1401666667,56.6639166667,49.98625,34.1975833333,16.816,12.0384583334,25.937,16.5278333333,20.9704166667,61.24525,13.13325
