wavelength,Back_TanInof,Belly_TanInof,Breast_TanInof,Crissum_TanInof,Crown_TanInof,DorTail_TanInof,Patch10_TanInof,Patch11_TanInof,Rump_TanInof,Throat_TanInof,WingTip_TanInof
209.14,-37.0645833333,-2.36308333332,-45.27375,-19.843423475,-47.0149166667,-79.9130833333,-67.7861666665,-68.0347499999,-33.2090833333,-28.7935833333,-46.393
209.52,-31.22375,-0.421916666568,-35.2848333334,-18.7225808824,-37.078,-67.6686666667,-49.8945,-55.69625,-32.7003333333,-26.5824166667,-39.557
209.90,-18.9394166666,12.2294166667,-23.1058333333,-7.4892709695,-26.7857916666,-59.4697916667,-36.3636666666,-48.5929166667,-21.8614166666,-24.7836666667,-32.7923333334
210.28,-18.0208333333,15.625,-19.6875,-13.2979302833,-19.7395833333,-62.7604166667,-34.2708333333,-45.7291666667,-23.125,-23.2291666667,-31.0416666667
210.66,-24.4588333333,12.8788333333,-19.3724166667,-19.1935852396,-19.5889166667,-70.2382916667,-36.9048333333,-44.264,-25.8658333333,-25.7576666667,-38.3116666666
211.03,-18.26925,19.7649166667,-5.60908333335,-12.4332638889,-6.94441666666,-59.7222083333,-29.27325,-33.01275,-19.23075,-21.1537083333,-29.5938333333
211.41,4.24666666665,29.407,16.0657916667,8.83067973858,17.9888333333,-23.277125,-0.88158333335,-9.13475000001,0.64091666665,0.921499999992,-4.56716666667
211.79,12.0216666667,35.724,24.6925,16.6750637255,26.5369583333,-11.6804583333,8.53825000003,4.16666666667,10.65575,13.4561666667,2.45891666666
212.17,14.2388333333,32.0866666667,25.1640416667,19.1263374183,29.0682083334,-12.2046666667,11.61425,4.33075000002,12.00775,15.97775,3.41200000002
212.55,16.0255833333,31.6238333333,27.5284166666,20.8577824074,31.1253333333,-16.3817083333,14.17375,2.20808333336,14.4586666667,17.1297083333,0.56975
212.92,7.68608333333,25.0808333333,20.2669583333,12.503371732,23.5842916667,-28.883625,7.4435,-8.89966666667,6.22991666667,3.27666666667,-8.2525
213.30,-8.54433333332,15.5063333333,14.135,-1.44023066448,15.137125,-56.645625,-1.26566666667,-26.7931666666,-4.32474999999,-12.5527083333,-25.3164166667
