wavelength,Back_DacFlaf,Belly_DacFlaf,Breast_DacFlaf,Crissum_DacFlaf,Crown_DacFlaf,DorTail_DacFlaf,Patch10_DacFlaf,Rump_DacFlaf,Throat_DacFlaf,WingTip_DacFlaf
377.26,8.103,19.94,14.5451333333,18.4028666667,8.5552,7.0916,8.27226666666,9.42686666668,11.5290666667,6.98873333333
377.63,8.15466666667,20.094,14.6335333333,18.4964666667,8.55653333333,7.08086666667,8.27986666666,9.41393333333,11.5524,7.03986666667
377.99,8.21753333333,20.1941333334,14.7176666667,18.5659333333,8.64246666667,7.1494,8.34666666667,9.46453333332,11.6142,7.1014
378.35,8.2908,20.2859333333,14.8182,18.6762666667,8.71586666667,7.1802,8.43599999999,9.56540000001,11.6493333333,7.1448
378.71,8.2424,20.2878,14.7765333333,18.5930666667,8.567,7.10493333333,8.32746666667,9.46853333333,11.5993333333,7.0546
379.07,8.244,20.3565333333,14.8468666667,18.6832,8.5962,7.12986666667,8.33860000001,9.50226666665,11.6997333333,7.05853333333
379.44,8.18653333333,20.368,14.8556,18.6307333333,8.52993333333,7.02933333333,8.25166666666,9.41213333335,11.6352,6.97546666667
379.80,8.14306666667,20.3471333333,14.8627333333,18.6177333333,8.56953333333,6.98273333333,8.22233333334,9.37986666668,11.6118666667,6.98113333333
380.16,8.176,20.4244666667,14.9035333333,18.6576666667,8.61586666667,6.9778,8.25033333333,9.39993333333,11.6655333333,7.02186666667
380.52,8.176,20.4046666667,14.9381333333,18.6429333334,8.6138,6.94693333333,8.236,9.33173333333,11.6747333333,7.05426666667
380.88,8.21373333333,20.4163333333,14.9404,18.6286,8.66513333333,7.0106,8.27899999999,9.36406666667,11.6963333333,7.09473333333
381.24,8.03426666667,20.256,14.7884,18.542,8.4872,6.8562,8.0518,9.14586666666,11.5807333333,6.8866
381.61,7.9666,20.1224666667,14.7357333333,18.4346,8.4364,6.8112,7.97293333334,9.07846666667,11.4782666667,6.79266666667
381.97,8.02053333333,20.1891333333,14.7843333333,18.4659333333,8.4738,6.8156,7.99753333334,9.12173333333,11.5163333333,6.815
382.33,7.9718,20.1566666667,14.7634666667,18.3966,8.3948,6.78886666667,7.9264,9.04786666666,11.5057333333,6.75093333333
382.69,7.8858,20.1423333333,14.7357333333,18.3558,8.36866666667,6.72453333333,7.9,9.02059999999,11.461,6.69593333333
383.05,7.8264,20.1123333333,14.7018666667,18.3333333333,8.2868,6.6182,7.82913333333,8.88066666667,11.3941333333,6.59466666667
383.41,7.86626666667,20.1358,14.6945333333,18.3838,8.29426666667,6.63226666666,7.8584,8.89046666667,11.4321333333,6.64753333333
383.77,7.83046666667,20.2058,14.7145333333,18.3939333333,8.25633333334,6.649,7.84686666667,8.86186666667,11.4256666667,6.59846666667
384.14,7.64113333333,20.0077333333,14.5365333333,18.1392666667,8.01746666667,6.46433333333,7.6186,8.63886666667,11.1808,6.3574
384.50,7.7518,20.1384,14.722,18.29,8.14926666666,6.62426666667,7.7728,8.79453333333,11.3458666667,6.50613333333
384.86,7.62493333333,20.0564,14.6540666667,18.2190666667,8.0668,6.52613333334,7.68573333333,8.69819999999,11.2936,6.3766
385.22,7.79773333333,20.2059333333,14.8167333333,18.3569333333,8.20673333334,6.67353333333,7.89153333333,8.8446,11.4084,6.53706666667
385.58,7.8222,20.2636666667,14.8503333333,18.4132666667,8.23506666667,6.73506666667,7.93906666667,8.86213333333,11.4430666667,6.53953333333
385.94,7.62226666667,20.1362,14.6744666667,18.2999333333,8.04173333333,6.55406666667,7.7706,8.69199999999,11.2795333334,6.37466666667
386.30,7.5914,20.1228666667,14.6813333333,18.2847333333,8.04013333333,6.5246,7.72066666667,8.64713333333,11.2540666667,6.35406666667
386.66,7.71533333333,20.3121333333,14.8174,18.4413333333,8.16826666667,6.68346666667,7.85433333333,8.74573333333,11.4072666667,6.45573333333
387.03,7.6612,20.3456,14.8052,18.4148,8.109,6.66713333333,7.8346,8.72640000001,11.4038,6.4508
387.39,7.66573333333,20.3764666667,14.8304666667,18.417,8.106,6.69946666667,7.79873333333,8.73693333333,11.3948,6.39993333333
387.75,7.61593333333,20.3087333333,14.7522,18.3929333333,8.0368,6.6566,7.73293333333,8.63286666667,11.3517333333,6.333
