wavelength,Back_HetRubf,Belly_HetRubf,Breast_HetRubf,Crissum_HetRubf,Crown_HetRubf,DorTail_HetRubf,Patch10_HetRubf,Rump_HetRubf,Throat_HetRubf,WingTip_HetRubf
202.33,83.333,68.273,95.181,50.0,80.7226666667,88.1526666667,55.8233333333,79.719,62.249,97.5903333333
202.71,84.2003333333,63.5836666667,87.2833333333,47.5913333333,73.796,86.32,54.9133333333,78.8053333333,56.6473333333,92.1003333333
203.09,90.9676666667,61.7206666667,94.6236666667,48.172,74.6236666667,84.7313333333,58.7096666667,83.441,54.839,99.14
203.47,96.603,61.7836666667,99.1506666667,49.469,73.461,84.0763333333,61.1463333333,84.2886666667,52.8663333333,102.76
203.85,105.555333333,67.094,107.265,57.9063333333,73.7176666667,92.3076666667,66.453,88.675,61.5383333333,106.410333333
204.22,114.862,71.1253333333,103.397,62.4203333333,77.4946666667,95.329,69.4266666667,95.5416666667,65.3926666667,104.670666667
204.60,112.688333333,66.0216666667,98.9246666667,58.2793333333,70.323,90.753,63.0106666667,88.3873333333,59.3546666667,103.010666667
204.98,113.978666667,66.4513333333,96.7743333333,60.4303333333,75.269,91.6126666667,67.0966666667,84.086,56.344,100.43
205.36,116.453,71.795,96.795,67.094,78.4186666667,97.2223333333,76.4956666667,88.034,63.248,100.427333333
205.74,117.735,73.077,94.2306666667,67.5213333333,67.3076666667,90.598,73.2906666667,90.3843333333,60.897,101.282
206.12,120.807,80.467,90.4456666667,73.8853333333,61.1466666667,90.446,77.707,95.5416666667,59.66,107.006333333
206.50,119.230666667,77.778,89.3163333333,79.701,61.5383333333,93.59,81.8376666667,95.2993333333,60.47,105.769333333
206.87,112.974,74.0516666667,89.0223333333,81.2376666667,69.6606666667,93.014,80.0396666667,88.2236666667,65.8683333333,102.594666667
207.25,105.085,68.1733333333,80.7906666667,75.8946666667,68.7383333333,91.337,71.9396666667,81.356,66.855,94.162
207.63,105.588,65.896,82.6586666667,83.2366666667,74.1813333333,91.1366666667,74.3736666667,81.6956666667,75.5296666667,91.137
208.01,105.357,65.4763333333,84.9206666667,87.5,75.992,85.9123333333,75.3966666667,86.7063333333,76.389,94.8413333333
208.39,98.8096666667,60.119,84.9206666667,86.111,75.397,81.151,75.3966666667,82.3416666667,73.611,88.2936666667
