wavelength,Back_GubCrim,Belly_GubCrim,Breast_GubCrim,Crissum_GubCrim,Crown_GubCrim,DorTail_GubCrim,Patch10_GubCrim,Patch11_GubCrim,Patch12_GubCrim,Rump_GubCrim,Throat_GubCrim,WingTip_GubCrim
193.61,170.908916667,143.434333334,194.848416666,175.4545,164.8485,119.469666667,127.831890804,133.33325,144.015291667,158.636333333,152.72725,147.197
193.99,160.333333333,134.0,187.333333333,182.5,150.0,99.5,118.040229885,122.166666666,140.25,151.333333333,149.0,142.916666667
194.37,145.424833334,123.965222222,174.83675,171.24175,139.052333333,82.4347916668,111.477413793,116.993416667,118.627333333,134.150166667,135.294083333,134.55875
194.75,123.9585,106.944444444,156.10125,144.34525,122.172666667,69.6427916667,97.054683908,106.101166667,94.1965,119.494,123.065583333,116.22025
195.13,128.833333333,115.333333333,161.0,158.666666667,115.5,68.8333333332,99.0172413795,112.666666667,89.4999999999,113.833333333,133.5,127.416666667
195.51,126.129833333,117.325666667,151.412333333,150.282416667,111.016916667,76.2005416667,104.427301724,110.593083333,84.1805,111.016916666,137.853083333,123.940875
195.89,112.5605,109.178777778,143.961166666,139.97575,111.231833333,82.0652083335,107.537887931,115.57975,80.9179999999,103.5025,125.483,120.410625
196.27,109.76175,104.920555555,142.142916667,139.52375,106.428583333,86.2499583332,106.104316092,116.54775,87.1424999999,109.0475,120.476166667,116.309375
196.65,129.80225,137.476555556,170.904,171.32775,142.23175,106.285458333,135.822132184,146.327666667,110.098958333,133.757083333,141.243,142.79675
197.03,110.790583333,120.370444444,143.055416667,140.705166666,122.22225,100.801166667,123.172787357,124.893083333,93.6967499999,107.906083333,124.252166667,122.649625
197.40,89.2320833334,97.0037777779,120.599,116.573083333,101.03,82.3972499999,106.331655172,106.086166667,74.9998750001,87.8276666666,107.677833333,102.01325
197.78,91.7807500001,97.8688888891,127.5115,125.684916667,102.169083333,77.3974166666,111.214721264,115.1825,74.5432916667,87.4428333334,109.360833333,100.171291667
198.16,102.564,111.623888889,143.846083333,132.179583333,121.794833333,89.4230833333,126.587091954,127.435833333,90.7052499999,103.333333333,119.102666667,114.102458333
198.54,101.643166667,112.519555555,140.140833333,128.638666666,117.723083333,94.2490416668,120.93641954,121.361583333,99.0611666667,108.45075,118.89675,108.802875
198.92,88.9879999999,93.6508888888,116.071333333,109.22625,101.388916667,90.6745416666,106.147373563,104.960333334,93.6011666666,95.3372499999,103.373166667,86.7559583332
199.30,87.2221666666,89.9260000001,120.444333333,113.333333333,109.4445,95.6666250001,106.873543103,107.777916667,97.8333333333,99.7778333333,100.555416667,80.7779583332
199.68,73.9724166667,76.4078888889,111.643916667,102.169083333,100.342416667,84.2465416668,95.1385431035,97.6027499998,88.2989583333,91.0959166667,83.6758333333,72.2032083334
200.06,56.7776666668,55.5555555556,95.8888333334,86.1111666666,80.7777500001,68.9999166667,79.1878189655,79.1111666667,70.0553749999,69.6665833334,68.3333333332,56.2222916666
200.44,54.8958333333,48.1944444444,90.7291666668,82.7083333333,81.3541666666,65.5729166668,72.8412356322,79.4791666668,72.4479166667,68.5416666667,65.1041666666,51.1979166667
200.82,48.1183333333,38.8292222222,80.8245833333,77.0608333333,65.5019166667,62.8584583332,65.2329396552,71.8639166667,64.5609166668,62.1864166666,58.8710833333,44.7580416667
201.19,40.5881666667,27.451,77.7451666667,76.2744166667,60.7844166668,53.7745,61.8255344828,62.745,56.8626666667,58.3333333333,49.41175,37.990125
201.57,35.62275,26.1295555556,72.7105833333,70.6045000001,59.1574999999,49.5879583333,57.1112557471,60.07325,52.6098750001,54.8535000001,39.7435,36.2637083333
201.95,33.6634166667,25.3027777778,69.2243333333,61.1384999999,55.6931666666,49.1336666666,49.840612069,56.10575,44.6370833333,50.9076666667,35.4785833333,35.726125
202.33,33.6834166667,27.1708888889,66.4563333333,60.3640833333,53.7114166667,50.4201666666,48.3459425287,54.972,42.5068333333,49.9999166667,37.6750833334,36.729625
202.71,25.08075,15.9655555556,64.1585833333,53.6408333333,52.2653333334,46.2380833333,44.308704023,48.54375,35.194125,42.0710833334,31.14875,28.479125
203.09,15.3061666667,6.80277777777,61.5646666666,46.4286666667,49.9999166667,37.7551666666,41.223979885,44.4728333333,25.850375,35.45925,22.534,26.0627916667
203.47,25.6465833334,17.9121111111,64.0804166666,43.6780833333,54.5258333334,40.5891666667,48.5583045977,52.227,32.3635,43.1753333333,28.8075,34.7343333334
203.85,23.1321666667,15.1338888889,63.8650833333,42.4569166667,52.0833333333,36.5301666667,48.4889971264,51.0775833333,29.8131666667,37.5000833333,29.16675,34.6623333333
