wavelength,Back_SicLuom,Belly_SicLuom,Breast_SicLuom,Crissum_SicLuom,Crown_SicLuom,DorTail_SicLuom,Patch10_SicLuom,Rump_SicLuom,Throat_SicLuom,WingTip_SicLuom
218.97,116.8749333,99.47893333,131.1458,94.16653333,129.0622,117.0832667,110.1040667,116.8750667,118.5416,128.0727333
219.34,109.2001,94.57773333,115.9110667,84.26653333,115.9110667,105.8668,102.3112,99.9112,106.4,110.6667333
219.72,110.6579667,98.85973333,115.0000667,89.47373333,116.0526,107.3682667,103.5965333,99.9122,106.4035333,109.2983
220.1,110.4505,96.03606667,114.1440667,85.2252,112.2522667,100.901,100.6304667,94.05413333,102.9729333,107.4775667
220.47,102.7203,85.97713333,100.7663333,77.31793333,101.5324667,88.1226,89.6552,84.75093333,91.1878,94.48283333
220.85,116.7948333,92.9914,113.0770667,85.72646667,114.188,98.1196,99.23073333,94.95713333,101.5384,103.3762
221.23,125.2777333,99.1666,118.611,91.01853333,118.1482,105.6482,103.0554667,97.037,106.0186667,107.4075333
221.61,128.0952333,99.89426667,120.529,93.54506667,123.0687333,109.4179333,102.3280667,97.3544,109.7354667,110.6350667
221.98,122.5989,95.48026667,113.5593333,83.5028,116.9492667,105.8758,85.64986667,88.81353333,97.17506667,102.0903667
222.36,104.1314333,79.81226667,93.2394,68.07506667,92.77,87.60553333,66.5728,69.20193333,77.6526,80.04703333
222.74,116.8183667,90.70706667,106.6667333,78.68693333,108.1816667,102.8282667,75.85853333,82.92926667,90.6062,90.85863333
223.11,131.131,104.5237333,121.6666667,92.02373333,129.1666667,123.2141333,84.99986667,100.5953333,106.4286667,106.2498667
223.49,190.4166667,142.7083333,176.0416667,132.5,185.2083333,173.125,106.0416667,158.125,156.25,162.0833333
223.87,214.7311333,159.1396667,197.2042667,156.9890667,214.1934667,197.6344,126.8816667,187.9571333,189.0322667,188.0644
224.24,188.5184667,143.1481333,183.3334,145.1852,194.4444667,180.9259333,123.8888667,172.0370667,169.6297333,165.0926333
224.62,196.0952,150.4762,195.8095333,157.1428,208.1904667,192.762,136.5714,176.0002,191.0476667,183.5238667
225,133.3974667,108.8461333,137.564,113.7178667,147.1794667,136.5384,100.3846,116.1538,133.0768667,129.0384667
