wavelength,Back_IriAnam,Belly_IriAnam,Breast_IriAnam,Crissum_IriAnam,Crown_IriAnam,DorTail_IriAnam,Patch10_IriAnam,Rump_IriAnam,Throat_IriAnam,WingTip_IriAnam
570.79,10.2206666667,32.983,19.7018666667,16.3468,7.79613333333,9.06373333333,4.3124,11.7794,51.7826,8.86239999999
571.13,10.1899333333,32.9624,19.6544666667,16.3814666667,7.7794,9.07266666667,4.30733333333,11.7526,51.7542,8.86093333333
571.47,10.1959333333,33.0326,19.6901333333,16.4510666667,7.799,9.10319999999,4.341,11.7621333333,51.8409333333,8.90446666667
571.81,10.1690666667,33.0614,19.6714,16.4891333334,7.79986666667,9.09213333333,4.346,11.7551333333,51.8802666667,8.89713333333
572.15,10.1664,33.1027333333,19.6905333333,16.555,7.8234,9.1276,4.38446666667,11.7602,51.933,8.93633333334
572.49,10.1656,33.144,19.6956,16.6076666667,7.84046666667,9.15053333334,4.41266666667,11.7767333333,52.0146,8.95733333334
572.83,10.1441333333,33.187,19.6952,16.6648,7.842,9.1356,4.423,11.7561333333,52.0961333333,8.9608
573.17,10.1684666667,33.2435333333,19.7248,16.7431333333,7.8702,9.17086666667,4.46593333333,11.7716,52.1836666667,8.98819999999
573.51,10.1466666667,33.3074,19.7526666667,16.8046666667,7.85906666667,9.18106666667,4.462,11.776,52.2882,8.99560000001
573.85,10.1031333333,33.3093333333,19.7350666667,16.8386666667,7.84786666667,9.17846666666,4.47406666667,11.7714,52.3291333333,8.99346666666
574.19,10.091,33.3701333333,19.7403333333,16.8792666667,7.85686666667,9.18219999999,4.47046666667,11.7644,52.4121333333,8.99813333333
574.53,10.0748666667,33.4154,19.7566666667,16.9299333333,7.8586,9.19419999999,4.48493333333,11.7635333333,52.4761333333,9.00906666667
574.87,10.0416,33.4794666667,19.7624,16.9752,7.84726666667,9.186,4.47586666667,11.7416666667,52.5456666667,9.01413333334
575.21,9.98819999999,33.4907333334,19.7238666667,17.0004,7.82993333333,9.16846666666,4.4544,11.713,52.5552666667,8.99933333333
575.55,9.98153333334,33.565,19.7595333333,17.081,7.837,9.18926666667,4.45513333333,11.7031333333,52.6384666666,9.02419999999
575.89,9.93686666667,33.5596,19.7448666667,17.0929333333,7.80833333333,9.15266666666,4.42233333333,11.6628666667,52.6841333333,8.99626666667
576.22,9.94733333333,33.6236,19.789,17.1805333333,7.8336,9.17486666667,4.43946666667,11.6670666667,52.7438,9.0324
576.56,9.91033333333,33.626,19.7762666667,17.2066666667,7.82826666667,9.17226666667,4.42446666667,11.6552,52.7604666667,9.03160000001
576.90,9.8884,33.6731333333,19.7898,17.2426666667,7.8154,9.15560000001,4.40426666667,11.634,52.8246,9.03080000001
577.24,9.85586666666,33.6678,19.7546666667,17.2861333333,7.7922,9.14040000001,4.39206666667,11.5873333333,52.8478666667,9.02860000001
577.58,9.84066666667,33.7324,19.7804666667,17.329,7.78686666667,9.12226666667,4.36,11.5528666667,52.9439333333,9.02386666667
577.92,9.81953333333,33.7792666666,19.7702,17.4020666667,7.77613333333,9.12500000001,4.353,11.5268,53.0372666667,9.02753333333
578.26,9.78020000001,33.8013333333,19.7438,17.4277333333,7.75686666667,9.10720000001,4.31646666667,11.4940666667,53.0576,9.0258
578.60,9.74899999999,33.8426666667,19.7488,17.4687333333,7.75446666667,9.08633333334,4.2912,11.4728,53.1263333333,9.01326666667
578.94,9.7184,33.8644666667,19.7479333333,17.5032666667,7.72046666667,9.06620000001,4.27706666667,11.4328666667,53.1971333333,8.99273333333
579.28,9.69086666667,33.9068,19.7192666666,17.5204,7.70906666667,9.0408,4.2566,11.4080666667,53.2749333334,8.98566666667
579.61,9.69886666666,33.9743333333,19.7227333333,17.6004,7.73713333334,9.08146666667,4.28113333333,11.4113333333,53.3446666667,9.01959999999
579.95,9.66546666667,33.9521333333,19.69,17.6198,7.72893333333,9.08040000001,4.27533333333,11.3884666667,53.3107333333,9.01539999999
580.29,9.63000000001,34.0029333333,19.6797333333,17.6605333333,7.71686666667,9.06926666666,4.25813333334,11.3785333333,53.3608666667,9.00653333333
580.63,9.61340000001,34.0272,19.6593333333,17.7151333333,7.7318,9.09040000001,4.2852,11.3901333333,53.3932,9.03413333334
580.97,9.61633333334,34.0996,19.6902666667,17.7941333333,7.76106666667,9.11766666667,4.31286666667,11.4008666667,53.4493333333,9.05353333333
581.31,9.63133333333,34.1054,19.6980666666,17.8564666667,7.79073333334,9.16733333333,4.35233333333,11.43,53.4304666667,9.08933333334
581.65,9.6536,34.1630666667,19.7567333333,17.9570666666,7.83346666667,9.21840000001,4.41606666667,11.4881333333,53.4681333333,9.14633333334
581.98,9.66013333334,34.209,19.7791333333,18.0172,7.84293333333,9.24560000001,4.44773333333,11.5042666667,53.5474666667,9.15726666666
582.32,9.67633333334,34.2783333333,19.8196666667,18.1062,7.9042,9.30126666666,4.50306666667,11.5371333333,53.6006666667,9.21613333333
582.66,9.70966666667,34.3626,19.8734,18.2000666667,7.95633333333,9.36426666667,4.542,11.5849333333,53.6704666667,9.27453333334
583.00,9.69993333333,34.3608666667,19.875,18.2532,7.98053333333,9.37633333333,4.56866666666,11.5777333333,53.6636666667,9.28273333333
583.34,9.65833333333,34.3911333333,19.8717333333,18.2809333333,7.97013333333,9.37226666666,4.53613333333,11.5751333333,53.7376666667,9.2878
583.68,9.67053333333,34.5139333333,19.9104666667,18.3827333333,7.99026666667,9.41866666666,4.5592,11.5952,53.8921333333,9.33173333333
584.01,9.66386666667,34.5672,19.9303333333,18.4554666667,7.97106666667,9.42780000001,4.55913333333,11.5660666667,53.9842,9.33253333332
584.35,9.60393333334,34.5583333333,19.9192666667,18.4693333333,7.9384,9.39986666667,4.52033333333,11.5197333333,53.9924,9.30833333335
584.69,9.59246666667,34.5884666667,19.926,18.5074,7.94966666666,9.40993333333,4.54513333334,11.5318,54.0395333333,9.33613333335
585.03,9.54106666666,34.655,19.9044,18.5705333333,7.90646666667,9.38553333333,4.50866666667,11.4837333334,54.1377333333,9.31960000001
585.37,9.48593333333,34.6597333333,19.8703333333,18.5826,7.88753333333,9.3786,4.46046666667,11.4308,54.1947333333,9.30053333333
585.70,9.49800000001,34.7246,19.9115333333,18.6859333333,7.9468,9.4174,4.49593333333,11.4312666667,54.2492666667,9.34986666666
