wavelength,Back_SicLuvm,Belly_SicLuvm,Breast_SicLuvm,Crissum_SicLuvm,Crown_SicLuvm,DorTail_SicLuvm,Patch10_SicLuvm,Rump_SicLuvm,Throat_SicLuvm,WingTip_SicLuvm
196.27,7.36859999994,-17.1929333333,46.3158,43.1580666668,-32.8070000001,-227.0176,-11.9297999999,-10.1753999999,73.3332666667,13.6841666667
196.65,15.0616666665,13.3334000001,48.6420666667,51.3580666667,0.37036666682,-133.333266667,17.0369333334,11.6049999999,91.3580666666,17.5311
197.03,-26.1905333333,-15.9524000001,19.0475999999,29.762,-48.9284666667,-164.166733333,-25.2381333334,-15.0000666666,64.0477333334,-25.2380666667
197.40,-70.2777333335,-43.3333333333,-19.4443999999,-1.11113333332,-105.555466667,-213.888933333,-54.4443333335,-32.2222000001,26.1110666667,-84.4444
197.78,-637.333333333,-453.333333333,-469.333333333,-189.333333334,-822.0,-1355.33333333,-576.000000001,-502.666666667,-138.666666667,-728.666666667
198.16,298.3332,234.4444,243.888866667,67.7776666668,385.555533333,606.9446,272.777866666,234.444466667,98.3333333334,320.277833333
198.54,210.724666667,188.116,198.2608,90.4347999999,263.478166667,360.579766667,186.087066667,174.492666667,118.550666667,240.8696
198.92,164.6296,154.0742,156.111266667,87.9629999999,183.055633333,241.666733333,135.740666667,135.1852,99.8148,178.889
199.30,243.9394,220.000066667,231.515266667,81.8182000001,255.606033333,320.151566667,200.302933333,215.454533333,110.909133333,244.848533333
199.68,146.3062,140.901066667,158.918866667,47.7476000001,152.5225,186.576733333,122.522333333,135.855866667,83.7837333335,163.423566667
200.06,97.0666666667,100.133333333,113.066666667,22.8,105.4,127.8,81.7333333335,94.2666666666,57.1999999999,106.266666667
200.44,86.3887333333,99.3055333333,109.9998,8.74993333326,98.4027333332,123.8195,77.7778000001,87.7778666668,48.4722666666,98.4722333333
200.82,78.7179333333,97.0512666667,109.7436,11.0256666667,95.3204999999,124.0385,77.5639333333,88.2052,56.7950666667,90.7692666667
201.19,44.7457333334,56.2710666666,76.9492666667,-14.0114000001,61.9208666668,86.4407333334,58.3050666667,62.7116666666,34.4631333333,54.8022
201.57,39.155,47.23,65.5400666667,-14.3660666666,50.8449,74.3190333334,49.3897333333,54.1784666666,28.3566,40.4223333333
201.95,32.7956,48.6021999999,65.8064,-23.6559333333,49.3547333334,74.9460333333,46.7742000001,46.2365333333,25.6989333333,32.3655
202.33,22.396,40.3127333333,56.146,-26.7707333333,40.5730000001,68.5938666667,40.8334666666,36.146,19.4792,26.4583666667
202.71,23.2538666667,38.4126666667,47.7777333333,-11.111,36.3094999999,58.1748,42.2220666667,35.5555333333,18.7302,26.0315333333
203.09,29.3471333333,42.8866666667,51.0652,4.46739999999,45.5669666667,62.5084333333,54.0895333334,42.6806,27.1477333333,36.4603666667
203.47,26.7314,36.1810666667,48.5435333333,6.14886666667,43.5275333333,63.0420666667,52.4272000001,37.8640666667,26.0841333333,33.7215
203.85,23.6703333333,32.5094,43.8951333333,-0.29973333334,43.8202333333,71.5354,50.4117333334,35.5055333333,22.0974666667,25.9924333333
204.22,24.0,34.75,47.0833333334,1.08333333334,49.7083333333,80.5000000001,56.3333333333,36.6666666667,26.0833333333,32.2916666667
204.60,33.6113333333,40.7408,58.2406666667,6.75933333334,61.9906333333,95.0000333333,66.3887333334,43.3333333333,32.3148,37.7315333333
204.98,26.7618666667,32.0952666667,50.3810666667,-1.238,53.9999333333,84.9047666667,61.9048666667,29.5238,22.5714,21.7143333333
205.36,44.0677333333,56.1581333334,80.9039333334,8.70040000002,72.5423333333,109.378533333,79.0962,42.9379333333,40.904,38.2485
205.74,51.5031333334,66.6667333332,94.379,17.6470666667,78.2354,128.627433333,91.2417999999,52.6798,40.9151333333,44.2483666666
206.12,63.8095333333,74.7619333333,96.3096000001,29.9998666667,85.0000666668,120.595333333,99.0477333333,66.6666666666,48.6905333333,53.7500666666
206.50,75.6140666666,91.7544666667,115.263133333,21.7544666667,101.6667,158.157833333,123.333466667,73.5087333333,46.4912666666,48.7719
206.87,107.222266667,123.8888,165.833333333,22.5000000001,140.694533333,237.499933333,171.6666,100.277733333,59.7222666666,67.2223
207.25,155.555466667,172.962933333,237.777733333,14.4445333333,171.852066667,333.703733333,208.889,137.4074,72.2222666666,75.9258666666
207.63,260.4444,294.222333333,336.0,82.2221333332,248.222166667,453.1111,290.6666,216.0,147.555666667,149.777966667
208.01,785.333333333,966.666666667,1061.33333333,272.0,718.000000001,1373.33333333,882.666666667,694.666666667,454.666666667,485.333333334
208.39,294.736866667,332.631533334,353.333266667,160.350866667,254.3859,426.842233333,296.491,244.210466667,181.754266666,210.0001
208.77,348.75,429.583333333,430.0,178.75,291.458333333,520.833333333,337.5,280.0,250.833333333,272.708333333
209.14,269.4444,330.277866667,336.666666667,152.500066667,226.388866667,375.555566667,259.4444,226.944466667,201.111066667,239.3056
209.52,243.3332,283.137266667,261.960866667,161.960866667,199.4117,308.137366667,242.549,204.313666667,177.0588,211.9608
209.90,291.4286,332.142866667,307.142866667,187.142866667,242.2619,357.738,308.3332,241.666533333,200.476333333,253.2144
210.28,683.999999999,828.666666667,716.666666666,462.0,539.0,906.666666667,739.999999999,598.0,428.0,592.666666667
210.66,354.285733333,429.841133333,389.841133333,253.650866667,287.460333334,446.825433333,368.254,320.0,234.603266667,323.015766667
211.03,316.923,380.769266667,332.8204,227.6924,250.640933333,377.051266667,319.999866667,282.820466667,211.282133334,277.435833333
211.41,298.0554,360.833333333,319.999866667,200.555533333,231.805466667,349.305533333,314.7222,260.833266667,186.111133333,255.555366667
211.79,222.8206,272.307533333,242.820733333,126.410266667,152.3077,256.923133333,243.076933333,196.153866667,128.974333333,186.6665
212.17,125.432133333,145.802466667,141.728533333,77.9012666667,88.4568000001,137.2224,137.778,115.432133333,80.9877333333,113.9505
212.55,141.166666667,165.0,169.166666667,71.5,91.1666666666,156.833333333,157.5,135.5,87.6666666667,117.166666667
212.92,125.416666667,136.944533333,148.055533333,76.3888666667,85.2083333334,127.7083,149.3056,129.166666667,84.1666666667,112.2222
213.30,192.873533333,213.5632,229.195533333,108.9656,117.816033333,185.747133333,235.6322,211.264333333,137.011533333,175.632166667
213.68,267.0588,306.666733333,368.235333333,143.9216,165.098133333,264.3137,334.5098,309.019533333,196.4706,278.235466667
214.06,210.7938,265.714333333,304.127,130.158733333,136.5079,220.1587,263.174666667,244.126933333,180.9524,213.809533333
214.44,185.641133333,202.820466667,270.0,104.102533333,121.282066667,187.692166667,225.384666667,190.769266667,154.871933333,183.461633333
214.81,437.777733333,396.6666,574.999866667,234.444466667,283.8889,435.833366667,497.777733333,411.666733333,351.666733333,429.7221
215.19,-244.0,-198.2222,-403.111,-88.8889333335,-149.7778,-251.555533333,-302.222266667,-222.666666667,-188.888866667,-243.7776
215.57,-117.857266667,-90.7144000002,-201.1904,-18.0952,-61.7857,-116.071333333,-138.809533333,-96.9048666666,-78.0951333334,-119.880866667
215.95,-240.333333333,-201.333333333,-360.0,-111.0,-162.666666667,-246.5,-271.666666667,-198.0,-187.0,-248.0
216.32,-224.347866666,-165.217466667,-304.9274,-97.3913999999,-149.1304,-210.869633333,-238.550733333,-148.695733334,-160.2898,-202.463766667
216.70,-210.512866667,-162.820466667,-280.256466667,-94.8718,-148.974366667,-200.769266667,-227.6926,-146.6668,-146.153866667,-192.436166667
217.08,-165.777866667,-129.7778,-229.555533333,-74.0000000001,-110.888866666,-160.000066667,-178.000133333,-105.777866667,-94.2222000001,-139.555466667
217.46,-697.0372,-548.148066667,-851.110933334,-399.2592,-525.1851,-655.555466667,-740.000000001,-440.740733333,-438.5186,-583.333366667
217.83,1678.33333333,1405.0,2025.0,981.666666667,1334.16666667,1639.16666667,1758.33333333,1170.0,1193.33333333,1340.83333333
218.21,-427.111066667,-350.222133333,-513.3334,-235.555666667,-334.222233333,-409.111133333,-423.555533333,-301.333333333,-315.555666667,-362.222133333
218.59,-890.833333334,-817.500000001,-1046.66666667,-543.333333333,-688.75,-861.25,-801.666666666,-613.333333333,-682.5,-751.25
218.97,1023.80953333,1027.61893333,1226.66673333,660.0,805.714266668,943.809500001,927.619133333,734.285533333,780.000133333,850.4761
219.34,471.555533333,466.222266667,528.444333333,301.777733333,359.7778,435.999966667,408.4444,333.777733333,380.4444,407.999966667
219.72,594.444466667,612.222266667,651.666733333,412.2222,468.333233333,553.888933333,496.666533334,433.333266667,506.6666,524.166566667
220.10,955.237933334,1019.04753333,1070.4762,711.4286,762.857166667,834.285700001,784.762000001,726.666733333,799.999933333,908.5714
220.47,-5713.33333334,-6786.66666667,-6366.66666667,-4306.66666667,-4670.0,-4963.33333333,-4613.33333333,-4606.66666667,-4833.33333333,-5686.66666667
220.85,-478.666666667,-586.0,-513.333333333,-379.333333333,-373.666666667,-415.666666667,-414.0,-403.333333333,-414.0,-472.333333333
221.23,-518.666666667,-608.0,-529.333333333,-380.666666666,-378.0,-432.333333333,-420.0,-425.333333333,-445.333333333,-489.333333333
221.61,-309.804066667,-367.843066667,-343.5294,-220.7844,-246.470566667,-299.8039,-245.097933333,-272.549133333,-253.333266667,-296.0786
221.98,-139.761866667,-162.619,-153.5714,-73.0952666667,-94.8808333333,-120.357133333,-98.8094666668,-105.714266667,-85.9523333331,-124.0477
222.36,-886.666666666,-998.666666667,-953.333333334,-516.0,-652.0,-809.333333335,-713.333333335,-765.333333333,-609.333333333,-816.0
222.74,-99.7850000001,-111.1828,-106.236533333,-42.5805999999,-76.3439666667,-80.6452333335,-89.6774666666,-94.4086,-65.8064,-106.666833333
223.11,-37.1794666667,-42.5642,-39.1025333333,-0.384533333334,-19.2948333333,-31.0898,-33.4616666667,-32.5640666667,-20.2566666667,-44.3590666667
223.49,-73.1818666667,-77.7273333333,-79.3941333335,-22.7273333333,-43.7121,-64.3182,-68.7879333332,-63.1819333334,-40.4545333333,-73.3332
223.87,-109.166666667,-102.666666667,-110.666666667,-61.6666666666,-74.0,-95.3333333335,-101.833333333,-96.9999999999,-65.8333333333,-109.416666667
224.24,-113.4884,-106.201733333,-110.542733333,-54.8838,-82.6356333333,-97.3642999999,-107.286733333,-99.9999333333,-72.248,-101.240366667
224.62,-78.8305333334,-75.5555999999,-77.4269333333,-39.1813333333,-57.5439333333,-77.7192666667,-74.7368666665,-71.4618666666,-53.6842,-74.7953666667
225.00,-68.3615333334,-64.2937333333,-74.9152666667,-30.1694666667,-50.452,-68.1921,-55.8192,-61.5819333333,-48.5876666667,-64.2372666667
225.38,-59.0,-55.3334000001,-69.4444,-24.6666,-50.6666333333,-62.3888666667,-51.0000000001,-55.8889333333,-51.4445333333,-53.1666333333
225.75,-20.606,-20.5195333333,-25.8873333333,4.50206666666,-14.9784333333,-20.9090666667,-12.3809333333,-22.078,-19.1343333333,-13.3765333333
226.13,-25.3814666667,-22.3292,-26.8274,-3.2932,-21.9277333333,-25.1405333333,-14.0561333333,-26.3452666667,-24.2571333333,-20.2411
226.51,-10.4168,-4.28566666666,-12.5,10.2381333334,-6.99406666666,-6.42836666666,1.4284,-7.67853333333,-5.00006666667,-3.1845
226.88,-25.3332666667,-14.6668,-30.7408,5.85193333332,-19.4444666667,-21.0741666667,-8.88873333335,-21.5555333333,-17.0371333333,-12.0370333333
227.26,-44.0160666667,-34.8594666667,-55.1806666667,-11.4056666667,-44.0158666667,-42.1686666667,-27.9518,-43.2127333333,-36.0642,-32.49
227.64,-18.4097333333,-10.2752,-24.2812,2.93586666667,-21.1009333333,-15.8104333333,-4.40366666666,-21.2843333333,-16.1468,-9.60236666666
228.01,-7.97713333333,-2.849,-10.3134666667,14.8148,-8.46156666667,-6.23923333332,7.23653333333,-8.14813333333,-8.37606666667,5.07103333333
228.39,0.200466666666,5.3634,-3.75926666665,17.9449333333,-1.8796,-1.95483333332,11.8797333333,-2.1052,-2.35593333333,7.39346666667
228.76,0.527533333341,7.05033333333,-4.94013333333,17.6019333333,-1.19893333334,4.3164,10.3119333333,-2.97359999999,-2.1104,9.16063333333
229.14,-10.4918,-4.0438,-13.0600666667,11.4753333333,-9.86350000002,-2.8687,1.58473333334,-12.6775333333,-9.56293333333,2.1859
229.52,-6.71906666667,-1.20726666666,-5.51166666667,14.3832,-3.12353333333,-0.41993333334,6.56173333333,-7.29653333333,0.314999999993,5.0395
229.89,-11.1109333333,-3.721,-8.32033333333,7.38999999999,-6.04643333332,-2.48079999999,3.61759999998,-7.75193333333,-4.39273333334,-0.1807
230.27,-12.623,-6.39339999999,-12.4591333333,7.32233333333,-6.25693333333,-4.6174,1.47546666667,-8.9618,-7.48639999999,-0.464466666666
230.65,-17.9012,-12.963,-15.9876666667,2.22219999999,-12.4999,-10.3395,-5.37020000001,-14.2591333333,-11.2347333333,-1.48136666667
231.02,-18.8506,-14.1956,-13.9655333333,-1.03453333334,-12.1839333333,-11.0632,-6.78173333334,-14.3103333333,-11.8391333333,-4.39643333333
231.40,-15.5172,-9.13786666666,-8.39093333334,0.747133333346,-5.80456666669,-6.49416666667,-3.21833333333,-10.9194666667,-9.99999999999,3.5343
231.78,-20.5262,-13.5673333333,-12.1638666667,-0.350800000006,-9.7369,-10.1463333333,-11.4034666666,-13.3918666667,-13.5087333333,2.51456666667
232.15,-23.1034,-15.0574,-20.115,-4.65526666665,-17.0977333333,-11.4079666667,-15.6895333333,-18.7355333333,-18.1034666667,-1.78146666667
232.53,-15.5932666667,-8.64406666667,-13.6724,2.6556,-9.37846666666,-2.62716666667,-8.47453333333,-11.9208666667,-11.3558666667,9.2938
232.90,-15.8558666667,-4.98513333334,-8.46846666669,5.46566666667,-8.2281,-1.14120000001,-5.70573333334,-7.68773333334,-8.34840000001,14.5945666667
233.28,-15.1724666667,-5.51713333332,-6.09206666668,1.66666666668,-9.31036666666,-0.373500000002,-7.87346666664,-7.93099999999,-10.4024,9.2241
233.66,-13.9106666667,-3.46460000001,-5.30173333333,0.524933333354,-8.03143333333,4.5145,-9.1338,-9.86880000001,-12.5984,10.7611
234.03,-10.4986,-1.46980000001,-2.78193333335,6.61413333333,-4.22573333333,8.4777,-6.45666666667,-7.92653333335,-8.39893333335,17.2179333333
234.41,-6.37026666667,3.35806666667,2.56786666666,9.23466666667,0.1235,11.1851333333,-3.65426666667,-5.77766666666,-3.16053333333,20.79
234.78,-1.87053333333,6.57073333332,7.52986666665,10.9831333333,6.18703333335,16.0193333333,-0.479400000006,-3.11726666667,-0.33566666666,21.5109333333
235.16,-0.37053333334,7.12960000001,9.81493333333,13.2405333333,5.43986666667,18.1016666667,-1.01859999999,-0.740733333334,-1.9908,23.3796333333
235.54,-1.33333333333,5.1034,8.18399999999,11.4942,2.8734,15.1953666667,-3.58619999999,-3.21846666667,-2.8046,21.6091333333
235.91,-2.15380000001,1.43580000001,6.00006666665,7.07693333334,0.692266666674,10.6154,-6.76926666665,-6.56420000001,-5.74360000001,20.4358333333
236.29,-4.13973333333,-0.913933333333,2.58046666668,6.0752,0.860233333334,8.87103333333,-11.5054,-10.4302,-6.88173333333,15.1880333333
236.66,-11.6092,-10.5174,-3.79306666665,-3.96553333334,-6.78139999999,-1.69553333334,-19.5403333333,-20.9195333333,-15.5171333333,3.8792
237.04,-6.19779999999,-11.4583333333,-4.37486666666,-1.77073333334,-5.57290000001,-1.48446666667,-15.7810666667,-20.5728666666,-13.4375333333,2.81243333333
237.41,-3.26126666667,-5.03613333334,-3.54919999999,1.00720000002,-3.88503333333,-0.743333333334,-9.40040000001,-14.964,-9.35246666667,9.90396666667
237.79,-13.6508,-16.8782,-14.3386666667,-10.2118666667,-16.0052333333,-14.0741333333,-18.3069333333,-23.9152666667,-21.2169333333,-1.561
238.17,-13.0954,-18.2858,-16.3809333333,-14.5236666667,-19.9048333333,-16.9762333333,-22.9525333333,-25.9524666666,-24.6667333333,-9.54773333333
238.54,-14.7770666667,-19.4903333333,-17.792,-15.0318,-21.1677333333,-15.8599,-22.6752,-23.9916,-25.0106,-15.2018
238.92,-8.44186666666,-12.5362666667,-14.9274666667,-7.89853333333,-16.5217666666,-9.16670000001,-15.1086666667,-15.3985333333,-16.3405333333,-8.9131
239.29,-6.16166666666,-10.6396666667,-15.4544,-6.93613333333,-14.3098,-9.15819999999,-12.2897333333,-14.5792,-14.0740666667,-7.0369
239.67,-5.42426666667,-8.9394,-13.7272,-5.69693333333,-12.8786333333,-6.80319999999,-10.2425333333,-10.9394,-10.8486,-6.86363333333
240.04,-6.36619999999,-6.93986666667,-12.1585333333,-2.78686666667,-11.8579,-4.89076666667,-8.85253333333,-8.66113333332,-9.04373333333,-8.57923333333
240.42,-2.43726666667,-2.74779999999,-6.52320000001,0.908,-7.19236666667,-0.155233333332,-4.06213333334,-3.0346,-5.71093333334,-3.34526666667
240.79,-2.5324,-0.56286666666,-5.1516,1.99126666667,-5.99553333333,1.93723333333,-2.53253333333,-0.562866666666,-4.1774,-0.433033333334
241.17,-4.12053333333,0.291466666666,-4.74259999999,1.84633333333,-5.50050000001,0.174900000001,-2.44893333333,0.602466666666,-3.73186666667,-0.0874
241.54,-2.48233333334,0.975199999994,-3.1914,4.4858,-2.4024,2.47323333333,-1.09926666667,2.25173333333,-1.63106666666,-0.0266
241.92,-0.550266666666,2.23280000001,-2.39,6.72946666667,-0.825433333333,4.5598,0.487466666667,3.349,0.330133333336,1.3523
242.29,-1.07953333333,1.45886666667,-2.53806666667,6.37493333333,-0.8244,4.2522,1.415,3.77819999999,0.102200000002,1.48046666667
242.67,-0.831533333334,0.831533333334,-3.2094,5.77686666667,-1.39306666667,3.6543,1.73593333334,3.58866666666,-0.612666666668,2.53823333333
243.05,-2.55286666667,-0.510533333334,-4.40566666666,4.75566666667,-2.79363333333,1.08693333333,-0.379133333333,1.82353333333,-3.69073333333,1.1452
243.42,-2.33393333333,-0.014666666666,-2.99046666667,5.17893333333,-1.73593333333,1.65583333333,-0.0582666666672,2.17366666666,-2.334,0.8826
243.80,-1.51386666666,0.5094,-1.83406666667,6.05526666668,-1.28813333333,2.29976666667,0.567733333332,2.0378,-2.15446666667,1.74646666667
244.17,1.30546666667,2.44433333333,0.527866666667,7.2362,1.00003333333,4.67356666667,3.375,3.20833333333,-0.152733333333,5.3473
244.55,2.38473333333,3.55733333333,0.961666666668,8.1292,1.7589,4.95386666667,3.54406666667,3.37293333333,1.1858,6.57456666667
244.92,3.54646666667,3.54633333333,1.2782,9.02266666667,2.09276666666,5.3508,3.75926666667,3.6842,1.9924,7.18053333333
245.30,3.0218,2.84893333333,0.692066666668,8.59293333334,1.2283,6.12446666667,2.6528,2.42213333333,1.60313333333,6.89153333333
245.67,3.88633333333,3.75193333333,1.24033333333,8.80613333333,1.6588,7.00253333333,2.72866666667,3.09046666667,2.05666666667,7.349
246.05,3.0406,3.72066666667,1.31273333333,7.79046666667,0.944233333333,6.58646666667,1.4448,2.40786666667,1.62413333333,6.63816666667
246.42,2.84353333333,4.91553333333,2.05453333333,8.11446666667,1.71663333333,7.23876666667,1.23966666667,2.60066666667,2.36666666667,7.51183333333
246.79,3.7706,5.87026666667,3.50506666667,9.44586666665,3.2788,8.57936666667,1.98293333333,3.82526666667,4.03586666667,8.66503333333
247.17,3.28613333333,5.25946666667,3.1772,8.25533333333,2.81466666667,8.34943333334,1.7918,3.43846666667,3.88833333333,8.67616666666
247.54,3.37753333333,5.46186666667,3.3028,7.93226666667,2.6937,8.42986666667,1.89513333333,3.79706666666,3.6614,9.13373333334
247.92,2.89566666667,5.18586666666,2.15846666667,7.50246666667,2.08296666667,8.23946666667,1.05946666667,3.19833333333,2.9944,8.58496666666
248.29,3.00973333333,5.21046666667,2.0388,7.60513333333,1.98066666667,8.2136,0.673266666666,3.44346666667,3.05506666667,8.33953333333
248.67,3.10486666667,5.39479999999,2.3548,7.5212,2.00586666667,8.39859999999,0.893600000001,3.6986,3.36586666667,8.2128
249.04,3.56793333333,5.90013333334,2.92693333333,7.91546666666,2.60653333333,8.77426666667,1.37433333333,4.1824,4.0174,8.81396666666
249.42,5.1782,7.22226666666,4.3896,9.00539999999,4.03293333333,9.72576666667,2.66806666667,5.59673333333,5.28806666667,10.0240333333
249.79,5.43606666666,7.80293333333,4.99453333333,9.012,3.87263333333,9.56926666667,3.26466666667,5.95013333333,5.60979999999,11.1579333333
250.17,6.36606666667,8.84000000001,5.68033333333,10.0113333333,4.86706666667,9.9347,4.208,6.93633333334,6.72833333334,12.3583666667
250.54,7.19573333333,10.0856666667,6.7156,11.1925333333,5.38063333333,10.4761666667,4.90846666667,7.60273333334,8.05046666666,13.0525666667
250.92,6.59753333333,9.87053333333,6.235,10.3798,4.01566666667,9.78403333333,4.309,6.66659999999,7.02073333333,12.4222333333
251.29,7.55733333333,11.4639333333,7.6896,11.9754,5.29113333333,11.1376666667,5.69666666667,8.12153333333,8.6068,13.2716666667
251.66,7.7566,11.4622,7.5204,12.4977333333,5.64486666667,11.4260333333,6.21253333333,8.43773333333,9.09166666666,13.6738
252.04,9.43326666666,13.146,9.97766666668,13.9312,7.95176666667,12.5658,8.79066666667,10.4863333333,11.0934,15.2923333333
252.41,8.6494,12.7876666667,9.286,13.8606666667,7.44433333333,12.2783,8.80406666667,10.3229333333,10.9322666667,15.3070333333
