wavelength,Back_ButWetm,Belly_ButWetm,Breast_ButWetm,Crissum_ButWetm,Crown_ButWetm,DorTail_ButWetm,Patch10_ButWetm,Patch11_ButWetm,Patch12_ButWetm,Rump_ButWetm,Throat_ButWetm,WingTip_ButWetm
315.54,6.386,15.1163333333,14.799,7.25166666667,4.79766666667,8.25933333333,40.0263333333,13.1013333333,5.37866666667,6.31,5.54266666667,6.375
315.91,6.469,15.1573333333,14.8246666667,7.21266666667,4.461,8.145,40.0466666667,12.9826666667,5.215,6.558,5.35933333333,6.25866666667
316.28,6.365,14.6596666667,14.382,7.00833333333,3.96966666667,7.55166666667,39.6763333333,12.7966666667,4.857,6.354,5.06766666667,5.977
316.64,6.56433333333,14.6326666667,14.5883333333,7.222,4.235,7.35533333333,39.5966666667,13.0613333333,4.97066666667,6.286,5.45,6.36366666667
317.01,6.44233333333,14.781,14.68,7.11533333333,3.93933333333,7.17166666667,39.4723333333,13.008,4.93833333333,6.397,5.275,6.094
317.38,6.27333333333,14.3213333333,14.31,6.98533333333,3.617,6.70266666667,39.437,13.044,4.53233333333,5.9,4.962,5.697
317.75,6.13,14.0296666667,13.9496666667,6.76933333333,3.39033333333,6.13,39.5323333333,12.9906666667,3.961,5.445,4.68066666667,5.65066666667
318.12,5.93033333333,13.528,13.748,6.65966666667,3.06933333333,6.034,39.5413333333,13.03,3.13866666667,4.378,4.12333333333,5.316
318.49,6.65733333333,14.0116666667,14.2673333333,6.75066666667,3.45066666667,5.94833333333,39.526,13.3963333333,3.044,4.148,4.27566666667,5.32133333333
318.85,7.38433333333,14.5236666667,14.7103333333,7.16266666667,3.86666666667,6.371,40.03,13.8596666667,3.29633333333,4.298,4.484,5.80033333333
319.22,7.31666666667,14.2553333333,14.3143333333,6.903,3.58166666667,6.27633333333,40.2126666667,13.6286666667,2.967,3.759,3.71166666667,5.42566666667
319.59,7.78,15.0013333333,14.692,7.41166666667,4.009,6.68566666667,40.638,14.0373333333,3.56866666667,3.961,4.033,5.841
319.96,8.375,15.285,15.201,8.07733333333,4.67,7.005,40.8743333333,14.582,4.05033333333,3.681,4.53866666667,6.314
320.32,8.68633333333,15.201,15.2973333333,8.059,5.055,7.23833333333,41.054,14.5736666667,4.21033333333,3.728,4.42766666667,6.563
320.69,8.878,15.552,15.7343333333,8.164,5.23233333333,7.655,41.352,14.5953333333,4.36033333333,4.106,4.37266666667,6.87966666667
321.06,9.072,15.3346666667,15.8336666667,8.06266666667,5.217,7.856,41.2016666667,14.569,4.35366666667,3.977,4.57233333333,7.017
321.43,9.48433333333,15.8433333333,16.336,8.31866666667,5.52966666667,8.46266666667,41.1106666667,14.4606666667,4.62766666667,4.291,4.91633333333,7.621
321.80,9.81766666667,15.8513333333,16.4463333333,8.42566666667,5.41466666667,8.58066666667,40.7,14.3043333333,4.784,4.463,4.677,7.426
322.16,10.0056666667,15.6646666667,16.0513333333,8.28366666667,5.19033333333,8.28333333333,40.4216666667,13.837,4.921,4.499,4.52266666667,7.47533333333
322.53,9.567,15.1356666667,15.4823333333,8.07633333333,5.176,8.27233333333,40.2193333333,13.622,4.74866666667,4.333,4.51766666667,7.39466666667
322.90,9.227,14.6533333333,15.262,7.682,4.918,7.98666666667,39.797,13.3446666667,4.67033333333,3.926,4.55733333333,6.91466666667
323.27,9.42266666667,14.8706666667,15.755,8.014,5.30633333333,8.25433333333,39.644,13.6916666667,5.219,4.815,5.06566666667,7.42466666667
323.63,9.64133333333,14.6273333333,15.962,7.98633333333,5.424,8.14666666667,39.6326666667,13.7516666667,5.23166666667,5.253,5.264,7.474
324.00,9.45833333333,14.4273333333,15.8993333333,7.71466666667,5.14666666667,7.85033333333,39.4926666667,13.488,4.969,5.199,4.83333333333,7.37
324.37,9.375,14.5733333333,15.9586666667,7.80766666667,5.06666666667,7.656,39.3813333333,13.5013333333,4.814,5.34,4.85466666667,7.292
324.74,9.30466666667,14.5473333333,15.5796666667,7.75033333333,4.908,7.55366666667,39.4316666667,13.5633333333,4.78033333333,5.37,4.8,7.131
325.10,9.24533333333,14.7853333333,15.597,7.97533333333,5.148,7.52633333333,39.5223333333,13.677,4.71833333333,5.53,4.72766666667,7.14433333333
325.47,9.16466666667,14.798,15.4053333333,8.06233333333,5.30666666667,7.33366666667,39.5366666667,13.7423333333,4.78333333333,5.774,4.57766666667,6.92266666667
325.84,9.062,14.7436666667,15.4196666667,8.01133333333,5.36233333333,7.11633333333,39.408,13.52,4.71333333333,5.508,4.56733333333,6.81466666667
326.21,9.40033333333,15.0546666667,16.0003333333,8.284,5.75366666667,7.29333333333,39.8073333333,14.1096666667,5.06933333333,6.132,4.943,7.122
326.57,9.24133333333,14.975,15.776,8.16433333333,5.35066666667,7.02433333333,39.5653333333,13.987,5.155,6.651,4.683,6.89133333333
326.94,9.13466666667,15.1263333333,15.7403333333,8.00366666667,5.30633333333,6.83766666667,39.4673333333,13.987,4.93233333333,6.811,4.26466666667,6.998
327.31,9.20666666667,15.5256666667,16.043,8.18166666667,5.38333333333,7.02333333333,39.4473333333,14.0463333333,5.009,6.738,4.07333333333,7.30833333333
327.67,8.896,15.5683333333,15.9896666667,7.793,5.12033333333,6.83333333333,39.1893333333,13.936,4.61833333333,6.08,3.60466666667,7.11166666667
328.04,8.99166666667,16.0056666667,16.1583333333,7.96666666667,5.26033333333,7.08533333333,39.169,14.0723333333,4.66666666667,6.447,3.85766666667,7.26533333333
328.41,9.27233333333,16.459,16.4046666667,8.17066666667,5.354,7.40333333333,39.301,14.3463333333,5.01066666667,6.365,4.27033333333,7.59333333333
328.78,9.53933333333,16.644,16.7986666667,8.31266666667,5.46033333333,7.44066666667,39.0386666667,14.418,5.124,6.051,4.234,7.59533333333
329.14,9.72466666667,16.708,17.168,8.308,5.41,7.425,38.9823333333,14.2333333333,5.32733333333,6.128,4.18633333333,7.68233333333
329.51,10.0853333333,16.899,17.5963333333,8.496,5.59566666667,7.78033333333,39.264,14.3706666667,5.53066666667,6.135,4.369,7.95666666667
329.88,9.99333333333,17.0573333333,17.5946666667,8.50533333333,5.557,7.931,39.4933333333,14.5803333333,5.463,6.103,4.57766666667,8.09066666667
330.24,9.73666666667,16.9943333333,17.536,8.312,5.519,8.01733333333,39.2796666667,14.4296666667,5.37666666667,5.871,4.47433333333,8.027
330.61,9.803,17.0333333333,17.7766666667,8.155,5.43,7.89733333333,39.0303333333,14.1373333333,5.011,4.973,4.33466666667,7.97366666667
330.98,9.931,17.1446666667,17.8263333333,8.26466666667,5.38666666667,7.87666666667,39.042,14.068,4.99833333333,4.686,4.68633333333,7.91433333333
331.34,9.84433333333,16.958,17.6146666667,8.07066666667,5.227,7.58266666667,38.8796666667,13.9076666667,4.74833333333,4.533,4.98333333333,7.639
331.71,9.814,16.8153333333,17.4836666667,8.15233333333,5.16266666667,7.47466666667,38.886,13.6303333333,4.63333333333,4.401,4.89333333333,7.63266666667
332.08,9.58866666667,16.588,17.411,7.85033333333,4.98366666667,7.157,38.9366666667,13.4076666667,4.47533333333,4.189,4.66,7.54533333333
332.44,9.537,16.1653333333,17.5326666667,7.85,4.90533333333,6.984,39.032,13.2113333333,4.31266666667,4.103,4.64966666667,7.239
332.81,9.38233333333,15.8563333333,17.315,7.58166666667,4.73633333333,6.744,38.5556666667,12.867,4.196,4.241,4.583,7.04133333333
333.18,9.329,15.8246666667,17.2236666667,7.57366666667,4.98966666667,6.70066666667,38.8843333333,13.1516666667,4.17,4.09,4.60666666667,7.137
333.54,8.957,15.4806666667,16.865,7.21166666667,4.54033333333,6.145,38.8433333333,12.9596666667,3.87033333333,3.888,4.47866666667,6.84133333333
333.91,8.66433333333,15.2996666667,16.806,7.01866666667,4.26666666667,5.947,38.549,12.8703333333,3.95333333333,3.997,4.17133333333,6.60033333333
334.28,8.65033333333,15.348,16.821,7.08266666667,4.17933333333,5.78966666667,38.6006666667,12.7186666667,3.93966666667,4.188,4.08533333333,6.47466666667
334.64,8.74333333333,15.5506666667,17.0216666667,7.289,4.473,6.05433333333,39.2186666667,12.9883333333,4.23633333333,4.49,4.338,6.68866666667
335.01,8.48,15.2926666667,17.0603333333,7.03866666667,4.47466666667,5.94933333333,39.3496666667,12.988,4.23133333333,4.6,4.04733333333,6.56966666667
335.38,8.17766666667,15.1446666667,16.928,6.63533333333,4.37933333333,5.84733333333,39.272,12.8056666667,4.08033333333,4.354,3.757,6.22866666667
