wavelength,Back_TanNivm,Belly_TanNivm,Breast_TanNivm,Crissum_TanNivm,Crown_TanNivm,DorTail_TanNivm,Patch10_TanNivm,Patch11_TanNivm,Patch12_TanNivm,Rump_TanNivm,Throat_TanNivm,WingTip_TanNivm
400.00,5.21026666667,32.3854666667,16.0607333333,17.456,12.2217333333,5.68663809524,7.9478,11.4425333333,5.80306666667,18.6066,11.3221333333,6.72937
400.36,5.15706666667,32.4438,16.132,17.4515333333,12.2638666667,5.62827301587,7.87513333333,11.4416,5.72273333333,18.6726666667,11.3215333333,6.66010333333
400.72,5.17353333333,32.5832666667,16.2807333333,17.5507333333,12.3831333333,5.67796825397,7.92733333333,11.5033333333,5.73226666667,18.7964,11.3946,6.68066666667
401.08,5.19006666667,32.7158666667,16.4013333334,17.5962666667,12.4692,5.68321587301,7.9048,11.5349333334,5.7536,18.8826666667,11.4162,6.67035833333
401.44,5.17433333333,32.7756666667,16.5179333333,17.6046666667,12.5701333333,5.69824444445,7.88146666666,11.5848,5.7452,18.9786,11.4438666667,6.64633166667
401.80,5.17666666667,32.8677333333,16.6627333334,17.6662666667,12.6705333333,5.71492380953,7.87966666667,11.6386,5.7358,19.1196,11.5033333333,6.63326333333
402.16,5.19106666667,32.9918,16.8396,17.7234666667,12.796,5.74633968254,7.90286666667,11.7475333333,5.7594,19.3058,11.5975333333,6.66900666667
402.52,5.1618,33.063,16.9728666667,17.7565333333,12.8942666667,5.73643492063,7.8856,11.7872,5.74826666666,19.4008,11.6116666667,6.66697833333
402.88,5.14766666667,33.1232666667,17.0852666667,17.7775333333,12.9777333333,5.73435555555,7.85613333334,11.8373333333,5.72,19.4902,11.6683333333,6.67771333333
403.24,5.1096,33.2020666667,17.2396,17.8376666666,13.0742666667,5.70984444445,7.85666666667,11.905,5.7004,19.5953333333,11.7114666667,6.66161833333
403.60,5.13426666667,33.3637333333,17.4057333333,17.9225333333,13.1844,5.73011111111,7.90293333333,11.9979333333,5.73993333333,19.733,11.7988,6.708175
403.95,5.2134,33.5650666667,17.6084666667,18.0353333333,13.3728666667,5.80107301587,7.9622,12.108,5.8154,19.9112,11.9325333333,6.77719
404.31,5.264,33.7117333333,17.7657333333,18.148,13.5134,5.85354285714,8.03446666667,12.2022666667,5.8612,20.0498,12.0105333333,6.839355
404.67,5.2482,33.7532,17.8534666667,18.1366666667,13.5854666667,5.82810793651,7.99973333333,12.2327333333,5.84886666667,20.1376666666,12.0407333333,6.82965166667
405.03,5.23413333333,33.7722666667,17.9504,18.1287333333,13.6378666667,5.82147301587,7.98826666667,12.2606666667,5.82126666667,20.1982666667,12.0689333333,6.81351166667
405.39,5.24026666667,33.8271333333,18.0587333334,18.151,13.7257333333,5.82799047619,7.98293333333,12.2883333333,5.82206666667,20.2747333333,12.1112,6.812405
405.75,5.23833333333,33.9028,18.1698666667,18.1709333333,13.8118,5.83428253968,8.00626666667,12.3198666667,5.84306666667,20.3514666667,12.1654,6.82031166667
406.11,5.2578,33.9888,18.2783333333,18.2256,13.9308666667,5.83894603175,8.0142,12.3710666667,5.84266666667,20.4176,12.2104666667,6.837295
406.47,5.25446666667,34.0463333333,18.3764,18.2404666667,14.0279333333,5.82892380953,8.009,12.3915333333,5.8192,20.4919333333,12.2516666667,6.82365833333
406.83,5.23513333333,34.114,18.4592666667,18.2599333333,14.0924,5.79818730158,7.99513333333,12.4210666667,5.80966666667,20.5662666667,12.2698666667,6.81005833333
407.19,5.2018,34.2023333333,18.5650666667,18.2748666667,14.1711333333,5.78166349207,7.95286666666,12.4249333333,5.74933333333,20.645,12.2876,6.76829666667
407.55,5.15033333333,34.2158666667,18.6214,18.2481333333,14.2332666667,5.74569523809,7.911,12.3980666667,5.69213333333,20.6818666667,12.2919333333,6.71028666667
407.90,5.0736,34.2408666667,18.7114,18.2424666667,14.2622,5.69166984126,7.85,12.4078666667,5.60706666667,20.7505333333,12.3106666667,6.64770333333
408.26,5.06593333333,34.3361333333,18.8622,18.2711333333,14.3828666667,5.69794603175,7.85806666666,12.4782,5.61293333333,20.8664,12.3832666667,6.648975
408.62,5.08373333333,34.4375333333,19.0264,18.3102,14.5294,5.73331111111,7.9016,12.5556,5.6456,20.9840666667,12.4685333333,6.683545
408.98,5.08113333333,34.5464,19.1860666667,18.3731333333,14.6619333333,5.74320634921,7.93766666667,12.6333333333,5.6416,21.1189333333,12.56,6.68585166667
409.34,5.109,34.6608,19.3499333333,18.4736,14.7897333333,5.75428888889,7.97473333333,12.7210666667,5.66493333333,21.2635333333,12.6463333333,6.72303166667
409.70,5.0668,34.7058666667,19.4332,18.4756,14.8783333333,5.71275873016,7.94386666667,12.7428,5.61786666667,21.3388666667,12.6586666667,6.684625
410.06,5.08913333333,34.7855333333,19.5846666667,18.5250666667,14.9625333333,5.72385079366,7.96426666667,12.8048,5.62326666666,21.4623333333,12.7232,6.68367
410.42,5.1532,34.9298,19.7568666667,18.6087333333,15.1029333333,5.76106984127,8.01133333333,12.9182,5.67,21.614,12.8405333334,6.72762833333
