wavelength,Back_IriPulm,Belly_IriPulm,Breast_IriPulm,Crissum_IriPulm,Crown_IriPulm,DorTail_IriPulm,Patch10_IriPulm,Patch11_IriPulm,Rump_IriPulm,Throat_IriPulm,WingTip_IriPulm
187.91,-190.9524,-3.33326666666,-161.4286,-248.571466667,-270.0,-76.1904666666,-176.6666,25.7142666666,-145.238133333,-295.7142,-151.428666667
188.29,-1933.33333333,-370.0,-1543.33333333,-2116.66666667,-2370.0,-970.0,-1733.33333333,-343.333333333,-1550.0,-2710.0,-1686.66666667
188.67,276.8626,82.3529999999,218.8234,275.294133333,305.4902,157.058933333,231.764733333,111.372466667,247.058733333,387.451,250.196066667
189.05,260.370333333,70.7406666665,207.407333333,257.4074,277.777733333,170.370266667,208.888933333,121.851866667,236.6666,372.2222,231.1112
189.43,201.481533333,81.9752666665,155.802466667,194.320933333,191.111133333,142.222166667,166.9134,120.4938,191.111,278.5184,184.938333333
189.81,260.7018,82.8070666665,185.964866667,255.0878,237.543866667,180.701733333,220.350866667,166.315733333,248.772,385.263066667,259.298133333
190.19,241.515133333,72.1212,153.939466667,217.2726,205.151533333,173.1819,215.7576,169.696866667,228.787866667,343.3334,236.969666667
190.57,147.963066667,39.9999999999,85.9259333333,121.296333333,117.4074,118.240766667,129.074,107.777733333,142.963066667,208.518533333,140.185133333
190.95,140.3808,31.9999333334,74.8572666667,109.904733333,104.380933333,120.476333333,118.095333333,104.9524,136.761933333,195.4286,130.857133333
191.33,137.4074,28.7036000001,67.9629333331,106.666533333,89.4444000001,115.462866667,112.963,103.333333333,129.073933333,184.8146,120.555466667
191.71,221.403466667,-5.9649333334,75.0876666668,150.175533333,113.333466667,170.175433333,162.807066667,143.508866667,196.842133333,296.1404,175.438666667
192.09,368.148133333,-183.703666667,11.1110666666,168.1482,142.962933333,269.6297,188.148066667,141.4814,240.0,450.370466667,239.2592
192.47,-784.4444,857.777799999,222.222199999,-222.2222,-128.888866667,-595.555566667,-288.888800001,-193.333266667,-455.555533334,-986.666666666,-348.8888
192.85,-70.1236,107.901333333,39.0123333333,-14.5679333334,-7.90119999994,-51.2344999999,-27.1605333333,0.9876,-34.5678666666,-92.3456666667,-12.5926000001
193.23,-66.9048666666,98.5714000001,49.0476666666,-14.0474666666,-4.28573333334,-33.8093666667,-29.5238666667,-1.66673333333,-30.4762666667,-78.8094666665,-5.47626666674
193.61,-47.2916666667,94.7916666667,50.0000000001,3.12500000008,8.54166666674,-14.1666666667,-14.7916666667,9.37499999986,-5.20833333334,-57.0833333333,11.0416666667
193.99,-157.5,123.75,15.8333333335,-57.0833333335,-42.0833333335,-90.8333333334,-83.7499999999,-36.25,-74.1666666665,-177.083333333,-29.5833333334
194.37,-946.666733334,477.777733335,53.3334000014,-379.999933334,-351.111133333,-584.444433333,-431.111066667,-164.444333334,-437.777733335,-993.3334,-157.777799999
194.75,-1606.66666667,476.666666668,-153.333333334,-933.333333333,-863.333333333,-1316.66666667,-979.999999999,-439.999999999,-936.666666667,-1866.66666667,-470.0
195.13,642.222133332,-68.8889333332,88.8889333326,370.000066666,404.444399999,495.0,398.889,223.333333333,348.888866666,727.777666666,234.444533335
195.51,316.444533333,49.7778666666,104.888866667,200.444466667,232.888866667,242.888966667,221.333266667,161.333333333,190.2222,342.6666,165.777866667
195.89,241.866666667,102.4,132.533333333,185.066666667,197.066666667,212.933333333,193.866666667,163.466666667,166.133333333,259.2,157.866666667
196.27,317.7778,133.703733333,174.814866667,240.740733333,233.333133333,291.296266667,251.481533333,228.148133333,208.889,342.592466667,205.185066667
196.65,465.641066667,245.641,276.410333333,373.8462,315.897466667,437.948633333,362.051266667,339.4872,299.487133333,484.102533333,314.358933333
197.03,260.266666667,144.266666667,165.6,205.6,171.466666667,254.8,198.4,194.4,165.333333333,270.933333333,196.0
197.40,225.0,122.291666666,136.875,171.875,142.291666667,220.520833333,170.625,157.083333333,145.0,229.583333333,163.125
197.78,257.083333333,152.916666667,161.25,204.375,172.083333333,258.958333333,197.291666667,183.333333334,180.833333333,254.791666667,186.25
198.16,261.616133333,158.383933333,153.9394,199.999866667,168.282866667,262.0203,196.969666667,180.000133333,178.586,243.838266667,175.757533333
198.54,550.666733333,306.666666667,324.444533333,428.444333333,351.111133333,543.9999,412.444466667,396.000066667,383.555466667,517.3334,367.111066667
198.92,901.481466667,450.370399999,481.481466666,637.037066666,495.555533334,830.740733334,631.111133334,644.444399999,584.444466666,778.518466667,571.111066667
199.30,5.58258703809e+15,3.19004973605e+15,3.43740653377e+15,4.21785987828e+15,3.1815201913e+15,5.37361319175e+15,4.23918374016e+15,4.23918374016e+15,4.00888603194e+15,4.78080983171e+15,3.94491444632e+15
199.68,-592.381066667,-319.999866667,-365.7142,-445.714333333,-326.1904,-571.190533333,-447.142866667,-430.4762,-416.1904,-494.761866667,-409.999933333
200.06,-670.555466667,-335.000066667,-385.000066667,-456.111133333,-358.888866666,-609.999933333,-495.555533333,-480.555466667,-481.111066667,-564.444533333,-442.222133333
200.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.82,549.0,301.666666667,358.333333333,395.666666667,360.0,476.833333333,436.0,434.666666667,430.666666667,471.333333333,403.333333333
201.19,420.000066667,220.0,266.4102,301.025533333,265.897266666,362.948833333,333.8462,329.7436,325.640866667,349.230666667,299.7436
201.57,393.809466667,221.904733333,275.476133333,291.9048,259.523866667,351.904766667,322.6192,325.714266667,295.476133333,334.523733333,297.381133333
201.95,443.077,245.384533333,315.384533333,323.8462,289.4872,391.666733333,362.820466667,375.384666667,325.3846,376.666666667,342.307666667
202.33,3455.55546667,1797.77773333,2335.55553333,2515.55553333,2106.66666667,3080.00006667,2866.6666,2971.11106667,2495.55546667,2906.6666,2704.44446667
202.71,1542.85713333,876.190466667,1110.47633333,1089.5238,924.761933335,1446.19066667,1283.80953333,1276.19046667,1091.42853333,1310.47626667,1219.0476
203.09,981.818199999,579.393866667,744.8486,713.333199999,613.939466667,920.606033333,818.181666665,813.939599999,678.787866667,849.090866667,783.636333334
203.47,402.3078,209.743466667,304.102533333,270.256266667,237.6924,369.359,324.359,334.1026,250.2564,346.1538,305.384533333
203.85,249.918666667,123.5774,180.812933333,159.024333333,140.487733333,233.4146,194.634133333,206.3414,150.731666667,207.804866667,179.0244
204.22,282.162266667,143.423533333,207.747866667,177.837866667,160.5406,273.693566667,213.873933333,234.594666667,171.531533333,221.261266667,200.0
204.60,327.333266667,159.7778,221.7778,186.888933333,177.111133333,314.2222,232.888933333,260.6666,193.5556,247.555533333,219.999933333
204.98,330.3704,170.617333333,218.518466667,181.481466667,179.2592,337.283933333,243.703733333,265.679066667,200.000066667,252.8394,217.037
205.36,286.875,170.625,202.708333333,165.416666667,167.291666667,296.354166667,217.5,241.666666667,184.583333333,228.125,188.958333333
205.74,276.559133333,166.236466667,189.677333333,148.3872,149.6774,291.828066667,206.4516,236.989333333,189.462333333,218.924666667,182.580666667
206.12,203.434333334,96.7676666667,115.151466667,79.5958666668,84.6464666667,213.5354,133.9394,154.343466667,125.858533333,143.838466667,108.888866667
206.50,156.507733333,65.3969333334,88.4128666667,50.7937333333,59.0476000001,160.2381,92.2222,103.1746,83.9682666666,102.539666667,80.4760666667
206.87,166.868866667,51.7172666667,74.1414000001,34.1414666667,42.8282666666,172.626166667,86.8687333334,107.070733333,77.9797999999,96.5658,73.1313333333
207.25,183.010666667,67.7419333334,82.3655333333,48.6021333335,52.4730666666,198.387066667,108.171933333,123.871133333,99.57,106.666666667,83.0109333334
207.63,200.000066667,89.1952666667,85.7470666667,62.7585333335,68.9655333333,216.551733333,116.321733333,134.482733333,132.6438,109.6552,94.4827333335
208.01,239.047666667,114.523866667,120.238133333,90.9522666666,94.7619999999,249.0476,138.5714,172.857133333,156.428466667,139.0476,119.0478
208.39,211.568666667,109.2156,110.588133333,95.2939999999,85.2941333334,217.6471,130.7842,152.548866667,132.745066667,132.9412,113.3334
208.77,251.190466667,131.9046,152.1428,121.190533333,89.2857333334,265.714333334,158.809533333,176.4286,160.9524,165.238,133.571266667
209.14,298.550733333,132.7536,181.449266667,131.594133333,97.1014666666,298.9854,175.652133333,193.043466667,180.579666667,186.9566,139.420266667
209.52,316.507933333,117.1428,181.5874,128.253866667,100.6348,305.238133333,179.682533333,183.809466667,179.0476,184.7618,151.746133333
209.90,439.523933333,147.619133333,247.619133333,159.0476,120.0,409.285766667,214.2856,233.333333333,223.333333333,231.428533333,188.571466667
210.28,407.0,227.0,294.666666667,228.0,184.666666667,387.166666667,264.666666666,271.333333333,251.666666667,266.333333333,244.333333333
210.66,337.380933333,205.238066667,256.904866666,209.285733334,184.761933333,312.500066667,236.428666667,248.809533333,222.3808,235.952466667,216.4286
211.03,281.578933333,180.3508,219.1228,185.789466667,171.228066667,252.193033333,208.947333333,215.2632,192.9824,201.228066667,185.789466667
211.41,212.2876,134.771266667,165.490133333,135.1632,132.679733333,186.4706,153.725533333,158.4314,144.052266667,150.588333333,141.4378
211.79,216.054466667,137.823133333,173.8776,134.830066667,136.598733333,192.449,163.2654,162.040933333,142.585133333,159.727933333,143.265333333
212.17,220.4348,151.304466667,180.144866667,143.1884,147.536266667,203.188366667,178.115866666,170.289866667,153.1884,175.362333334,154.6378
212.55,230.769133333,163.5898,190.598333333,145.812066667,160.170933333,213.589833333,190.940133333,179.145333333,163.247866667,191.453066666,164.102533333
212.92,234.705866667,164.705866667,195.490133333,141.1766,164.509866667,215.686266667,201.960866667,188.823466667,162.549066667,190.980466667,176.862666667
213.30,252.619,185.7142,218.809466666,150.714333333,170.476066667,242.380866667,223.0952,211.9048,169.2856,209.2856,200.238066667
213.68,270.2564,214.8718,241.5386,171.0256,186.923066667,274.359066667,235.641066667,241.538466667,186.6666,223.846133333,223.333266667
214.06,318.055533333,247.499933333,278.8888,211.111,221.111066667,324.305433333,279.166666667,286.388866667,229.166666667,273.611133333,270.5556
214.44,255.0618,201.234666667,213.827266667,162.222133333,181.728333333,265.308566667,225.678933333,232.5926,185.925866667,214.567933333,212.839466667
214.81,251.111066667,199.1666,203.611133333,152.2222,175.5554,267.9168,230.2778,222.777733333,181.388866667,212.222266667,206.6666
215.19,272.2222,227.777733333,211.110933333,131.8518,189.629533333,293.703666667,240.3704,223.333533333,182.592666667,227.7778,218.888866667
215.57,-280.0,-226.6666,-176.9696,-58.7879333333,-153.939333333,-308.7879,-240.0,-220.606066667,-139.394,-232.1212,-192.7272
215.95,-160.7018,-119.649066667,-78.2455333333,-23.1579333331,-84.9123333334,-163.859566667,-121.403666667,-111.578866667,-58.2457333333,-118.947333334,-84.2104666667
216.32,-111.111266667,-54.7222666666,-41.9444666667,5.55553333326,-35.5556,-108.472233333,-88.8889333334,-61.3888666667,-26.6666666667,-65.5556000001,-51.6666
216.70,-200.833333333,-92.9166666666,-95.4166666667,-22.0833333334,-63.3333333333,-187.5,-148.333333333,-113.333333333,-61.6666666667,-122.5,-116.666666667
217.08,-833.333333334,-468.0,-430.666666667,-246.666666665,-389.333333333,-679.333333333,-570.666666666,-485.333333333,-292.0,-565.333333334,-460.0
217.46,-1185.0,-628.333333333,-564.999999999,-435.0,-549.999999999,-941.666666667,-754.999999999,-616.666666667,-436.666666667,-783.333333333,-621.666666667
217.83,1704.4444,862.222066666,862.222333332,611.111066667,751.111066667,1265.55563334,1080.00006667,875.555600001,677.777866666,1057.7778,817.777800001
218.21,483.636333334,235.151466667,240.606133333,157.575733333,225.454466667,343.6363,290.909,237.5758,161.818266667,253.333533333,209.090933333
218.59,6.09009495065e+15,2.24327026893e+15,2.89151566985e+15,1.16854763059e+15,2.03856119497e+15,4.23918374016e+15,3.07063610957e+15,2.5332747904e+15,1.56090668903e+15,2.66121796163e+15,2.54180433514e+15
218.97,-1120.0,-430.0,-611.666666667,-238.333333334,-389.999999999,-821.666666667,-498.333333333,-513.333333333,-370.0,-566.666666666,-468.333333334
219.34,-542.500000001,-200.000000001,-320.0,-138.333333333,-159.166666667,-398.333333333,-245.0,-270.833333333,-195.0,-317.5,-238.333333333
219.72,-369.444466667,-137.777666667,-232.777866666,-124.444466667,-106.111133333,-275.277733333,-158.888866667,-186.111133333,-110.0,-213.333333333,-182.222266667
220.10,-416.0,-178.666666667,-286.666666667,-176.0,-87.3333333331,-319.333333333,-168.0,-210.666666667,-144.666666667,-255.333333333,-248.666666667
220.47,-351.111133333,-192.777666667,-285.0,-172.2222,-101.111066667,-284.7222,-128.3334,-188.333533333,-137.222266667,-246.111,-221.6666
220.85,-258.75,-157.083333333,-231.25,-142.5,-92.0833333334,-221.041666667,-120.0,-154.166666667,-133.75,-212.916666667,-162.083333333
221.23,-112.258066667,-63.2258666667,-115.268866667,-67.3120000001,-38.9246666667,-117.527033333,-52.4731333335,-70.3224666666,-74.8386666666,-103.0108,-73.5483999999
221.61,-91.0526,-52.6315333333,-92.8069333333,-50.8772666667,-43.5087333333,-97.6314666667,-50.3508,-62.4562000001,-65.9648000001,-89.8246000001,-69.4736
221.98,-55.9259333333,-28.3951333333,-51.8518666666,-27.1605333333,-23.5802000001,-60.3702000001,-27.0368666667,-34.568,-38.0246666667,-63.8270666667,-44.5679333333
222.36,-52.7043333333,-26.9181333334,-54.4654666667,-38.8680000001,-30.0628666667,-62.8929666666,-34.717,-37.9873333333,-47.044,-75.2201333333,-52.2012666667
222.74,-71.6312000001,-41.4183333333,-70.9219999999,-57.7304666667,-45.3901333334,-82.4113333333,-54.8936666667,-63.8296666667,-61.7019999999,-104.680733333,-71.4894
223.11,-50.2468666666,-20.1234666667,-42.3456,-34.3209333333,-23.9506,-55.2468333333,-36.0494666667,-45.0615999999,-31.9751333333,-75.6790666667,-52.0988
223.49,-51.9298666667,-18.0117333333,-40.3507333333,-37.6608666667,-26.5496,-51.7543333334,-40.2340666667,-49.0059333333,-29.7075333333,-70.1754000001,-54.3860666667
223.87,-113.904733333,-51.9999999999,-98.2858000001,-82.0952,-70.6666666667,-97.6191333333,-91.9999333333,-106.857133333,-80.762,-132.761866667,-109.9048
224.24,-92.8572666667,-37.9363333334,-83.1746000001,-62.2223333333,-56.6666666667,-77.8570999999,-70.9524666667,-86.9841333333,-67.4604000001,-102.222266667,-89.0474666668
224.62,-60.6666666667,-14.0,-44.7999999999,-32.1333333333,-27.6,-39.4666666667,-43.3333333334,-53.4666666666,-37.4666666667,-64.6666666666,-55.7333333333
225.00,-47.8161999999,-1.03446666666,-25.2873333334,-21.4943333333,-16.2069333333,-26.9540333333,-28.7356,-38.6206000001,-20.2298666667,-44.3676666667,-39.7700666666
225.38,-36.1582,4.74573333336,-7.4576,-9.03960000002,-4.18066666668,-9.88703333334,-19.3220666667,-27.0055333333,-2.03393333332,-25.6497333333,-28.1355333334
225.75,-29.7076,6.66666666666,-3.27473333334,0.93573333334,1.52053333335,-1.22813333334,-9.47360000001,-24.9122666667,0.46786666666,-14.6198,-20.8187333333
226.13,-20.4273333333,3.41886666668,-6.15373333333,1.53840000001,-2.64960000002,-0.128233333354,-9.14533333333,-21.282,-4.95726666668,-12.9059333334,-17.0085333333
226.51,-5.49013333332,7.95513333332,3.64153333335,10.084,8.23519999999,9.60776666666,3.58533333335,-2.85713333334,5.71413333331,-0.84033333334,-2.18473333333
226.88,-0.18513333332,10.2316,6.34253333334,13.1944,8.61113333333,14.1667,7.22226666666,5.13893333333,10.4166,3.84260000001,3.88886666667
227.26,0.037800000014,8.63626666666,4.24246666666,12.2348,7.23493333333,14.0151,7.57573333335,5.79553333335,7.42413333334,5.03786666667,5.18933333334
227.64,5.40533333334,11.9518666667,6.63653333333,14.2342,10.6606666667,16.5465,12.4624666667,10.2403333334,9.57953333333,8.16826666667,9.27926666665
228.01,6.03633333335,9.67273333333,7.2,13.2849333333,9.91513333333,13.2728333334,11.0786666667,8.96966666667,9.35753333335,6.56953333334,8.41213333333
228.39,2.53753333333,5.9978,3.94466666667,10.4499333333,5.42093333333,9.07726666667,7.22033333333,5.39793333334,5.44413333333,2.60673333333,5.39793333333
228.76,-2.28053333334,1.35966666667,-1.31579999999,5.26320000001,-1.33773333334,2.63166666667,3.0702,-0.657866666673,0.482466666666,-2.85086666667,0.021933333332
229.14,-1.61059999999,1.95726666667,-1.14166666667,6.44246666667,-1.16206666667,3.17016666667,4.03666666667,-0.83586666666,0.9174,-1.8758,0.346533333333
229.52,-0.7068,3.93499999999,0.000133333332,8.09933333334,1.03146666666,3.6581,5.3486,0.382000000001,2.10126666667,-1.33726666667,1.64273333334
229.89,-0.614066666659,4.57886666667,0.719266666666,7.36833333334,2.17546666667,4.17553333333,5.1402,1.57893333333,2.6492,-0.8598,2.2632
230.27,-2.72253333334,3.29853333333,-1.2042,5.14833333334,1.3438,2.52183333333,3.76966666667,0.122133333332,1.466,-1.97206666667,0.593266666673
230.65,-5.00446666667,2.12206666667,-3.57213333333,3.94340000001,-0.618800000001,0.291766666666,2.21053333333,-2.56426666667,-0.388999999994,-3.28926666667,-0.831066666668
231.02,-6.54413333333,1.31233333333,-4.95186666666,2.4322,-1.48733333334,-1.7322,2.01233333333,-4.4794,-2.23966666666,-4.56693333334,-2.1172
231.40,-7.50233333334,-0.2542,-6.86653333333,0.290533333334,-2.83366666667,-4.01456666666,0.7992,-6.55746666667,-3.61486666667,-6.50333333333,-2.96086666666
231.78,-11.8762,-4.35126666667,-10.6786666667,-3.21353333333,-5.74846666667,-8.73256666668,-2.0758,-10.6387333333,-6.82633333333,-10.8980666667,-5.42913333333
232.15,-16.7220666667,-7.95126666666,-15.5923333333,-7.79619999999,-10.4318,-12.9237,-5.16046666665,-14.6400666667,-11.4286666667,-14.8172,-9.21366666665
232.53,-13.0996,-3.60933333333,-12.2081333333,-4.88326666667,-7.07,-8.2696,-1.932,-10.9341333333,-7.57953333333,-10.4670666667,-6.28446666667
232.90,-8.91026666666,0.192266666668,-8.99573333333,0.149533333332,-1.94440000001,-2.85253333333,2.2436,-5.8762,-3.80346666666,-5.96153333334,-1.28206666667
233.28,-8.47526666667,0.084133333334,-8.91686666668,0.483599999998,-1.93493333333,-1.99786666667,3.04953333333,-5.57306666667,-3.25986666666,-6.35113333333,-0.062999999994
233.66,-11.0904,-3.70373333333,-11.9753333333,-3.51853333333,-6.29646666666,-4.0021,0.761333333334,-9.52679999999,-6.64613333333,-9.69126666667,-3.18926666667
234.03,-10.6666,-4.94353333333,-12.8205333333,-4.38966666667,-6.89233333334,-3.76416666667,1.55906666667,-9.70253333333,-5.45646666667,-9.86673333334,-3.79486666667
234.41,-5.40679999999,-0.387666666668,-7.3256,0.426466666668,-2.92639999999,1.51163333334,6.45353333333,-4.92253333333,-0.213133333326,-5.29066666666,1.27906666667
234.78,-2.69279999999,2.00553333333,-4.0484,3.32413333334,-0.092866666666,5.17176666667,9.09933333333,-2.50693333333,3.00833333334,-2.69253333334,3.50986666667
235.16,-5.99990057637e-12,3.91053333333,-1.06799999999,5.46079999999,1.585,7.57120000001,10.5254,0.327200000001,5.1852,-0.240999999998,5.97753333333
235.54,0.535333333333,4.88226666667,0.129733333328,7.25073333332,2.30333333333,8.46716666666,10.3649333333,2.3518,5.69340000001,0.502799999998,6.3746
235.91,0.0957333333334,4.67313333333,-0.318933333334,7.11319999999,1.11646666667,7.92649999999,9.28226666665,1.67466666667,4.57746666667,0.334800000002,5.39080000001
236.29,0.952333333333,5.23806666666,0.921666666668,7.31186666667,2.24266666667,8.76343333333,9.20126666667,2.0736,4.25493333333,0.291866666664,5.94466666666
236.66,-0.9922,2.12406666667,-1.70539999999,5.1628,-0.310066666666,6.37210000001,6.65106666666,-0.651133333334,1.82939999999,-2.51153333333,3.70533333333
237.04,-1.23406666667,1.4146,-1.70060000001,4.39426666667,-0.722333333331,5.86156666666,5.95933333333,-1.23393333333,1.6704,-3.38606666667,3.02473333333
237.41,-0.340799999999,1.99993333333,-0.281399999998,4.82959999999,0.4,6.25193333334,6.4592,0.222400000002,2.44446666667,-2.07413333333,3.94073333333
237.79,2.24593333333,5.15986666667,2.62973333333,7.71853333333,3.4826,8.12370000001,8.79880000001,3.4826,5.42999999999,0.7534,6.75186666666
238.17,1.24386666667,5.28293333334,2.39,7.4074,2.57166666667,7.05806666666,8.14820000001,1.98473333333,3.78760000001,-0.3074,6.30340000001
238.54,-0.0406,3.09653333334,0.933066666668,5.63893333333,0.824799999998,4.89513333333,6.58559999999,0.135333333333,1.24406666667,-1.39286666667,4.4488
238.92,-1.1238,1.04793333333,-0.315666666668,3.54786666667,-0.984866666666,2.71463333334,5.1642,-1.54033333333,-1.0354,-2.84093333333,3.144
239.29,-0.798,0.933,0.233266666666,4.06386666667,-0.749066666666,3.13696666666,6.22460000001,-1.2522,-0.527933333334,-2.49233333333,3.48686666667
239.67,-1.3132,-0.044866666666,0.033666666668,2.80593333333,-1.68353333333,2.30633333333,6.027,-2.6936,-1.3806,-2.88426666667,2.8282
240.04,-0.0483333333333,0.715,1.1594,3.6424,-0.743933333333,3.12063333333,7.15939999999,-1.38166666667,0.0290666666673,-1.37206666667,3.80666666667
240.42,1.70993333333,2.5976,2.58933333333,5.11313333333,0.936999999999,4.6609,9.14919999999,0.558933333334,1.9482,0.591799999999,5.47466666667
240.79,3.35466666667,4.3092,4.24493333333,6.25353333333,3.04133333333,6.4388,11.0113333333,2.22933333333,3.39026666667,2.3362,7.379
241.17,2.72073333333,3.73233333333,3.5692,5.1086,2.48826666667,5.5765,10.4116666667,1.5144,2.3562,1.9416,6.58506666667
241.54,2.57226666667,3.44846666667,3.07206666667,4.45373333333,2.24086666667,5.43106666667,10.4184,1.16266666667,1.94326666667,1.51626666667,6.11606666667
241.92,1.76653333333,2.70373333333,1.90466666667,3.4154,1.5002,4.76186666667,9.52886666666,0.378866666667,0.978133333333,0.706666666667,5.46346666667
242.29,2.3482,3.0952,2.28746666667,3.77213333333,2.19406666667,5.04906666667,10.1073333333,1.139,1.58253333333,1.16726666667,6.07846666667
242.67,2.92626666667,4.11186666667,2.93506666667,4.46086666667,3.06053333333,5.83226666666,11.1902666667,2.08506666667,2.4654,1.80313333333,7.1186
243.05,3.1872,4.654,3.15193333333,4.84606666667,3.5888,6.28473333333,11.8053333333,2.6064,2.81173333333,2.1,7.44806666667
243.42,2.9878,4.70773333333,2.84666666667,4.60946666667,3.59793333333,6.35946666667,11.8822,2.3858,2.41993333333,2.0188,7.17026666667
243.80,3.11026666667,4.94593333333,2.72366666667,4.75893333333,3.84533333333,6.84293333333,12.4792666667,2.48573333333,2.54093333333,2.21786666666,7.22753333334
244.17,2.9188,4.79266666667,2.32666666667,4.43326666667,3.6718,6.72166666666,12.5126,1.97133333333,2.187,1.86553333333,6.69206666667
244.55,3.0368,4.68653333333,2.13853333333,4.46546666667,3.59666666667,6.59776666667,12.7192666667,1.77946666667,2.01746666667,1.87973333333,6.50373333333
244.92,2.7946,4.7348,2.05346666667,4.35,3.11073333333,6.42580000001,12.9404,1.54733333333,1.79433333333,1.63646666667,6.20893333333
245.30,2.6218,4.5548,1.8304,4.3568,2.85753333333,6.36796666666,13.3028,1.33953333333,1.85306666667,1.78073333333,6.31653333333
245.67,1.94726666667,3.8874,1.11166666667,3.852,2.11006666667,5.73736666666,12.905,0.626666666667,1.13646666667,1.29933333333,5.78506666667
246.05,2.57006666667,4.33966666667,1.72746666667,4.31373333333,2.60573333333,6.36853333334,13.9523333333,1.17313333333,1.76313333333,1.951,6.30373333333
246.42,2.76913333333,4.44846666667,1.89826666667,4.5728,2.71566666667,6.58963333333,14.1300666666,1.26166666667,2.01393333333,2.21233333333,6.45933333333
246.79,2.88093333333,4.4006,2.05673333333,4.58313333333,2.70373333333,6.6223,14.0368666667,1.3022,2.1398,2.2286,6.46533333333
