wavelength,Back_LoxPorf,Belly_LoxPorf,Breast_LoxPorf,Crissum_LoxPorf,Crown_LoxPorf,DorTail_LoxPorf,Rump_LoxPorf,Throat_LoxPorf,WingTip_LoxPorf
408.26,4.37144444444,3.31711111111,3.20633333333,3.25688888889,2.63477777778,5.35722222222,4.26355555555,4.73177777778,7.52644444445
408.62,4.40777777778,3.36888888889,3.24311111111,3.31488888889,2.67433333334,5.39622222222,4.29255555555,4.77844444444,7.575
408.98,4.41866666667,3.40977777778,3.26077777778,3.32711111111,2.68211111111,5.41288888889,4.30533333333,4.80566666666,7.58088888889
409.34,4.43333333333,3.42466666667,3.27211111111,3.35388888889,2.69533333333,5.42222222222,4.30466666667,4.82355555555,7.58844444445
409.70,4.45266666667,3.441,3.27377777778,3.37811111111,2.70077777778,5.405,4.29144444445,4.84033333333,7.61111111111
410.06,4.45366666667,3.46866666667,3.31522222222,3.41588888889,2.71366666667,5.44944444444,4.32155555556,4.85144444445,7.63344444444
410.42,4.51377777778,3.54433333333,3.38177777778,3.47522222222,2.787,5.497,4.37933333333,4.91888888889,7.67622222222
410.77,4.54633333333,3.57711111111,3.40766666667,3.50211111111,2.81988888889,5.52233333333,4.42188888889,4.95844444444,7.73144444444
411.13,4.55166666667,3.54933333333,3.40966666667,3.49322222222,2.82133333334,5.49222222222,4.40966666667,4.97433333333,7.71988888889
411.49,4.52633333333,3.523,3.36511111111,3.46188888889,2.77577777778,5.45155555556,4.36322222222,4.95288888889,7.7
411.85,4.49788888889,3.49977777778,3.33955555556,3.44044444445,2.73866666667,5.42111111111,4.32144444444,4.92966666667,7.67777777778
412.21,4.446,3.46277777778,3.30211111111,3.37844444444,2.67966666667,5.36266666667,4.26655555556,4.876,7.63433333333
412.57,4.42288888889,3.43544444444,3.26866666667,3.34444444444,2.66477777778,5.33722222222,4.23244444444,4.86133333333,7.60777777778
412.92,4.42433333333,3.42244444445,3.27666666667,3.35188888889,2.68622222222,5.36522222222,4.23455555556,4.87011111111,7.62733333333
413.28,4.41577777778,3.39755555556,3.26511111111,3.34588888889,2.68977777778,5.35744444444,4.25055555556,4.871,7.608
413.64,4.377,3.37388888889,3.25822222222,3.32411111111,2.65966666667,5.35244444444,4.24022222222,4.84288888889,7.57711111111
414.00,4.32922222222,3.31866666667,3.20988888889,3.276,2.61633333333,5.30655555556,4.18288888889,4.82255555555,7.53688888889
414.36,4.30066666667,3.27066666667,3.18766666667,3.25533333333,2.58477777778,5.27644444445,4.15233333333,4.81566666667,7.51722222222
414.72,4.30033333333,3.26844444444,3.18911111111,3.26044444444,2.59088888889,5.266,4.164,4.81833333333,7.49722222222
415.07,4.26711111111,3.26177777778,3.17677777778,3.25555555556,2.58055555556,5.26266666667,4.15366666667,4.80344444445,7.47666666667
415.43,4.22644444444,3.23766666667,3.14855555556,3.23866666667,2.557,5.24044444444,4.13188888889,4.78855555556,7.471
415.79,4.20966666667,3.21377777778,3.11311111111,3.23311111111,2.54344444444,5.22155555556,4.12011111111,4.78366666667,7.45511111111
416.15,4.21922222222,3.21988888889,3.123,3.26155555555,2.56055555556,5.23455555555,4.13844444444,4.81122222222,7.45655555556
416.51,4.20911111111,3.21855555556,3.13444444444,3.26866666667,2.54744444444,5.24444444445,4.14411111111,4.79988888889,7.45522222222
416.86,4.19422222222,3.22833333333,3.128,3.27088888889,2.53833333333,5.23022222222,4.15477777778,4.81355555556,7.465
