wavelength,Back_ThlOrnf,Belly_ThlOrnf,Breast_ThlOrnf,Crissum_ThlOrnf,Crown_ThlOrnf,DorTail_ThlOrnf,Rump_ThlOrnf,Throat_ThlOrnf,WingTip_ThlOrnf
207.63,1716.66666667,1216.66666667,2283.33333333,1333.33333333,2183.33333333,2030.0,486.666666667,1896.66666667,2320.0
208.01,-1390.0,-823.333333333,-2060.0,-1186.66666667,-2036.66666667,-1920.0,-303.333333333,-1396.66666667,-2093.33333333
208.39,-2.33709526117e+15,-1.60355441278e+15,-3.24122700455e+15,-2.25606458606e+15,-3.10901906094e+15,-2.82327931186e+15,-9.63838556614e+14,-2.25606458606e+15,-3.0834304267e+15
208.77,407.333333333,330.666666667,598.0,458.0,559.333333333,556.666666666,248.0,402.0,562.0
209.14,172.142933333,156.9048,249.523866667,178.095266667,225.714133333,235.714266667,113.809666667,160.4762,241.666666667
209.52,157.777933333,146.8686,227.070666667,157.373866667,200.202133334,206.262666667,107.474666667,138.181866667,227.878733333
209.90,136.737733333,133.0496,195.461,140.000133333,165.248266667,160.0,110.7802,133.475266667,192.9078
210.28,213.095333333,201.6666,308.5714,223.3334,254.9998,229.999866667,161.904733333,220.4762,298.3334
210.66,269.394,239.697,361.818133333,264.545333333,299.393866667,260.302933333,170.909066667,269.696866667,362.424333333
211.03,281.866666667,244.266666667,347.733333333,258.133333333,291.2,268.266666667,182.4,278.133333333,345.6
211.41,464.285733333,390.476133333,562.380933333,391.428666667,470.952333333,443.809466667,295.238066666,467.619066667,580.952333334
211.79,1320.0,1052.0,1461.33333334,948.000000001,1269.33333333,1160.0,762.666666667,1281.33333333,1665.33333333
212.17,1040.95233333,835.238,1087.61906667,748.5714,1000.9524,873.333333334,640.000066667,1024.76186667,1285.71433333
212.55,881.666666666,702.500000001,898.333333333,623.333333333,873.333333334,718.333333333,535.0,905.833333334,1120.83333333
212.92,674.666666667,500.0,668.666666667,436.0,666.0,510.0,403.333333333,705.333333333,849.333333333
213.30,-1837.77793333,-1195.5556,-1735.5556,-1193.33333333,-1713.33333333,-1208.8888,-991.111133333,-1988.88893333,-2411.11106667
213.68,-445.0,-254.444466667,-372.2222,-284.4444,-417.777866667,-289.4444,-226.111133333,-514.4444,-556.111066667
214.06,-231.666666667,-86.9999999999,-160.0,-138.666666667,-226.666666667,-139.666666667,-78.9999999999,-257.0,-274.666666667
214.44,-213.968266667,-70.7935333333,-144.4444,-117.1428,-213.968266667,-130.4762,-57.7777333334,-225.079266667,-229.2064
214.81,-144.888866667,-61.3332000001,-96.4444000001,-87.7776666668,-150.444466667,-103.555733333,-46.8889333333,-145.777866667,-167.7778
215.19,-143.5556,-73.3333999999,-94.0000666667,-99.9998,-160.4444,-106.666533333,-54.6666666666,-152.2222,-166.444466667
215.57,-153.589733334,-77.4358666667,-92.8205333335,-116.153866667,-167.6922,-117.435933333,-38.7178666667,-160.769133333,-178.974266667
215.95,-110.505066667,-55.1514666667,-69.697,-98.7879333333,-124.8484,-90.505,-26.6665333333,-119.596,-128.686866667
216.32,-132.500066667,-63.6110666667,-73.0555333334,-114.7222,-156.111133334,-106.666666667,-15.0000000001,-141.388933333,-144.166666667
216.70,-232.916666667,-126.25,-143.333333333,-200.416666667,-248.333333333,-198.333333333,-59.5833333332,-220.833333333,-241.666666667
217.08,-193.968266667,-115.238133333,-119.682733333,-168.8888,-206.6666,-169.841333333,-65.3967333334,-185.396866667,-198.730066667
217.46,-166.666666667,-109.066666667,-99.4666666666,-144.266666667,-189.6,-163.733333333,-69.0666666666,-164.8,-177.866666667
217.83,-235.185133333,-143.333333333,-141.1112,-194.074133333,-265.5556,-233.703666667,-97.0369999999,-200.740733333,-244.444466667
218.21,-579.999933333,-452.5926,-440.7406,-497.777666667,-602.222333333,-563.7036,-351.111133333,-504.4444,-611.851866667
218.59,-360.888933333,-266.2222,-282.666733333,-300.888866667,-370.222266667,-373.7778,-248.4444,-308.4446,-396.4444
218.97,-457.222133333,-312.222266667,-397.7778,-368.888933333,-481.1112,-481.111,-328.333533333,-421.111133333,-478.889
219.34,-2950.0,-2030.0,-2840.0,-2323.33333333,-3060.0,-3080.0,-2280.0,-2906.66666667,-3026.66666667
219.72,771.999999999,610.666666667,805.333333333,626.666666667,834.0,790.0,707.333333333,788.0,770.0
220.10,359.733333333,290.133333333,366.933333333,288.533333333,384.533333333,367.466666667,331.2,371.733333333,346.933333333
220.47,586.25,484.166666667,622.083333334,499.583333333,637.5,612.083333333,559.166666667,616.25,574.583333333
220.85,1432.22226667,1173.3334,1557.77786667,1233.33326667,1580.0,1540.0,1382.2222,1495.55553333,1407.77773333
221.23,445.614066667,355.7894,480.0,376.842066667,485.613933333,470.526266667,441.403466667,440.350866667,437.894733333
221.61,224.715466667,178.048733333,246.829266667,197.723733333,242.7642,230.081333333,222.276333333,220.9756,217.560933333
221.98,226.333333333,179.0,246.333333333,202.166666667,234.166666666,221.5,220.833333333,221.333333333,211.5
222.36,325.5072,237.101333333,349.275333333,266.956466667,339.420266667,322.318866667,294.492666667,315.941933333,275.6522
222.74,361.0,292.666666667,392.0,310.0,381.666666667,348.666666667,335.333333333,370.666666667,312.666666667
223.11,287.466666667,249.866666667,311.466666667,257.333333333,297.866666667,281.866666667,269.6,288.266666667,243.733333333
223.49,384.313866667,328.2354,405.098066667,354.901866667,393.3332,387.843066667,348.627533333,376.078266667,324.313733333
223.87,-1081.66666667,-775.000000001,-1053.33333333,-1056.66666667,-1070.0,-1033.33333333,-819.999999999,-1010.0,-873.333333334
224.24,-269.047733333,-159.523933333,-224.761866667,-239.523866667,-258.571466667,-224.761933333,-159.9998,-200.9524,-204.285666667
224.62,-122.666666667,-24.9999999998,-71.9999999999,-91.3333333333,-91.0000000001,-69.6666666667,-31.9999999999,-61.3333333334,-78.0000000001
225.00,-100.317466667,-7.61906666654,-60.9526000001,-75.2381333335,-78.0952666667,-40.0000666667,-23.1746000001,-46.6666,-68.2539999999
225.38,-79.9999333334,6.66667399983e-05,-43.8460666666,-60.0001333333,-66.6667333333,-26.6668666667,-4.10260000001,-39.7436666666,-53.8459999999
225.75,-14.9999333333,16.7777333333,5.0,-4.33333333333,-9.33326666668,14.3332666667,17.7778,2.66666666666,1.44446666666
226.13,-7.23819999999,17.0477333333,9.14286666665,-0.666733333314,-7.33326666665,16.3809333333,17.1428,5.42853333333,1.14293333334
226.51,-6.66680000001,13.4222666667,11.0221333333,-4.71120000001,-7.11106666667,12.2667333333,12.8,5.86666666667,-6.2222
226.88,-7.14860000001,17.8313333333,11.5663333334,-0.321266666674,-2.97186666666,11.7269333333,14.0562666667,6.50593333333,1.28519999999
227.26,-1.41019999999,24.9359333333,16.8589333333,8.33333333332,3.91020000001,17.2436666667,16.4103333333,9.48720000001,9.2948
227.64,-0.104133333334,23.073,18.7500666667,11.2502666667,4.79173333332,19.948,14.8438,13.1251333333,10.5728666667
228.01,2.3148,21.9443333333,19.0739333334,11.7593333333,4.53719999999,18.75,15.6943333333,15.2315333333,12.176
228.39,8.72426666667,22.7982666667,19.6296,13.2921333333,8.55966666667,19.6708666667,15.5556,14.4444666667,14.6502
228.76,0.952533333327,12.0634,9.16666666668,4.52373333333,-2.30166666667,8.53186666667,4.56346666667,3.8492,6.5476
