wavelength,Back_SpoLeuf,Belly_SpoLeuf,Breast_SpoLeuf,Crissum_SpoLeuf,Crown_SpoLeuf,DorTail_SpoLeuf,Patch10_SpoLeuf,Rump_SpoLeuf,Throat_SpoLeuf,WingTip_SpoLeuf
388.83,8.25044444443,17.5893333333,8.05522222222,9.53800000001,5.69788888889,6.65122222222,11.0445555556,6.011,17.1565555555,7.59255555556
389.19,8.18788888888,17.6532222222,8.02966666667,9.49366666668,5.677,6.59577777778,11.0603333333,5.98288888889,17.1346666667,7.56644444444
389.55,8.23666666668,17.6754444445,8.07822222222,9.54233333334,5.69966666667,6.58455555555,11.0275555556,6.03711111111,17.161,7.54744444444
389.91,8.22955555554,17.6623333333,8.06988888889,9.53600000001,5.75311111111,6.57222222222,11.0201111111,6.03211111111,17.1615555555,7.54177777778
390.27,8.08666666665,17.5661111111,7.97033333333,9.41566666668,5.64688888889,6.42977777778,10.8625555555,5.94533333333,17.0877777778,7.45077777778
390.63,8.02377777779,17.6163333333,7.86377777778,9.37555555555,5.59933333333,6.35411111111,10.808,5.87044444444,17.0924444444,7.35788888889
391.00,8.07777777777,17.651,7.90288888889,9.45855555556,5.64733333333,6.40855555555,10.8093333333,5.90977777778,17.1373333333,7.42611111111
391.36,8.07166666666,17.6194444444,7.92033333333,9.53311111112,5.70155555556,6.45633333333,10.8338888889,5.92277777778,17.2116666667,7.41511111111
391.72,8.0771111111,17.6215555556,7.93866666667,9.65000000001,5.72833333333,6.51655555556,10.8201111111,5.97,17.2466666667,7.42344444445
392.08,8.02988888889,17.6077777778,7.859,9.61311111111,5.65655555555,6.44588888889,10.698,5.88922222222,17.1815555556,7.36133333333
392.44,7.99155555555,17.5653333333,7.80133333333,9.59888888889,5.61055555556,6.39733333333,10.621,5.84344444445,17.1174444445,7.31877777778
392.80,8.00677777779,17.6246666667,7.84966666667,9.67466666667,5.66844444444,6.44388888889,10.6643333333,5.93633333333,17.1623333333,7.37766666667
393.16,8.03144444445,17.5488888889,7.84933333333,9.67344444443,5.60422222222,6.424,10.6198888889,5.92944444444,17.1192222222,7.315
393.52,8.02044444443,17.5805555555,7.87733333334,9.74599999999,5.60677777778,6.46366666667,10.6602222222,5.925,17.1361111111,7.32955555556
393.88,8.05177777779,17.6952222222,7.95566666667,9.82444444444,5.66411111111,6.52822222222,10.7001111111,6.04211111111,17.2094444445,7.42022222222
394.24,8.11555555557,17.7805555555,8.06622222222,9.92655555554,5.75811111111,6.60266666667,10.7892222222,6.17711111111,17.2454444445,7.48755555555
394.60,8.23166666668,17.8976666667,8.18533333334,10.0202222222,5.83988888889,6.704,10.9305555555,6.30744444444,17.3614444444,7.62255555555
394.96,8.19399999999,17.8896666667,8.19488888889,9.96488888888,5.80688888889,6.66666666667,10.97,6.30388888889,17.3565555556,7.56077777778
395.32,8.23744444443,17.9514444444,8.239,9.96344444442,5.84833333333,6.66811111111,10.979,6.35922222222,17.3471111111,7.572
395.68,8.15277777778,17.911,8.17555555556,9.84766666667,5.81133333333,6.56755555556,10.94,6.30144444444,17.2483333333,7.53722222222
396.04,8.16166666668,17.9521111111,8.24744444444,9.83711111111,5.84766666667,6.58133333333,10.9712222222,6.31933333333,17.2854444445,7.54088888889
396.40,8.2391111111,18.0476666666,8.36855555555,9.87577777777,5.91733333333,6.66011111111,11.0566666667,6.44011111111,17.4051111111,7.63177777778
396.76,8.26433333335,18.0585555556,8.372,9.8717777778,5.89688888889,6.66033333333,11.0376666667,6.49377777778,17.3767777778,7.60666666666
397.12,8.21822222223,18.1291111111,8.36,9.88377777778,5.94888888889,6.65277777778,11.0282222222,6.49644444444,17.4307777778,7.60388888889
397.48,8.16566666667,18.0815555556,8.29544444445,9.79622222222,5.89766666667,6.53266666667,10.9216666667,6.47222222222,17.3588888889,7.57322222222
397.84,8.07266666667,18.0557777778,8.25222222222,9.70566666667,5.83122222222,6.45811111111,10.8957777778,6.39166666666,17.3556666666,7.46855555556
398.20,7.99000000001,17.9994444444,8.15366666667,9.5951111111,5.70244444444,6.29288888889,10.7746666667,6.27322222222,17.3435555555,7.35188888889
398.56,7.84777777779,17.8822222222,8.10055555556,9.50755555557,5.62033333333,6.18855555556,10.6765555555,6.16988888889,17.254,7.24833333333
