wavelength,Back_DacVenm,Belly_DacVenm,Breast_DacVenm,Crissum_DacVenm,Crown_DacVenm,DorTail_DacVenm,Patch10_DacVenm,Patch11_DacVenm,Rump_DacVenm,Throat_DacVenm,WingTip_DacVenm
185.63,41.9192,37.6767333333,42.3854923077,75.7575999999,89.9999333333,75.1008999999,41.6161333333,55.3534,70.6060000001,47.0706,36.2121333333
186.01,33.3333333333,23.8666666667,30.0717948717,70.1333333333,96.1333333334,71.9333333333,30.9333333333,56.1333333333,75.7333333334,36.0,42.0666666667
186.39,10.8772666667,-10.0584,8.39396923078,42.8070666667,61.1696,33.6842,10.7601333333,28.1872666667,45.7309333334,6.54973333335,21.3450666667
186.77,1.64093333334,-21.4358,1.56993333328,30.9743333333,39.3846666667,18.1536333333,5.64106666666,18.2564,34.3589333334,-4.51286666666,7.64113333334
187.15,13.2592666667,-3.33339999999,12.1252615384,32.8888666667,37.7037333333,25.8518333333,13.7036666667,23.7777333334,36.3704,3.85179999999,13.2222
187.53,13.242,-9.22373333332,11.1415948718,33.9725333333,38.0822,19.0412333333,10.5023333333,26.3012666667,37.1690666667,-8.0364,4.7033
187.91,26.4816,2.68513333341,19.6867025641,43.9814666667,45.5555333333,28.4722,18.426,36.9444666667,52.037,-2.68519999999,13.7498
188.29,25.9770666667,-0.91939999994,21.9099487179,46.8964666667,50.0000000001,28.5633,11.0344666667,45.9770000001,63.4482,-9.65519999999,19.7701666667
188.67,28.6794,0.125733333266,25.379948718,53.5848,53.9622666667,20.8177333333,11.4464666666,47.6729333333,68.3018,-3.7736,10.9434
189.05,33.8096666667,6.19053333332,32.0696820513,57.0237333333,57.3811333333,19.7023333333,14.0476666667,48.4523333333,69.5237999999,-9.76186666667,9.8809
189.43,33.6666666667,-6.49999999999,34.1794871796,62.8333333333,66.3333333333,0.08333333332,10.8333333333,55.8333333332,74.9999999999,-31.9999999999,4.33333333334
189.81,41.6666666667,-64.3333333335,32.8205128206,81.3333333333,97.3333333332,-55.3333333333,-18.6666666667,87.3333333333,98.6666666665,-109.666666667,-22.3333333333
190.19,82.0833333333,-42.9166666665,53.4294871795,147.083333333,134.583333333,-60.2083333335,-1.24999999994,118.333333333,99.9999999999,-102.5,-38.3333333333
190.57,227.2222,86.1110666666,158.888779487,295.555533333,270.000133333,53.6111333333,97.2222666667,257.777866667,216.111133333,-53.8888666667,52.7778999999
190.95,-1330.0,-406.666666667,-818.205128206,-1550.0,-1440.0,-8.333333332,-193.333333333,-1240.0,-876.666666667,633.333333333,-290.000000001
191.33,-44.3478666667,40.2897333333,-5.86407179488,-81.7392,-76.5216666666,75.3622666667,43.1882666667,-31.8841333335,-9.8551333332,123.188466667,25.6521
191.71,-39.7101333334,59.7102000001,-7.24637435906,-72.4637333333,-72.7535999999,73.7679999999,44.3479333333,-16.5216666668,1.44919999992,102.029066667,25.0726000001
