wavelength,Back_NepOnem,Belly_NepOnem,Breast_NepOnem,Crissum_NepOnem,Crown_NepOnem,DorTail_NepOnem,Rump_NepOnem,Throat_NepOnem,WingTip_NepOnem
219.72,-161.333533333,-63.5555333334,-133.777866667,-232.4444,-248.8888,-195.111066667,-173.5556,-136.888933333,-155.111133333
220.10,-160.7408,-55.9260000001,-109.629666667,-183.333266667,-213.7036,-164.8148,-141.1111,-106.2962,-121.851866667
220.47,-200.000066667,-100.000066667,-138.8888,-227.777666667,-244.814866667,-223.703666667,-167.2222,-148.518466667,-151.851866667
220.85,-163.3334,-71.1112000001,-80.3702666667,-182.962933333,-214.074133333,-187.7778,-136.666633333,-110.3704,-118.148133333
221.23,-155.185266667,-61.8518666666,-54.4443999999,-163.3334,-208.888866667,-175.5556,-131.4814,-102.222333333,-112.592533333
221.61,-207.083333333,-109.166666667,-90.0,-217.916666667,-270.416666667,-202.5,-190.0,-139.583333333,-166.666666667
221.98,-498.095333333,-309.523866667,-259.0476,-569.523800001,-637.1428,-505.714266667,-485.714166667,-367.619133333,-415.238
222.36,-393.333333333,-265.333333333,-199.333333333,-443.333333333,-478.666666667,-401.333333333,-372.666666667,-306.0,-298.0
222.74,-408.0,-292.666666667,-194.0,-472.0,-490.0,-442.0,-376.0,-323.333333333,-274.666666667
223.11,553.333333333,389.166666667,301.666666667,676.666666667,654.166666667,644.166666666,524.166666667,422.5,405.833333333
223.49,1186.66666667,813.333333335,651.666666667,1380.0,1348.33333333,1336.66666667,1077.5,839.999999999,768.333333333
223.87,700.833333334,535.833333333,471.666666667,859.166666667,787.5,784.999999999,658.75,559.166666667,511.666666667
224.24,468.333266667,402.2222,346.666666667,597.7778,557.777733333,557.222333333,493.333233333,414.444666667,368.888933333
224.62,530.0,506.666666667,396.666666667,720.833333333,703.333333333,652.5,612.916666667,474.166666667,407.5
225.00,657.142933333,689.523733334,580.952333333,895.237999999,890.476133333,873.333333334,746.190433333,666.666666667,551.428533334
225.38,881.333333334,942.666666668,885.333333333,1249.33333333,1216.0,1210.66666667,1022.0,906.666666667,752.000000001
225.75,-428.333333334,-489.166666667,-469.166666667,-650.833333334,-655.000000001,-675.833333332,-512.916666667,-456.666666667,-355.0
226.13,-154.320933333,-158.765466667,-152.839533333,-193.580133333,-211.357933333,-206.913533333,-155.432166667,-155.555533333,-119.506066667
226.51,-103.089466667,-99.0243333333,-105.691133333,-126.0164,-141.138266667,-135.609866666,-101.544766667,-91.7073333333,-88.1301333332
226.88,-70.1148666667,-66.8965333333,-77.1264666668,-84.4827333333,-103.448266667,-88.9654666667,-72.1264333333,-58.7356666667,-62.5288666667
227.26,-36.4400666667,-34.4984,-39.4823333334,-44.4013333333,-53.7216666667,-44.3364,-35.1780666667,-32.7508666667,-29.5792
