wavelength,Back_SchMelf,Belly_SchMelf,Breast_SchMelf,Crissum_SchMelf,Crown_SchMelf,DorTail_SchMelf,Rump_SchMelf,Throat_SchMelf,WingTip_SchMelf
212.92,238.8406,210.627866667,235.072533333,229.855066667,225.314,236.4251,214.746341667,255.5556,246.666666667
213.30,254.153733333,217.538533333,250.051266667,244.205133333,238.769266667,254.4615,230.2051,267.8461,261.999966667
213.68,266.091866667,226.206933333,260.4598,254.367866667,248.045933333,265.8046,243.6495,285.804633333,280.1149
214.06,344.341066667,290.8526,333.9534,323.410933333,315.968933333,338.217033333,321.1822,375.4264,367.286866667
214.44,984.761866666,818.571466666,940.952333333,932.380933333,886.190466668,964.047666666,911.369058333,1088.33323333,1055.7144
214.81,-1213.93933333,-1048.48486667,-1185.45453333,-1192.72726667,-1110.90926667,-1215.45456667,-1149.69700833,-1375.7575,-1368.48486667
215.19,-393.999933333,-336.4444,-396.888733333,-396.2222,-370.000066667,-399.555533333,-377.250058333,-452.444433333,-459.5557
215.57,-364.705866667,-304.902066667,-370.000133333,-360.784333333,-345.6862,-361.176566667,-351.421608333,-411.470466667,-426.9609
215.95,-227.8432,-187.712466667,-233.0718,-219.869266667,-213.5946,-221.634033333,-214.6079,-254.444433333,-272.483733333
216.32,-239.733333333,-200.933333333,-245.466666667,-231.733333333,-223.733333333,-234.466666667,-224.0,-264.933333333,-282.866666667
216.70,-217.857066667,-182.500133333,-217.381,-210.7142,-202.619066667,-213.6905,-208.303533333,-235.5358,-250.9523
217.08,-133.8462,-109.914666667,-131.538466667,-125.4702,-118.205266667,-127.606733333,-127.766966666,-138.846066667,-154.444366667
217.46,-122.276533333,-100.650466667,-114.7968,-112.6016,-109.430866667,-114.3495,-114.430841667,-126.016266667,-142.235933333
217.83,-112.962933333,-93.9259333333,-105.629666667,-104.5926,-99.9999333333,-105.962933333,-106.703708333,-115.370466667,-132.666766667
218.21,-113.978533333,-93.1900666668,-108.172066667,-105.7348,-99.4264666666,-106.989233333,-106.245525,-110.9677,-131.5412
