wavelength,Back_PhrUnif,Belly_PhrUnif,Breast_PhrUnif,Crissum_PhrUnif,Crown_PhrUnif,DorTail_PhrUnif,Rump_PhrUnif,Throat_PhrUnif,WingTip_PhrUnif
764.45,12.9401,23.6498,20.6482,21.7454,12.7832,13.7811333333,12.9904666667,19.8403666667,13.911
764.76,12.8704,23.6136666667,20.6706666667,21.6877333333,12.7154666667,13.7826666667,12.9139333333,19.9087,13.8854
765.07,12.8891333333,23.7260666667,20.8176,21.6943333333,12.7731333333,13.9278,12.9784666667,19.8107333333,13.9143333333
765.39,12.8366333333,23.7552,20.8778,21.7602,12.7106,13.9004666667,12.9501333333,19.7311,13.8556
765.70,12.6953333333,23.7414,20.9123333333,21.6865333333,12.6619333333,13.8694666667,12.8315333333,19.5444333333,13.7586
766.01,12.5114333333,23.6038666667,20.7846666666,21.5589333333,12.4501333333,13.6859333333,12.6713333333,19.3199333333,13.6064666667
766.32,12.7476666667,23.7022666667,20.9628666667,21.7512666667,12.6009333333,14.0185333333,12.8201333334,19.3816666667,13.8447333333
766.64,12.8001666667,23.7762,20.9597333333,21.7768,12.5469333333,14.0416,12.8249333333,19.4935,13.8702666667
766.95,12.5864666667,23.5192,20.7192,21.563,12.2327333333,13.7996,12.5943333333,19.2433333333,13.6336666667
767.26,12.7178666667,23.6184666667,20.7815333333,21.5362666667,12.3116,13.9814,12.6624666667,19.2852333333,13.8748666667
767.57,12.6253333333,23.4188,20.6753333334,21.4434666667,12.3203333333,13.9812,12.7276,19.1886666667,13.7406666667
767.88,12.6403666667,23.4482666667,20.8024,21.6678,12.4377333333,14.1315333334,12.9971333333,19.3331666667,13.8386
768.20,12.5755,23.3636,20.6663333333,21.5734666667,12.4551333333,14.0954666667,13.0168,19.2868,13.8082
768.51,12.4940333333,23.1499333333,20.4980666667,21.3951333333,12.3024666667,13.882,12.7822666667,19.3059,13.5846666667
768.82,12.7981,23.2354,20.5708666667,21.5210666667,12.5456666667,14.1822666667,12.9490666667,19.5165333333,13.8332666666
769.13,12.8993,23.2454,20.5882666667,21.4081333333,12.5619333333,14.1386666667,12.8898,19.5492,13.871
769.44,12.9173666667,23.2254,20.5743333333,21.4458,12.6779333333,14.0893333333,12.8596666667,19.5606333333,13.8536666667
769.76,13.2780666667,23.6422666667,20.8891333333,21.7407333333,13.0521333333,14.3606666667,13.2278666667,19.9208,14.1146
