wavelength,Back_RamNigf,Belly_RamNigf,Breast_RamNigf,Crissum_RamNigf,Crown_RamNigf,DorTail_RamNigf,Rump_RamNigf,Throat_RamNigf,WingTip_RamNigf
585.03,3.239,5.38086666666,9.03479999999,5.60993333333,6.74266666667,4.97033333333,10.6119333333,2.87786666667,5.224
585.37,3.2762,5.42546666667,9.22586666668,5.65726666667,6.91553333333,5.00626666667,10.7958666667,2.91226666667,5.24353333333
585.70,3.24633333333,5.40166666666,9.34933333333,5.63806666667,6.99353333333,4.96346666667,10.9047333333,2.8958,5.21926666667
586.04,3.23973333333,5.40806666667,9.51373333333,5.62646666667,7.11766666667,4.9622,11.0465333333,2.8886,5.2232
586.38,3.25146666667,5.409,9.69233333333,5.623,7.24033333333,4.9572,11.178,2.87153333333,5.213
586.72,3.2718,5.44793333333,9.9082,5.6426,7.4194,4.97626666667,11.3626666667,2.88826666667,5.24173333333
587.06,3.2678,5.44713333333,10.0464666667,5.63193333334,7.52566666667,4.9368,11.4629333333,2.88493333334,5.2292
587.39,3.2462,5.4342,10.1744,5.615,7.63733333333,4.907,11.6016,2.85793333333,5.22233333333
587.73,3.20773333333,5.41353333333,10.3123333333,5.58633333333,7.7704,4.86526666667,11.7096666667,2.83786666667,5.2048
588.07,3.16186666667,5.36893333333,10.4573333333,5.53573333333,7.8468,4.8088,11.8016,2.81246666667,5.1762
588.41,3.17966666667,5.40086666667,10.6311333333,5.54706666667,7.9668,4.80293333333,11.9317333333,2.80813333333,5.17546666667
588.74,3.14486666667,5.38026666667,10.7724,5.529,8.0488,4.76566666667,12.0416,2.7644,5.14733333333
589.08,3.117,5.37566666667,10.9179333333,5.52466666667,8.16333333333,4.72866666667,12.1365333333,2.75053333333,5.1488
589.42,3.13573333333,5.41473333333,11.0714666667,5.54666666667,8.31933333333,4.74666666667,12.2923333333,2.76246666667,5.18146666667
589.76,3.14233333333,5.413,11.2294,5.55913333333,8.45313333333,4.7362,12.4237333333,2.74626666667,5.17246666667
590.09,3.15613333333,5.4532,11.3884666667,5.58586666667,8.62806666666,4.75713333333,12.5743333334,2.7464,5.20153333333
590.43,3.12926666667,5.40613333333,11.4832666667,5.57426666667,8.72140000001,4.71533333333,12.6345333334,2.70393333334,5.164
590.77,3.11413333333,5.4186,11.6549333333,5.58766666667,8.85686666667,4.72633333333,12.7847333333,2.69453333333,5.18086666667
