wavelength,Back_SpoCorm,Belly_SpoCorm,Breast_SpoCorm,Crissum_SpoCorm,Crown_SpoCorm,DorTail_SpoCorm,Patch10_SpoCorm,Rump_SpoCorm,Throat_SpoCorm,WingTip_SpoCorm
372.19,5.38556666667,5.3542,5.0657,5.65753333333,6.12826666667,7.71686666667,18.5466,8.37466666666,5.60986666667,7.25546666667
372.55,5.4273,5.4702,5.09313333333,5.71746666667,6.18026666666,7.78483333333,18.6125333333,8.44233333333,5.69093333334,7.40936666667
372.92,5.32643333333,5.41206666667,4.9803,5.59206666667,6.06706666667,7.75326666667,18.5909333333,8.38406666667,5.63566666667,7.25113333333
373.28,5.26546666667,5.34806666667,4.86406666667,5.50066666667,5.96366666667,7.69226666667,18.5287333333,8.35133333334,5.50153333333,7.13096666667
373.64,5.19143333333,5.3188,4.8632,5.48546666667,5.90393333334,7.70023333333,18.5691333333,8.28206666666,5.45786666666,7.07816666667
374.00,5.1838,5.35706666667,4.80306666667,5.3896,5.88313333333,7.6769,18.5592666667,8.26313333335,5.46006666667,7.05353333333
374.37,5.1575,5.33573333333,4.85716666667,5.4622,5.87306666667,7.70703333333,18.5784666667,8.318,5.51099999999,6.97203333333
374.73,5.41353333333,5.6326,5.18236666667,5.80853333333,6.15146666666,7.97786666667,18.8602666667,8.68480000001,5.81600000001,7.25193333333
375.09,5.40246666667,5.5992,5.23683333333,5.76293333333,6.08373333334,7.9375,18.9268666667,8.77313333335,5.86879999999,7.25093333333
375.45,5.38816666667,5.58813333333,5.21416666667,5.72906666667,6.07393333334,7.97516666667,18.9728666667,8.79440000001,5.89586666667,7.2381
375.81,5.31663333333,5.44613333333,5.05093333333,5.59313333333,5.95100000001,7.8877,18.921,8.71613333333,5.78126666666,7.06323333333
376.18,5.38513333333,5.403,4.96926666667,5.4918,5.93633333333,7.78996666667,18.9451333333,8.69646666667,5.7184,7.01476666667
376.54,5.40143333333,5.39566666667,4.9794,5.44586666667,5.95446666666,7.82323333333,18.9648,8.73426666667,5.78033333333,7.02756666667
376.90,5.3654,5.37066666667,4.95206666667,5.45706666667,5.97100000001,7.77696666667,18.9329333333,8.69113333333,5.74219999999,7.05243333333
377.26,5.39003333333,5.43713333333,4.94953333333,5.55213333333,6.03733333333,7.80843333333,19.0073333333,8.70213333333,5.84706666666,7.10966666667
377.63,5.29113333333,5.30373333333,4.80506666667,5.46,6.01926666667,7.6748,18.8869333333,8.62080000001,5.77206666667,6.98476666667
377.99,5.40846666667,5.42046666667,4.93346666667,5.6534,6.19413333333,7.79213333333,19.0484,8.74393333333,5.8582,7.1529
378.35,5.4736,5.4786,4.96416666667,5.7254,6.23340000001,7.7682,19.0947333333,8.7672,5.84813333333,7.1968
378.71,5.4567,5.36613333333,4.8699,5.61046666667,6.18173333334,7.69326666667,19.0481333333,8.7338,5.76393333334,7.17346666667
379.07,5.5109,5.42973333333,4.86376666667,5.67873333333,6.29839999999,7.70656666667,19.0366666667,8.76113333334,5.79933333334,7.2334
379.44,5.63166666667,5.6094,4.9997,5.77026666667,6.44833333333,7.7709,19.0729333333,8.89053333333,5.87553333334,7.27816666667
379.80,5.67376666667,5.68593333333,5.05633333333,5.81953333333,6.53206666667,7.74006666667,19.1424666666,8.93293333333,5.95413333333,7.38716666667
380.16,5.6437,5.689,5.03553333333,5.81346666667,6.54053333333,7.7767,19.1372666667,8.91526666667,5.94673333333,7.42733333333
380.52,5.52096666667,5.6486,4.9414,5.7478,6.4618,7.69596666667,19.0418666667,8.79266666667,5.83393333333,7.29663333333
380.88,5.5789,5.6836,4.9597,5.73393333333,6.45506666667,7.7204,19.1534,8.82133333333,5.8936,7.32753333333
381.24,5.52793333333,5.5642,4.93896666667,5.60773333333,6.36986666666,7.63343333333,19.0969333333,8.7622,5.82053333333,7.2048
