wavelength,Back_DigCyam,Belly_DigCyam,Breast_DigCyam,Crissum_DigCyam,Crown_DigCyam,DorTail_DigCyam,Patch10_DigCyam,Rump_DigCyam,Throat_DigCyam,WingTip_DigCyam
616.28,10.2755333333,10.1038666667,10.1205333333,9.91586666666,13.1574666667,8.0322,5.10586666667,8.585,11.0287333333,9.93553333334
616.61,10.3165333333,10.1400666667,10.1218,9.98153333333,13.1957333333,8.05006666667,5.11213333333,8.63873333333,11.0496,9.94693333335
616.95,10.343,10.1722,10.1230666667,9.99726666667,13.2162666667,8.0458,5.16113333333,8.65226666667,11.0316,9.99066666666
617.28,10.278,10.1133333333,10.0302666667,9.92393333334,13.1264666667,7.98206666667,5.07873333333,8.62026666667,10.9587333333,9.9444
617.62,10.1603333333,10.0113333333,9.90906666667,9.80933333333,12.9834666667,7.87713333333,4.95953333333,8.5058,10.8255333333,9.86
617.95,10.1069333333,9.94380000001,9.848,9.75446666667,12.8872,7.85846666667,4.91566666667,8.4568,10.7400666667,9.79913333333
618.28,10.0857333333,9.94226666668,9.79726666667,9.72126666665,12.8414,7.82113333333,4.8586,8.41246666666,10.6853333333,9.76253333333
618.62,10.1114666667,10.0044666667,9.83146666668,9.77139999999,12.8485333333,7.8628,4.90513333334,8.46506666667,10.7184666667,9.80980000001
618.95,10.0924666667,10.0693333333,9.84120000001,9.78246666665,12.8111333333,7.89226666667,4.9178,8.47186666667,10.7258,9.83506666667
619.28,10.0293333333,10.0503333333,9.82573333333,9.76933333333,12.7574,7.8468,4.88126666667,8.44093333333,10.6774,9.82353333333
619.62,9.99520000001,10.0482,9.82946666665,9.74893333335,12.7379333333,7.8484,4.85166666667,8.41913333333,10.675,9.84339999999
619.95,10.0191333333,10.0616666667,9.88066666666,9.7784,12.7235333334,7.87573333333,4.87766666667,8.4438,10.7254,9.917
620.28,10.0129333333,10.0704666667,9.91886666667,9.78759999999,12.7154,7.8784,4.87686666667,8.47613333333,10.7369333333,9.93413333334
620.62,9.90686666665,9.96693333333,9.83160000001,9.71513333334,12.5876,7.7974,4.77886666666,8.36706666667,10.6862666667,9.84580000001
620.95,9.94733333335,9.98813333333,9.83833333333,9.73233333335,12.5862666667,7.84646666667,4.82313333333,8.3436,10.7278666667,9.85953333333
621.28,9.9496,10.0277333333,9.87953333333,9.72460000001,12.6316666667,7.8866,4.87766666667,8.3662,10.7623333333,9.91940000001
621.62,9.9348,9.9908,9.87433333333,9.70046666667,12.6421333333,7.84833333333,4.88753333333,8.34613333333,10.7504666667,9.94459999999
621.95,9.95819999999,10.0332666667,9.93700000001,9.71266666667,12.6789333333,7.88573333333,4.94753333333,8.39433333333,10.8290666667,9.99879999999
622.28,10.0528,10.1234666667,10.0154,9.78020000001,12.7609333333,7.99386666667,5.05246666667,8.49953333334,10.9322,10.1192666667
622.62,10.1601333333,10.1694666667,10.0782666667,9.86146666667,12.8454666667,8.05533333333,5.1478,8.59326666667,11.0478666667,10.1660666667
622.95,10.2748,10.2421333333,10.1158,9.9478,12.9344666667,8.1276,5.19266666667,8.67893333333,11.1336666667,10.2575333333
623.28,10.3646666667,10.2912,10.1547333333,10.0432,13.0114,8.20726666667,5.23673333333,8.76486666667,11.2261333333,10.3049333333
623.62,10.3590666667,10.2563333333,10.1405333333,10.0502666667,13.0311333333,8.21046666667,5.22393333333,8.75313333333,11.2575333333,10.2726
623.95,10.3807333333,10.2790666667,10.1194,10.0723333333,13.0402,8.23486666667,5.2508,8.74293333333,11.2868,10.3188
624.28,10.4864,10.3641333333,10.1726666667,10.1677333334,13.1683333333,8.33353333333,5.32913333333,8.82920000001,11.3704,10.4297333333
624.62,10.4691333333,10.3474,10.1718,10.1912666667,13.1892666667,8.3008,5.323,8.83333333334,11.3476,10.4611333333
624.95,10.5030666667,10.3460666667,10.1492666667,10.2172,13.197,8.32726666667,5.327,8.86686666666,11.358,10.5062666667
625.28,10.5730666667,10.4048666667,10.2106666667,10.3055333333,13.2102666667,8.40166666667,5.34506666667,8.91613333333,11.4296,10.5552666667
625.61,10.5809333334,10.4032666667,10.2278,10.3424666667,13.1885333333,8.42006666667,5.3436,8.93646666666,11.431,10.586
625.95,10.4952666667,10.3077333333,10.1846,10.3154,13.1508666667,8.35953333333,5.27186666667,8.85340000001,11.3953333333,10.5372666667
626.28,10.3726,10.2303333333,10.0816,10.2368666667,13.0663333333,8.27413333333,5.13706666667,8.7354,11.2630666667,10.5099333333
626.61,10.2722,10.1506666667,10.0056666667,10.1448,12.9826666667,8.22773333333,5.075,8.63959999999,11.2041333333,10.4482666667
