wavelength,Back_ThlRufm,Belly_ThlRufm,Breast_ThlRufm,Crissum_ThlRufm,Crown_ThlRufm,DorTail_ThlRufm,Patch10_ThlRufm,Rump_ThlRufm,Throat_ThlRufm,WingTip_ThlRufm
742.12,18.0480833333,65.0738333333,57.7756666666,54.234,44.5673333333,22.4806666667,33.6698333333,20.4775833333,60.6731666666,20.1058333334
742.44,17.6466666667,65.0561666667,57.56575,53.9788333333,44.2148333333,21.9751666667,33.3495,20.1164166667,60.5809166667,19.5741666667
742.76,17.7599166666,64.7289166667,57.25975,53.6133333333,44.0855,22.0445,33.15975,19.9855833333,60.24475,19.68125
743.07,18.0545,64.6854166666,57.2355833333,53.5864166666,44.1423333333,22.2770833333,33.2775,20.25975,60.1958333333,19.8969166667
743.39,17.87575,64.4950833333,57.1543333333,53.3905,44.0045833333,22.1755833333,32.9270833333,20.0474166667,60.13525,19.7675833334
743.70,17.64625,64.2344166667,56.6693333333,53.1836666666,43.7836666667,22.1015,32.5145833333,19.8873333333,59.994,19.5216666666
744.02,17.50525,64.13125,56.5010833333,53.0629166667,43.73225,21.9505833333,32.3663333333,19.7633333333,59.8174166667,19.48275
744.34,17.4183333333,64.051,56.4489166666,52.9999166667,43.687,21.942,32.2923333333,19.6904166667,59.7824166667,19.5578333333
744.65,17.6388333333,63.9225833334,56.5853333333,53.1265833333,43.6720833333,21.99525,32.4864166667,19.97275,59.6001666667,19.8813333333
744.97,17.73,63.9606666666,56.8745833333,53.2070833333,43.7696666667,22.3448333333,32.6550833333,19.9760833334,59.79225,19.9829166666
745.28,18.2445833333,64.769,57.6698333333,53.9190833334,44.36875,22.9235833333,33.3195,20.7095833334,60.5541666666,20.7094166667
745.60,18.5615,65.09575,58.1199166667,54.23725,44.67775,23.2429166667,33.49875,20.9695,60.7035,20.9384166667
745.91,18.694,65.2749166667,58.38875,54.4308333333,44.913,23.48725,33.82025,21.2011666667,60.8959166667,21.2081666667
746.23,18.8581666667,65.45,58.5546666667,54.6178333333,45.1196666666,23.62075,34.0835833333,21.5229166667,61.1640833333,21.4951666667
746.55,18.8141666667,65.2145,58.3196666667,54.5040833333,45.0129166667,23.63,34.0664166667,21.4069166667,60.9605833334,21.5476666667
746.86,18.98975,65.0985833333,58.26875,54.5,44.9865,23.6259166667,34.0951666667,21.6190833333,60.92175,21.6666666667
747.18,18.8743333333,65.0303333334,58.3435,54.38125,44.902,23.4381666666,34.1989166666,21.4841666667,60.7538333333,21.7139166667
747.49,19.0599166667,64.9436666667,58.3334166666,54.475,44.85125,23.48825,34.208,21.4970833333,60.66975,21.81875
747.81,19.2623333333,65.26825,58.6015,54.8860833333,44.9260833333,23.63175,34.3091666667,21.5961666667,61.0329166667,21.8378333334
748.12,19.0558333333,65.5954166667,58.5630833334,55.01475,44.9783333333,23.5199166667,34.3639166666,21.4383333333,61.297,21.7186666667
748.44,19.0364166667,65.693,58.5801666667,55.18925,44.9491666667,23.2081666667,34.5505,21.3895,61.28125,21.8255833333
748.75,18.7115833333,64.9196666667,58.0723333333,54.6886666667,44.6150833333,22.7375833333,34.18,20.9739166666,60.676,21.4793333333
749.07,18.4849166667,64.4195833333,57.7516666667,54.42425,44.5253333333,22.6034166667,34.0148333333,20.9614166667,60.36775,21.3701666667
749.38,18.9475,64.5404166667,57.9615,54.7525833334,45.0006666667,23.0614166667,34.3929166667,21.4026666666,60.6503333333,21.7810833333
749.70,18.7765833333,64.4771666667,57.9715833333,54.7836666667,44.9775,22.9001666667,34.229,21.1450833333,60.49625,21.4535833333
750.01,18.826,64.7978333333,58.2131666667,55.0194166667,45.2276666667,22.9473333333,34.2245,21.3656666667,60.683,21.4924166667
750.33,18.4751666667,64.6141666667,57.9724166666,54.6263333334,45.0761666667,22.7135,33.9484166667,21.0155833333,60.37575,21.1726666667
750.64,18.48,64.6684166667,57.7614166667,54.6023333333,45.06125,22.6215,33.9288333333,20.8956666667,60.3889166667,21.0234166667
750.96,18.2656666667,64.7799166667,57.82525,54.65775,45.1389166667,22.5880833333,33.723,20.8029166666,60.4640833333,20.88075
751.27,18.23125,64.6626666666,57.5155,54.3830833333,45.0831666667,22.3640833333,33.6511666666,20.8975833333,60.16475,20.9009166667
751.59,18.133,64.4370833334,57.31775,54.12975,44.9994166667,22.4575833334,33.50825,20.8939166667,60.0181666667,20.88375
751.90,18.15375,64.7153333334,57.2970833334,54.25925,45.14875,22.4835,33.3433333333,20.9830833333,59.98175,20.7576666667
752.22,17.896,65.1238333334,57.3934166666,54.308,45.2083333333,22.1666666666,33.255,20.7840833333,60.26425,20.5593333333
752.53,17.714,65.45125,57.4405,54.2920833333,45.1310833333,22.0023333334,33.1101666667,20.5431666667,60.3659166667,20.43
752.85,17.5696666667,65.3155833333,57.32,54.0701666667,45.082,21.8259166666,32.682,20.3335833333,60.1254166667,20.3991666667
753.16,17.6269166667,65.25375,57.23925,53.87175,44.9964166667,21.9239166667,32.6544166667,20.5110833333,60.1715833333,20.415
753.47,17.2738333333,64.8040833333,57.05375,53.55275,44.6778333333,21.6266666667,32.4226666667,20.1055,59.7406666667,20.0125833333
753.79,17.42425,64.9509166667,57.126,53.67025,44.863,21.92125,32.4961666666,20.323,59.92825,20.21225
754.10,17.4466666667,64.5069166666,57.1409166667,53.5530833334,44.97375,22.0846666667,32.1998333333,20.3375833333,59.7856666667,20.15725
754.42,17.793,64.56675,57.18275,53.6260833333,45.14325,22.3821666667,32.6136666667,20.42125,59.9951666667,20.4805
754.73,17.7763333333,64.8005833334,57.5593333333,54.0995833333,45.4623333333,22.4343333333,32.4568333333,20.1405833333,60.2629166666,20.2856666667
755.05,18.2815,65.0410833334,57.9074166667,54.4576666666,46.0036666667,22.7284166667,32.7761666667,20.51025,60.41675,20.7091666667
755.36,18.3025833333,64.9913333333,57.9823333333,54.4245,46.0480833333,22.9058333333,32.8715,20.529,60.5455,20.8226666667
755.67,18.8803333333,65.117,58.2334166667,54.7451666667,46.351,23.7075,33.3976666667,21.0619166667,60.8684166667,21.5653333333
755.99,19.02,64.9963333333,58.2440833333,54.8318333333,46.5915,23.9483333333,33.7124166667,21.10875,60.92275,21.6918333334
756.30,18.861,64.8589166667,57.85725,54.6893333333,46.3951666667,23.808,33.8988333333,21.023,60.6779166667,21.5206666667
756.62,19.046,65.0229166667,58.29025,55.0926666667,46.8704166667,23.94475,34.1765833333,21.17775,60.97475,21.96375
756.93,19.3615,65.7514166667,58.64675,55.6744166666,47.45275,24.2001666667,34.6880833334,21.5593333334,61.7235,22.3915
757.24,19.77675,66.1445833333,59.21775,56.2564166666,47.88675,24.5251666667,35.3486666667,21.8465,62.26625,22.7273333333
757.56,20.2086666667,66.87,59.7645833333,56.8365833333,48.3326666667,24.8329166667,36.214,22.44625,62.9433333333,23.3870833333
757.87,20.2949166666,67.3566666666,60.0890833333,57.1396666667,48.686,24.8394166666,36.425,22.7660833334,63.2793333333,23.5106666667
758.18,20.4334166667,66.9729166667,59.7858333333,56.5204166667,48.4105,25.0181666666,36.49075,23.0355,63.1705,23.7709166667
758.50,20.5178333334,67.2616666667,59.7758333333,56.6385833333,48.5469166667,25.0794166667,36.67975,23.27275,63.3888333333,23.91825
758.81,20.9880833333,67.47275,59.9705,56.60275,48.9565,25.41025,37.0286666667,23.6616666667,63.62975,24.0825
759.13,20.9745833333,67.1599166667,59.47375,56.20275,48.7345,25.2180833333,36.7511666667,23.8096666666,63.2955,23.713
759.44,20.95325,67.3153333333,59.4515,56.0394166667,48.595,24.8780833333,36.5090833333,23.6951666667,63.3475,23.4586666667
759.75,20.79375,67.1145,59.4331666667,55.83625,48.2695833333,24.62025,36.0526666666,23.4521666667,63.16275,23.2875
760.07,20.5996666667,67.1088333333,59.1134166667,55.6695,48.0154166667,24.57225,36.0045,23.3031666667,63.0931666666,23.0623333333
760.38,20.3976666667,66.8773333333,59.1153333334,55.4554166667,47.6829166667,24.3823333333,35.754,22.8719166667,62.9070833333,22.8184166667
760.69,19.8209166667,66.331,58.47675,54.90625,47.2304166667,23.8495833333,35.1586666667,22.4646666667,62.096,22.4438333333
761.01,19.5150833333,66.2528333333,58.2650833333,54.76675,47.0898333333,23.5535,34.6703333334,21.8813333333,61.6946666667,21.90875
761.32,19.2864166667,66.1531666666,58.171,54.6768333333,47.0685833333,23.46975,34.3501666666,21.49575,61.5130833333,21.5785833334
761.63,19.2810833334,66.6120833334,58.487,55.0750833334,47.40475,23.7025833333,34.7880833333,21.6263333333,61.7423333333,21.6710833333
761.94,19.27525,66.596,58.6749166666,55.1833333333,47.38525,23.7386666667,34.8065833333,21.59775,61.9909166667,21.6530833334
762.26,18.9260833334,66.4104166667,58.55725,55.217,47.3254166666,23.5301666667,34.67075,21.4151666667,61.7886666667,21.56825
762.57,18.72925,66.8045,59.1980833333,55.4579166667,47.4920833333,23.30525,34.7323333333,21.28575,62.07925,21.5385833334
762.88,19.02425,66.822,59.4106666667,55.6091666667,47.7895833333,23.7420833333,35.2188333333,21.8064166667,62.0126666667,21.92875
763.20,19.4035833333,67.1545833333,59.7181666667,55.8063333334,48.1653333333,24.0785833334,35.73775,22.16775,62.3133333333,22.0804166667
763.51,19.5955833333,67.2191666667,59.84325,55.9595833333,48.3881666667,24.2678333333,35.9188333333,22.3125833333,62.3698333334,22.2855833333
763.82,19.7116666667,66.8504166667,59.58275,55.797,48.5534166667,24.3766666666,35.9706666667,22.541,62.2068333333,22.4265
764.14,19.807,66.7821666667,59.5611666667,55.8161666667,48.6138333333,24.4008333334,35.8988333333,22.4316666667,62.3280833334,22.2220833333
764.45,19.7079166667,66.4731666667,59.2925833333,55.4419166667,48.4114166667,24.2969166667,35.7150833333,22.4001666667,62.0803333333,22.1469166667
764.76,19.8214166667,66.4091666667,59.3886666667,55.4191666666,48.6535833333,24.4878333333,35.9198333333,22.6233333333,61.9891666667,22.33225
765.07,19.9011666667,66.293,59.4595833334,55.3653333333,48.8620833333,24.5511666667,35.9451666667,22.7010833333,61.918,22.4404166667
765.39,19.6053333333,66.4006666666,59.4893333334,55.1744166667,48.8440833333,24.2264166667,35.80425,22.4525833333,61.82875,22.1589166667
765.70,19.319,66.2938333333,59.397,54.8119166666,48.44025,23.8035833333,35.3954166667,22.1238333333,61.74125,21.8775
766.01,19.5740833333,65.8949166667,58.89175,54.6744166667,48.34825,24.05225,35.3236666666,22.1026666667,61.2815833333,21.9705833333
766.32,19.2038333333,65.5374166667,58.3511666667,54.4276666666,48.0705,23.7598333333,34.7983333333,21.6230833333,61.05275,21.6695
766.64,18.91825,65.5765,58.1114166667,54.4845,48.28975,23.80475,34.5625,21.51925,60.9796666666,21.60575
766.95,18.99925,65.6896666667,58.20725,54.6454166667,48.3491666666,23.6999166666,34.62575,21.635,61.0678333333,21.37125
767.26,18.94425,66.2308333333,58.51825,54.8965,48.2241666667,23.6763333333,34.5749166667,21.6494166667,61.248,21.3616666667
767.57,18.7404166667,66.4359166667,58.6198333333,55.0538333333,48.28975,23.5334166666,34.5648333333,21.7418333334,61.2365,21.4854166667
767.88,18.83475,66.3274166667,58.6505833333,55.3103333333,48.4223333333,23.75275,34.7788333333,21.9328333333,61.3430833333,21.7036666667
768.20,18.6343333333,65.9639166666,58.1883333333,54.7605833333,47.88275,23.327,34.33525,21.6086666667,61.3348333333,21.5406666667
768.51,18.76275,66.1730833333,58.3099166667,55.08075,47.9084166667,23.2985,34.297,21.5500833333,61.58575,21.6205
768.82,18.9415833333,65.4861666667,58.0859166667,54.9019166667,47.9011666666,23.5960833334,34.2471666667,21.67325,61.1364166666,21.6496666667
769.13,19.4075,65.0125833333,58.0591666667,55.121,48.168,24.0575,34.4633333334,22.0619166666,60.8481666667,21.8984166667
769.44,19.3291666666,64.5894166666,57.919,54.71525,47.9080833333,23.9858333333,34.4109166667,22.1035833334,60.7129166667,22.0206666667
769.76,19.735,65.45625,58.60725,55.2303333333,48.4260833334,24.2528333333,35.1115833333,22.5740833333,61.2123333333,22.43975
770.07,19.36975,65.002,58.3740833333,54.8971666667,48.0604166667,23.6408333333,34.61625,22.0219166667,61.1943333334,22.2509166667
770.38,19.2831666667,65.1009166667,58.3956666667,54.8168333333,48.1534166667,23.4810833333,34.4099166667,21.7435833334,61.1319166667,22.30025
770.69,18.9934166667,64.4873333333,58.0754166667,54.122,48.2785833333,23.4681666667,34.0756666667,21.38875,60.6654166667,22.0151666667
771.00,19.2345,64.2629166667,57.92025,53.89675,48.0940833333,23.7611666667,33.7938333333,21.3098333333,60.3981666667,22.19925
771.32,18.5221666667,64.44025,58.0878333333,53.722,47.9971666667,22.99175,33.15325,20.61775,60.25425,21.6873333334
771.63,18.1705833333,64.1949166667,58.2115833333,54.0200833334,47.9208333333,23.0203333333,33.1065,20.5540833333,59.9203333333,21.483
771.94,17.83,63.76075,57.966,53.7020833333,47.8345833333,22.8400833334,32.65975,20.5076666667,59.6915,21.2146666667
772.25,17.605,63.3881666667,57.3615833333,53.0774166666,47.4530833333,22.82175,32.2163333333,20.2525,59.1153333333,21.0065833333
772.56,17.679,63.9385,57.5840833333,53.32875,47.7750833333,22.9580833333,32.4009166667,20.26425,59.7689166667,20.91625
772.87,17.7128333333,64.598,57.963,53.4850833333,48.0900833333,23.03725,32.2694166667,20.0164166667,59.7260833333,20.4514166667
773.18,17.4763333333,63.994,57.6250833333,53.0833333333,48.0,22.899,31.29175,19.3989166667,59.244,20.2499166667
773.50,18.2616666667,64.2471666667,58.34525,53.3811666667,48.2915,23.4350833333,31.3918333333,20.0239166667,59.2951666667,20.4
773.81,17.8775833333,63.2725833333,57.3431666667,52.4993333333,47.5303333333,22.9659166667,30.76225,19.39275,58.5838333334,19.9713333333
774.12,18.1938333333,64.03325,57.60575,52.9400833334,47.5648333333,23.3165,31.3490833333,19.9735833333,58.8863333333,20.4245833333
774.43,17.2943333333,64.6161666667,58.0288333334,53.2315,47.8685,22.8623333333,31.6491666667,19.66825,59.3898333333,19.8485
774.74,18.6840833333,65.1950833333,58.3579166667,53.64225,48.4118333334,24.0556666667,33.0940833333,21.0448333333,60.038,20.9834166667
775.05,19.2988333333,65.695,58.5978333333,53.8254166666,48.55475,24.5388333333,33.3086666666,21.60525,60.1353333333,21.2545
775.36,19.5453333334,65.6781666667,58.6361666666,54.0955833333,48.2765,24.6478333333,33.7225,21.8370833333,60.2669166667,21.57775
775.67,20.5355,66.88625,59.70025,55.6245,49.4356666667,25.2883333333,34.7191666666,22.6235,61.6565833333,22.542
775.98,20.85225,67.1625,59.921,55.7101666667,49.71775,25.69025,35.2409166667,23.1363333333,61.6215833334,23.3308333333
776.30,21.34725,67.2681666667,60.3384166667,56.39725,50.2945,26.1276666667,36.10925,23.8721666667,62.2431666667,24.0411666667
776.61,21.5453333333,66.954,60.56975,56.5654166667,50.25,26.2619166667,36.4754166666,24.1190833333,62.6875,24.1440833333
776.92,21.1243333334,66.6791666667,60.1176666666,56.1670833333,50.2504166666,25.9765833333,36.8394166667,24.017,62.6909166667,24.1610833333
777.23,21.0746666667,66.6541666667,60.4966666667,56.15125,50.301,26.091,37.10175,24.7115833333,62.81025,24.21
777.54,20.8775833333,66.19125,60.2548333333,56.3166666667,50.34875,25.704,36.8085833334,24.1626666667,62.6648333333,23.7188333333
777.85,21.79975,65.4361666666,59.8931666667,56.1706666666,50.2485,26.3235833334,36.5833333333,24.7885833334,62.1115833333,24.3848333333
778.16,21.4266666667,65.4295,59.7714166666,56.1918333333,50.1445,26.2935,35.73225,24.5163333333,61.6490833333,24.1018333333
778.47,21.0203333333,65.45,59.4993333334,55.8681666667,50.1203333334,25.9823333333,35.6335833333,24.303,61.4893333333,24.1825
778.78,20.0860833333,64.954,58.5771666667,54.9525,49.615,25.2565833333,34.6998333333,23.1973333333,60.4504166666,22.97925
779.09,19.7385833333,64.7604166667,58.3784166667,54.4565,49.3495,24.9485,34.20925,23.03575,60.0656666667,22.7911666666
779.40,19.2048333333,64.1284166667,57.93175,54.1828333333,49.01575,24.3655833333,33.47575,22.2676666667,59.7579166667,22.36475
779.71,18.4483333333,63.2929166667,57.06075,53.1388333333,48.336,23.7666666666,32.41975,21.51525,59.0771666667,21.7698333333
780.02,17.9969166667,63.2513333333,56.6454166667,52.6608333333,48.1069166667,23.4710833334,32.2014166666,21.18075,58.4393333333,21.54475
780.33,18.1185833333,63.3321666667,56.3774166666,52.93675,47.7724166667,23.6873333333,31.97425,21.1018333334,57.8890833334,21.6521666667
780.64,17.6426666667,63.26725,56.0581666667,52.7801666667,47.5835,23.55275,31.3341666667,20.2141666667,57.5255833333,21.0890833333
780.95,17.7364166667,63.81175,56.705,53.1003333333,48.0035,23.7666666667,31.1189166667,20.2915833333,57.87,21.3614166667
781.26,17.6668333333,64.059,56.8570833334,53.0145833334,48.2890833333,23.9444166667,31.7468333333,19.9779166666,58.223,21.13
781.57,17.879,64.0816666667,57.3579166666,53.29575,48.5576666667,24.0175,32.2185833333,20.0459166667,58.6609166667,21.3209166667
781.88,18.27825,64.4049166667,58.0576666667,53.6894166666,49.0245,24.3568333334,32.6125,20.2148333334,59.40775,21.6073333333
782.19,18.0318333333,64.3274166667,57.9493333333,53.3418333333,48.6419166666,24.21075,32.7076666667,20.1508333333,58.8736666667,22.1914166667
782.50,16.9109166667,63.4770833333,57.1694166667,52.5935,47.9885833333,23.6208333333,32.5430833333,19.5115833333,58.1895,21.3864166667
782.81,16.9948333333,64.1514166666,57.7061666667,52.8216666667,48.14075,23.7898333333,32.8374166667,19.5464166666,58.1946666667,21.2015833334
783.12,17.4168333333,65.1001666667,58.5098333334,53.5084166667,48.8745,24.42625,33.3774166666,19.82925,58.6789166667,21.8375833333
783.43,17.2018333333,65.0535833333,58.5489166667,53.35275,48.78075,24.3011666666,33.40775,19.6475,59.1063333333,21.6548333333
783.74,17.1295833333,65.475,59.3123333333,53.8935,49.3244166667,24.6053333333,33.9785,20.11225,60.1699166666,21.63775
784.05,18.2616666667,66.2545833333,60.3555,54.8,50.374,25.4959166667,34.8214166667,21.1995833333,60.989,22.7564166667
784.36,19.2489166667,66.14725,59.8389166667,54.5921666667,50.44425,26.00125,35.667,21.9815,60.923,23.4116666666
784.67,19.1834166667,66.3625833333,59.9225833333,54.54675,50.4941666667,25.38775,35.1201666667,21.82175,60.5004166667,23.6085833333
784.98,18.2184166667,65.25875,58.71175,53.3909166667,49.48525,24.43225,34.5065833334,20.95825,59.3023333334,22.8429166667
785.29,17.5,64.6289166667,58.2501666667,53.12875,49.28025,23.9999166667,34.1513333333,20.5150833333,59.0833333333,22.5756666667
785.60,17.3929166667,63.8214166667,57.86925,52.5906666667,49.2514166667,23.3829166667,33.5205,20.4178333333,59.1044166667,21.8628333333
785.91,18.25825,63.8374166667,57.9501666667,52.5641666667,49.4400833334,23.9538333333,33.8858333333,21.2053333334,59.0701666667,22.3769166667
786.22,18.5711666667,63.7844166667,57.76425,52.9553333333,49.8249166666,24.2339166667,34.1945,21.8841666667,59.2601666667,22.4459166667
