wavelength,Back_ChrSalf,Belly_ChrSalf,Breast_ChrSalf,Crissum_ChrSalf,Crown_ChrSalf,DorTail_ChrSalf,Patch10_ChrSalf,Patch11_ChrSalf,Rump_ChrSalf,Throat_ChrSalf,WingTip_ChrSalf
637.23,12.264,42.1593333333,35.2053333333,41.6516666667,8.46533333333,10.167,34.6543333333,33.5123333333,15.0646666667,32.1853333333,11.543
637.56,12.205,42.0986666667,35.116,41.7063333333,8.329,10.083,34.5513333333,33.3686666667,14.9803333333,32.1683333333,11.5055
637.90,12.302,42.1286666667,35.1993333333,41.7336666667,8.37066666667,9.984,34.5453333333,33.4163333333,15.0353333333,32.1416666667,11.5215
638.23,12.244,42.2543333333,35.2406666667,41.7596666667,8.36,9.842,34.5556666667,33.4843333333,15.09,32.1866666667,11.417
638.56,12.2206666667,42.311,35.2776666667,41.7476666667,8.26433333333,9.765,34.5643333333,33.4863333333,15.1633333333,32.2246666667,11.414
638.89,12.2306666667,42.3046666667,35.2593333333,41.6223333333,8.29866666667,9.713,34.549,33.6123333333,15.127,32.189,11.429
639.22,12.1906666667,42.3256666667,35.359,41.571,8.29066666667,9.691,34.519,33.516,15.154,32.2136666667,11.346
639.55,12.226,42.3543333333,35.4626666667,41.6636666667,8.24066666667,9.74,34.4603333333,33.604,15.1896666667,32.2573333333,11.3875
639.88,12.1353333333,42.2696666667,35.3426666667,41.6436666667,8.20066666667,9.656,34.5296666667,33.5073333333,15.1123333333,32.1916666667,11.349
640.21,12.049,42.2713333333,35.2213333333,41.6193333333,8.172,9.734,34.3963333333,33.532,15.0036666667,32.0876666667,11.2795
640.54,12.2193333333,42.4096666667,35.3416666667,41.5356666667,8.268,9.914,34.4613333333,33.4193333333,15.085,32.126,11.235
640.87,12.259,42.629,35.403,41.509,8.21566666667,10.059,34.5833333333,33.4236666667,15.092,32.1766666667,11.284
641.20,12.3206666667,42.6496666667,35.623,41.4743333333,8.37633333333,10.192,34.703,33.5416666667,15.255,32.2896666667,11.416
641.53,12.266,42.755,35.6116666667,41.4736666667,8.29933333333,10.313,34.8626666667,33.5673333333,15.1613333333,32.4043333333,11.427
641.87,12.3983333333,42.7533333333,35.551,41.5183333333,8.46833333333,10.379,34.981,33.6813333333,15.2676666667,32.436,11.474
642.20,12.4696666667,42.9133333333,35.7163333333,41.6306666667,8.528,10.583,35.1196666667,33.778,15.3666666667,32.592,11.53
642.53,12.5436666667,43.0883333333,35.868,41.7986666667,8.51366666667,10.606,35.1393333333,33.8703333333,15.4133333333,32.8036666667,11.641
642.86,12.5373333333,43.1633333333,35.7523333333,41.9016666667,8.50833333333,10.579,35.2286666667,33.9663333333,15.4133333333,32.936,11.808
643.19,12.6083333333,43.386,35.7476666667,41.818,8.53433333333,10.598,35.3016666667,33.8783333333,15.447,32.9826666667,11.697
643.52,12.627,43.4593333333,35.8133333333,42.0383333333,8.676,10.563,35.2343333333,33.8876666667,15.5723333333,32.971,11.8155
643.85,12.692,43.4163333333,35.9496666667,42.0256666667,8.72833333333,10.422,35.3456666667,33.8373333333,15.6373333333,33.026,11.854
644.18,12.725,43.3936666667,35.9193333333,42.2496666667,8.84066666667,10.318,35.3166666667,34.0326666667,15.7233333333,33.129,11.997
644.51,12.845,43.3996666667,36.0153333333,42.3996666667,9.031,10.332,35.2673333333,34.1383333333,15.9043333333,33.222,12.015
644.84,12.7993333333,43.5856666667,35.9053333333,42.4536666667,8.925,10.332,35.3086666667,34.0933333333,15.773,33.232,11.917
645.17,12.777,43.3033333333,35.7816666667,42.445,8.94533333333,10.115,35.0536666667,33.985,15.7216666667,33.0836666667,11.821
645.50,12.5936666667,43.2573333333,35.7853333333,42.3833333333,8.77766666667,9.989,34.824,33.8666666667,15.6186666667,33.0213333333,11.714
645.83,12.5866666667,43.1363333333,35.7116666667,42.3363333333,8.775,9.894,34.832,33.7823333333,15.5406666667,32.8193333333,11.6635
646.16,12.632,43.0173333333,35.7073333333,42.309,8.777,9.94,34.7856666667,33.662,15.4833333333,32.6213333333,11.615
646.49,12.6046666667,43.0086666667,35.7756666667,42.2656666667,8.71566666667,9.838,34.6716666667,33.6686666667,15.4726666667,32.576,11.4665
646.82,12.4843333333,42.8793333333,35.6846666667,42.123,8.69266666667,9.863,34.572,33.5386666667,15.39,32.3896666667,11.456
647.15,12.3866666667,42.744,35.603,41.98,8.59666666667,9.922,34.594,33.5493333333,15.4163333333,32.4473333333,11.3435
647.48,12.4013333333,42.8033333333,35.5336666667,41.979,8.574,10.036,34.6153333333,33.6286666667,15.4693333333,32.4583333333,11.467
647.81,12.4153333333,42.852,35.657,42.1166666667,8.61066666667,9.976,34.7133333333,33.715,15.474,32.3783333333,11.473
648.14,12.2673333333,42.6813333333,35.4436666667,41.829,8.38833333333,10.085,34.5846666667,33.452,15.2843333333,32.1613333333,11.369
648.47,12.273,42.4653333333,35.309,41.7946666667,8.36833333333,10.046,34.5163333333,33.3873333333,15.338,32.0213333333,11.353
648.80,12.2476666667,42.6213333333,35.3136666667,41.8166666667,8.30133333333,10.06,34.6383333333,33.3296666667,15.3973333333,32.0856666667,11.422
649.13,12.2863333333,42.6363333333,35.4233333333,41.8296666667,8.31733333333,10.139,34.7516666667,33.3013333333,15.3663333333,32.126,11.4735
649.46,12.1923333333,42.5383333333,35.313,41.7266666667,8.26833333333,10.042,34.583,33.3086666667,15.3046666667,32.119,11.441
649.79,12.178,42.6453333333,35.3706666667,41.973,8.25966666667,10.165,34.706,33.4113333333,15.2676666667,32.1456666667,11.445
650.11,12.2833333333,42.7623333333,35.4296666667,42.0473333333,8.413,10.144,34.7746666667,33.468,15.367,32.193,11.5945
650.44,12.355,42.7903333333,35.3653333333,42.137,8.397,10.146,34.8423333333,33.563,15.2953333333,32.245,11.6675
650.77,12.5156666667,42.8633333333,35.5773333333,42.112,8.51066666667,10.225,34.9916666667,33.63,15.2993333333,32.289,11.6545
651.10,12.487,42.9196666667,35.6066666667,42.1723333333,8.41966666667,10.171,34.9583333333,33.6046666667,15.2853333333,32.2126666667,11.5615
651.43,12.5046666667,42.8233333333,35.6186666667,41.9923333333,8.293,10.184,34.9143333333,33.5623333333,15.2613333333,32.2206666667,11.536
651.76,12.6246666667,42.9626666667,35.7553333333,42.1596666667,8.32466666667,10.174,35.0836666667,33.6763333333,15.358,32.3573333333,11.6645
652.09,12.7986666667,43.1096666667,35.9616666667,42.2686666667,8.44933333333,10.248,35.2453333333,33.894,15.466,32.6166666667,11.8335
652.42,12.813,43.055,35.9473333333,42.1986666667,8.559,10.271,35.1913333333,33.8863333333,15.5523333333,32.5413333333,11.865
652.75,12.9913333333,43.2456666667,35.9486666667,42.2936666667,8.64433333333,10.487,35.41,34.0446666667,15.7326666667,32.64,12.093
653.08,13.1003333333,43.408,36.0913333333,42.375,8.676,10.6,35.4786666667,34.116,15.8443333333,32.7026666667,12.182
653.41,13.01,43.1373333333,35.9266666667,42.1453333333,8.62966666667,10.504,35.2956666667,34.019,15.9646666667,32.589,12.102
653.74,12.9943333333,42.9896666667,35.8256666667,42.0663333333,8.51166666667,10.458,35.2163333333,34.0463333333,15.9743333333,32.521,11.9145
654.06,12.988,43.1686666667,35.886,42.1063333333,8.665,10.476,35.316,34.034,16.1076666667,32.551,11.868
654.39,12.89,43.09,35.718,42.0936666667,8.55333333333,10.314,35.297,33.9016666667,16.0536666667,32.4756666667,11.8315
654.72,12.8566666667,43.1276666667,35.6863333333,41.997,8.58,10.212,35.1813333333,33.838,15.9836666667,32.5133333333,11.806
655.05,12.7313333333,43.201,35.4833333333,41.9216666667,8.55,10.196,35.216,33.795,15.951,32.539,11.903
655.38,12.5343333333,43.0823333333,35.5026666667,41.8883333333,8.46733333333,10.078,35.07,33.689,15.8136666667,32.3306666667,11.8115
655.71,12.403,43.0776666667,35.3076666667,41.9333333333,8.41266666667,10.111,34.9363333333,33.6086666667,15.777,32.2006666667,11.695
