wavelength,Back_LoxViom,Belly_LoxViom,Breast_LoxViom,Crissum_LoxViom,Crown_LoxViom,DorTail_LoxViom,Patch10_LoxViom,Rump_LoxViom,Throat_LoxViom,WingTip_LoxViom
759.13,6.38213333333,6.792,4.97133333333,34.7282666667,5.62533333333,8.27313333333,32.5548,7.86613333333,40.0414,11.0590666667
759.44,6.07226666667,6.59553333333,4.68206666667,34.4984,5.39106666667,8.03513333333,32.265,7.55326666666,39.8874666667,10.8075333333
759.75,6.21773333333,6.72073333333,4.69566666667,34.5698,5.53453333333,8.1828,32.3588666667,7.56253333333,40.0944,10.9135333333
760.07,6.30373333333,6.92423333333,4.91666666667,34.7814,5.7374,8.24506666667,32.6980666667,7.67673333333,40.4280666667,11.0387333333
760.38,6.46726666667,7.16273333333,5.19366666667,35.0019333333,6.02506666666,8.5348,32.9420666667,7.94406666667,40.7062666667,11.1366
760.69,6.6476,7.2755,5.3414,34.921,6.27213333333,8.61626666667,33.0804666667,8.05506666667,40.6608,11.0983333333
761.01,6.62173333333,7.18546666667,5.31086666667,34.9716,6.2834,8.6638,33.0472,7.9326,40.6076666667,11.1079333333
761.32,6.3008,6.86153333333,4.9754,34.9334666667,5.88753333333,8.41253333333,32.8708666666,7.51133333333,40.5533333334,10.7682
761.63,6.44326666667,6.92073333333,5.05146666667,34.9747333334,5.9002,8.5156,32.8443333333,7.5902,40.6723333333,10.9322666667
761.94,6.23313333333,6.63896666667,4.79,34.8992666667,5.69886666667,8.35346666667,32.5957333333,7.458,40.5914666667,10.8215333333
762.26,6.3516,6.6562,4.8678,34.962,5.80166666667,8.48,32.6662666667,7.5604,40.5626666667,10.8720666667
762.57,6.40593333333,6.71343333333,4.90193333334,35.1260666667,5.90526666667,8.56373333333,32.806,7.61366666667,40.8533333333,10.9868666667
762.88,6.2766,6.5532,4.71806666667,35.1188666667,5.8028,8.41713333333,32.7864,7.4314,40.8882,10.946
763.20,5.97126666667,6.2612,4.505,34.9796666667,5.52653333333,8.19733333333,32.6558,7.20593333334,40.7209333333,10.6924666667
763.51,5.85406666667,6.14563333333,4.3812,34.8297333333,5.4144,8.09653333333,32.5429333333,7.0692,40.5609333333,10.5061333333
763.82,5.66553333333,5.94303333333,4.1162,34.7143333333,5.19106666667,7.8274,32.3946,6.83233333333,40.3858666667,10.3659333333
764.14,5.60386666667,5.91986666667,4.02833333333,34.834,5.10013333333,7.78166666667,32.275,6.79086666666,40.5262,10.3408666667
764.45,5.52646666667,5.88706666667,3.93346666666,34.8879333333,5.01533333333,7.73013333333,32.3957333333,6.7894,40.7305333333,10.2746666667
764.76,5.736,6.09056666667,4.0144,34.785,5.30593333333,7.944,32.3463333333,7.05746666667,40.6138,10.4896666667
765.07,5.6944,6.03736666667,3.8368,34.8194,5.33593333334,7.89753333333,32.3905333333,6.98913333333,40.5844,10.4624
765.39,5.95846666667,6.29293333333,3.99866666667,35.096,5.5608,8.16513333333,32.6664,7.14853333333,40.89,10.6927333333
765.70,5.951,6.29506666667,4.03013333334,35.1526,5.53946666666,8.1834,32.6736,7.1342,40.9622666667,10.7438
766.01,5.7262,6.02046666667,3.7796,34.9527333333,5.22506666667,7.89213333333,32.4309333334,6.86733333333,40.6883333333,10.4464666667
766.32,5.88273333333,6.24253333333,3.88493333333,35.0598666667,5.2216,8.07353333333,32.5938,6.94206666667,40.794,10.4612
766.64,6.05166666667,6.46906666667,3.90126666667,35.0675333333,5.31113333333,8.08906666667,32.6285333334,7.00973333333,40.7594,10.5993333333
766.95,6.0138,6.46693333334,3.65546666667,35.0256666667,5.1884,8.03793333334,32.6738666667,6.9176,40.7294,10.5578666667
767.26,6.2614,6.72776666667,3.794,35.1171333333,5.4306,8.18786666667,32.8805333333,7.0786,40.91,10.6825333333
767.57,6.21406666667,6.85923333333,3.78613333333,34.993,5.39693333333,8.20733333333,32.9784,7.17313333333,40.719,10.6701333333
767.88,6.0842,6.71213333333,3.65206666667,34.787,5.2916,8.094,32.7582,7.06773333333,40.4153333333,10.4856
768.20,5.77266666667,6.44,3.3642,34.6633333333,4.94513333334,7.73306666667,32.5847333333,6.65673333333,40.2412666667,10.2745333333
768.51,5.54073333333,6.21676666667,3.14653333333,34.3779333333,4.6614,7.40633333333,32.4716666667,6.31326666667,40.2288,9.9936
768.82,5.32466666667,5.8714,2.81606666667,33.8504,4.38073333334,7.0752,32.0532,5.94006666667,39.7362,9.62246666666
769.13,4.69773333333,5.3234,2.14493333333,33.5362,3.83893333333,6.48,31.6901333333,5.3834,39.4185333333,9.08093333334
769.44,4.8506,5.59306666667,2.45113333333,33.7976,4.15026666667,6.7644,31.8730666667,5.69766666667,39.5196,9.35673333333
769.76,4.98266666667,5.69276666667,2.6994,33.9826,4.51926666667,6.92466666667,32.0293333333,5.9482,39.6116,9.56026666668
770.07,5.07793333333,5.73213333333,2.7442,34.0158,4.57386666667,7.01773333333,32.0843333333,5.90193333333,39.7422666667,9.46753333333
770.38,5.2058,5.84333333333,2.95066666667,34.4088,4.8552,7.3102,32.2492666667,6.08106666667,40.1534666667,9.67833333333
770.69,4.52233333333,5.25283333333,2.43113333333,34.0461333333,4.32126666667,6.8944,31.7509333333,5.655,39.8226,9.22206666667
771.00,4.3194,4.90683333333,2.23833333333,34.148,4.11313333333,6.7062,31.6613333333,5.44286666667,40.0696,9.15039999999
771.32,4.54833333333,5.17653333333,2.5156,34.287,4.37713333333,6.9632,31.6949333333,5.67026666667,40.1434666667,9.381
771.63,4.2938,4.83323333333,2.19826666667,34.2283333333,4.0942,6.6478,31.6588666667,5.4442,40.1028666667,9.0708
771.94,4.30186666667,4.80666666667,2.1886,34.2515333333,4.03153333333,6.66986666667,31.5724,5.56286666666,39.827,9.1762
772.25,4.45613333333,5.22066666667,2.6424,34.7089333333,4.37293333333,7.09533333333,31.9609333333,5.95006666667,40.1632,9.55846666665
772.56,5.04266666667,5.98373333333,3.4188,35.3310666667,5.001,7.78486666667,32.4827333333,6.54746666667,40.7024666667,10.1596
772.87,5.54686666667,6.23036666667,3.6784,35.4101333333,5.22146666667,8.20633333333,32.7638,6.84893333333,40.8756666667,10.4493333333
773.18,5.57253333333,6.1851,3.7116,35.3744,5.29066666667,8.14406666667,32.8191333333,6.9844,40.8747333333,10.3980666667
773.50,5.6052,6.2235,3.92853333333,35.4992666667,5.59193333333,8.30693333333,32.9728666667,7.30826666667,40.8532666667,10.5654666667
773.81,5.0442,5.6685,3.43846666667,34.8187333333,4.904,7.6516,32.5622666667,6.80013333334,40.0734666667,10.1118
774.12,5.29146666666,5.81556666667,3.5322,34.9848,4.98466666667,7.78233333333,32.9558,6.92273333333,40.2257333333,10.3842666667
774.43,5.14026666666,5.56816666667,3.18273333333,34.8664666667,4.7878,7.666,33.0151333333,6.40653333333,40.0205333333,10.1986
774.74,4.9094,5.32946666667,2.9498,34.8187333333,4.44213333333,7.25933333333,33.0404666667,6.1122,40.0977333333,9.9128
775.05,4.8156,5.5619,3.19633333333,34.8402,4.41166666667,7.27426666667,33.1366666667,6.1784,40.2142,9.86646666666
775.36,4.92253333333,5.828,3.57653333333,35.0916666667,4.61933333333,7.5474,33.2803333334,6.3742,40.3418,9.85546666665
775.67,4.35253333333,5.0547,2.676,34.6872666667,3.81513333333,6.7276,32.9858,5.7926,40.0608666667,9.08113333333
775.98,3.608,4.02613333333,1.60026666667,34.0352,2.9424,5.86646666667,32.3476,4.93186666667,39.6254666667,8.20873333333
776.30,2.8766,3.53843333334,0.865333333333,33.9027333333,2.31466666666,4.99546666667,32.1649333333,4.32606666667,39.4564,7.66500000001
776.61,2.79233333333,3.53276666667,0.819933333332,33.6066666667,2.17166666667,4.81993333333,32.1256,4.1588,39.3646666667,7.70460000001
776.92,2.47213333333,3.34646666667,0.3864,33.5997333333,1.6394,4.3856,32.1104,3.72913333333,39.6210666667,7.45820000001
777.23,2.69526666667,3.51976666667,0.636266666667,33.9808,1.69013333333,4.46826666667,32.2154666667,3.88106666667,40.0866,7.6002
777.54,2.891,3.7419,0.914666666666,33.9055333333,1.82573333333,4.57746666667,32.1588,4.09573333333,40.2032666667,7.50233333333
777.85,3.18413333333,4.21986666667,1.39246666667,34.0014666667,2.25093333333,4.80026666667,32.1724,4.58753333333,40.2015333333,7.626
778.16,3.46006666667,4.38623333333,1.51066666667,34.0922666667,2.50373333333,5.13766666667,32.1651333333,4.74706666667,40.2380666667,7.84966666666
778.47,3.9554,4.6592,1.8102,34.5101333333,2.91253333333,5.49353333333,32.3762,5.1024,40.5438,8.28306666666
778.78,4.62713333333,5.36896666667,2.2386,35.2826666667,3.70333333333,6.32473333333,33.0780666667,5.9606,41.649,9.08533333333
779.09,4.96046666667,5.70623333333,2.62893333333,35.42,4.09033333333,6.5612,33.3484666667,6.21093333333,41.8907333333,9.36353333334
779.40,5.058,5.91296666667,2.85713333333,35.298,4.27833333333,6.67406666667,33.3221333333,6.61033333334,41.5222666667,9.54993333333
779.71,4.97173333333,6.0339,2.81353333333,35.2618,4.36533333333,6.7722,33.3259333333,6.73826666667,41.6044666667,9.68739999999
780.02,4.4916,5.50273333333,2.30493333333,35.0228666667,3.8036,6.56346666667,32.7714666667,6.25766666667,41.2461333333,9.14753333334
780.33,4.31266666667,5.0211,2.1852,34.8041333333,3.68673333334,6.36326666667,32.5692,6.15206666667,40.9406666667,8.95166666666
780.64,4.412,4.90713333333,2.07253333333,34.6016,3.7352,6.47353333333,32.5714,6.20653333333,40.6766666667,8.74726666667
780.95,4.3458,4.80143333333,2.04046666667,34.8715333333,3.81626666667,6.51473333333,32.6130666667,6.28486666667,40.4945333333,8.90979999999
