wavelength,Back_DigAlbm,Belly_DigAlbm,Breast_DigAlbm,Crissum_DigAlbm,Crown_DigAlbm,DorTail_DigAlbm,Patch10_DigAlbm,Rump_DigAlbm,Throat_DigAlbm,WingTip_DigAlbm
377.99,9.03886666666,12.0502666667,9.72419999999,10.5007333333,7.93453333334,7.41786666667,53.7921333333,10.0830666667,9.77419999999,7.76966666667
378.35,9.03133333333,11.9948666667,9.73173333333,10.4572666667,7.88053333333,7.463,53.7816,10.0489333333,9.75900000001,7.728
378.71,9.0756,12.0714,9.82993333333,10.512,7.95346666667,7.5702,53.8656,10.1700666667,9.83706666667,7.80793333333
379.07,9.07813333334,12.1022,9.83273333334,10.5478,8.04026666666,7.5816,53.8958666667,10.223,9.88920000001,7.87646666667
379.44,9.09806666666,12.1411333333,9.85973333333,10.5756,8.0688,7.59746666667,53.9428,10.2389333333,9.89413333332,7.8672
379.80,9.03246666666,12.0554,9.75453333333,10.4264666667,7.99446666666,7.47593333333,54.0117333333,10.1554,9.79800000001,7.75046666667
380.16,9.10786666667,12.1384666667,9.83560000001,10.4925333333,8.13,7.54533333333,54.1052666667,10.2142666667,9.91840000001,7.835
380.52,9.07426666666,12.0951333333,9.77306666666,10.4644,8.11086666667,7.49286666667,54.0915333333,10.1597333333,9.85426666666,7.79066666667
380.88,9.05746666666,12.1221333333,9.77060000001,10.464,8.13833333333,7.46433333333,54.2064,10.1708666667,9.80966666666,7.7638
381.24,9.07373333333,12.1873333333,9.7728,10.5206,8.17873333333,7.4922,54.362,10.2057333333,9.81733333333,7.802
381.61,8.96853333333,12.1117333333,9.64466666667,10.429,8.1044,7.34366666667,54.3709333333,10.1212,9.71633333334,7.68786666667
381.97,8.88353333333,12.0152,9.55113333333,10.4086,8.0352,7.2866,54.3777333333,10.0858666667,9.66953333334,7.61566666667
382.33,8.88640000001,12.0312666667,9.53106666666,10.4421333333,8.07013333334,7.32473333333,54.4784,10.141,9.70139999999,7.6334
382.69,8.9372,12.0190666667,9.51686666666,10.4541333333,8.04433333333,7.3006,54.5706666667,10.1123333333,9.69093333335,7.63113333333
383.05,8.99046666667,12.0667333333,9.56133333333,10.4881333333,8.07513333333,7.32933333333,54.5128,10.1478666667,9.72200000001,7.67746666667
383.41,9.01793333334,12.0966666667,9.62293333333,10.5157333333,8.12379999999,7.37546666667,54.5764,10.2052666667,9.7574,7.728
383.77,9.04793333333,12.1592,9.71533333333,10.6124,8.15913333333,7.41006666667,54.6307333333,10.2214,9.79559999998,7.75733333333
384.14,8.87693333334,11.9702,9.58020000001,10.4515333333,7.97373333334,7.25986666667,54.5507333333,10.0464,9.62066666667,7.57786666667
384.50,8.91359999999,11.9684,9.57466666666,10.464,7.96346666666,7.2332,54.6786,10.0477333333,9.62746666667,7.55726666667
384.86,8.93026666667,11.9746666667,9.56966666667,10.4789333333,7.96186666667,7.22313333333,54.7844666667,10.0848,9.62933333332,7.58546666667
