wavelength,Back_SalMulm,Belly_SalMulm,Breast_SalMulm,Crissum_SalMulm,Crown_SalMulm,DorTail_SalMulm,Patch10_SalMulm,Patch11_SalMulm,Patch12_SalMulm,Patch13_SalMulm,Rump_SalMulm,Throat_SalMulm,WingTip_SalMulm
785.60,40.1031277778,71.2444333333,35.7066666667,61.1784,40.0576,20.6735833333,67.9027333333,14.2644333333,57.6555333333,52.1835384615,33.6752916667,63.8896666667,32.8143333333
785.91,40.3583644445,71.2992,36.2972,61.1205333333,40.6091333333,21.1834166667,68.0388666667,14.0762333333,58.2013666667,52.3814666667,34.0886,63.8816,33.4756
786.22,40.8220322222,72.0066,36.3914,61.3430666667,40.9060666667,21.3390833333,68.0906,13.9602666667,58.6246333333,52.555974359,34.215275,64.0696,33.4184333333
786.53,41.1093277778,72.0800666667,37.0934666667,60.6111333333,41.4337333333,22.826,67.544,15.0254,58.8797666667,52.7218820513,34.9147833333,63.1884,34.062
786.84,39.8585411111,70.9769,35.7248666667,59.3201333333,40.0312666667,21.91275,66.5728,13.3058333333,58.3392333333,51.6829948718,33.8403916667,62.3759333334,32.4931333333
787.14,40.4072944444,70.9973666667,36.1394,59.234,40.4703333333,22.0040833333,66.9398,14.0235333333,58.4605666667,52.1263435897,34.2843416667,62.1236666667,32.0971666667
787.45,40.4327377778,70.7823,35.8544666667,58.6206666667,40.5043333333,21.9223333333,66.6445333333,14.2158666667,58.0979333333,52.2654564102,34.0813916667,61.32,31.9021666667
787.76,39.4669922222,69.0975333333,35.0162,57.4901333333,39.5038666667,21.6289166667,65.3434,13.6928,56.6631333333,50.9535282051,33.0717333333,59.6404666667,31.1219666667
788.07,38.7134655555,67.7766666667,34.7363333333,55.8114666667,38.7994,21.6055833333,64.5444,13.6265666667,55.2846,50.0019282051,32.5366833333,58.3736,29.8675
788.38,38.5306055556,67.5268333333,34.7901333333,55.5048,38.6612,21.5225833333,64.3773333333,13.3681,55.1961,49.7516358974,32.0958333333,57.8010666667,29.5214666667
788.69,38.2152277778,68.1328333333,34.9147333333,55.4928666666,38.342,21.1685833333,64.2008,13.4309666667,55.1062,49.4434358974,32.1029083333,57.736,29.1676333333
789.00,37.8842944444,68.0619333333,35.0527333333,55.2712666667,38.2312666667,20.4016666667,64.2071333333,13.0654,55.3592333333,49.0709230769,32.0647166667,57.2728,28.9148333333
789.31,38.3326122222,68.187,34.9536,55.4961333334,38.3440666667,20.1284166667,64.1042666667,13.2904,55.678,49.278625641,31.9548916667,57.7444,29.0971
789.62,38.7844066667,68.8299666667,35.3846666667,55.919,38.7505333333,20.3504166666,64.8536,14.2471333333,56.3996,49.711974359,32.2589083333,57.9488,29.9601666667
789.92,39.9510544445,70.0223333333,35.7554,57.0221333333,39.5111333333,20.7314166667,66.5778666667,14.9406666667,57.2665666667,50.8410102564,33.268625,59.163,30.4924666667
790.23,41.9941111111,71.7688666667,37.6136666667,59.1742666667,41.5000666667,21.7614166666,68.4773333333,17.038,58.8712666667,52.9370102564,34.9071333333,60.6212,32.5490666667
790.54,41.3877533333,71.3007333333,37.1119333333,58.8618,40.9213333333,21.3994166667,68.076,16.5041,58.5985,52.3744,34.2944416667,60.4026,32.9889333333
790.85,41.2151888889,70.9404,37.2224,59.4603333333,40.9366,21.16075,68.1824,16.5950333333,59.0674666667,52.3266666667,34.7102833333,60.7300666667,33.6072333333
791.16,42.2977533334,71.7601333333,38.2928,59.9594,42.0651333333,21.4125833333,69.1708,16.9919,60.1829,53.6066205128,35.554975,62.0406666667,34.4877333333
791.47,43.6490944444,72.5631333333,39.2132,61.3912666667,43.4616666667,21.5838333333,70.1614666667,18.5589333333,61.5611333333,55.1489025641,36.8365,63.5445333333,35.7597333333
791.78,43.8393055556,72.025,39.375,61.2583333333,43.4916666667,21.5,70.0,19.0625,61.4083333333,55.4314102564,37.2395833333,64.05,35.6708333333
792.08,42.3501688889,69.4736666667,36.8593333333,59.5122,41.5318666667,19.7585,68.6606,16.3500333333,59.4437,54.0001794872,35.2085916667,62.3791333333,33.3420333333
