wavelength,Back_PhrEryf,Belly_PhrEryf,Breast_PhrEryf,Crissum_PhrEryf,Crown_PhrEryf,DorTail_PhrEryf,Rump_PhrEryf,Throat_PhrEryf,WingTip_PhrEryf
235.91,7.77780000001,17.8585666667,-1.49493333333,3.85856666667,5.69700000001,15.5755333333,2.94933333333,9.85859999999,10.99
236.29,9.60270000001,20.0691666667,2.76320000001,6.78753333333,11.399,16.2866333333,6.80473333333,12.677,13.4370666667
236.66,8.594,19.5417333333,2.33806666668,6.98246666668,10.7742,17.0774333333,5.97160000001,11.564,12.8752333333
237.04,9.20640000001,20.6031333333,0.507999999998,7.00016666668,9.7144,16.0476,4.53973333333,10.7936,12.1905666667
237.41,12.6922666667,23.3476,3.50426666667,10.2422333333,14.0172666667,19.2165666667,7.97713333333,14.2449333333,15.527
237.79,14.0181,23.385,5.52979999999,11.5504,14.1343333333,19.7028333333,8.99233333333,16.2016,15.4909
238.17,13.3587333333,21.8901333333,4.95526666667,10.447,12.235,17.9438,8.45473333333,16.0408,14.2400666667
238.54,13.7531666667,20.3580666667,5.35813333333,10.9505,14.0000666667,17.4815,9.30866666667,16.2716,14.8643
238.92,12.7816666667,20.0920666667,7.3564,12.2988666667,14.5516666667,18.3332666667,10.4827333333,16.9196,15.1264333333
239.29,15.4695333333,19.8555666667,9.49433333334,14.2208333333,16.2436,19.2880333333,10.9186,18.1218666667,15.9339
239.67,12.4558333333,16.3217666667,7.29786666667,11.4201666667,11.5582666666,15.2760333333,6.39059999999,14.714,12.8205666667
240.04,12.6721333333,14.9597666667,6.29146666667,11.5549333333,11.2779333333,14.7185,6.80960000001,14.5666,13.0742666667
240.42,11.5550333333,12.6799333333,5.12826666668,10.8353666667,9.76000000001,14.4747333333,6.51786666667,13.9123333333,12.9693333333
240.79,11.0616,11.4772666667,4.95926666667,10.4825333333,8.34446666666,12.5836,6.31026666667,12.7690666667,11.7001
241.17,10.3866666667,10.3933333333,4.79999999999,9.98666666668,8.38666666667,11.7,5.68,11.9466666667,11.4066666667
241.54,10.8749,9.50706666666,6.39560000001,10.5483333333,7.51693333333,11.22,5.8534,12.1256666667,11.6944333333
241.92,9.33086666665,7.42886666667,4.87499999999,8.67936666666,5.41013333333,9.19146666667,3.7928,10.2153333333,9.7497
242.29,9.68986666665,7.45526666667,4.95273333333,8.46983333334,5.6572,8.81723333333,4.532,9.81060000001,9.93163333333
242.67,9.93196666667,7.41006666667,4.82986666667,8.9018,6.00573333333,9.25666666667,5.68513333333,10.1846666667,10.5294666667
243.05,10.4856333333,7.27626666667,4.6382,8.98096666667,5.73333333333,8.77619999999,5.8,9.97139999999,10.2998666667
243.42,9.88083333333,6.13333333333,3.89526666667,7.71913333333,4.54286666667,7.80956666667,5.08566666667,8.53333333333,9.51913333334
243.80,10.3252666667,6.40256666667,4.36573333333,7.8641,5.41253333333,8.17073333333,5.96886666667,8.77886666667,9.76433333334
244.17,10.5687,6.5881,5.49233333333,8.85356666667,6.13026666667,9.01536666667,6.491,9.19093333333,10.5685
244.55,10.9784,7.16950000001,6.31,9.11746666667,6.69406666667,9.57033333334,7.03246666667,9.47426666666,10.9922333333
