wavelength,Back_PooMelf,Belly_PooMelf,Breast_PooMelf,Crissum_PooMelf,Crown_PooMelf,DorTail_PooMelf,Patch10_PooMelf,Rump_PooMelf,Throat_PooMelf,WingTip_PooMelf
220.10,268.888933333,105.7141,-262.857333333,-229.523866667,221.904733333,306.190535555,46.6665333333,239.047533333,-586.666866667,261.904633333
220.47,123.989988889,58.1819333333,-37.5758666667,-36.3634666665,100.909133333,152.585824444,60.3031333333,107.8788,-116.363666667,138.788
220.85,99.6190666667,49.1427333333,-0.762000000067,-1.52379999986,91.2380666668,110.958806667,66.4763333333,90.6667333334,-43.619,109.333166667
221.23,112.828344445,57.3737333333,6.26246666664,18.3838666666,115.757666667,134.208788889,100.605866667,110.505133333,-38.5860666667,126.767633333
221.61,132.1297,65.6482333333,35.7407333333,44.9999333333,137.407466667,146.394931111,114.629533333,134.259266667,-6.29653333334,142.500133333
221.98,130.175455556,56.5789333333,49.2981999999,45.4385999999,136.140466667,148.783722222,118.9476,140.175533333,20.3509333333,146.0527
222.36,113.055544444,40.2272333333,38.4848666667,38.6365333333,111.3636,126.201953333,104.697066667,114.999933333,23.3334,133.257533333
222.74,89.2949,31.4102333333,39.4872666667,35.1280666666,91.4102666668,108.247722222,87.8204666667,91.5384666667,22.3078,102.948633333
223.11,85.3158999999,31.1110666667,38.6927333333,30.9804000001,92.2877333332,99.1416933333,89.0196666667,84.5751333334,25.2289333333,97.4508333333
223.49,93.9214555556,18.4314666667,15.2940666667,20.5882666667,96.6667333334,110.065435556,102.745066667,100.980266667,1.76460000001,126.078333333
223.87,86.2625,19.5454,18.1818666667,28.3333333334,76.9697333333,89.1818155555,85.6062666667,90.3030666667,19.0911333333,104.2425
224.24,101.296322222,22.0634333333,26.6668,33.3334000001,86.5080666667,98.6668600001,100.1588,98.2539333333,26.0317333333,109.4444
224.62,192.833333333,27.3333333333,33.6666666666,51.6666666665,180.0,163.933333333,191.666666667,195.0,26.0,196.5
225.00,-980.740744445,-51.1110666666,5.99939653512e-11,-186.6666,-868.888933333,-854.888940001,-1002.22226667,-995.555600002,244.444333333,-988.888733333
225.38,-158.119722222,18.7179333333,31.2819333333,1.0256,-136.9232,-106.495762222,-141.025733333,-150.256533333,101.5384,-169.2308
225.75,-57.0587444444,47.6469333334,71.7645999999,57.2548666667,-39.6077333334,-27.6077688889,-48.2352666666,-41.1763999999,136.078533333,-58.6272666666
226.13,-101.527777778,115.833333333,169.166666667,115.833333333,-59.1666666665,-34.5555555555,15.8333333332,20.8333333334,314.166666667,-57.5
226.51,-10.5128777778,43.2050333333,77.1794666667,39.2307999999,-7.43600000001,7.69214444452,38.7178,19.9999333333,112.051333333,16.5385666667
226.88,1.29969999999,31.5724,51.9497333333,29.0566666667,6.28919999999,15.1739577778,31.3208,18.7421333333,66.1636,18.6162666667
227.26,8.75426666666,30.2019666667,50.101,27.0707333333,12.3230666667,14.1784555556,35.6565333333,15.9596,56.8688666667,21.9193333333
227.64,2.31611111112,18.4507,37.3709333333,19.6243333333,2.62913333335,3.85281333335,39.061,10.4226,46.6667333333,16.8547
228.01,16.1210222222,23.5415,34.2260666667,24.2856666667,11.3096666667,14.5536044444,38.6308,20.1190666667,40.8332666667,21.3692
228.39,22.8503222222,25.3334,34.4347333333,27.1304666667,12.6956,18.21064,47.5364,21.7392666667,44.9275333333,26.2317666667
228.76,23.0936111111,22.4835666667,36.4706666667,31.8301333333,10.6535333333,15.7931244444,53.987,22.8759333333,51.5687333333,29.3463
229.14,24.9692,23.0555333333,36.7284,35.679,8.82719999999,12.9546911111,54.1976666667,23.9507333334,49.5678666667,31.4197
229.52,22.0369777778,16.7973333333,34.1830666667,31.438,5.81699999999,7.87592,56.2746,20.915,48.0393333333,31.0130333333
229.89,18.8888666667,13.021,32.7778666667,30.6944,0.972199999994,5.49067111112,60.3471333333,18.7500666667,47.7083333333,31.2499333333
230.27,13.4907,6.48966666665,24.9557333333,23.9528,-1.82893333334,1.98431333332,48.3776666667,9.91140000001,38.5251333333,23.1268
230.65,10.3703555555,6.60970000001,20.2279333333,21.5384,-4.95733333333,-0.385522222213,41.5384666667,8.71793333335,32.7066,19.2024
231.02,5.99358888888,0.73716666666,19.8718666667,20.8334666667,-11.6026666667,-5.03644666668,42.8845333333,3.84620000002,28.5256,11.8269333333
231.40,3.18436666667,-0.89336666666,21.9244666667,27.9038,-11.2028666667,-2.87291777777,43.7800666667,7.42266666666,30.1033333333,11.4775333333
231.78,-4.78036666666,-12.558,13.3332,24.1084666667,-21.0854666667,-9.79846444444,33.1005333333,-2.32560000001,22.2479333333,6.12399999999
232.15,-13.9626,-19.4779666667,5.2208,21.7670666667,-25.2208666667,-12.6131466667,25.6224,-3.2128,20.7228666667,2.28903333334
232.53,-22.5102,-28.3538666667,-0.7408,17.1192,-34.4856,-21.9919755555,16.3783333333,-6.66666666669,14.1563333333,-5.02053333333
232.90,-16.9343777778,-25.3414,-0.883533333334,17.9919333333,-27.7108666667,-19.8018422222,16.1446,-0.722933333334,13.7348666667,-3.8553
233.28,-21.6596444444,-28.0591333333,-10.2109333333,11.3924,-28.0169333333,-19.3725533333,15.0212,-2.86933333332,1.43453333333,-11.6877666667
233.66,-6.65543333333,-11.3132,0.605999999986,21.2120666667,-11.6499333333,-2.67132444444,25.6566666667,9.36026666667,10.6398666667,2.69366666667
234.03,-0.121333333326,-2.45453333333,6.48479999999,22.909,-0.969600000006,4.75758888889,25.5151333333,14.2423333333,14.1817333333,9.24236666667
234.41,1.75385555555,-4.67313333333,7.97393333335,22.2874,-1.63393333335,7.00875555555,23.1371333333,14.0524666667,14.6405333333,10.3921666667
234.78,9.09793333335,0.495100000006,14.8513333333,27.3926,3.69633333332,13.7426244444,28.4487333333,22.9042,17.2937333333,16.7987333333
235.16,11.4814666667,4.82533333334,18.7300666667,27.1112,6.28573333334,15.5808911111,26.4762,27.3650666667,13.1428,27.6190333333
235.54,-3.58535555553,-8.04123333333,2.06180000001,7.83513333333,-10.5154666667,-1.30345111111,10.1032,9.622,-2.95526666668,15.0858
235.91,-0.010355555534,3.14466666668,9.18246666665,9.11953333333,-4.33966666667,4.14486444445,17.1701333333,15.5975333333,8.55353333334,21.0691666667
236.29,-4.92064444445,-0.544333333326,9.04773333334,1.70053333334,-8.29933333333,-0.596348888894,16.5304666667,12.3808666667,4.42166666666,21.6326666667
236.66,-4.10172222221,3.29790000001,14.539,0.212666666667,-0.496400000008,5.46098666666,17.0921333333,11.1348,6.45380000001,22.9789666667
237.04,-4.02115555555,7.1111,17.3333333333,1.26973333335,2.41273333333,10.0063666667,20.9522666667,11.619,9.52379999999,24.4443333333
237.41,-14.0624,-2.98603333334,10.7640666667,-7.77760000001,-9.37500000001,0.7430911111,14.1667333333,1.1806,5.90266666667,15.6944666667
237.79,-23.0125777778,-9.10673333333,4.67346666667,-14.0206666667,-17.1821333333,-8.61397333333,3.57393333333,-7.90373333333,-1.92440000001,3.74563333333
