wavelength,Back_TanChif,Belly_TanChif,Breast_TanChif,Crissum_TanChif,Crown_TanChif,DorTail_TanChif,Patch10_TanChif,Patch11_TanChif,Rump_TanChif,Throat_TanChif,WingTip_TanChif
187.15,125.884325,137.823066666,137.414866667,124.3538,106.666666667,159.455666667,197.1428,143.6736,122.585066667,210.204133334,162.623966667
187.53,112.514633333,128.0702,126.3158,113.216333333,101.052733333,140.7018,176.257333333,133.216466667,110.994266667,177.427,143.416880953
187.91,136.4632,157.0732,165.8536,133.495933333,121.626066667,170.569266667,223.0894,163.9024,130.406533333,223.089466667,181.474876191
188.29,129.022333333,137.307666667,152.0514,126.9232,117.179533333,160.897333333,201.025533333,150.769333333,122.051266667,190.3846,165.558557143
188.67,162.383333333,160.266666667,186.8,153.6,146.133333333,192.333333333,236.533333333,180.933333333,150.933333333,225.2,195.495238095
189.05,183.488391667,172.248066667,216.589066667,174.1086,161.240333333,220.930233333,268.6822,205.736333333,172.868133333,252.093066667,212.214995238
189.43,150.520866667,134.880933333,181.3096,140.238133333,132.619,176.3691,215.4762,169.523733333,137.499866667,195.238133333,163.010219048
189.81,141.3701,125.649733333,171.5254,134.689266667,125.197733333,159.209233333,202.824866667,161.017066667,126.214733333,181.921,152.953866667
190.19,152.933333333,128.266666667,185.6,156.933333333,132.533333333,169.8,218.533333333,173.466666666,138.8,201.866666667,165.095238095
190.57,136.944316667,113.121666666,163.1746,142.963133333,121.587266667,145.5555,190.476133333,151.5342,125.926,172.275066667,147.384714286
190.95,121.742366667,98.4848,154.242266667,127.777666667,108.2828,127.070566667,170.606,141.111133333,117.0706,152.8282,131.233766667
191.33,124.142083333,98.7254666667,152.451,128.039133333,111.9608,127.6471,166.666666667,142.745066667,119.803933333,149.902,140.637290476
191.71,154.396575,114.138,177.241333333,155.1724,132.4138,149.195333333,197.126466667,164.827533333,143.563333333,178.735533333,168.522209524
192.09,144.722208333,109.758533333,157.1014,146.3768,120.773,135.217433333,173.5266,152.2706,135.652266667,161.739133333,154.375533333
192.47,158.855891667,121.017,170.734466667,166.214733333,136.949,141.356033333,192.203266667,167.5706,150.169466667,180.112866667,170.411671429
192.85,206.952408333,150.476133333,224.190533333,224.381066667,180.762,175.809533333,263.619066667,225.714266667,193.5238,233.1428,229.686895238
193.23,246.935625,182.365533333,256.559133333,256.129,206.666666667,206.881666667,305.161266667,267.0968,225.161133333,256.344133334,268.387109524
193.61,322.234825,223.3332,333.0304,330.606066667,259.091,273.0302,398.484866667,358.787866667,295.454666666,314.848333333,363.484919048
193.99,370.324108333,230.740733333,371.8518,351.4814,278.148133333,302.407566667,447.7778,407.407466667,322.2222,356.296333333,413.518504762
194.37,403.009216667,239.999866667,381.1112,358.148333333,292.5926,319.444433333,438.889,417.036933333,322.2222,360.000066667,426.666728571
194.75,-1150.0,-494.666666666,-1004.0,-928.0,-678.666666667,-814.666666667,-1206.66666667,-1141.33333333,-792.000000001,-915.999999999,-1160.0
195.13,-448.204991667,-159.4872,-316.923133333,-340.000066667,-210.256266667,-292.5641,-425.1282,-405.640933333,-270.2564,-306.6668,-415.055080953
195.51,-598.611016667,-188.888933334,-358.518466667,-471.851866667,-238.518466667,-376.6667,-576.296333334,-543.703666667,-365.925866667,-374.8148,-475.185166667
195.89,-765.555475,-228.889,-508.888933333,-677.777800001,-262.2224,-522.7778,-808.8888,-737.777800001,-515.555666667,-442.222266667,-604.999952381
196.27,-133.650766667,5.0792,-76.8253333333,-106.666666667,4.12699999992,-74.4446,-173.015866667,-131.428666667,-74.2857333334,-29.2063333333,-91.6325666667
196.65,-70.8000000001,37.6,-30.3999999999,-30.9333333333,65.8666666665,-17.5999999999,-108.533333333,-65.3333333333,-22.6666666667,22.1333333333,-33.5238095237
197.03,-120.833466667,60.4444666669,-65.7777333331,-66.2223333332,119.111133334,-50.4445666667,-198.666733333,-106.6666,-59.5556000001,34.2222,-69.1111666666
197.40,-96.2500750001,111.6666,-41.1111333333,-77.2223333332,166.111133333,-6.66669999994,-233.3334,-80.5556666665,-35.5554666668,93.8889333334,-31.9842333331
197.78,-56.2499999999,82.9166666668,-16.6666666665,-74.5833333332,115.416666667,9.1666666666,-176.25,-59.5833333333,-30.4166666667,72.0833333333,-0.20833333326
198.16,-139.629791667,83.7036666666,-108.8888,-242.962933333,117.037066667,-37.0370333334,-385.185266667,-184.4444,-142.2222,100.740733333,-54.8147476189
198.54,-1.15895189275e+15,-6.39715856164e+13,-1.31354989132e+15,-1.88502938949e+15,1.32207943608e+14,-7.6126186883e+14,-3.02798838583e+15,-1.765615763e+15,-1.47987601392e+15,3.53976107075e+14,-7.09170720543e+14
198.92,569.722283333,86.6666666673,631.111066665,1064.44446667,-15.5556666667,346.666666667,1668.88886667,942.2224,842.222200001,-235.555533333,175.396971429
199.30,131.481408333,31.8519333331,192.592533333,342.963066667,-10.3701999999,118.1483,539.999933333,306.666666667,251.8518,-72.5925333332,9.3121619048
199.68,-28.5257166666,41.0255999999,-82.5641333333,-188.205133333,56.9231333334,-16.4102666667,-298.974266667,-152.307733333,-77.4358,109.7436,64.8716666666
200.06,61.6665833333,101.839066667,42.7586666667,4.36780000006,102.069066667,79.6552666667,-50.5746666666,15.6322,45.2874000001,132.1838,111.773361905
200.44,71.2152333333,128.055533333,42.5001333333,-2.22213333332,110.555466667,78.3332666667,-58.6111333333,14.1667333332,46.1111333333,153.888933333,126.567438095
200.82,59.3333333333,116.533333333,30.1333333333,-37.3333333333,85.8666666667,47.0666666667,-62.1333333334,-8.5333333334,30.4,146.4,110.628571429
201.19,63.5648166665,141.852,26.2962666667,-69.9999999999,90.7408000001,60.0001333333,-88.5185333333,-36.6666666667,31.1112000001,188.148066667,145.291066667
201.57,60.7870333332,132.2222,7.0368666668,-49.2592666666,82.9630666667,51.2963,-78.8888666667,-31.1111333332,24.0741333335,179.259266667,123.941852381
201.95,58.4470333333,122.727266667,11.212,-17.2727333335,76.3635333333,56.0606666667,-43.0302666667,-11.2121999999,25.4546000001,151.515266667,111.536809524
202.33,41.7021250001,70.0709999999,11.4894000001,1.98566666652,46.5249333333,30.7801666667,-10.2127999999,6.95040000001,24.5390000001,87.9433333333,63.4447571429
202.71,65.50595,78.8096666667,40.5951333334,28.3334,61.0714000001,52.8571333333,21.7858,30.2381333333,48.3332666666,95.3571333331,75.7058761905
203.09,79.8742583334,91.0692666667,49.0565999999,40.8805333333,74.8426666667,57.2327,34.2136666667,35.5974666667,58.3648,107.169866667,77.9065190476
203.47,72.71875,82.7499999999,48.5,48.1666666667,67.2500000001,63.7083333333,43.9166666666,46.8333333333,62.4999999999,97.3333333333,70.3571428571
203.85,88.5369333333,98.1395333333,65.5038666666,66.8217333334,86.8216666666,82.3644666667,63.5658666667,68.8371333334,81.9379333333,116.666866667,84.1749571428
204.22,88.5810583334,99.6397333333,61.8917333333,62.7928666666,86.7567333333,81.6216666667,61.4414666666,63.7838666667,83.9641333333,125.044933333,82.1685904761
204.60,94.0610416667,103.943666667,71.0798666666,63.0046666666,92.7699333333,88.5445333333,66.5727999999,63.9436666666,90.5164000001,132.394333333,88.7793999999
204.98,107.407383333,127.195866667,87.1957333333,78.3069999999,109.523733333,111.216966667,85.7144,77.3544666666,112.592533333,154.603266667,107.558638095
205.36,108.131808333,132.688133333,91.2904,79.8926666667,111.935533333,113.010566667,82.6882666667,79.8924666667,114.8386,159.892466667,105.990847619
205.74,104.128791667,131.818066667,93.0304666667,79.9999333333,112.828266667,113.9394,79.9999999999,79.3939333332,117.474733333,150.101066667,104.747504762
206.12,110.254558333,131.296266667,100.5556,83.3333333335,119.166533333,116.3426,86.1109999999,86.7592000001,122.4074,153.7964,108.538442857
206.50,126.284208333,150.929066667,125.683,96.0656666667,144.918,141.038333333,105.792466667,105.573733333,142.732333333,176.502733334,130.835214286
206.87,135.330433333,163.103333333,134.367866667,102.758533333,162.069,157.873566667,115.5172,119.3104,154.2528,186.206866667,145.837319048
207.25,125.657891667,158.596533333,129.7076,93.3333999999,153.099333333,160.467733333,110.8772,113.918066667,154.502933333,181.754333333,140.501285714
207.63,144.922558333,187.752,159.0698,108.8372,186.666666667,189.612333333,122.790733333,125.736466667,182.635733333,210.697666667,167.685447619
208.01,164.244791667,216.875,163.333333333,115.833333333,207.291666667,215.208333333,115.0,135.416666666,202.291666667,235.416666667,193.139880952
208.39,182.9762,238.0952,185.9524,118.095133333,233.809466667,235.595266667,108.3334,147.142733333,216.4286,248.0952,212.772157143
208.77,167.708466667,211.851866667,169.6296,120.9258,206.666666667,214.814766667,111.8518,143.518533333,197.222133333,210.3704,184.933914286
209.14,138.371125,170.151666667,141.060666667,113.030266667,172.2726,179.090933333,93.0302666665,120.0,162.1212,178.030333333,150.8658
209.52,106.319491667,124.000066667,103.2222,89.6665333334,127.555533333,135.666666667,76.0,90.8890000001,119.333466667,131.999933333,116.214171429
209.90,99.383625,105.8448,88.6758000001,80.4567333333,107.762733333,118.630066667,73.6985333334,80.4567333333,105.022733333,120.0,102.759380952
210.28,90.1243916666,97.9104,77.6119333335,74.2289999998,103.184066667,120.4974,63.8807333334,75.9202666667,102.0896,115.422866667,91.748395238
210.66,93.2475916667,101.960733333,80.5883333333,79.9999333334,102.9412,125.294066667,65.9803333334,77.2549333333,108.3334,124.019533333,92.4089809524
211.03,86.6043499999,99.204,76.7164666666,79.3036,92.9353333333,121.592,65.1741333333,68.7561333334,101.592066667,128.258666667,88.5430142857
211.41,85.7265250001,92.3077333333,74.7007333333,78.8034666667,88.9743333333,112.008433333,65.1281333334,69.4018,95.7265333335,123.4188,85.5250666667
211.79,87.2222833332,94.0740666666,78.5185333333,77.8602666668,85.5967333333,109.835366667,64.9382,72.4280666667,94.4855999999,124.444333333,86.4374428571
212.17,78.87835,85.6410666667,76.7521333332,73.1622666667,77.1796,104.145133333,61.0256,60.0855333333,88.1197333333,120.9402,78.4310476191
212.55,75.5852833333,87.0634666667,72.6983333333,76.5079333334,72.2222,98.8095666667,63.8095333333,59.2062,86.984,118.412733333,75.6462428571
212.92,70.18015,86.6667333333,64.0541333333,70.3603333333,66.5767333333,93.8738333333,54.6847333333,52.5225333333,80.6306666666,126.846933334,74.9290333333
213.30,71.0868583333,85.7005333333,62.4154,61.5458666668,63.3816,97.4397666666,48.7922666667,53.7198,83.1885333333,131.497533333,78.0124428571
213.68,81.9913999999,94.9783333333,74.1124000001,67.0130666666,73.3334666666,105.541033333,59.9134,65.1948,90.0432666668,133.7662,85.0401904762
214.06,94.2632333333,109.468666667,87.8261333334,74.3961333332,89.5652000001,117.439533333,69.9517333333,77.1015333333,99.2270666666,148.888866667,101.725295238
214.44,104.928541667,118.761933333,97.7143333333,85.0475333333,99.0476000001,121.0951,79.6191333335,82.0952,106.095266667,155.428533333,113.66672381
214.81,124.483975,135.555533333,112.592666667,99.6823999999,114.7088,131.746,93.5451333332,93.9682666667,116.613666667,173.015666667,131.111204762
215.19,116.67865,124.9274,98.1643333335,88.0193333334,108.405733334,112.270533333,80.1931999999,89.5651999999,107.246466667,153.526533333,117.915919048
215.57,131.594766667,140.919466667,108.390733333,105.402333333,122.184066667,124.482866667,84.5976,96.7817333334,118.1608,165.632133333,128.579571429
215.95,138.423858333,146.2318,96.5217333335,106.811666667,130.4348,131.231866667,80.8696,89.5652666668,122.4638,176.232,133.47812381
216.32,137.933333333,137.2,91.6000000001,106.133333333,131.2,130.6,85.7333333333,93.0666666666,123.733333333,173.6,131.285714286
216.70,114.583275,102.5806,70.8600666667,83.3332,104.731266667,100.860333333,70.4300000001,74.3012000001,98.8172666667,136.989266667,111.705280952
217.08,106.28885,89.4790666666,63.4374666666,79.8956666666,94.2707333333,95.8851333333,66.4582666666,63.6455333334,94.6873333333,122.604133333,106.287066667
217.46,89.1464083333,74.9592666667,53.4145333333,70.4064666667,78.0488666667,74.6747,56.8291333333,53.6586,74.0652000001,96.0162,85.9001047619
217.83,83.4153916667,67.7933333334,43.2862666667,65.7275333333,72.9577333333,61.9719666667,50.5164666667,43.8498,69.8592,92.9576666667,83.4137619048
218.21,84.2969416666,68.4376,40.3126,67.5003333333,68.7501333333,60.9897666667,46.5624666667,39.0624666667,68.2292,95.4167999999,83.9660142857
218.59,79.1119666667,64.0436666667,38.3606,67.4315333334,62.5136666667,56.3935666667,43.1694,29.9452,64.3714666666,91.4755333333,85.0898285714
218.97,58.1212666666,50.6666666667,17.3333333333,59.1514666667,46.0606666667,44.5455666667,27.5151333333,7.87886666665,53.4546000001,80.4848666667,72.2770380952
219.34,57.181775,48.7272,21.3333333333,62.4242666667,39.1515333333,52.2424,35.2726666667,8.84846666665,55.6364666666,84.9696,73.8960952381
219.72,61.6666666667,53.0666666667,19.2,65.7333333333,37.7333333333,62.2666666666,45.3333333333,11.3333333333,63.1999999999,97.1999999999,84.2380952381
220.10,79.8166666667,68.6666666666,39.4666666667,90.2666666667,56.8,82.2666666666,70.6666666667,33.0666666667,81.4666666666,118.933333333,103.40952381
220.47,100.350825,88.0699999999,42.6315333334,113.5088,73.6840666667,105.7017,96.1402000001,34.0349333333,98.2455333333,147.719333334,137.004914286
220.85,264.666666667,209.333333333,61.3333333335,320.666666667,166.0,287.666666667,290.0,10.0,257.333333333,448.666666667,389.142857143
221.23,326.018516667,231.851933334,58.5184000001,340.740733334,215.5556,329.2591,330.3704,22.9628666667,312.5926,488.148133334,419.206447619
221.61,-180.833266667,-116.969733334,39.3939333333,-200.606066667,-101.818133333,-187.575633333,-208.484733333,85.4546,-184.848466667,-321.212066667,-253.419933333
221.98,-85.5416666666,-55.3333333334,46.3333333333,-111.333333333,-45.3333333333,-105.0,-97.0,67.3333333334,-93.6666666667,-162.666666667,-129.714285714
222.36,-28.3889333334,-15.1110666667,56.4444666667,-61.1110666666,-5.33333333332,-46.1110666666,-45.3332666667,75.3334666666,-45.3333333333,-87.1111333333,-59.9048333333
222.74,-18.3915333333,-2.94573333325,54.1084666667,-34.2636666667,6.97673333332,-28.2947,-22.0154,50.3876,-28.6822,-57.0542,-33.7209238095
223.11,-78.0645166667,-43.0108666667,31.8278666666,-85.1613333334,-35.2687333334,-90.8601999999,-60.2149999999,19.3548666667,-87.0968666666,-118.494733333,-98.1566809522
223.49,-34.2992583333,-11.6666666667,38.7878,-45.0000666667,-13.6364,-49.1666666667,-17.5758666666,37.5757333333,-40.7576,-56.3637333334,-48.6578666667
223.87,-12.2408166667,3.40746666667,49.4816000001,-24.7408666666,-7.5556,-27.9259,-0.740733333326,53.0369333333,-24.2962,-32.1481333333,-36.380947619
224.24,-20.0536083334,-6.23653333333,61.7203999999,-44.9461333333,-18.7097333333,-44.8387333333,-9.89253333333,68.8174000001,-44.7311333333,-48.3871333333,-57.9262142857
224.62,-14.4444,-17.9999999999,61.5555999999,-39.3332,-16.6665333333,-38.2222333333,-0.222133333326,69.9999333333,-39.5554666667,-40.6666666666,-43.1110809524
225.00,22.0958416667,-7.47466666666,86.2626000001,-9.6969333334,8.08073333333,-13.1312666667,34.5454666667,96.1616,-7.8788,-1.41419999999,-5.06493809523
225.38,37.5173916667,14.5833333333,77.3612666666,8.05566666667,26.2500666667,13.6112,44.8610666667,81.1112000001,16.1110666666,23.1945333333,20.3372904762
225.75,34.9267916667,17.7778,72.5146666665,12.6316666667,25.4971333333,12.4562666667,44.9123333333,73.2164000001,19.6492666667,25.848,21.0192666667
226.13,30.2736333333,17.0149333334,62.786,10.8457333333,20.796,8.60693333333,39.6019333333,59.9004666666,20.4976,23.6816,17.3490666667
226.51,27.8786583333,23.3334,54.6212666667,15.7575333333,21.4393333333,11.0606333333,34.3939333333,51.2122,24.2425333333,26.6666666667,20.4546047619
226.88,30.1361,25.1020666667,52.245,18.9115333333,21.5647333333,14.5579333333,33.8775333333,51.2244,23.1973333333,29.1836666667,23.7366523809
227.26,26.92,21.28,44.32,16.7466666667,20.0,17.0666666667,28.5866666667,43.1466666667,21.8666666667,28.2666666667,25.3638095238
227.64,16.6427916667,9.52380000001,35.9523333333,9.5714,11.3333333333,10.6665666667,17.4286,30.7142666667,11.2855333333,19.7143333333,16.2279047619
228.01,7.89279166666,3.14239999999,30.5732,5.52013333331,6.4544,4.16146666666,11.3800666667,20.5521333333,5.39279999999,12.9513333333,10.1790142857
228.39,9.10389166667,4.94620000001,30.3227333333,7.59839999999,8.96046666667,7.1506,15.0179333333,19.9999333333,8.13613333334,13.405,11.7511142857
228.76,10.6901916667,8.85533333333,31.4142,7.00333333332,9.83159999999,8.04706666667,17.2053333333,20.8752666667,10.2356,15.0840666667,12.3571047619
229.14,4.8792,5.92593333333,26.9243333333,2.54433333333,4.50886666667,3.38166666667,14.5572,15.1688666667,6.28026666667,10.8212666667,7.16583333333
229.52,1.65449166667,2.11539999999,23.782,-0.608933333334,0.032000000006,-0.849366666666,11.827,11.7948666667,2.01913333334,6.0578,2.10636190476
229.89,-0.685799999998,-0.637999999998,22.4560666667,-4.30626666667,-2.83893333334,-2.20086666667,9.53753333332,9.12280000001,-0.606000000006,4.72100000001,0.241461904762
230.27,-3.10340833333,-3.28399999999,20.821,-5.15580000001,-4.07219999999,-2.64356666667,7.32346666667,8.27593333333,-2.66006666667,2.9886,-0.22741904762
230.65,-2.6202,-3.71773333333,20.6410666666,-3.97433333333,-4.0384,-0.993566666666,8.42953333333,9.16653333334,-2.9808,3.58966666666,-0.835542857146
231.02,-3.625,-5.60000000001,21.3,-3.96666666667,-5.16666666667,-1.16666666667,8.43333333333,8.53333333333,-2.2,4.26666666667,-2.3119047619
231.40,-2.56840833333,-4.20513333333,23.1794666667,-2.11966666667,-4.10253333333,-0.803499999998,9.16239999999,10.9400666667,-1.5384,4.27340000001,-2.10008095238
231.78,2.98800833333,4.62866666666,31.7098,5.83739999999,2.5906,7.44386666666,16.9256666667,18.3074666667,5.56146666667,10.4318666667,5.44287619047
232.15,6.1064,8.7006,38.1168,10.0563333333,5.57433333334,12.3351666667,22.0339333333,25.273,8.54986666667,13.7854,10.7316571429
232.53,7.95021666667,11.2643333333,40.3448666667,13.8315333334,6.66653333333,12.0113666667,23.1417333333,28.8122666667,8.9272,16.1686,12.9391476191
232.90,12.1847916667,16.4766666667,43.3159333333,21.796,12.9534666667,17.7028333333,27.4267333333,33.2988666667,12.0898,19.3782666667,18.4530095238
233.28,13.675,16.5666666667,42.4333333333,21.0,13.9666666667,18.05,26.4,34.0666666667,10.5666666667,19.2,20.1857142857
233.66,14.5048416667,18.2608,45.0242,19.8391333333,17.1658,20.6281666667,26.4735333333,35.6200666667,13.4620666667,22.2866,23.3794
234.03,16.314825,19.7859333333,44.3425333333,20.4585333333,18.8991333333,20.4587666667,26.6666666667,36.1162,14.5565333333,23.2415333333,24.5346333333
234.41,19.492775,23.6522,45.3042666667,21.739,20.5797333333,22.1158666667,29.913,39.1305333333,16.4638,27.0434666667,25.9605904762
234.78,18.9234916667,23.2716666667,45.3703333333,19.3518,19.4136666667,20.5247333333,30.1542666667,39.4752666666,14.8148,25.8024,26.042752381
235.16,21.2242166667,25.4868666666,46.4601333333,19.9116666667,21.4454,21.7108666667,30.9733333333,41.2979333333,16.3423333333,26.9617333333,27.9963571429
235.54,25.145125,29.0179333333,49.1564,23.9280666667,24.5920666667,24.7303666667,34.1909333333,44.6748,21.1065333334,32.5311333333,31.2746047619
235.91,26.0448583333,27.3958,45.8072666667,21.9530666667,23.9061333334,22.0181666667,32.5781333333,44.8698666667,21.1977333333,32.0051333333,30.5467952381
236.29,24.7173916667,25.7901333333,41.8224,19.3772,22.1452,20.7498,30.2421333333,42.6296666666,20.9688666666,30.6343333333,28.3422809524
236.66,24.9632833333,25.1572666667,41.2158666667,19.5807333333,23.0397333333,22.0754666667,29.8322666667,41.8658666667,22.0964666667,30.7966,28.3632523809
237.04,23.6751083333,21.7455333333,38.8854,16.0042666667,21.0305333333,19.4637,26.4562,39.7897333333,21.2198,29.8422,24.3908428572
237.41,23.7878166667,22.3838,38.788,16.6060666667,20.707,19.8888666667,27.3737333333,39.4342666667,22.6062,30.2224,23.6595095238
237.79,24.901275,21.8882,37.3216,17.3602,19.5952,20.0480666667,28.1502666667,39.5569333333,22.3892,30.0,23.6113095238
238.17,23.4166583333,20.3792,35.5914,17.0368666667,17.7595333333,20.0359333333,26.9554666667,38.7169333333,21.5896666667,28.2743333333,22.8259428571
238.54,21.353325,18.2779333333,34.5778666667,15.4134666667,16.5046,19.3693,24.9445333333,36.6752666666,20.8012,25.9846,21.4418809524
238.92,17.8503833333,14.1884666667,31.718,12.3989333333,12.5258666667,16.6744333333,21.5676666667,33.46,17.4822,23.1036666667,17.4426809524
239.29,15.3227166666,12.1551333334,29.6643333333,10.3207333333,9.88826666665,14.3251666667,19.7165333333,31.1856,15.2275333333,21.4466666667,14.7298428571
239.67,13.2158916667,9.99986666667,27.8852666667,8.22146666666,8.34740000001,12.4300666667,17.5068666667,29.4397333333,12.8152,19.3417333333,12.3799809524
240.04,11.4614333333,8.84613333335,27.1794666667,7.32053333334,7.0128,11.1666333333,16.8974666667,28.0128666667,11.1537333333,18.2564,10.776647619
240.42,11.3023166667,8.48273333334,27.3954666667,6.75039999999,7.20433333333,10.7825,17.1207333333,28.3870666667,10.3942666667,18.3512666667,10.4505666667
240.79,10.1525083333,7.8758,27.2768,5.53533333333,5.87913333333,9.49520000001,16.5058,27.9978,9.06253333334,17.8813333333,9.50858571429
241.17,8.91043333333,7.34026666667,26.7448,4.83173333333,4.95853333333,8.42356666667,16.125,26.5496666667,7.60386666667,16.8571333333,9.30267619048
241.54,7.84046666668,5.88173333333,26.2426,3.37386666667,3.57233333333,7.0274,15.0113333333,26.0351333333,5.95393333333,15.778,8.00441428572
241.92,6.66255,5.04926666667,25.3859333333,2.8162,2.60266666667,5.3326,14.0148,25.2955333333,4.6142,14.7208666667,6.90475714286
242.29,7.03994166667,5.40886666667,26.0261333333,3.17906666667,2.91673333333,5.61733333333,14.6682,25.7483333333,4.5756,15.27,7.10747142857
242.67,7.59745833334,5.33473333333,26.3391333333,3.66086666667,3.1296,5.51673333333,15.0656666667,25.9897333333,4.35953333333,15.8152,7.26823809525
243.05,7.975575,5.8174,26.9684,4.4632,4.09826666667,5.77193333333,15.6630666666,26.5756,4.6456,16.2737333333,7.71885238096
243.42,8.63797500001,5.9478,27.5223333333,4.83926666667,4.4968,6.3381,16.5434,27.5427333333,5.09239999999,16.9815333333,8.29966666666
243.80,9.05479166666,6.33926666667,27.8624,5.11026666667,4.67593333333,6.73346666667,17.3746666667,27.9226,5.3842,17.4348666667,8.43827142858
244.17,8.48166666667,5.48,27.3466666667,4.44666666667,3.62,6.05,17.0266666667,27.7466666667,4.5,16.96,7.4280952381
244.55,7.72434999999,4.74893333333,26.7963333333,3.8612,2.7276,4.9984,16.5792,27.1072666667,3.58913333333,16.3913333333,6.39176666667
244.92,8.12483333333,4.8906,26.8431333333,4.23346666667,2.80406666667,5.1124,16.9221333333,27.3356666667,3.72873333334,16.7214666666,6.42894761905
245.30,8.41436666667,4.53933333333,26.678,4.20366666667,2.66766666667,5.08243333333,17.3095333333,28.0659333333,3.70313333333,17.0591333333,6.26080476191
245.67,8.74982500001,4.6446,26.5743333333,4.74206666667,2.97653333333,5.46823333333,17.6238666667,28.1962,3.82866666667,17.4956,6.50173809524
246.05,8.78239166666,4.50766666667,26.9466,4.35586666667,2.7996,5.43993333333,17.9262666667,28.5646666667,3.97153333334,17.8505333333,6.59272380953
246.42,8.55124166665,4.01126666667,26.5146666667,3.7506,2.14273333333,4.7655,17.5532,28.6483333333,3.69840000001,17.727,6.11265714286
246.79,8.55075,4.0636,26.5034,3.5862,1.9464,4.74033333333,17.7353333333,28.8718,3.9044,17.7631333333,6.27196666667
247.17,8.49904999999,4.0796,26.7598,3.19,1.70113333333,4.4016,17.7591333333,28.9595333333,3.86373333333,17.8484,6.33757619047
247.54,7.94650833334,3.5184,26.5064,2.5498,1.1112,3.75346666667,17.3254666667,28.4864,3.13746666667,17.3290666667,5.9032
247.92,7.70199999999,3.26753333333,26.5938666667,2.34833333333,0.773533333335,3.57786666667,17.2355333333,28.512,2.94833333333,17.2389333333,5.79332380953
248.29,8.18808333333,3.65613333333,27.224,2.65726666667,1.16886666667,4.13703333333,17.6350666667,28.8649333333,3.3842,17.6962666666,6.23103333333
248.67,8.52353333334,3.81193333333,27.5628,2.79346666667,1.188,4.56023333333,17.8988666667,29.1006,3.6592,18.0719333333,6.57041904762
