wavelength,Back_LopPusf,Belly_LopPusf,Breast_LopPusf,Crissum_LopPusf,Crown_LopPusf,DorTail_LopPusf,Patch10_LopPusf,Patch11_LopPusf,Rump_LopPusf,Throat_LopPusf,WingTip_LopPusf
193.23,-132.349206349,-178.177777778,-147.0,-118.0,-186.222222222,-145.555555556,-158.444444444,-198.444444444,-135.333333333,-162.222222222,-126.957854406
193.61,-204.521412698,-254.444344445,-231.818333333,-188.215666666,-267.34,-219.865222222,-256.565555555,-280.471555556,-212.458055556,-232.323222222,-209.29991954
193.99,-118.372206349,-155.626411111,-153.900833334,-103.782444444,-160.756444444,-120.803888889,-144.681,-180.378222222,-129.314722222,-134.751888889,-135.522076628
194.37,-78.8964603173,-98.2514888889,-101.9125,-59.1985555556,-120.765,-69.9455555556,-87.7962222221,-121.129222222,-88.5246111112,-84.8815555557,-86.8882796933
194.75,-54.9548253968,-68.0181666667,-76.3513333331,-42.0418888889,-97.5976666667,-51.3514444444,-65.1651111112,-80.9307777777,-69.2942222222,-59.0091111111,-66.7003524904
195.13,-36.7435714286,-48.6689222222,-54.2903333333,-26.8428888889,-70.5171111111,-36.1937777778,-47.4147777778,-52.365,-47.7448333333,-44.0042222222,-44.0330095785
195.51,-31.4491587301,-42.3363222222,-47.9751666666,-20.5606666667,-65.109,-31.5678888889,-39.6678888889,-42.1598888889,-42.3675555556,-40.4984444444,-32.5061417624
195.89,-28.4645714285,-37.4251888889,-44.0705,-17.735,-60.4702222222,-30.0212222222,-37.8205555555,-39.53,-44.4445,-36.6452222222,-30.6807643678
196.27,-41.1376349206,-57.3413,-61.9048333333,-27.3811111111,-80.0264444446,-49.6031111111,-46.8255555556,-52.5131111111,-64.5503888889,-57.9364444445,-43.7055114942
196.65,-26.1101111111,-44.3696,-41.9476666667,-17.2284444445,-57.8028888889,-33.7077777778,-31.8353333333,-33.458,-44.9438333333,-41.573,-28.511605364
197.03,-11.8655555555,-32.7063555556,-29.2078333333,-5.94077777779,-41.0341111111,-25.0825555555,-20.1318888889,-21.2322222222,-31.0781111111,-25.0825555556,-14.3981264368
197.40,-24.059047619,-54.7816111111,-43.0711666667,-20.4744444444,-60.2995555556,-43.3208888889,-34.9562222222,-33.8327777778,-45.6305,-48.0648888889,-33.0081819923
197.78,-25.8263174603,-64.9541888889,-44.5096666667,-22.6143333334,-66.928,-50.3266666667,-37.6471111111,-42.353,-50.5228333333,-54.5097777778,-40.3201781609
198.16,-48.2702698413,-94.1024666666,-68.3759999998,-44.4444444445,-98.432888889,-83.190888889,-64.8148888889,-66.8092222222,-77.208,-86.7521111111,-64.2818122607
198.54,-54.4443333333,-109.952244445,-69.0476666669,-55.0793333334,-101.269888889,-99.3651111112,-73.1745555555,-70.3173333335,-86.7461666665,-102.063777778,-75.404994253
198.92,-53.4042698413,-102.924077778,-60.0875000002,-54.0936666667,-88.0115555556,-92.6901111109,-71.0526666667,-65.2048888889,-76.0235,-95.3217777778,-65.0938333333
199.30,-64.3467777778,-125.025633333,-77.4359999998,-71.623888889,-109.230777778,-107.692111111,-86.4957777778,-86.666777778,-92.9915,-124.102555556,-83.7164980843
199.68,-90.1077936507,-156.627,-108.631,-98.8095555555,-131.547666667,-146.031888889,-110.317444444,-113.095333333,-121.329333333,-151.785777778,-116.173978927
200.06,-126.880507937,-210.603811111,-168.116,-138.405888889,-175.120777778,-205.072444444,-154.106333333,-159.420333334,-161.9565,-205.314111111,-160.024049808
200.44,-256.978587301,-400.230055555,-326.436833333,-289.655111111,-338.314111111,-372.030555555,-321.455888889,-324.137777778,-328.160888889,-385.440666667,-316.448536398
200.82,-673.382301587,-968.632533333,-844.871666667,-717.09411111,-871.794888889,-954.700888889,-782.051222222,-831.624111111,-858.974222223,-964.102555556,-812.776170497
201.19,1516.55333333,1969.20638889,1754.76183334,1503.17444444,1784.127,1974.60322222,1636.50777778,1761.90477778,1784.12683333,2009.52388889,1750.19160728
201.57,1823.28057143,2268.14818889,2097.22216667,1764.81477778,2053.70377778,2355.55555556,1988.88888889,2103.70377778,2212.96288889,2307.40755555,2063.2183908
201.95,-1771.16388889,-2189.8149,-2197.2225,-1694.44444444,-2027.77777778,-2361.11122222,-1935.18511111,-2044.44466666,-2093.51844445,-2268.51844444,-1975.89400766
