wavelength,Back_TanCucm,Belly_TanCucm,Breast_TanCucm,Crissum_TanCucm,Crown_TanCucm,DorTail_TanCucm,Patch10_TanCucm,Patch11_TanCucm,Rump_TanCucm,Throat_TanCucm,WingTip_TanCucm
762.26,40.3475333333,32.8678,29.4738666667,36.7117333333,15.7266,11.1886333333,16.1760666667,13.0458,43.9476666667,20.6722333333,15.3430666667
762.57,40.4358,33.0291333333,29.5951333333,36.9011333333,15.8144666667,11.2183,16.1902,13.124,44.0229333333,20.6895333333,15.6064
762.88,40.3794666667,32.8424,29.3912,36.8452666667,15.5668,10.9895,15.9992,12.9274666667,44.0422,20.5135666667,15.3920666667
763.20,40.3672666667,32.7710666667,29.1968,36.9431333333,15.5314,10.8829,16.0304,12.9530666667,43.9512,20.5527666667,15.4909
763.51,40.4372666667,32.9180666667,29.3164666667,36.9861333333,15.6995333333,11.0138,16.1368666667,13.1174,43.9930666667,20.6424,15.7488666667
763.82,40.9234666667,33.2913333333,29.6214666667,37.2371333333,16.0741333333,11.3365,16.3119333333,13.3002666667,44.2823333333,20.9426333333,16.0148
764.14,41.1573333333,33.4759333333,29.826,37.5760666667,16.2444666667,11.3240333333,16.4463333333,13.4370666667,44.563,21.0889333333,16.1778666667
764.45,41.2583333333,33.493,29.7976666667,37.6734,16.2190666667,11.1738666667,16.3159333333,13.3904,44.6934666667,20.9010666667,15.9596666667
764.76,41.5078,33.6728,29.8756666667,37.8903333333,16.2896666667,10.9789,16.2798666667,13.1656,44.8944,20.8340333333,15.9079
765.07,41.2157333333,33.6811333334,29.9380666667,37.7898666667,16.4724,11.0693666667,16.3525333333,13.3456,44.8388666667,20.977,16.0395666667
765.39,41.1125333333,33.5976,29.8955333333,37.8262,16.3704666667,11.0432,16.3322666667,13.4312,44.8636666667,20.9515666667,16.0252
765.70,41.1009333333,33.4483333333,29.9221333333,38.0260666667,16.1443333333,10.9645666667,16.2481333333,13.2094,44.8753333333,20.7996333333,15.8071
766.01,40.7294,32.9567333333,29.4934666667,37.6855333333,15.7716666667,10.6804666667,16.022,12.802,44.686,20.3706666667,15.2997
766.32,40.9430666667,33.2,29.8377333333,38.0134666667,16.1448666667,11.0274333333,16.4113333334,13.1598,44.8761333333,20.6401,15.5651333333
766.64,41.4064,33.5902666667,30.4913333333,38.3711333333,16.5647333333,11.5758333333,16.8162666667,13.5028,45.337,20.841,15.7344666667
766.95,41.2142666667,33.4544666667,30.431,38.2982666666,16.3816,11.3824,16.723,13.3580666666,45.1520666667,20.5893,15.5678333333
767.26,40.6047333333,33.0465333333,29.8638,37.9017333333,16.1072666667,11.0236333333,16.5246666667,13.0210666667,44.7359333333,20.3050666667,15.2058666667
767.57,40.5991333333,32.9603333333,29.8915333333,37.8236666667,16.1174666667,10.9912333334,16.6314,13.0162,44.746,20.3026,15.1585
767.88,40.6572666667,33.101,30.1914666666,37.8230666667,16.21,11.2300666667,16.9365333333,13.1492666667,44.8242,20.5955333333,15.5644333333
768.20,40.5500666667,33.1540666667,30.1283333333,37.7222666667,16.081,11.4896333333,17.0483333333,13.2684,44.6947333333,20.7850333333,15.7101333333
768.51,41.2253333333,33.5487333333,30.5612,38.1636,16.0701333334,11.6981,17.1956,13.3558666667,45.2291333333,20.9374333333,15.9352333333
768.82,41.0974,33.7934,30.4714666667,37.9760666667,16.1328,11.6198333333,17.0889333333,13.146,45.0829333333,20.8000333333,15.9898666667
769.13,41.1535333333,34.1716666667,30.6405333333,38.0651333333,16.3146,11.7773666667,17.344,13.4674,45.2918,20.9758333333,16.2979333333
769.44,40.9941333333,34.0074666667,30.3957333333,37.6781333333,15.8546666667,11.431,16.9452666667,12.9204,45.0773333333,20.5090666667,15.9856333333
769.76,40.4244666667,33.544,29.7894,36.9860666667,15.1368666667,10.8316666667,16.3228,12.2316666667,44.6773333333,20.0334333333,15.4051333333
770.07,40.4356,33.762,29.8655333333,37.0102666667,15.2638,11.0025333333,16.4400666666,12.2033333333,44.644,20.1506,15.6766
770.38,40.5389333333,33.6768666667,29.6363333333,36.965,15.095,11.0454666667,16.3682666667,12.1359333333,44.9702666667,20.1337333333,15.5672
770.69,40.6374,33.5594,29.8757333333,37.1205333333,15.0083333333,11.0932666667,16.2682666667,12.1956666667,45.0806,19.9945333333,15.6790666667
771.00,40.4173333333,33.2363333333,29.7448666667,36.9368,15.1070666667,10.9409666667,16.0984,12.1484,44.6468666667,19.8864,15.8021666667
771.32,39.9202666667,32.6682666667,29.0460666667,36.4803333333,14.5496,10.2565,15.401,11.3644,44.1886,19.2036666667,15.2013
771.63,39.5946,32.3426666667,28.9959333333,36.1292666667,14.695,10.2083,15.3069333333,11.3864666667,43.8286,19.1450666667,15.1444666667
771.94,39.6018,32.3240666667,28.8862,36.2142,14.942,10.2050666667,15.4870666667,11.3651333333,43.6658666667,19.4026333333,15.2764
772.25,39.8344,32.246,29.0150666666,36.4774666667,14.7912,10.1932,15.6935333333,11.3514,43.7982666667,19.5566666667,15.0905
772.56,39.9761333333,32.2822666667,28.9687333333,36.6386666667,14.8201333333,10.4517333333,15.7994666667,11.4148666667,43.9328666667,19.8500333333,15.2856333333
772.87,40.5352,32.826,29.7024,37.2718,15.7779333333,11.388,16.6168,12.4905333333,44.5217333333,20.7489,16.1433666667
773.18,40.9013333333,33.1604,30.2956,37.6180666667,16.4596,12.0942,16.8820666667,13.0356,44.7636666667,21.1265,16.8597333333
773.50,39.9590666667,32.1398666667,29.3154,36.7586,15.5406,11.0523666667,15.888,12.2216,43.8666666667,20.2452,15.9554
773.81,40.0543333333,32.2068666667,29.2128,36.9303333333,15.5317333333,10.8814,15.5779333333,11.9932666667,44.0914,20.1654666667,15.9360666667
774.12,40.3370666667,32.4802666667,29.3196666667,37.0868666667,15.5597333333,10.9490333333,15.5129333333,11.7466666667,44.3336666667,20.0576,15.6345666667
774.43,40.4639333333,32.6547333333,29.3456,37.2816,15.1849333334,11.171,15.3074,11.4158666667,44.6137333333,19.9650333333,15.2309
774.74,41.3698,33.6847333333,30.3936,38.5057333333,16.2597333333,12.0615,16.2107333333,12.5016,45.8082,20.8852333333,15.7816333333
775.05,41.9395333333,34.1046,30.6044,39.0346,16.3824666667,12.005,16.3058,12.6568,46.2066,21.0012,15.8772333333
775.36,42.0020666666,34.0156666667,30.6397333333,38.8732,16.6148666667,12.285,16.5252,13.0190666667,46.1682666666,20.8125,15.7912
775.67,41.9104666667,33.9224,30.6316,38.7727333333,16.8667333333,12.3443333333,16.5204666667,13.2209333333,46.0822666667,20.6900666667,15.9362
