wavelength,Back_MelXanm,Belly_MelXanm,Breast_MelXanm,Crissum_MelXanm,Crown_MelXanm,DorTail_MelXanm,Patch10_MelXanm,Rump_MelXanm,Throat_MelXanm,WingTip_MelXanm
744.97,23.1745,32.9847037037,21.57975,53.3143333333,18.1775,20.3339166667,45.79325,22.0570416667,13.463375,19.84575
745.28,22.93875,32.6384231481,21.098375,52.9056666666,17.9751666667,19.9105,45.3581666666,21.8732083334,13.2030416667,19.8539166667
745.60,22.8935833333,32.5549222222,21.0265416667,52.98275,17.8560833333,19.6034166667,45.53675,21.8975416666,12.9393055555,19.6786666667
745.91,22.9479166666,32.4491888889,21.2875833333,52.983,18.02275,19.721125,45.46325,21.735,12.9409861111,19.6296666667
746.23,22.8451666667,32.3176305556,20.990875,53.1485833334,17.6420833333,19.1405,45.5978333333,21.6140833333,12.6572222222,19.3924583333
746.55,23.02725,32.5371675926,21.2204166667,53.45025,17.9024166667,19.14925,46.0324166667,21.6987916666,12.6289583333,19.5975416667
746.86,22.6054166667,32.213899074,20.8590833333,52.779,17.5571666667,18.7305833333,45.5320833333,21.4245833333,12.2567361111,19.1369583333
747.18,22.3585833333,32.0773129629,20.789125,52.5345833333,17.4366666666,18.5326666667,45.35425,21.2735833334,11.9461111111,19.0189583333
747.49,22.4243333333,32.2580574074,20.7965416667,52.63075,17.3501666667,18.5369583333,45.35575,21.2135833333,11.8540277778,19.0217916667
747.81,22.8470833333,32.8300425926,21.2344583333,53.1121666666,17.6881666667,19.0649166667,45.7526666667,21.5472916667,11.9605416667,19.313875
748.12,22.8684166667,32.6634537037,21.0044583333,52.955,17.62875,19.0897916667,45.6384166667,21.3488333333,11.6685972222,19.27
748.44,23.3696666667,33.3610824074,21.855875,53.4644166667,17.92575,19.5887083333,46.2409166667,21.8759583333,12.2618055555,19.9547083333
748.75,23.6176666667,33.5689509259,22.132625,53.4286666667,17.9984166667,20.0825416667,46.2935,22.2408333333,12.2967777778,19.8968333333
749.07,23.8430833333,33.6916972222,22.0696666667,53.6153333333,17.9574166667,20.3616666667,46.35575,22.1854166667,12.3578055556,20.1373333333
749.38,24.2174166667,34.0467990741,22.0826666666,53.76825,18.2423333333,20.5773333334,46.6429166667,22.5659583333,12.4932777778,20.6636666667
749.70,24.5189166667,34.050762037,22.5790833333,53.5665,18.7759166667,21.0329166666,46.5763333333,22.88025,12.8782916667,20.8955
750.01,24.9190833333,34.2917925926,22.9905833333,53.7369166667,19.30825,21.3124166667,46.61525,23.2935,13.6447083333,21.3105833333
750.33,25.0990833333,34.5169592593,23.2219583333,54.0268333333,19.6061666667,21.6089583333,46.8691666667,23.3265416667,13.9236666667,21.5893333333
750.64,25.0916666667,34.1343064815,23.0755,53.7715,19.2704166667,21.3766666667,46.3906666666,23.0524583333,13.6631527778,21.4172916667
750.96,24.8201666667,33.590962963,22.8812916667,53.43275,19.0268333333,21.142125,46.0485,22.8357083333,13.50075,21.1156666667
751.27,25.0773333334,33.4766638889,23.243,53.384,19.3275,21.0912083334,46.13525,23.1764583333,13.8807222222,21.5757916667
751.59,25.4759166667,33.7549962963,23.7839583333,53.7190833333,19.6770833333,21.3957916667,46.5595,23.583,14.3364166666,21.83425
751.90,24.9715833333,33.3218898148,23.2266666667,53.5466666666,19.3453333333,20.833375,46.2655833333,23.2604583334,13.9385138889,21.460375
752.22,25.0143333333,33.2735712963,23.2800416667,53.8625,19.5375,20.4664166667,46.45975,23.2244583333,14.036125,21.6046666667
752.53,24.64625,32.9984398148,23.230375,53.6858333334,19.43375,20.1862916666,46.14975,23.071375,13.7881388889,21.5125
752.85,24.4405833333,32.9343324074,23.251875,53.66475,19.44925,20.121375,46.1669166667,22.9794166667,13.8015416666,21.269
753.16,24.3153333333,33.1603833333,23.1885,54.1520833333,19.30075,20.3077916667,46.4674166667,22.8932083333,13.6570138889,21.3478333333
753.47,23.84325,32.9391287037,22.7870416667,53.7388333334,18.6684166667,20.062125,46.4154166667,22.5117916667,12.919875,20.728625
753.79,23.2586666667,32.5035703703,22.05625,53.2905833333,18.1089166666,19.2804583333,45.931,21.9991666667,12.2179444444,19.9865833333
754.10,23.33275,32.8955018519,22.3179583333,53.4429166667,18.3153333333,19.4384583333,46.45625,22.331,12.45225,20.324125
754.42,23.2244166667,32.7625518518,22.287875,53.3970833333,18.4234166666,19.2998333334,46.4340833334,22.3517083334,12.3160833333,20.405375
754.73,22.6081666666,32.5998212963,21.799375,52.99925,18.0523333333,18.8724583334,45.8960833333,21.6628333333,11.9305972222,19.5749166667
755.05,22.5513333333,32.6225296296,21.5180416667,52.8030833334,17.9635,18.6117083333,45.61775,21.4053333334,11.9282916667,19.5975
755.36,22.94675,32.7556083333,21.8407916666,52.9974166667,18.0883333333,18.7237083333,45.7505833333,21.3957916666,12.0010138889,19.7062916667
755.67,22.53925,32.3193777778,21.5088333333,52.7985,17.6604166667,18.5201666666,45.4820833333,20.9499166667,11.8124444444,19.4611666667
755.99,22.8624166666,32.6798916667,21.6135,52.7725,17.9871666667,19.021,45.60475,21.416125,12.2456805556,19.6446666667
756.30,23.2141666666,32.6374842593,21.5347916667,52.4891666667,17.9768333334,19.157875,45.4700833334,21.4055416667,12.46975,19.78575
756.62,23.50475,32.925825,21.6814583333,52.5459166667,18.22375,19.309375,45.4991666666,21.4725833334,12.6821111111,19.7323333333
756.93,23.9286666667,33.5046194445,22.0410416666,53.2881666666,18.6108333333,19.6723333333,45.847,21.9222083333,13.0369444444,20.247
757.24,24.68375,34.2793694444,22.8738333333,53.9988333333,19.4275,20.7064583333,46.57525,22.70175,13.8042222222,21.1243333333
757.56,24.5434166666,34.0616305556,22.535125,53.9578333333,19.2700833333,20.5639583333,46.3544166667,22.48825,13.6318888889,20.8451666667
757.87,25.20325,34.8276027778,22.9996666667,54.63775,19.4744166667,20.92125,47.0709166667,22.9645,14.1555416667,21.32975
758.18,25.7108333333,35.2843324074,23.5375,55.2445,19.72025,21.5187083333,47.6414166667,23.5532083333,14.5408194444,21.9560833333
758.50,25.7929166667,35.539162963,23.995125,55.426,20.0365833333,22.1004583333,47.87775,23.929125,14.7685694444,22.306375
758.81,25.6883333334,35.8309092593,23.8591666667,55.5026666667,20.2899166667,22.4457083333,48.0935,24.2960833333,15.1777916667,22.3800833333
759.13,26.0335,36.3744935185,24.1305,55.873,20.681,22.869375,48.4421666667,24.6607083333,15.5485138889,22.5279583333
759.44,26.1975833333,36.5616231482,24.3489166667,56.2131666667,20.77525,22.7462083333,48.72875,24.544625,15.6801388889,22.44375
759.75,26.531,37.0100527778,25.04475,56.9191666667,21.1314166667,23.0673333333,49.4546666667,25.079875,15.9674305556,22.9079583333
760.07,26.71175,37.3263,25.5005833334,57.1378333334,21.5688333333,23.2165,49.8446666667,25.6152083333,16.4227777778,23.653125
760.38,27.30275,37.6108962963,25.988125,57.2315,22.3248333333,23.7687083333,50.0685833333,26.022125,17.083875,24.3101666667
760.69,27.1991666667,37.3766296296,25.8924583333,57.3140833333,22.1661666666,23.52525,49.9700833333,25.8810416667,17.1271111111,24.1488333333
761.01,27.3101666667,37.4988898148,26.1587083333,57.4626666667,22.2199166667,23.6480833334,50.2768333333,25.9892916667,17.195125,24.23475
761.32,26.7993333333,37.0755240741,25.8751666667,57.0884166667,21.9698333333,23.511,49.7440833333,25.624375,17.0904583333,23.8654166667
761.63,26.9865,37.096462963,25.781125,57.0,22.1918333333,23.6077083333,49.8046666667,25.6901666667,17.2053055556,23.9259166667
761.94,26.798,36.7676787037,25.373125,56.5965833333,21.79975,23.086375,49.4340833334,25.44875,16.9695694444,23.4
762.26,26.5015833333,36.3461546296,25.3040833333,56.3881666667,21.3483333333,22.7800833333,49.181,25.01875,16.4132916667,23.1185416667
762.57,26.2984166666,35.9653194444,25.0623333334,55.7664166667,21.0694166666,22.538625,48.7938333334,24.8485833333,16.1182083333,22.7778333333
762.88,26.1028333333,35.6759018518,24.8547083333,55.4625,20.8590833333,22.492,48.6465,24.5910833333,15.8891527778,22.5482083333
763.20,25.3645,35.1516490741,24.2485416667,54.934,20.2018333333,21.8548333333,47.8410833333,23.9135,15.2895833334,21.733375
763.51,25.02525,34.8545194444,23.9629583334,54.66375,19.6675,21.4394583333,47.34075,23.299375,14.8596944444,21.253375
763.82,24.556,34.3785175926,23.4120833333,54.421,19.0304166667,20.9120416667,47.01525,22.88225,14.1615277778,20.7235833333
764.14,24.42775,34.2841916667,23.232375,53.9259166666,18.8789166666,20.7525416667,46.7765833333,22.7268333334,13.87325,20.6578333333
764.45,24.5464166667,34.4743583333,23.3031666667,53.9775833333,19.0526666667,20.9431666667,46.7416666667,22.9419583334,13.9664722222,20.9184166667
764.76,24.7668333333,34.7661555556,23.2897916667,54.2609166667,19.2143333334,21.035125,46.9291666667,23.034,13.8675138889,21.0814166667
765.07,24.4171666667,34.7214851852,22.9897083333,54.3939166667,18.7476666667,20.772375,46.7938333333,22.6903333333,13.3937361111,20.7190833333
765.39,24.3135833333,34.9376277778,23.0784166666,54.596,18.7226666666,20.8334583333,46.8430833333,22.6041666667,13.0615,20.765375
765.70,24.256,34.7595416666,22.9384166667,54.1511666666,18.6865833334,20.5708333334,46.645,22.5749583333,12.8532638889,20.558625
766.01,24.47525,35.145962963,23.315875,54.8051666666,18.9369166667,20.9805,47.27175,22.8841666667,12.8535416667,20.8053333333
766.32,24.6958333333,35.5153111111,23.5723333333,55.2803333333,19.1825,21.1830416667,47.5906666667,23.1712916667,12.9338194444,21.1215416667
766.64,24.7540833333,35.7382833333,23.6035,55.4193333333,19.2805,21.2834583333,47.64475,23.0887083333,13.0675416667,21.4315416667
766.95,24.9346666667,35.9146638889,23.70775,55.63975,19.5825,21.7092916667,48.017,23.5682916667,13.3913055556,21.633375
767.26,24.4986666667,35.740475,23.3130416667,55.262,19.4534166667,21.2355416667,47.7190833333,23.10975,13.0993472222,21.3415416667
767.57,24.4684166667,35.9224935185,23.3303333333,55.5350833334,19.1779166666,21.3318333333,47.7709166666,23.123625,12.9499027778,21.159875
767.88,24.1089166667,35.6958898148,22.9974166667,55.4544166666,18.8748333333,21.0489166667,47.645,22.5642916667,12.5921666667,20.62775
768.20,24.0420833333,35.5625175926,23.285875,55.21275,18.8596666666,21.3172083333,47.6508333334,22.7365,12.6638333333,20.4048333333
768.51,23.8713333333,35.0301157407,23.20525,54.67125,18.6901666667,21.1062083333,47.2794166667,22.5318333334,12.2919583333,20.414625
768.82,23.3015833333,33.9646120371,22.4866666667,53.8148333333,18.074,20.4683333333,46.3599166667,21.9154166667,11.9426666667,19.7038333333
769.13,22.7299166667,33.7554064815,22.3067916667,53.86925,17.4743333333,20.3284166666,45.9780833333,21.3845,11.7388333333,19.4090416667
769.44,22.6401666667,33.7571175926,22.117625,53.5369166667,17.5850833333,20.27225,45.4675,21.1415416667,11.7216527778,19.64525
769.76,22.4380833333,33.6343268519,22.1673333333,53.33775,17.6266666667,20.2890416667,45.1664166667,21.2295833333,11.8135833333,19.5495
770.07,22.5171666667,33.5732833333,21.9812916666,53.2879166667,17.52275,20.2495,45.19275,21.34075,11.3245416667,19.1722083333
770.38,22.4741666666,33.5072240741,21.8387083333,52.9609166667,17.41125,20.361,45.0570833333,21.2744166667,11.4433472222,19.2010416667
770.69,22.4521666667,33.5172490741,22.178,53.2791666667,17.1090833333,20.3850416667,45.2641666667,21.349375,11.6417916667,18.943
771.00,22.83125,34.0934759259,22.7803333333,54.0618333334,17.7929166667,20.7163333333,46.3574166667,21.9116666666,12.3892777778,19.4254166667
771.32,23.4409166667,35.0118416667,23.5014166667,54.8405,18.3888333334,21.40425,47.0751666666,22.9393333333,13.2545277778,20.2077916667
771.63,22.7986666666,34.3126083333,22.3539583334,54.1390833334,17.6048333334,20.52975,46.5845,22.329625,12.6585416667,19.5977916667
771.94,23.1305,34.5581953703,22.5805833333,54.19725,18.2428333333,20.7262916667,47.0063333333,22.6295,13.4062222222,20.0513333333
