wavelength,Back_TanMexf,Belly_TanMexf,Breast_TanMexf,Crissum_TanMexf,Crown_TanMexf,DorTail_TanMexf,Patch10_TanMexf,Patch11_TanMexf,Rump_TanMexf,Throat_TanMexf,WingTip_TanMexf
618.95,5.95133333333,63.3962,19.0602666667,56.0381333333,4.39286666667,6.17733333333,7.79753333333,18.39,23.4331333333,14.4151333334,7.46806666666
619.28,5.979,63.4516,19.0525333334,56.0819333333,4.41573333333,6.18846666667,7.80293333333,18.3944666667,23.4482,14.4020666667,7.50866666666
619.62,6.0294,63.517,19.0646,56.1240666667,4.4524,6.20986666667,7.82446666667,18.4604666667,23.4599333333,14.4147333333,7.57346666667
619.95,6.0094,63.5602666667,19.0077333333,56.169,4.39793333333,6.14366666667,7.79133333333,18.3981333333,23.4526666667,14.371,7.5258
620.28,5.97526666667,63.4916666667,18.9412666667,56.1439333333,4.36253333333,6.1038,7.75186666667,18.3555333333,23.3801333333,14.306,7.51906666667
620.62,5.85133333333,63.4405333333,18.8388,56.0862,4.20813333333,5.99686666667,7.62366666667,18.2336,23.2359333334,14.1726,7.40313333333
620.95,5.9008,63.4729333333,18.8542,56.124,4.2572,6.0076,7.6338,18.2166666667,23.2214666667,14.189,7.4198
621.28,5.91386666667,63.4512666667,18.8354666667,56.1196666667,4.2978,6.05553333333,7.66533333333,18.2235333333,23.21,14.2072666667,7.44453333333
621.62,5.79633333333,63.3112,18.6900666667,55.9944,4.18606666667,5.961,7.53733333333,18.0564666667,23.0642666667,14.0762666667,7.3366
621.95,5.74473333334,63.3242,18.633,55.9798666667,4.1162,5.88726666667,7.48586666667,17.9770666666,23.0042666667,13.9962666667,7.28773333333
622.28,5.732,63.3684666667,18.6302,56.0604666667,4.09146666667,5.83953333333,7.46666666667,17.9489333333,23.0017333333,13.9504,7.27973333333
622.62,5.70866666667,63.4034666667,18.6047333333,56.0943333333,4.0576,5.84273333333,7.43706666667,17.9115333333,22.9532,13.8989333333,7.26886666667
622.95,5.7074,63.4253333333,18.6114666667,56.1217333334,4.0478,5.84506666667,7.44533333333,17.9022666667,22.9525333333,13.8929333333,7.26033333333
623.28,5.77413333333,63.3890666667,18.6318666667,56.1290666667,4.11706666667,5.92106666667,7.49793333334,17.8826,23.004,13.9378,7.2992
623.62,5.87093333333,63.4467333333,18.7538666667,56.1852,4.22906666667,6.0384,7.59026666667,17.9506666666,23.0722,14.0268666667,7.4184
623.95,5.9088,63.4651333333,18.77,56.1514,4.27846666667,6.12013333333,7.63846666667,17.9336666667,23.1075333333,14.0542666667,7.465
624.28,6.046,63.4518,18.8682666667,56.1823333333,4.42613333333,6.248,7.73673333333,17.9944666666,23.1744666667,14.1612666667,7.59253333333
624.62,6.03093333333,63.3693333333,18.8378,56.1135333333,4.4238,6.27073333333,7.74806666667,17.9854,23.1486666667,14.1084,7.59713333333
624.95,6.05086666667,63.4544666667,18.8872,56.1602,4.42826666667,6.28206666667,7.75766666667,18.008,23.2036666667,14.0890666667,7.60613333333
