wavelength,Back_DigGlom,Belly_DigGlom,Breast_DigGlom,Crissum_DigGlom,Crown_DigGlom,DorTail_DigGlom,Patch10_DigGlom,Rump_DigGlom,Throat_DigGlom,WingTip_DigGlom
604.56,6.62133333333,12.687,11.1881933333,12.7086666667,4.84606666667,6.9609,17.3048,9.89766666668,5.4882,11.3311333333
604.90,6.62593333333,12.6940833333,11.1895933333,12.7154166667,4.8444,6.9673,17.2976,9.874,5.47886666667,11.3152666667
605.23,6.5628,12.6585833333,11.1460466667,12.6954166667,4.80493333333,6.92176666667,17.2418666667,9.85986666666,5.4621,11.2737333333
605.57,6.5004,12.6257083333,11.08466,12.6456666666,4.76253333333,6.8637,17.1782666667,9.79893333333,5.41863333333,11.2205333333
605.90,6.4904,12.6550416667,11.0561333333,12.6598333333,4.74726666667,6.8337,17.1812666667,9.79266666665,5.4018,11.1874666667
606.24,6.37913333333,12.5728333333,11.0060466667,12.6160833333,4.66746666667,6.759,17.1022666667,9.70786666666,5.3243,11.0908
606.58,6.3884,12.5922916667,11.03324,12.6455833333,4.70586666667,6.7995,17.1396,9.70726666668,5.36313333333,11.1312666667
606.91,6.409,12.60375,11.0805866667,12.702,4.71,6.81523333333,17.1677333333,9.70773333335,5.38,11.1653333333
607.25,6.32146666667,12.5894583333,11.0637666667,12.6808333333,4.62733333333,6.77156666667,17.1224666666,9.6928,5.34313333333,11.1168666667
607.58,6.3152,12.6776666667,11.1272933333,12.69,4.61666666667,6.7715,17.1314,9.69593333335,5.3513,11.1440666666
607.92,6.2754,12.659875,11.0977666667,12.6335833333,4.5526,6.7165,17.0954,9.63346666665,5.31096666667,11.0964
608.25,6.27033333333,12.6554583333,11.1213533333,12.64025,4.54626666667,6.72136666667,17.0823333333,9.62513333333,5.32713333333,11.0885333333
608.59,6.30973333333,12.761625,11.2097333333,12.6774166667,4.58826666667,6.76293333333,17.1168666667,9.67053333335,5.38483333333,11.1258
608.92,6.33533333333,12.7962083333,11.3003933333,12.7225833334,4.63273333333,6.82043333333,17.1264,9.72786666666,5.43393333333,11.1704666667
609.26,6.32486666667,12.8371666667,11.3390066667,12.7365833333,4.625,6.79563333333,17.1090666667,9.73726666667,5.4674,11.1612
609.59,6.36826666667,12.8835833333,11.4490333333,12.7944166667,4.6644,6.84013333333,17.1102666667,9.76993333333,5.55603333333,11.2034666667
609.93,6.414,12.95125,11.5100466667,12.86375,4.70373333333,6.90843333333,17.1466,9.82906666665,5.62353333333,11.229
610.26,6.3564,12.9180833333,11.4732933333,12.7861666667,4.64373333333,6.85726666667,17.0475333333,9.75733333333,5.57596666667,11.1671333333
610.60,6.36086666667,12.96375,11.51988,12.7806666667,4.674,6.85963333333,17.0757333333,9.76326666666,5.6255,11.1741333333
610.93,6.48673333333,13.0843333333,11.62926,12.8806666667,4.77406666667,6.95063333333,17.1425333333,9.83400000002,5.74393333333,11.2540666667
611.27,6.54166666667,13.1371666667,11.7159066667,12.9600833333,4.84786666667,7.02953333333,17.1810666667,9.89173333334,5.83756666667,11.2738666667
611.60,6.56486666667,13.1957083333,11.8088733333,13.03375,4.8978,7.07043333333,17.2225333333,9.94653333335,5.91243333333,11.3242666667
611.93,6.633,13.2637916667,11.8739266667,13.1115,4.9536,7.1222,17.2587333333,9.98733333334,5.97323333334,11.393
612.27,6.63186666667,13.213125,11.87892,13.1415,4.9702,7.11336666667,17.2375333333,10.0172,5.98083333333,11.4272
612.60,6.67366666667,13.27175,11.87488,13.1819166667,4.98766666666,7.13296666667,17.2942666667,10.0063333333,5.9848,11.4651333333
612.94,6.74066666667,13.345625,11.9162066667,13.25725,5.04346666667,7.22003333333,17.3599333333,10.0779333333,6.04486666667,11.5622666667
613.27,6.73013333333,13.3471666667,11.9325733333,13.2741666667,5.06813333333,7.1996,17.3799333333,10.091,6.01473333333,11.5928
613.61,6.76293333333,13.3797916667,11.9578933333,13.2764166667,5.11666666667,7.237,17.4051333333,10.1010666667,6.05626666667,11.6774
613.94,6.92493333333,13.5254166667,12.0988266667,13.4286666667,5.2416,7.37406666667,17.5488,10.2547333333,6.21866666667,11.8271333333
614.28,7.01893333333,13.6815,12.20952,13.5625833333,5.32826666667,7.4771,17.6378,10.3788,6.3121,11.9252
614.61,7.031,13.7574583333,12.2982666667,13.6058333334,5.38406666666,7.494,17.69,10.4592666667,6.35176666667,11.9943333333
614.94,6.99693333333,13.7355416667,12.24226,13.5478333333,5.30633333333,7.40613333333,17.6481333333,10.4112666667,6.28516666666,11.9835333333
615.28,6.9598,13.7400416667,12.1934866667,13.5319166667,5.25733333333,7.371,17.6374,10.3769333333,6.2227,11.9584666667
615.61,6.86193333333,13.73825,12.1538666667,13.4339166666,5.17306666667,7.27866666667,17.5716,10.2968,6.10956666666,11.8803333333
615.95,6.904,13.8164166667,12.2306066667,13.5019166667,5.20233333333,7.30396666667,17.646,10.341,6.13826666667,11.8886666667
616.28,6.99733333333,13.9649583333,12.3727733333,13.5879166667,5.27806666667,7.38936666667,17.7159333334,10.4507333333,6.2437,11.9313333333
616.61,7.04673333333,14.0483333333,12.45888,13.6193333333,5.2936,7.41293333333,17.7775333333,10.4873333333,6.24836666667,11.9273333334
616.95,7.10553333334,14.12425,12.5093133333,13.67,5.28893333333,7.46673333333,17.8159333333,10.529,6.28263333333,11.9849333333
617.28,7.1446,14.1825416667,12.5372533333,13.6913333334,5.28773333333,7.46093333333,17.8406666667,10.5566666667,6.2487,11.9564666667
617.62,7.11666666667,14.2070416667,12.52208,13.7035833334,5.26286666667,7.3835,17.8064666667,10.5492,6.1593,11.944
617.95,7.09466666667,14.1419583333,12.46928,13.63075,5.19086666667,7.34973333333,17.7519333333,10.4882,6.10766666667,11.9262666667
618.28,7.0648,14.1147916667,12.4180866667,13.5848333333,5.1092,7.3189,17.6786666666,10.4340666667,6.04446666667,11.8677333333
618.62,7.06566666667,14.1094583333,12.43408,13.6033333333,5.11226666667,7.36283333333,17.684,10.4539333333,6.063,11.8954666667
618.95,7.1862,14.17275,12.5477,13.6876666667,5.17926666667,7.4507,17.7432,10.5268,6.15436666667,11.9897333333
619.28,7.14826666667,14.1402916667,12.5046066667,13.6930833333,5.13573333333,7.4166,17.7071333333,10.5027333333,6.15053333333,11.9589333333
619.62,7.19746666667,14.2620416667,12.5734733333,13.7500833333,5.15266666667,7.43386666667,17.7642666667,10.5635333333,6.21896666667,12.0193333334
619.95,7.19406666667,14.2337916667,12.5572133333,13.7534166667,5.15026666667,7.41276666667,17.7306,10.5458,6.20126666667,12.0738666667
620.28,7.22046666667,14.305,12.62202,13.8258333333,5.1986,7.44603333333,17.7704,10.6174666667,6.25043333333,12.1319333333
620.62,7.27133333333,14.3625,12.6524266667,13.8440833333,5.2464,7.49283333333,17.7722,10.6344,6.2762,12.151
620.95,7.32866666667,14.4486666667,12.74842,13.9405,5.3182,7.5681,17.8391333334,10.7234,6.36046666667,12.2402
621.28,7.19806666667,14.3425416667,12.64844,13.8611666666,5.17966666667,7.4842,17.7496,10.5943333333,6.25703333333,12.1212
621.62,7.14953333333,14.35525,12.6809466667,13.8929166667,5.15633333333,7.44326666667,17.7065333333,10.5964666667,6.25363333333,12.0720666667
621.95,7.15133333333,14.3799583333,12.6608,13.8854166667,5.15866666667,7.42923333333,17.6596666667,10.5762666667,6.2632,12.0515333333
622.28,7.18366666667,14.4633333333,12.6830133333,13.9043333333,5.1978,7.44923333333,17.6413333333,10.5668666667,6.2709,12.0521333333
622.62,7.08853333333,14.4480833333,12.6119933333,13.8334166667,5.16166666667,7.3508,17.5614,10.4926,6.19303333333,11.9514
622.95,7.19973333333,14.5471666667,12.7458,13.9090833334,5.25886666667,7.46996666667,17.6045333333,10.5645333333,6.2675,12.0250666667
623.28,7.1494,14.4928333333,12.6872466667,13.85575,5.24606666667,7.44956666667,17.5321333333,10.4869333333,6.2088,11.9806
623.62,7.0938,14.5010833333,12.6641533333,13.8221666667,5.22126666667,7.3952,17.4958,10.4318666667,6.1226,11.9422666667
623.95,7.01433333333,14.4034583333,12.6189333333,13.7744166666,5.14413333333,7.3247,17.4199333333,10.3308666667,6.00053333333,11.8754666667
624.28,6.8462,14.363375,12.52524,13.6919166667,5.01686666667,7.22156666667,17.3315333333,10.2256,5.87733333333,11.798
624.62,6.7048,14.2887916667,12.41052,13.594,4.87933333333,7.08836666667,17.183,10.0792,5.7325,11.6905333333
624.95,6.78753333333,14.345875,12.4860466667,13.6625833333,4.9608,7.1475,17.221,10.1452666667,5.78633333333,11.7163333333
625.28,6.83573333333,14.4393333333,12.5141466667,13.6796666667,5.0178,7.19876666667,17.2901333333,10.1504666667,5.7973,11.7628
625.61,6.81053333333,14.45125,12.5083866667,13.6745,4.99226666667,7.18666666667,17.3032666667,10.1114666667,5.74043333333,11.7478
625.95,6.8158,14.5089166667,12.5480333333,13.7185,5.01253333333,7.22076666667,17.3308666667,10.1265333333,5.75203333333,11.7628666667
626.28,6.8674,14.5855833333,12.5999866667,13.7634166667,5.05453333333,7.2997,17.3990666666,10.1672,5.7943,11.7906666667
626.61,6.804,14.563875,12.5371666667,13.73825,4.9674,7.19243333333,17.3529333333,10.1144,5.7254,11.7358
626.94,6.8036,14.5794166667,12.5331666667,13.7300833334,4.94173333333,7.17296666667,17.3269333333,10.0926,5.6931,11.7286
627.28,6.81166666667,14.607875,12.5277066667,13.7585833333,4.93073333333,7.22006666667,17.3442,10.0961333333,5.7172,11.7286
