wavelength,Back_TanJohf,Belly_TanJohf,Breast_TanJohf,Crissum_TanJohf,Crown_TanJohf,DorTail_TanJohf,Patch10_TanJohf,Patch11_TanJohf,Patch12_TanJohf,Rump_TanJohf,Throat_TanJohf,WingTip_TanJohf
327.67,6.3225,14.2648888889,14.0884166667,12.8026666667,4.2265,9.65209375,15.4155,5.30141666667,15.31775,14.2649166667,5.38154166667,8.60441666667
328.04,6.23958333333,14.0481111111,13.9120833333,12.56175,4.04808333333,9.35360416667,15.1265833333,4.978,15.215,14.105,5.17695833333,8.38066666667
328.41,6.30658333333,13.998,14.0583333334,12.7684166667,4.22858333334,9.30553124999,15.094,5.115,15.1481666667,14.1600833334,5.2865,8.28875
328.78,6.09941666667,13.6965,13.9524166667,12.51125,4.16191666667,8.93802604166,14.9579166667,4.82275,14.9453333333,13.9265833333,5.08879166667,7.98516666667
329.14,5.91808333333,13.3588888889,13.977,12.4231666667,4.12591666666,8.75252083333,14.9466666666,4.83741666667,14.6364166667,13.9771666667,4.959875,7.83375
329.51,6.083,13.2102222222,14.1730833334,12.60025,4.21758333333,8.89508333334,15.0348333333,4.88883333333,14.8505833333,14.0118333333,4.83766666667,7.84316666667
329.88,5.777,12.8950555555,14.0173333334,12.31225,3.919,8.71531770833,14.9216666667,4.5805,14.629,13.7715,4.63041666666,7.64183333334
330.24,6.06458333333,13.0757777778,14.4445,12.6069166667,4.10983333333,8.95744791668,15.29,4.70125,15.0726666667,14.1906666667,4.89529166667,7.91566666667
330.61,5.73516666667,12.8409444444,14.3955,12.04,3.78091666667,8.62603645833,15.0121666666,4.41091666667,14.7560833333,13.8393333333,4.53233333333,7.59216666667
330.98,5.70733333333,13.0202222222,14.6334166667,12.04775,3.97566666667,8.60451041667,15.193,4.57866666667,14.8479166667,14.024,4.9705,7.80091666667
331.34,5.739,13.0607777778,14.836,12.2048333333,4.24508333333,8.63117187501,15.4195,4.5485,15.0759166667,14.1689166666,5.015375,7.89641666667
331.71,5.5885,12.9585,14.905,12.1205833333,4.26558333333,8.57723958332,15.4361666667,4.43041666666,15.1854166667,14.0801666667,4.96683333333,7.8485
