wavelength,Back_SpoRuff,Belly_SpoRuff,Breast_SpoRuff,Crissum_SpoRuff,Crown_SpoRuff,DorTail_SpoRuff,Patch10_SpoRuff,Rump_SpoRuff,Throat_SpoRuff,WingTip_SpoRuff
183.35,113.701933333,105.064133333,77.3078000001,104.732933333,102.932666667,51.2206333333,51.4689999999,88.5096666667,103.995866667,33.8675333333
183.73,114.010733333,111.776533333,74.6378,105.697333333,108.926066667,45.645,45.6035333334,87.9783999999,111.697333333,17.1495999999
184.11,68.8655333334,65.8946666667,30.6258000001,65.6957999999,67.7835333335,21.2135333333,9.32166666666,34.7368666666,65.5438,-2.98840000006
184.49,57.5522666667,50.6708666667,21.8278666666,55.4874000001,59.8097333335,6.32209999994,-11.2461999999,27.8824666667,54.7235333335,-25.9979333334
184.87,38.9735333333,35.0527999999,7.7406666666,37.8015333331,49.7090000001,-11.2223,-14.9206666665,-0.8623333334,46.9683999999,-46.1110666667
185.25,13.7864,4.43160000006,-20.2842666666,7.18133333334,28.7710666668,-42.2581666668,-42.6882,-57.1582,26.1365999999,-104.185733333
185.63,-97.4891999998,-102.381066667,-106.709933333,-113.3333,-51.4862666667,-124.372166667,-117.9798,-173.6364,-61.5007333334,-186.320333333
186.01,-46.7821333332,-37.3739333334,-66.0030000002,-49.5310666666,-8.6290666666,-100.7035,-63.4776666667,-102.647933333,-19.7763333332,-133.7446
186.39,-8.0556,1.1112,-32.7778,1.4814333334,20.3704,-84.3519333334,-37.3149333334,-57.8704,6.94439999986,-113.7038
186.77,48.2153999998,60.3165333333,3.79119999987,56.0169333334,57.6228666668,-39.9191333334,-11.6565999999,8.3702666668,49.3737999999,-83.9326666666
187.15,-28.4849333334,-0.27620000014,-35.6148666668,-15.6683666667,-0.72213333354,-70.0668333334,-36.1764666666,-67.255,-6.96953333334,-108.181933333
187.53,-66.1063999998,-35.9981333334,-58.4327333333,-52.1454333335,-29.6567999999,-97.7371333334,-44.2458,-106.205866667,-34.8961999999,-142.136333333
187.91,-121.3676,-80.8975333331,-105.244066667,-97.7226666666,-68.8339333334,-143.745633333,-79.0171333333,-158.931533333,-66.6791333333,-195.586133333
188.29,-168.889066667,-54.4444666668,-185.370466667,-118.6111,-56.6665333333,-252.6851,-102.222266667,-220.000133333,-118.703733333,-380.3704
188.67,-185.823733333,-173.8084,-56.4291333334,-168.5747,-125.164733333,-83.4482,-85.8698666667,-185.884933333,-100.1992,-83.7396
189.05,-153.708,-174.302333333,-33.5529333333,-143.049,-126.938,-49.2248666667,-83.7080666667,-151.085266667,-89.5348666667,-32.6743333332
189.43,-625.656599999,-729.798000001,37.2725999999,-500.404066667,-507.272733333,207.979933333,-472.525199999,-440.707133334,-423.333333333,174.848466667
189.81,-249.714266667,-247.428533333,-67.4285999999,-211.4287,-197.333266667,-34.0000666666,-209.714333333,-233.142866666,-166.4764,-71.8095333335
190.19,611.794933333,704.1026,-73.3332666674,540.384533333,606.923133333,-70.2565333332,548.205133333,419.230733335,536.923066667,-319.230733333
190.57,-43.3334,92.2856666668,-207.523733333,-25.9048666666,64.4762000002,-210.904733333,23.2380666667,-176.190399999,135.8096,-391.714266667
190.95,187.4074,180.7408,-2.2222666666,189.629666667,174.814866667,3.3333,197.7778,186.666666667,144.4444,35.5555333333
191.33,657.7778,221.111066666,946.111133334,486.1112,178.8888,949.166666668,329.999933332,850.555599999,-168.888733334,1463.889
191.71,90.3205333334,-0.21366666668,174.316333333,35.0001000001,24.9999333333,182.799266667,19.8289333333,73.6537999998,-2.6282666666,224.978666667
192.09,7.99993333353,-228.444466667,177.7778,-163.111066667,-72.0000000001,287.5556,-167.5556,-28.4444666665,-117.777866667,306.6668
192.47,981.481466667,565.1852,766.666533333,810.925899999,494.8148,795.555533334,868.5186,1015.18506667,-20.0,1254.07406667
192.85,-416.5568,-222.893666667,-362.6924,-324.981833334,-223.882733333,-378.4156,-292.2162,-383.040266667,78.0037333333,-542.618933333
193.23,-135.417533333,-48.9754666666,-134.659666667,-81.0140000001,-50.5684666666,-122.677133333,-77.1018000001,-126.350866667,49.5790000001,-179.038666667
193.61,-56.7100000001,-2.31593333334,-64.3290000001,-16.9372,-2.7489333332,-68.5498666666,-19.4805333333,-56.6665333334,65.9308666666,-100.844133333
193.99,-140.797933333,-35.4646666667,-143.333333333,-58.1262333333,-40.8282666665,-130.3889,-48.8383333333,-141.7172,103.283,-178.323266667
194.37,-28.2380666665,25.4285999999,-51.6667333333,23.7621,13.9998666668,-57.9046333334,10.9998666668,-40.6190666666,77.8572,-79.7619333333
194.75,-37.4486666666,9.18919999992,-75.1424,-8.65949999992,-2.58726666668,-71.4847333333,-9.88113333326,-57.4775333333,80.0648666666,-94.5153333333
195.13,-198.030333333,-92.4242,-235.151666667,-144.393966667,-104.848533333,-161.515033333,-117.121266667,-185.909066667,93.6364000001,-200.303066667
195.51,-142.785866667,-59.5446666668,-172.498733333,-104.8076,-83.5881333334,-125.571866667,-74.7858,-135.5448,71.4578666667,-146.8834
195.89,-48.1794666666,-12.3461333334,-88.5771333333,-32.9101999999,-22.9229999999,-65.7114999999,-13.9743333334,-77.3332666667,65.3205333333,-63.7050666667
