wavelength,Back_HemFlam,Belly_HemFlam,Breast_HemFlam,Crissum_HemFlam,Crown_HemFlam,DorTail_HemFlam,Patch10_HemFlam,Rump_HemFlam,Throat_HemFlam,WingTip_HemFlam
376.90,4.3582,38.3589,24.9759333333,14.0428666667,3.2982,6.4392,28.0344666667,11.0952,8.79220000001,5.949
377.26,4.38926666667,38.4316666667,25.0716,13.9527333333,3.3632,6.48186666667,28.1050666667,10.9997333333,8.71873333333,5.99686666667
377.63,4.3504,38.4234333333,25.053,13.7836666667,3.32193333333,6.42493333333,28.109,10.8250666667,8.56906666666,5.95126666667
377.99,4.444,38.6157666667,25.1719333333,13.7899333334,3.4406,6.53326666667,28.2716,10.7864,8.58679999999,6.06546666667
378.35,4.5174,38.6897333333,25.2518666667,13.742,3.51973333333,6.607,28.3488,10.7402666667,8.57706666666,6.12926666666
378.71,4.44346666667,38.6926,25.2322,13.5677333334,3.44673333333,6.56233333333,28.3167333333,10.5890666667,8.4386,6.06906666667
379.07,4.44426666667,38.7910666667,25.2442666667,13.4468,3.4608,6.60573333333,28.384,10.4889333333,8.38333333333,6.08786666667
379.44,4.43746666667,38.8577333333,25.2172666667,13.3222666667,3.43326666667,6.58113333333,28.3301333333,10.3674666667,8.28640000001,6.08546666667
379.80,4.41626666667,38.8879333333,25.2538666667,13.2296,3.4038,6.5498,28.3726,10.2221333333,8.17433333333,6.07386666667
380.16,4.34946666667,38.9043,25.2279333333,13.0710666667,3.31653333333,6.485,28.3515333333,10.0350666667,8.00446666667,6.0208
380.52,4.297,38.8863666667,25.1951333333,12.9120666667,3.26386666667,6.4384,28.2789333333,9.8812,7.86086666666,5.99133333333
380.88,4.34486666667,39.0350666667,25.2960666666,12.8915333333,3.28906666667,6.4904,28.3794,9.81953333334,7.81553333334,6.04333333333
381.24,4.3452,39.0510333333,25.2608,12.7874,3.25733333334,6.47906666667,28.3700666667,9.67526666667,7.74319999999,5.998
381.61,4.40446666666,39.1739666667,25.3332,12.7803333333,3.3156,6.5456,28.3960666667,9.62046666667,7.74373333334,6.04913333333
381.97,4.2994,39.1004666667,25.2458,12.6026666667,3.183,6.41046666667,28.3294666667,9.40933333333,7.53993333333,5.9286
382.33,4.24133333333,39.0770333333,25.1740666667,12.4304,3.1172,6.33026666667,28.2873333333,9.22880000001,7.39266666667,5.84713333333
382.69,4.21773333333,39.1179666667,25.161,12.3486,3.0914,6.2816,28.3164666667,9.0952,7.279,5.80426666667
383.05,4.25893333334,39.2237666667,25.2583333333,12.3217333333,3.11953333333,6.29773333333,28.3612,9.04353333335,7.25446666667,5.82506666667
383.41,4.28466666667,39.3400666667,25.3335333333,12.2947333333,3.16266666667,6.33033333333,28.4378666667,9.00233333332,7.24733333333,5.85853333334
