wavelength,Back_ThrCyam,Belly_ThrCyam,Breast_ThrCyam,Crissum_ThrCyam,Crown_ThrCyam,DorTail_ThrCyam,Patch10_ThrCyam,Patch11_ThrCyam,Rump_ThrCyam,Throat_ThrCyam,WingTip_ThrCyam
192.09,317.619,434.285733333,417.142733333,516.190466667,203.571466666,384.485485475,293.809466667,404.999966667,484.761786667,210.000066667,414.7619
192.47,492.666666667,643.333333333,612.666666667,744.666666667,352.666666667,557.369788107,460.666666667,617.666666667,714.266666667,335.999999999,666.0
192.85,333.333333333,414.6666,429.333266667,460.4444,234.444433333,362.031965505,316.888866667,404.889033333,478.133293333,220.444466667,446.4443
193.23,275.237933333,325.238133333,355.714266667,391.428666667,154.047666667,271.248822386,233.333333333,347.1428,404.380853333,143.809533333,360.952433333
193.61,628.8888,846.666599999,953.3334,1228.88886667,143.333466667,696.665482343,371.111,938.889000001,1280.00001333,80.0000666666,1074.44433333
193.99,-306.666666667,-413.333333334,-390.666666667,-722.666666666,-3.3333333334,-322.954659377,-129.333333333,-464.666666666,-706.4,23.9999999994,-594.0
194.37,311.666666669,491.666666667,318.333333333,851.666666667,-17.5000000002,345.583276373,120.0,559.999999999,821.333333334,-116.666666667,737.5
194.75,131.111133333,185.555733333,130.555533333,329.444466667,51.9444333333,159.335252723,81.1112000001,228.055533333,345.333293333,19.4443333334,285.833333333
195.13,62.6983333334,69.6825333333,55.873,109.047533333,40.4761,69.2904519708,41.746,90.8730999999,123.682493333,28.5714666665,112.301533333
195.51,91.9298666668,103.157866667,52.6316,194.035066667,44.2104666667,107.76766915,63.1579999999,154.7368,230.59652,22.8068666667,224.561433333
195.89,-168.888933333,-142.222333334,-35.5554666667,-479.999933333,14.4443666666,-170.642589259,-34.4444666669,-348.3333,-552.000066667,80.0000666673,-523.333333333
196.27,-54.4444666665,-23.3332666673,47.7778000001,-320.000133333,123.8889,6.14020693839,65.5556,-196.666566667,-412.888866667,177.777666665,-430.000166667
196.65,-3.33333333318,9.0,41.6666666667,-81.3333333334,53.6666666668,20.654591023,40.0000000001,-37.1666666667,-108.666666667,55.0,-109.0
197.03,-10.1333333333,10.1333333334,30.3999999999,-81.8666666667,34.1333333334,25.4320802006,10.9333333334,-33.8666666668,-79.6799999999,35.7333333333,-97.2000000001
197.40,-30.4443999999,-27.7778000001,-3.33333333333,-95.1111333335,-14.6667000001,-11.0889056505,-15.5556000001,-51.5554666666,-88.0444666666,-0.88866666666,-117.111133333
197.78,-115.5556,-130.740866667,-77.7778666666,-234.814733333,-107.2221,-95.8053541351,-109.2594,-179.999966667,-206.148186667,-87.7777333333,-271.851933333
198.16,-155.999933333,-168.888933333,-89.3333333333,-273.3332,-143.111133333,-137.826019401,-155.5556,-231.111033333,-255.022213333,-118.6666,-326.2221
198.54,-175.185133333,-167.037066667,-104.814666667,-243.7038,-154.259333333,-163.261124937,-163.333266667,-216.851766667,-245.037066667,-130.740733333,-296.2963
198.92,-92.9292000001,-88.2828666667,-45.6566000001,-122.626466667,-76.9698333333,-82.5274766232,-75.1514666665,-106.363666667,-124.242266667,-62.2223333333,-154.848533333
199.30,-32.1876,-34.8960000001,-8.8542,-47.8127333333,-29.6356,-25.4740686831,-22.9168666667,-33.0729333333,-44.68764,-18.1249999999,-60.2084333333
199.68,-37.0269333333,-34.5046000001,-16.7566666667,-46.1261333333,-28.9639666667,-27.4086444065,-25.9460666667,-33.2884,-40.9008666667,-18.7386666667,-53.9189666667
200.06,-75.7142666667,-79.6428666667,-51.3095333334,-95.4763333334,-74.2262666667,-71.9580535428,-67.2618666667,-75.9523666667,-89.0238266668,-62.7380666666,-107.0832
200.44,-100.933333333,-108.933333333,-73.3333333334,-126.8,-102.666666667,-100.997994988,-90.9333333332,-102.466666667,-118.32,-89.2,-136.2
200.82,-134.5946,-145.7658,-98.0179333335,-165.765733333,-136.576666667,-128.886453748,-119.099066667,-133.874,-164.57664,-115.6756,-180.3604
201.19,-101.240133333,-117.6744,-68.6821333334,-133.023133333,-100.387566667,-102.157791479,-83.721,-104.4962,-129.767426666,-88.5270666667,-138.527133333
201.57,-73.1973333332,-88.5714666667,-40.8162666667,-100.680333333,-69.2517333333,-78.1975722373,-61.7686666667,-81.6326333334,-98.8843866668,-64.7619999999,-105.918333333
201.95,-51.6665999999,-60.2381333333,-17.6190666667,-67.9762666667,-40.2976666667,-47.4962744019,-40.0000666667,-46.25,-69.9523999999,-35.4762666668,-78.3929666667
202.33,-80.6060000001,-92.4242000001,-47.2726666667,-101.2122,-66.6665666667,-73.6742130441,-68.4848666667,-67.8031333333,-107.757426667,-59.9998666666,-123.5607
202.71,-67.0270666667,-96.3964,-41.4412666666,-105.045066667,-61.3514333333,-54.0940165868,-72.6126666667,-62.6126666666,-110.558533333,-59.6395333333,-125.315333333
203.09,-47.8432666666,-88.2354,-19.2155333334,-93.7254666666,-44.7058666667,-35.5625017656,-64.7058000001,-49.5098000001,-95.84304,-45.0980666666,-105.588166667
203.47,-201.025666667,-310.256266667,-118.974533334,-348.205066667,-188.205133333,-178.848587229,-277.435866666,-222.820366667,-359.282013333,-195.3846,-347.1795
203.85,-315.238066667,-587.619266667,-179.047533333,-616.190333333,-343.333399999,-298.129387343,-471.428666667,-375.714166667,-624.190426667,-369.523866667,-571.904833333
204.22,-35.3622666666,-107.2464,6.66673333334,-117.971066667,-22.0291666667,-30.8292281727,-76.8116,-43.4782333333,-112.637733333,-42.0290666666,-99.8549999999
204.60,14.1666666667,-28.9999999999,37.6666666667,-38.0,23.1666666665,5.06493506502,-11.1666666667,5.16666666668,-28.2333333333,7.16666666678,-28.8333333333
204.98,9.30813333332,-23.6478,33.5848666667,-22.6415333333,20.3773333333,1.9673564935,-11.1949333333,7.16976666666,-14.7421733333,11.3206666666,-19.4339
205.36,15.3845333333,-12.5127333334,37.7436,-8.61533333332,24.8202666667,6.27357352478,-3.48726666668,13.4357333333,-2.23598666667,20.0000666667,-11.2819
205.74,15.1794666667,-14.3589333334,39.1794666667,-8.51293333332,25.5896333334,8.6728743792,-7.38466666666,14.2564333333,0.205133333326,22.0512666667,-15.4872
206.12,1.33326666667,-32.9696,23.3940666667,-28.1212,12.7878,-10.3586357827,-24.1214,-8.84866666668,-13.6484266667,5.93926666674,-39.2121666667
206.50,1.06293333333,-20.4831999999,22.9952,-15.4588666667,14.3479,-4.68036066303,-7.63266666668,-0.869666666666,1.10132,8.69560000008,-25.7005
206.87,-6.50606666667,-17.0281333333,19.1165333333,-14.4576666667,10.8032333333,-9.75334154705,-6.58633333334,-2.77093333333,2.76306666666,3.6142,-20.9237666667
207.25,-11.6279333333,-21.3953999999,7.98466666668,-20.7752666667,6.473,-17.1958362725,-11.7055333333,-10.3875666667,-2.29453333333,-2.63566666666,-27.9069333333
207.63,-13.6264,-18.6812666666,9.37746666668,-17.7288666667,6.0806,-13.417273183,-7.03300000002,-16.2269,3.20876,-3.29666666666,-29.0476666667
208.01,-22.4561333333,-25.0876666667,4.03493333333,-23.5088,4.4297,-17.900182308,-15.0877333334,-28.4649,-3.77182666666,-5.78953333334,-38.7281
208.39,-40.3332666667,-48.0000666666,-10.3334,-40.3333333333,-8.94443333328,-33.6512458419,-33.8887333333,-53.6111,-21.6888666667,-20.8888666667,-62.4444666667
208.77,-44.0741333333,-51.3580666667,-12.4692666667,-40.9874666667,-14.9383666666,-26.5900257576,-39.506,-58.0864333333,-26.0246266667,-23.4569333332,-65.4320666666
209.14,-20.9836,-24.4808000001,-3.16946666667,-23.3880666667,-0.32786666666,-5.55361255412,-12.0218,-40.0,-5.46449333333,-7.97820000007,-43.2241333333
209.52,-16.6666,-18.6459333334,-3.54153333334,-18.5417333333,2.8646,-0.7445117225,-2.60393333332,-34.8958,-1.72909333334,-10.9373999999,-32.0312
209.90,-28.5415333333,-21.6664666666,-15.8331333333,-25.4165333333,-7.81240000001,-13.3637473229,-7.8124,-39.0622666667,-15.47916,-20.6249333333,-36.4061
210.28,-9.35066666668,-2.68406666667,2.59753333333,-4.32893333332,6.2339,0.23237394624,8.83113333334,-11.8614666667,-2.23377333332,-2.68399999999,-10.6494666667
210.66,-5.66666666667,0.0,6.00000000001,-5.75,7.66666666666,2.10220152654,8.50000000002,-9.79166666665,-1.83333333333,-0.66666666666,-4.5
211.03,-2.79833333333,2.22239999999,6.00813333333,-4.36226666668,11.1111,2.40870606062,9.62966666664,-8.88889999999,0.971199999994,4.93826666667,-4.81483333332
211.41,-5.57206666667,6.66666666668,17.1144,-1.89053333332,11.3433333333,11.5745099795,15.1243333334,-8.10960000001,5.05485333334,7.46266666667,-0.24866666668
211.79,2.33906666668,17.6607333333,22.6901333333,1.05266666664,22.9825,21.3325246867,16.0234,5.614,7.78938666668,15.2046,6.90050000001
212.17,0.676266666666,14.4928666667,20.6763333333,0.48306666666,19.8550333333,15.0106768626,18.0676,7.97086666666,10.7633066667,11.7874,-2.51183333333
212.55,-7.34173333332,8.94513333332,15.7806,-0.84380000002,8.81870000002,7.33111973112,10.2110666667,1.30809999999,3.15604000001,7.34179999999,-11.6456333333
212.92,-41.5054,-18.4948,-3.97853333333,-32.3655333333,-11.7204333333,-24.9375037594,-20.2150666667,-25.2689,-22.4085466667,-14.5160666667,-46.2364333333
213.30,-46.7836666667,-25.0293333333,-6.54966666667,-38.2457333333,-16.0233666667,-31.0428057872,-30.6432,-32.3392333333,-29.7310133333,-14.9706666667,-50.8771999999
213.68,-41.212,-19.0303333333,2.30313333335,-33.4543333333,-15.1515333333,-22.5948206767,-36.1213333333,-28.0605333333,-28.63028,-8.36373333327,-49.8788333334
214.06,-30.0,-7.33333333339,12.9333333333,-25.4666666667,-2.73333333333,-3.74231032124,-29.4666666667,-24.6666666667,-8.74666666667,2.0,-35.4666666667
214.44,-25.1571333333,-0.628933333334,15.3459333333,-17.7361333333,7.67296666665,6.06866375028,-25.2829333333,-20.8805,1.3082,6.28926666669,-22.6413666667
214.81,-10.0000666667,1.83913333334,17.1264,-6.09186666666,17.7587,15.0366189679,-17.8162666667,-10.9770666667,7.10348000001,13.9081333333,-9.7702
215.19,-9.82453333334,-2.92386666666,16.0233333333,-8.07013333332,16.6082333333,15.4872877079,-16.4911333333,-11.9298333333,2.19878666667,10.9941333333,-12.8072
215.57,0.548,2.37453333333,12.8768,-1.82653333333,17.8995666667,10.3671881066,-6.30146666665,-5.66223333333,9.27845333335,10.5936666667,-9.3152
215.95,9.62953333332,9.15820000002,19.1247333334,10.7743333333,19.5959666667,11.0544920369,7.94613333335,2.32303333333,16.8351466667,14.6801333333,2.65983333334
216.32,18.4709333333,15.9633333333,24.8931333333,18.2874666666,25.4434333333,16.67948126,14.9848666667,6.85020000001,22.3118933333,18.1652,10.6727333333
216.70,29.9999333333,26.7241333333,35.2298666667,27.0116,35.4310333333,26.0203133971,24.0804666667,15.8620666667,32.87352,25.9769333333,23.3333
217.08,32.112,29.2621333333,33.6387333333,32.8244,36.4886,28.6390499203,30.8906,20.0254666667,36.20352,27.3284,30.2036666667
217.46,26.2778666667,24.9998666667,31.5001333333,29.8334,33.3611333333,22.1568152085,27.8889333333,17.4445,34.3444533333,21.6110666667,27.4443666667
217.83,15.6701333333,16.4260666666,24.8798666667,20.0687333333,27.2852333333,8.84941007063,24.1237333333,7.1822,26.1305466667,12.3711333333,17.6289
218.21,-2.63379999999,-3.29233333334,12.2634,2.05773333334,13.9506333334,-13.5894947482,7.90126666667,-13.3333666667,5.18518666667,-3.86833333334,-3.90946666666
218.59,-12.9353333333,-19.602,7.26373333334,-12.6368,-0.19900000002,-32.2172086694,-0.497333333314,-31.3931333333,-4.19901333333,-14.7264,-19.4030666667
218.97,-21.9883333333,-21.5204666667,9.00586666666,-18.9474,-4.09366666666,-44.0153998975,-0.93553333332,-40.5263,-5.73098666666,-19.6490666667,-29.0059
219.34,-17.6471333333,-7.97393333335,20.2613333333,-10.1961333333,-0.52293333334,-41.0746706767,7.32013333334,-34.9018666667,4.47060000001,-14.3789333333,-20.6536333333
219.72,-26.9696666667,-17.4242,22.2728,-15.7574,-1.2880333334,-49.7217711665,6.66673333335,-41.5909666667,-8.33336,-16.2120666667,-24.6212
220.10,-112.500066667,-93.6111333335,-16.9444666665,-87.4999333333,-50.1389000002,-141.837099168,-41.3888666667,-128.610966667,-82.7777866668,-63.6112000001,-102.638933333
220.47,-267.6924,-200.5128,-79.9999333334,-229.743666667,-159.4872,-291.108634518,-127.1794,-266.6667,-209.025546667,-124.102466667,-218.974266667
220.85,-305.5556,-221.666733333,-113.888933333,-277.777666667,-191.111033333,-344.733331659,-123.333333333,-285.5554,-243.22204,-126.111133333,-227.2222
221.23,-111.212133333,-64.8485333333,-3.93953333332,-110.0,-48.9392999999,-133.255690294,-37.5757333333,-108.9393,-95.6970666668,-23.6363333334,-89.0909000001
221.61,-53.5294666666,-26.8627333334,-1.56866666666,-49.4117333333,-11.1764666666,-69.3341786171,-16.0786,-52.9411666667,-46.1568266666,0.19606666668,-40.5883666667
221.98,-30.0628,-13.7106,-5.40899999999,-22.5157333333,-3.58513333334,-39.5793700729,-13.585,-32.1384333333,-23.7988266667,1.50946666666,-19.5596666667
222.36,-2.62913333334,16.2443333333,17.4649333333,10.6102666666,18.1222,-4.78642865115,13.3334,2.62913333334,4.09399999999,19.8121333333,8.07503333334
222.74,-2.44726666665,20.0844666667,21.7721333333,15.443,23.0380333333,1.54054007745,18.8186,9.32473333333,5.51889333334,23.6285333333,13.2067333333
223.11,1.0638,22.9077333333,24.8227333333,20.5673333333,24.4326,7.1135864206,20.7094,13.7233,8.31201333334,27.9433333333,18.1913666667
223.49,0.198066666652,17.4257333333,23.6304,22.3761333333,23.8942666667,8.71139916838,17.2277333333,13.1024,6.27073333335,27.0626,16.8645333333
223.87,2.76086666667,23.4343333333,28.4847333333,27.4746666667,24.8485,14.022967897,15.0168666667,17.0370666667,9.89901333332,31.1110666667,19.8652333333
224.24,15.3204,33.9743333333,34.4873333333,36.5384666667,30.0,24.1907891433,18.3972666667,25.0321,21.4743733333,34.6154666667,29.2627333333
224.62,16.0825333333,33.1958,33.1958666667,38.6254666667,30.8935333333,23.3862319891,15.945,24.8797333333,20.81092,34.7766666666,28.2131333333
225.00,23.2234666667,40.0733333333,42.0512,49.3040666667,41.0256666667,36.7762326498,19.9999333333,34.8351666667,29.8020533333,42.7838666667,32.8938666667
225.38,19.6666666666,34.9166666667,38.0833333333,50.6666666667,39.625,36.8557188426,19.5,31.2083333333,30.3666666667,40.5,31.125
225.75,26.3013333333,43.0138,46.6665333333,54.9772666667,47.8994666667,47.2975886079,28.0365333333,37.1689666667,38.52048,46.3926,35.525
226.13,38.5416,58.4373333333,66.7706666666,69.7916000001,67.3956999999,66.0999858396,44.1666,55.9374333333,54.1040533333,65.4166000001,45.5726666667
226.51,28.3871333333,40.2149333333,53.6559333333,57.5267333333,57.6881000001,50.5200723742,32.258,45.3763333333,44.9677066666,55.9139999999,33.9783666667
226.88,28.0555333333,38.7036666667,43.7037333333,51.3888666667,54.3981666666,46.5297981773,30.5554666667,38.9814333333,42.6111333334,45.5555333333,27.7776666667
227.26,20.4830666667,29.2752666666,33.8164666667,38.5508,41.6907,36.3413194691,18.8404,23.9129333333,33.6810933333,31.4010666667,14.8792666667
227.64,10.0901333333,18.5585333333,20.2703333333,18.2883333333,30.4955333333,20.994576031,10.0901333333,10.9459,18.52252,17.117,6.62166666666
228.01,-5.2714,2.7908,0.154933333326,5.19379999999,17.8681333333,5.57744820003,-2.24806666667,-3.10076666667,3.28672,2.32546666667,-4.80613333333
228.39,-19.2199333333,-11.9149333333,-11.6312,-11.6311333333,8.9006,-8.53146462748,-11.2055333333,-18.1561,-9.80146666666,-10.3546666667,-14.929
228.76,-13.2768666667,-6.66653333333,-5.8192,-6.94906666669,10.7344,-4.72572664616,-6.04533333334,-15.2824,-5.44635999999,-8.7006,-7.71180000001
229.14,-15.7712,-9.00486666667,-9.85066666666,-11.5422666667,5.79603333335,-9.78848583959,-5.9204,-20.0,-8.13941333333,-11.0946,-8.78103333333
229.52,-13.7154666667,-7.00639999999,-8.49246666667,-11.4224666667,5.11673333331,-11.0065839029,-5.43526666667,-19.4054666667,-9.88528,-7.00626666666,-7.98299999999
229.89,-17.9798,-14.3031333333,-13.6564666667,-16.7272,-1.85850000001,-18.2612677717,-11.4746666667,-26.303,-17.1152666667,-12.5252,-13.8789
230.27,-19.0096,-17.6761333333,-16.5716,-17.7142666667,-7.33336666667,-21.4661557074,-14.1332666666,-29.7715666666,-19.56548,-14.1714666667,-13.9238666667
230.65,-11.2391333333,-10.2617333333,-9.10980000001,-10.8551333333,-0.715566666654,-13.6530144566,-8.13273333334,-22.1117666667,-12.7260533334,-6.66659999999,-4.65966666667
231.02,-12.4226666667,-13.4062666667,-12.3861333333,-12.8598666667,-3.09666666669,-16.5559357143,-11.4754,-23.3699,-15.5847733333,-7.17666666668,-5.6285
231.40,-11.619,-14.3618666667,-15.6189333333,-13.4477333333,-2.28566666665,-17.3039814195,-11.6572666667,-21.5428666667,-15.962,-7.27626666667,-5.06656666667
231.78,-9.1086,-13.217,-14.7675333333,-10.8526666667,-0.620100000008,-16.5470122351,-8.99213333333,-19.7287,-12.9534666667,-5.6976,-4.80623333332
232.15,-2.41379999999,-8.19926666667,-8.12259999999,-7.54793333335,3.92723333335,-11.9021003304,-3.41006666665,-14.9426,-7.68576,-1.60913333332,0.383199999994
232.53,2.44673333333,-2.83699999999,-1.66673333333,-0.212733333333,8.59926666667,-4.25072453863,1.73753333333,-5.47879999999,-2.08501333333,4.39706666667,4.89356666666
232.90,4.08160000001,-1.29260000001,-0.44233333334,1.80259999999,10.2382333333,-2.35326555023,1.90466666667,-1.7857,0.986293333333,5.74826666665,6.75166666666
233.28,3.46786666667,-1.75086666667,1.11106666666,2.92933333333,10.3030333333,-2.74125394165,0.471400000001,-2.1379,1.33327999999,4.14139999999,5.31983333334
233.66,5.29093333333,-0.599666666658,4.44446666667,4.9736,11.4638666667,-1.39161288449,1.83419999999,0.299866666666,5.15,4.76206666666,8.62436666667
234.03,9.81566666667,6.93466666667,7.63826666666,9.01193333333,15.6783,3.25195911369,6.36506666667,5.025,9.58141333332,9.1122,13.6181
234.41,11.724,9.29380000001,8.70286666667,8.60420000001,20.1807,5.33310157211,8.07873333334,6.66673333333,11.5007866667,10.8045333333,15.271
234.78,6.90493333333,4.72799999999,2.65306666666,3.06120000001,16.3605666667,1.46412784234,3.2312,2.19373333333,6.68033333334,5.95240000001,9.67693333334
235.16,2.85226666666,2.88666666666,-0.549866666672,1.44326666666,14.6907,-0.711551515152,-0.515533333339,-1.23706666667,4.52232,3.12713333333,7.11339999999
235.54,2.21146666667,4.32513333334,2.08126666666,2.50413333333,16.2275,0.284997767146,-0.162466666667,-2.48773333333,4.62438666667,2.47166666667,6.08126666666
235.91,3.78786666667,4.81826666668,3.42433333333,4.3638,17.4545,1.32555579859,-1.2424,-1.27266666667,4.6546,4.33333333333,7.39393333333
236.29,2.45613333334,3.24566666667,1.72526666666,3.45019999999,16.0818333333,0.184748165869,-3.36260000001,-1.62286666666,3.79533333333,2.54386666667,4.95606666666
236.66,-0.058999999994,1.003,-1.7404,-0.59,12.9499333333,-3.27235922761,-6.13573333333,-5.78173333333,0.53097333334,-1.50446666667,1.54863333334
237.04,-1.90046666667,-1.02546666667,-4.22313333333,-2.08146666667,11.3424666667,-6.04828163591,-8.5672,-7.20966666667,-3.32433333334,-3.71053333333,-2.30776666667
237.41,-0.553066666674,-0.583799999999,-6.45146666666,-2.212,13.0107,-5.50435886307,-8.66360000001,-6.55916666666,-3.60076000001,-2.4578,-1.47463333334
237.79,-1.30306666667,-1.36366666667,-7.63633333335,-2.63639999999,13.5909333333,-5.56837494874,-8.75759999999,-4.37869999999,-4.34542666666,-3.18186666667,-2.45450000001
238.17,-6.89219999999,-7.43973333332,-10.8858,-6.699,12.9630666667,-9.89097311461,-15.2011333333,-7.85823333333,-9.18512,-8.82446666667,-7.02083333333
238.54,-5.79566666667,-5.88586666667,-8.55846666667,-3.42346666667,13.3033333333,-8.23545402142,-12.973,-6.33636666666,-6.57048,-8.28826666667,-5.54036666667
238.92,-1.28506666667,-1.07099999999,-3.775,1.01733333333,17.3628333333,-2.68034862155,-6.74693333333,-3.01216666668,-2.10985333333,-3.50746666667,-1.2851
239.29,1.0746,0.586066666674,-0.268666666666,1.39200000001,18.0465,-0.407459546595,-4.02933333334,-2.01470000001,-0.722840000007,-2.39313333333,0.94013333334
239.67,-0.627199999998,-2.43900000001,-3.18246666667,-0.301866666666,15.993,-1.83538272955,-5.73766666667,-3.89076666667,-2.92229333333,-4.52966666667,-0.38333333334
240.04,-1.06066666667,-1.70993333333,-4.06926666666,-0.670933333346,15.7035666667,-1.01869052176,-3.76626666667,-4.17743333333,-2.51074666667,-4.09080000001,0.184066666674
240.42,-0.4166,-1.30946666667,-3.73026666667,0.456266666666,16.5179,-0.249033549783,-1.70653333333,-4.58336666667,-2.04750666667,-2.5594,2.04356666667
240.79,0.736800000002,-0.122733333332,-2.3334,2.49120000001,17.3595333333,1.03058650034,-0.122733333333,-3.31593333334,-0.133319999999,-0.4738,3.86843333333
241.17,3.57146666667,3.11026666667,1.2948,5.28266666667,19.2262333333,4.56243906356,4.0476,-0.1115,3.37205333333,3.03573333333,7.43310000001
241.54,2.63286666667,2.42553333333,1.15446666667,4.5914,17.1335,4.56458748006,3.28146666667,-0.739366666666,2.69769333333,2.23086666667,7.25676666667
241.92,2.65033333333,2.837,1.296,4.39006666667,16.3282,5.34749954432,3.0122,-1.24933333333,2.4308,2.39346666667,7.01123333334
242.29,4.3434,4.80373333333,3.10826666667,5.9758,16.6248666667,6.84827566643,4.79326666667,0.429,4.14022666667,4.64686666667,8.46163333334
242.67,3.18713333333,3.51973333333,1.86586666667,4.22586666667,15.6378333333,5.65208928003,3.24753333333,-0.499200000001,2.26926666667,3.68113333333,7.29203333333
243.05,0.870866666667,1.13106666667,-0.460400000002,1.6316,13.2081666667,2.85078507633,0.470466666667,-2.31226666667,-0.122106666667,1.26133333333,5.2602
243.42,1.15313333333,1.2306,-0.387533333334,2.07366666667,13.0813666667,3.14621737298,0.600799999999,-1.7249,0.304213333333,1.91866666667,5.31966666667
243.80,1.9194,2.24386666667,0.5006,2.6146,13.5327333333,4.01377756892,1.5856,-0.505433333333,1.29434666667,3.22673333333,6.18923333333
244.17,2.10013333333,2.6454,1.36713333333,3.11006666667,13.9455666667,4.70130356573,1.5996,0.174266666667,1.71048,3.5032,6.36733333333
244.55,2.36566666667,2.91613333333,1.90106666666,3.7334,14.3268333333,5.35988466621,2.03013333333,1.43663333333,2.2848,4.20653333333,6.43863333333
