wavelength,Back_PyrRuff,Belly_PyrRuff,Breast_PyrRuff,Crissum_PyrRuff,Crown_PyrRuff,DorTail_PyrRuff,Patch10_PyrRuff,Rump_PyrRuff,Throat_PyrRuff,WingTip_PyrRuff
223.49,34.3704,-0.444400000014,10.074,9.1852,-11.8517333333,24.4444666666,34.8148,36.0000666667,22.0741333333,22.8148666667
223.87,18.0953333333,-11.1112,-6.19046666667,0.63486666668,-24.6031333333,10.1586,21.2699333333,14.6031333333,7.1429333334,22.5395333333
224.24,25.4238666667,7.9096,16.8361333333,20.5649333333,2.93793333333,27.1187333334,33.6722,27.0056,25.6496666667,37.4011333333
224.62,-21.2819333333,-49.9999333333,-58.7179333333,-25.1282,-75.3846666667,-18.2051333335,-12.5640666667,-26.9230000001,-20.2563999999,4.87186666672
225.00,-38.2796666666,-34.4086666667,-53.5484,-18.7098666667,-54.6236666666,-31.1828,-7.52686666667,-30.7526000001,-36.9891999999,1.29026666668
225.38,-64.8000000001,-52.7999999999,-85.8666666667,-26.9333333334,-77.0666666667,-61.8666666665,-11.4666666667,-38.3999999999,-37.3333333333,-5.86666666668
225.75,-73.3332666668,-65.9771333333,-87.1265333332,-31.4941333334,-69.4251999999,-59.3100666666,-15.8621333333,-54.9424666667,-51.7238666666,-22.2989333332
226.13,-60.3333333334,-47.5000000001,-64.8333333333,-21.6666666667,-56.0,-42.8333333334,-25.5,-45.1666666667,-38.3333333333,-18.5
226.51,-64.1860666667,-45.5815333333,-68.6821999999,-26.5117333333,-55.9689333333,-56.2790666665,-33.6434666667,-56.4341333334,-45.1162666666,-22.6355333333
226.88,-69.2517333334,-46.2585333334,-67.0748,-27.0747333333,-46.3945333334,-47.3469333332,-28.0272,-47.347,-39.3198,-23.5373333333
227.26,-65.3967333334,-36.1904,-52.6985333333,-25.8200666667,-39.6824666666,-38.7301333333,-28.1481333333,-42.7513333333,-40.7409333333,-18.2008666667
227.64,-59.9999333333,-30.0926,-45.185,-23.4258666667,-35.8333333333,-28.8888666667,-26.5740666667,-43.9814,-35.5555333333,-12.4999333334
228.01,-46.9136,-20.1646666667,-35.8848666667,-19.0122,-34.4031333333,-21.2346666667,-21.7285333333,-36.2139333333,-24.3621333333,-11.605
228.39,-47.0588666667,-24.1569333333,-43.8430666667,-23.7646,-39.8432666667,-23.5293333333,-28.3136666667,-40.6273333333,-29.8038666667,-20.7842
228.76,-7.60333333334,2.36906666668,-3.8016,7.93386666665,-4.29739999999,9.64179999999,3.69146666667,-0.881533333334,5.73013333331,7.65833333335
229.14,-0.392200000008,10.3921333333,1.71573333333,13.8724666667,0.637266666674,16.2254,8.38233333334,7.79406666666,12.5489333333,13.4312666667
229.52,4.51353333335,14.0373333333,8.28173333332,13.2505333333,5.9628,19.4203333333,11.8426666667,11.3042666667,12.7536666667,17.2670666667
229.89,3.65460000001,12.249,6.30520000001,8.47400000001,4.3374,14.0562666667,8.79526666666,7.91159999999,12.2490666667,14.4176
230.27,0.631133333328,10.2958,1.61733333333,5.28586666666,2.16960000001,10.3353333333,9.11246666667,3.156,11.0059333333,8.99413333335
230.65,6.5,16.2666666667,9.03333333334,10.7666666667,10.1666666667,15.3,15.9333333333,9.63333333333,15.0666666667,16.2666666667
231.02,9.5684,17.8239333333,13.575,9.9828,9.87920000001,16.6148,15.544,8.84280000001,16.7876,17.2364
231.40,7.70733333334,14.8748,10.0578666667,7.20606666666,6.28133333334,13.2175333333,11.6762666667,4.20033333333,13.8727333333,12.7552
231.78,11.7408,19.2222,15.1850666667,12.4815333333,12.1482666667,16.3703333333,17.7036,9.51853333333,17.9260666667,15.5556
232.15,15.4882666667,21.4140666667,18.4849333333,15.9260666667,18.2155333333,21.5151333333,21.2794666667,15.2525333333,21.3466666667,19.0572666667
232.53,15.4575333333,23.9542666667,19.6404666667,17.7125333333,19.0523333333,21.5359333333,21.9608,14.9020666667,24.3463333333,20.5556666667
232.90,13.9542,25.1634,19.6405333333,15.2287333333,20.0000666667,21.1111333333,21.5032666667,13.464,23.3660666667,20.9804666667
233.28,11.7702,20.7655333333,16.8102,10.8770666667,18.1180666667,17.3206,17.6076,9.09086666666,20.0000666667,16.3637333333
233.66,12.5039333333,21.6906,18.7558666667,13.6842,20.0956,17.4801333333,18.8517333333,9.95213333334,22.2329333333,15.8533333333
234.03,10.4361333333,18.38,16.5420666667,10.0934,16.3552,16.2305333333,15.9502,9.22113333333,19.3147333333,14.3614
234.41,10.3905333333,17.3274666667,17.988,11.1712666667,16.5166,17.3272666667,16.1562,11.3813333333,18.6786,17.3274
234.78,4.68293333334,11.2194666667,11.9674,3.15460000001,9.26840000001,12.9755333333,9.9838,6.43913333333,13.7887333334,10.0814
235.16,-0.297666666674,8.77980000001,6.81546666666,2.50006666666,6.30946666667,7.2618,6.16073333333,3.51186666667,8.18460000001,7.88686666666
235.54,3.37286666666,12.2001333333,9.90786666667,6.53493333333,10.5139333333,10.5928666667,10.4083333333,8.88013333334,11.8576,11.6995333333
235.91,-0.944399999999,6.38886666667,4.38886666667,1.08326666667,3.94440000001,5.69439999999,4.38873333333,4.24986666668,8.19446666666,8.50006666667
236.29,-6.24486666666,0.618866666652,0.787466666674,-4.24746666667,-1.60333333334,-0.815733333346,-1.8284,-1.51900000001,1.88466666667,3.45980000002
236.66,-3.14666666667,2.66666666666,3.38666666667,-1.54666666667,2.02666666667,1.33333333333,0.93333333334,1.46666666667,3.12,7.06666666667
237.04,-7.27033333332,-2.14,-0.768199999998,-6.22759999999,-4.58160000003,-3.9506,-4.1152,-2.03013333333,0.219533333333,1.97526666666
237.41,-4.11686666667,-1.08893333333,1.1952,-4.11686666667,-4.09033333333,-2.81546666667,-2.70926666667,0.743666666667,2.04506666667,6.1354
237.79,-5.39559999999,-2.74973333334,-1.712,-6.40720000001,-5.91446666668,-3.32033333333,-5.36966666667,-2.59406666667,-0.518800000001,5.00640000001
238.17,-1.33226762955e-16,4.7232,4.8708,1.4514,1.9434,2.6076,1.599,3.6408,6.1992,11.2914
238.54,4.95786666667,11.0228666667,10.9024,5.02999999999,6.93126666667,6.59433333334,5.46339999999,8.73633333333,10.3730666667,14.4162666667
238.92,8.6848,13.2879333333,14.3084,9.29713333333,10.3627333333,10.6349333333,7.91386666667,11.4058,13.2880666667,18.2314
239.29,8.71066666667,12.8455333333,13.7514,8.59466666666,10.3136666667,11.173,8.68773333332,12.6364666667,12.9616666667,18.2809333333
239.67,7.01153333333,11.5863333333,12.9886666666,7.24133333334,7.99993333334,10.0689333333,7.35633333333,10.7356,11.3792666667,17.3564
240.04,11.7074,16.5447333333,17.0325333333,12.6423333333,12.3373333333,15.2032666667,12.1952666667,15.6301333333,14.3902,21.4025333333
240.42,13.2384666667,19.1074666667,16.8281333333,14.8908,13.5422666667,17.493,14.549,16.2202666667,15.8594,22.1653333333
240.79,10.88,16.0710666667,13.8312,11.2178,10.4000666667,15.84,11.5910666667,13.6354,12.9245333334,18.7911333333
241.17,13.8329333333,17.3146,15.2694666667,14.395,13.5052,18.4386,14.957,15.6284666667,13.349,20.3746666667
241.54,14.0013333333,16.9208666667,14.5097333333,14.8582666667,14.4372666667,18.9542,14.8439333333,15.1778666667,13.4784666667,19.5498
241.92,12.2792666666,16.1121333334,13.9219333333,13.7029333333,13.169,17.4537333333,13.265,14.7296,11.4988666667,17.9876666667
242.29,10.6720666667,13.4812666667,11.2499333334,11.0080666667,10.9139333333,15.1074666667,10.0269333333,12.7687333333,9.00546666665,15.5107333333
242.67,8.9194,9.98046666667,8.30379999999,9.02426666665,8.05513333333,12.7178,7.79299999999,10.1899333333,6.99413333334,13.8966
243.05,6.7986,9.12193333333,6.23100000001,7.22113333333,6.97033333333,10.3630666667,6.91753333333,9.12213333333,5.21453333333,12.4750666667
243.42,9.93646666667,10.9288,8.79133333334,9.88553333333,9.12200000001,12.9262,8.75313333332,11.0051333333,8.15519999999,13.8294666667
243.80,10.3074,11.2477333333,9.36706666667,9.68046666665,9.75286666666,12.9114666667,8.96926666667,10.9584666667,8.76433333333,13.7191333333
244.17,9.35926666665,10.3116,8.47746666667,8.33633333333,9.04173333332,12.1576,8.33626666667,10.6172,8.15993333335,12.5926
244.55,9.43346666666,9.29993333333,9.11106666667,8.089,9.77766666668,11.4888666667,7.88886666667,11.0556,8.47760000001,12.8555333333
244.92,10.2652,10.0258666667,10.0363333333,8.90266666666,10.1924,12.3662,8.27866666668,11.4092666667,9.26673333333,13.7804
245.30,7.88246666665,8.0196,8.04900000001,6.49999999999,7.84313333333,10.206,5.84320000001,9.05886666667,7.18626666665,12.4018666667
245.67,8.29226666667,9.00446666665,9.30593333333,7.07760000001,8.22819999999,11.1599333333,6.83106666668,9.64379999999,7.80813333333,13.5068
246.05,8.71333333334,9.19746666665,9.34173333333,7.71126666666,7.83873333333,11.6602666667,7.35466666666,9.66453333332,8.47566666666,14.2250666667
