wavelength,Back_TanNivf,Belly_TanNivf,Breast_TanNivf,Crissum_TanNivf,Crown_TanNivf,DorTail_TanNivf,Patch10_TanNivf,Patch11_TanNivf,Patch12_TanNivf,Rump_TanNivf,Throat_TanNivf,WingTip_TanNivf
779.40,10.8162777778,40.6435,27.9907777778,38.207,22.2647777778,12.5817777778,10.0098888889,16.8016666667,11.4734444444,27.6711111111,14.4286666667,16.8868888889
779.71,10.4468333333,40.2244444445,27.5148888889,38.1712222222,21.9593333333,12.2264444444,9.74000000001,16.3965555556,10.9902222222,27.4437777778,14.3932222222,16.631
780.02,10.266,40.9133888889,27.4576666667,38.4537777778,21.8411111111,12.3047777778,10.1186666667,16.5264444444,11.1541111111,27.5583333333,14.4194444445,16.8068888889
780.33,9.52161111111,40.4563888889,26.5456666667,37.963,21.0337777778,11.3444444445,9.47055555556,16.047,10.3818888889,26.9827777778,13.5388888889,15.923
780.64,9.28383333334,39.8612222222,26.4273333333,37.766,20.5196666667,11.2726666667,9.51122222222,15.94,10.2597777778,26.9483333333,13.1733333333,15.5733333333
780.95,9.07766666667,39.4445555556,26.289,37.4593333333,20.2147777778,11.0887777778,9.20011111111,15.6815555555,10.0443333333,26.5112222222,12.9037777778,15.4815555556
781.26,8.98733333333,38.9038333333,26.4177777778,37.2233333333,20.0165555556,10.8726666667,9.002,15.4631111111,9.86666666667,26.2314444445,12.7356666667,15.2395555556
781.57,8.52555555555,38.1351666667,25.8786666667,36.878,19.4687777778,10.35,8.71577777778,14.8944444444,9.41733333333,25.5428888889,12.5138888889,14.872
781.88,8.34683333332,38.9804444445,25.6758888889,37.5983333333,19.4193333333,10.6211111111,8.56111111111,15.1926666667,9.48766666667,25.6757777778,12.6273333334,14.9936666667
782.19,7.21277777778,38.5001111111,24.9065555555,36.866,18.5494444445,9.62522222222,7.73422222222,14.169,8.54333333334,24.8131111111,11.8657777778,14.2544444445
782.50,6.56416666667,38.2073333333,24.3736666667,36.635,17.7463333333,9.0778888889,7.21033333333,14.0031111111,8.022,24.4128888889,11.5366666667,14.0032222222
782.81,6.42905555556,38.4259444444,24.4605555555,37.1822222222,17.2947777778,8.92099999999,7.00477777778,13.9612222222,7.94688888889,24.2511111111,11.3607777778,14.1546666667
783.12,6.35511111111,38.6527777778,24.4593333333,37.5342222222,17.1844444444,8.83266666666,6.73633333333,14.094,8.10355555555,24.1361111111,10.9618888889,13.9614444444
783.43,6.74244444444,38.7137777778,24.796,37.7894444445,17.8911111111,9.50366666666,7.07977777778,14.4844444445,8.69566666668,24.4044444444,11.3526666667,14.0846666666
783.74,7.51527777778,39.1373333333,25.462,37.9235555556,18.8998888889,10.6141111111,8.236,15.2043333333,9.61133333333,25.3541111111,12.2048888889,14.9641111111
784.05,8.00422222222,40.0497777778,25.8781111111,38.6186666667,19.9256666667,11.1955555555,8.60355555556,15.5691111111,10.3427777778,25.9286666667,12.6984444444,15.3916666667
784.36,8.48355555556,40.8311111111,26.3856666666,39.2654444444,20.9527777778,11.9913333333,9.26611111111,16.3493333333,11.3225555555,26.9865555555,13.489,15.7654444444
784.67,8.69416666667,41.1203888889,26.2716666667,39.3907777778,21.2351111111,12.233,9.82855555558,16.7553333333,11.8282222222,27.065,13.7604444444,16.1562222222
784.98,9.64499999999,42.1122777778,27.2413333333,40.2451111111,22.2981111111,12.9108888889,10.6548888889,17.9805555556,12.6826666667,28.272,14.4063333333,17.0088888889
785.29,9.73577777779,41.7141111111,27.5001111111,39.5974444444,22.421,13.2321111111,11.0782222222,18.063,12.727,28.4033333333,14.4834444445,17.2925555556
785.60,10.4242222222,41.9328333333,27.5137777778,39.5515555556,22.8318888889,13.9883333333,11.6068888889,18.6215555556,13.1675555556,28.6514444444,15.1265555555,17.8412222222
785.91,11.2792777778,42.5498888889,28.3104444444,40.3027777778,23.6001111111,14.8681111111,12.3286666667,19.2821111111,13.8346666667,28.9194444445,15.7334444445,18.3688888889
786.22,11.288,42.3369444444,28.3637777778,39.923,23.9757777778,14.9564444444,12.1334444444,19.305,13.8003333333,28.7487777778,15.5933333333,18.0153333333
786.53,11.5015555555,42.0667222222,28.5245555556,39.5665555556,24.0677777778,14.9475555556,12.4282222222,19.3736666667,13.7221111111,28.8535555555,16.0578888889,18.2555555556
786.84,11.6212222222,41.9423888889,28.5016666667,39.6578888889,24.1128888889,14.9224444444,12.5065555556,19.3261111111,13.6543333333,29.0868888889,16.3477777778,18.5834444445
787.14,11.7503888889,42.1628888889,28.9185555555,40.0296666667,24.0283333333,14.7974444444,12.5752222222,19.2047777778,13.824,29.0301111111,16.5885555556,18.8777777778
787.45,10.9538888889,41.3976666667,28.1545555556,39.2874444444,23.0633333333,13.993,11.8207777778,18.5283333334,12.969,27.979,15.8584444445,18.1992222222
787.76,10.9744444444,40.9743333333,27.9396666667,39.4244444445,22.7038888889,14.0811111111,11.931,18.4106666667,12.571,27.6735555556,15.5841111111,18.3168888889
788.07,10.7651111111,40.879,27.8751111111,39.3251111111,22.4385555556,13.8797777778,11.6374444444,18.1338888889,12.1205555556,27.4065555555,15.4733333334,17.9971111111
788.38,10.3396111111,40.3808888889,27.1984444445,38.9975555556,21.5847777778,13.7767777778,11.2271111111,17.2462222222,11.5095555555,26.9738888889,14.9356666667,17.5286666667
788.69,10.0465,40.0151666667,26.7425555556,38.7647777778,20.9535555555,13.2765555556,10.8414444445,16.7178888889,11.1036666667,26.48,14.6398888889,17.1768888889
789.00,10.2523333333,40.0073333333,27.0905555556,39.2106666667,20.9723333334,13.5672222222,11.2646666667,16.9736666667,11.3523333333,26.7398888889,14.6931111111,17.4051111111
789.31,9.7785,39.3306666667,26.6108888889,38.377,20.5507777778,13.438,10.8976666667,16.5376666667,10.9345555555,26.4561111111,14.3951111111,17.3331111111
789.62,10.1480555556,39.6177777778,26.7068888889,38.4128888889,20.705,13.796,11.3863333333,16.6518888889,11.2376666667,26.9522222222,15.0008888889,18.1017777778
789.92,10.1435555556,39.8222777778,26.7911111111,39.0786666667,20.8105555556,13.8812222222,11.4754444444,16.6058888889,11.3918888889,26.8974444445,15.1031111111,18.4198888889
790.23,9.82555555555,39.6076111111,26.4964444445,38.6858888889,20.2687777778,13.3224444445,11.0252222222,16.0494444444,10.853,26.2384444444,14.4006666667,17.8385555556
790.54,9.44844444445,39.2293888889,26.2692222222,38.6698888889,19.9918888889,12.9684444445,10.3001111111,15.5475555556,10.1946666667,26.107,13.9334444444,17.2181111111
790.85,9.85961111111,39.1490555556,26.5345555556,38.6783333333,20.347,13.0772222222,10.5576666667,15.9025555555,10.5823333333,26.4765555556,14.3906666666,17.2737777778
791.16,9.31505555556,39.2411666667,26.1493333334,38.1026666667,19.67,12.1507777778,9.86500000001,15.339,10.097,26.0548888889,14.1014444444,16.4391111111
791.47,9.8005,39.6029444444,26.2888888889,38.4013333333,20.0104444445,12.6001111111,10.2055555556,15.3605555556,10.6931111111,26.4282222222,14.3242222222,16.7364444444
791.78,8.91022222222,39.1995555556,25.719,37.9482222222,19.4975555556,11.608,9.40711111111,14.9272222222,10.3213333333,25.781,13.6847777778,16.0453333334
792.08,8.322,38.5738888889,24.9303333333,37.6967777778,18.7944444444,10.9762222222,8.772,14.323,9.88766666667,25.2002222222,12.8116666667,15.4204444444
792.39,8.29005555555,38.3931111111,24.9158888889,37.4373333333,18.7461111111,10.6743333333,8.24466666667,13.7775555556,9.86444444443,24.8248888889,12.4763333333,14.8423333333
792.70,8.41583333333,38.2425555555,24.7892222222,37.6877777778,18.7385555555,10.1393333333,8.12266666667,13.6048888889,10.0293333333,24.5782222222,12.3396666667,14.4296666667
793.01,9.21627777778,39.1702222222,25.5048888889,38.5246666667,19.6221111111,10.687,8.85188888889,14.1906666666,10.8988888889,24.9423333333,13.0013333333,14.9931111111
793.32,10.1157777778,39.5900555555,26.0405555556,38.2646666667,20.5302222222,11.7625555556,9.74477777778,15.0378888889,11.9978888889,25.3075555555,13.4635555556,15.6621111111
793.62,10.1408888889,39.927,26.2567777778,39.0652222222,21.1751111111,12.474,9.94677777778,15.4978888889,12.6546666667,25.607,13.9452222222,16.3371111111
793.93,9.84177777778,40.1178888889,26.1913333333,38.9557777778,21.1137777778,12.5236666667,9.92222222221,15.8131111111,12.6486666667,25.3688888889,13.8375555556,16.3224444444
794.24,10.1564444444,40.6567222222,26.5357777778,39.5121111111,21.2498888889,13.0205555556,10.2713333333,16.1054444445,12.8612222222,25.8022222222,14.1077777778,16.6797777778
794.55,10.0306111111,40.2885555556,26.6666666667,39.379,21.2248888889,13.3598888889,10.0524444444,15.9055555555,12.7295555556,25.8791111111,13.8495555556,16.7627777778
794.86,9.18533333333,39.7497222222,26.0215555556,38.6367777778,20.7354444444,12.5542222222,9.28544444444,15.3887777778,11.6935555556,25.3433333333,12.9543333333,16.258
795.16,9.59516666669,40.3315555556,26.4253333333,38.6823333333,21.4555555555,13.3075555555,9.7158888889,16.012,11.8003333333,25.926,13.454,16.6151111111
