wavelength,Back_GeoConm,Belly_GeoConm,Breast_GeoConm,Crissum_GeoConm,Crown_GeoConm,DorTail_GeoConm,Patch10_GeoConm,Rump_GeoConm,Throat_GeoConm,WingTip_GeoConm
592.79,6.4,6.91243333333,6.37553333333,8.55939999999,6.7186,8.99460000001,17.5745,10.0160666667,7.31633333333,10.9933333333
593.13,6.3958,6.91283333333,6.38006666667,8.56426666667,6.7198,9.00433333334,17.6129,10.0168,7.32693333334,10.9898666666
593.47,6.40406666667,6.9252,6.36293333333,8.56413333334,6.70253333333,9.03860000001,17.6266666667,10.007,7.32486666667,10.9756
593.80,6.4034,6.89953333333,6.32346666667,8.55926666666,6.6866,9.00913333334,17.575,9.94973333333,7.314,10.9328666667
594.14,6.38886666667,6.88786666667,6.28146666667,8.51473333333,6.64673333333,8.988,17.5454,9.88199999999,7.28,10.9353333333
594.48,6.3156,6.81683333333,6.19113333333,8.42153333333,6.56553333333,8.94086666667,17.4889,9.79806666666,7.24273333333,10.8583333333
594.81,6.36873333333,6.85113333333,6.20353333333,8.47433333333,6.59433333333,8.96453333334,17.5314666667,9.8132,7.2726,10.9166666666
595.15,6.405,6.86096666667,6.2222,8.50946666667,6.6172,9.00486666666,17.521,9.81246666667,7.3092,10.952
595.49,6.35593333333,6.80766666667,6.19253333333,8.42733333333,6.538,8.92246666667,17.4338333333,9.73960000001,7.24306666667,10.9137333333
595.82,6.34,6.77296666667,6.1864,8.404,6.5212,8.91439999999,17.4076666667,9.70713333333,7.2054,10.9293333333
596.16,6.3752,6.81323333333,6.227,8.45126666667,6.54886666667,8.94279999999,17.4200333333,9.71786666665,7.22506666667,10.9551333334
596.50,6.41666666667,6.83906666667,6.26626666667,8.48513333334,6.59973333333,8.97820000001,17.4374,9.73453333333,7.28073333333,10.9898666667
596.83,6.3642,6.7803,6.17506666667,8.39373333333,6.5254,8.90506666667,17.3424,9.6326,7.20886666667,10.9509333333
597.17,6.37186666667,6.75266666667,6.14773333333,8.39320000001,6.54013333334,8.90120000001,17.3289,9.61253333333,7.19373333333,10.9766
597.51,6.36706666667,6.77623333333,6.15393333333,8.41960000001,6.5348,8.9076,17.3570333333,9.62393333333,7.18493333333,11.0036666667
597.84,6.362,6.76696666667,6.1688,8.4254,6.5528,8.91760000001,17.3346666667,9.61693333334,7.17933333333,10.9980666667
598.18,6.425,6.81976666667,6.2248,8.49333333333,6.61526666667,8.9776,17.3833666667,9.67646666666,7.2272,11.0782666667
598.52,6.4664,6.8538,6.26846666667,8.49926666666,6.67266666667,9.0226,17.4043666667,9.71186666666,7.28013333333,11.1128
598.85,6.45926666667,6.8657,6.29846666667,8.50913333334,6.67613333334,9.03459999999,17.4501333333,9.72986666667,7.2806,11.1179333333
599.19,6.5056,6.90726666667,6.34766666667,8.57619999999,6.734,9.10253333334,17.4817,9.75626666667,7.31806666667,11.143
599.53,6.60906666667,7.01726666667,6.4378,8.66066666666,6.827,9.18073333333,17.5645,9.82713333333,7.45213333334,11.2261333333
599.86,6.66926666667,7.0764,6.4848,8.69626666666,6.87073333333,9.22293333333,17.5907333333,9.86613333333,7.51093333333,11.2941333333
600.20,6.70953333333,7.1203,6.51913333333,8.73446666667,6.87833333333,9.2576,17.6405666667,9.93060000001,7.55346666666,11.3586
600.53,6.78653333333,7.1925,6.58706666667,8.81593333333,6.94446666667,9.33926666667,17.7047333333,9.99426666666,7.625,11.4164666667
600.87,6.7772,7.21126666667,6.59806666666,8.82759999999,6.93773333333,9.35966666666,17.6991666667,10.0050666667,7.64393333333,11.4038666667
601.21,6.80973333333,7.20023333333,6.61506666667,8.81979999999,6.94686666667,9.386,17.7419666667,10.0138,7.66166666667,11.4529333333
601.54,6.82286666667,7.21376666667,6.61973333333,8.80933333333,6.9192,9.38493333333,17.7511666667,10.0186,7.69126666667,11.4404
601.88,6.7956,7.21193333333,6.61473333333,8.79246666667,6.90886666667,9.41053333334,17.7401666667,9.99513333334,7.68353333333,11.4341333334
602.21,6.78533333333,7.19923333333,6.6106,8.81793333333,6.88406666667,9.39913333333,17.7781,9.9946,7.66066666667,11.4518
602.55,6.79853333333,7.2304,6.62633333333,8.84599999999,6.9136,9.4012,17.765,10.0048,7.66840000001,11.4751333333
602.88,6.8212,7.2508,6.6226,8.85926666667,6.9156,9.38773333334,17.7959,10.0214666667,7.69653333333,11.5412666667
603.22,6.7808,7.22116666667,6.5874,8.81153333333,6.8592,9.36113333333,17.7595333333,9.9918,7.63519999999,11.5022
603.56,6.64853333333,7.10376666667,6.46866666667,8.68313333333,6.74826666667,9.24706666668,17.6652666667,9.88093333333,7.53413333333,11.3816666667
603.89,6.60073333334,7.02293333333,6.40126666667,8.61353333334,6.66693333333,9.18926666667,17.6103333333,9.7842,7.4432,11.2984666667
604.23,6.59946666667,7.0038,6.41726666667,8.61746666667,6.66473333333,9.16913333333,17.6132666667,9.77420000001,7.44506666667,11.3160666667
604.56,6.5836,7.00293333333,6.41633333333,8.59339999999,6.65706666667,9.14140000001,17.6051,9.75113333335,7.4464,11.3230666667
604.90,6.51426666667,6.96456666667,6.3698,8.55513333334,6.6082,9.10833333332,17.54,9.71619999999,7.4068,11.2608
605.23,6.47826666666,6.908,6.32086666667,8.5144,6.56886666667,9.06139999999,17.4827666667,9.662,7.349,11.2251333333
605.57,6.46513333333,6.88203333333,6.29273333334,8.48886666666,6.5288,9.02873333333,17.4570666667,9.63026666668,7.33133333333,11.1874666666
605.90,6.43433333333,6.8721,6.2624,8.47306666666,6.50713333333,9.00513333334,17.4179333333,9.619,7.3166,11.1508666667
606.24,6.3798,6.81403333333,6.1842,8.40766666667,6.4366,8.94313333334,17.3721333333,9.55373333333,7.26913333333,11.093
606.58,6.33146666667,6.75053333333,6.1564,8.34059999999,6.3718,8.88799999999,17.3189333333,9.48613333335,7.2204,11.0265333333
606.91,6.34906666667,6.74786666667,6.1656,8.37540000001,6.4016,8.91073333333,17.3499,9.49793333333,7.23386666667,11.0570666667
607.25,6.45466666667,6.85666666666,6.28066666667,8.5116,6.482,9.02593333333,17.4593,9.60246666665,7.31713333333,11.1838
607.58,6.46673333333,6.90483333333,6.3574,8.54206666667,6.52366666667,9.07526666667,17.4944333333,9.64786666668,7.38173333333,11.227
607.92,6.39566666667,6.87296666667,6.32666666667,8.51253333333,6.47373333333,9.05119999999,17.4523666667,9.61806666667,7.3146,11.1765333333
608.25,6.44933333333,6.89793333333,6.37093333333,8.54753333333,6.50013333334,9.09040000001,17.5053,9.64200000001,7.33686666667,11.2087333333
608.59,6.47306666667,6.92136666667,6.4318,8.58299999999,6.51473333333,9.09906666667,17.5334333333,9.643,7.35193333334,11.2246666667
608.92,6.46446666667,6.9493,6.47426666667,8.63353333334,6.51986666667,9.13453333333,17.5886333333,9.67420000001,7.36686666667,11.2571333333
609.26,6.52626666667,7.02233333333,6.56413333333,8.69933333333,6.58346666667,9.19746666667,17.6485666667,9.72626666668,7.42453333334,11.3036666667
609.59,6.528,7.0102,6.58433333333,8.72239999999,6.5548,9.23326666667,17.6738666667,9.70173333335,7.39826666667,11.2946
609.93,6.50126666667,6.95813333333,6.58393333333,8.69306666666,6.5212,9.22426666666,17.6722333333,9.67979999999,7.37320000001,11.268
610.26,6.49386666667,6.96606666667,6.587,8.71499999999,6.51566666667,9.24086666666,17.6718666667,9.67759999999,7.3602,11.2483333333
610.60,6.43426666667,6.914,6.56706666667,8.67886666667,6.45526666667,9.18126666667,17.5939333333,9.61173333335,7.28133333333,11.1668666667
610.93,6.3454,6.77533333333,6.47606666667,8.57346666667,6.34,9.10373333333,17.4903333333,9.51513333332,7.18406666667,11.0520666667
611.27,6.40086666667,6.8072,6.51506666667,8.66946666666,6.3848,9.14979999999,17.5285666667,9.5516,7.20606666667,11.0912
611.60,6.53733333333,6.91966666667,6.64273333333,8.78553333333,6.5034,9.30619999999,17.6721333334,9.67853333333,7.36213333333,11.2182666667
611.93,6.56013333333,6.94546666667,6.66166666667,8.86013333333,6.54926666667,9.35086666668,17.7127,9.7132,7.38773333333,11.2374666667
612.27,6.595,6.95546666667,6.66166666667,8.87373333334,6.54526666667,9.39426666668,17.7018333333,9.70993333333,7.38833333334,11.2424666667
612.60,6.6282,6.98866666667,6.73066666667,8.9254,6.60006666667,9.43693333333,17.6948333333,9.73306666667,7.43073333333,11.2626
612.94,6.45313333334,6.81666666666,6.5574,8.7702,6.4294,9.2784,17.5346333333,9.58926666667,7.24806666667,11.1272
613.27,6.46993333333,6.84736666667,6.537,8.72153333333,6.45066666667,9.2508,17.4711666667,9.58739999999,7.24513333333,11.1250666667
613.61,6.4964,6.91846666667,6.5738,8.76506666666,6.48273333333,9.25806666667,17.4643,9.61453333333,7.2716,11.1504666667
613.94,6.4662,6.91356666667,6.56893333333,8.73199999999,6.4798,9.26679999999,17.4481,9.60099999999,7.26986666666,11.1436
614.28,6.47806666667,6.9473,6.56646666667,8.70366666667,6.47486666667,9.27286666667,17.4833666667,9.62866666667,7.31799999999,11.1491333333
614.61,6.52386666667,7.08003333333,6.6714,8.80793333334,6.5764,9.35020000001,17.5316,9.72053333333,7.4082,11.2409333333
614.94,6.43433333333,7.02146666667,6.58773333333,8.68153333334,6.55586666667,9.28826666667,17.4591666667,9.65213333333,7.38033333333,11.1528
615.28,6.25093333333,6.84393333333,6.401,8.48079999999,6.37593333333,9.06046666666,17.2282,9.48286666666,7.16533333333,10.9444
615.61,6.21913333333,6.82856666667,6.38213333333,8.40420000001,6.3244,9.04953333333,17.1973666667,9.47146666666,7.15880000001,10.8995333333
615.95,6.19513333333,6.8036,6.3754,8.40606666666,6.34773333333,9.01833333333,17.1801,9.50166666665,7.17299999999,10.9076
616.28,6.1592,6.74953333333,6.28526666667,8.29653333334,6.30346666667,8.96966666667,17.1442666667,9.46646666667,7.11366666667,10.8508
616.61,6.29286666666,6.9085,6.442,8.41480000001,6.46013333333,9.08666666667,17.2341333333,9.61906666667,7.24980000001,10.9742666667
616.95,6.30246666667,6.8957,6.4876,8.43259999999,6.47406666667,9.10293333333,17.2221,9.64180000001,7.25533333334,10.9892
617.28,6.35146666667,6.93106666667,6.53393333333,8.45893333334,6.54586666667,9.18486666667,17.3231,9.73619999999,7.29906666667,11.071
617.62,6.40966666667,6.97816666667,6.55833333333,8.49419999999,6.61546666667,9.21019999999,17.3737666667,9.8206,7.33873333334,11.1211333333
