wavelength,Back_SalFulm,Belly_SalFulm,Breast_SalFulm,Crissum_SalFulm,Crown_SalFulm,DorTail_SalFulm,Rump_SalFulm,Throat_SalFulm,WingTip_SalFulm
197.78,18.6956666667,31.2539130435,-26.0145,26.6667333333,38.1160666667,-14.8550999999,66.8115333333,-32.2464,-59.3477000001
198.16,17.1262666667,30.3997913043,-20.2299333333,26.3218,35.9770666666,-5.63203333333,61.7240666666,-13.793,-43.9081
198.54,18.5185333333,27.9925362319,-22.7778,25.5556,39.7531999999,-5.18516666667,57.1605333333,-12.7161333333,-49.0741000001
198.92,26.0,36.7942028986,-15.6,33.8666666667,44.9333333334,2.73333333333,63.4666666667,-8.46666666665,-49.8666666667
199.30,17.8333333333,33.9057971015,-33.6666666667,25.8333333333,44.6666666666,-20.8333333333,62.8333333333,-29.1666666667,-75.1666666665
199.68,15.6061333333,28.9525913043,-28.8635666667,18.3333333333,40.1515999999,-30.3031666667,58.1818666665,-24.9242,-68.6361666666
200.06,11.7776000001,22.2223942028,-38.3333333334,8.66666666666,51.1109999999,-42.6667000001,59.7776666665,-25.0000333334,-119.222366667
200.44,36.0869999999,32.2621130436,2.75343333334,30.0001333333,56.5216666667,9.34786666666,53.3333999999,17.1739,-47.4637000001
200.82,42.0914666666,44.6603565217,7.84313333333,30.5881333333,65.0979999999,26.4052,52.8104000001,28.8234333333,-43.5947666667
201.19,22.2857333333,24.3478985509,-13.9998,16.3810666667,56.5713999999,13.1427,42.4761333334,7.71423333332,-102.190533333
201.57,14.6341333333,9.98225507252,-14.7968666667,11.5447333333,44.0649333333,14.065,42.1137333334,10.9754666667,-83.3334666667
201.95,1.83913333333,-21.5591449275,-35.9770333334,-7.81613333334,37.0116000001,15.6322333333,34.4828666666,5.51716666666,-128.6207
202.33,22.8147333333,-0.6183188406,-8.29626666666,20.2963333333,46.2222666668,30.2963666667,38.5184666667,18.2963666667,-63.926
202.71,20.1586666667,-6.67371304354,-13.0951666667,9.20633333333,39.0476666667,28.9683333333,33.8094666667,5.71423333326,-74.3651
203.09,32.0000666667,8.89057391302,3.69696666667,24.3636666667,50.5454666667,34.5454,36.3636666667,19.1515333333,-39.4544333333
203.47,14.8634,-6.72373913044,-14.6448333333,12.6775333333,32.5682666667,29.235,20.3278666666,2.13110000006,-46.7759999999
203.85,22.0833333333,2.19202898552,-1.50000000001,22.1666666667,31.3333333334,38.4583333333,21.4166666667,11.9583333333,-22.9166666667
204.22,12.3078,-9.43521449276,-13.5469,10.5982,22.6496,28.2478,12.8206,5.85456666666,-31.3247333333
204.60,5.87706666666,-10.6827449275,-14.1228666667,8.50860000001,26.3158666666,31.1404,10.6140666667,2.45613333334,-33.2896
204.98,9.62966666666,-9.88021449274,-6.83139999999,10.6996,30.8641333333,33.6626333333,14.7324666667,12.1812333333,-26.5843
205.36,17.1852,-0.6312637681,-2.44446666665,14.2963333333,36.8148,37.4815,21.6296,20.0371666667,-16.4074
205.74,10.2381333333,-8.38850144926,-5.59530000001,11.0316666667,32.7778,40.1587666667,11.8254666667,17.2222333334,-30.8731
206.12,-22.924,-37.335457971,-38.9474333333,-20.7018,16.9590666667,21.8713333333,-13.4502666667,-7.01756666659,-75.0292333332
206.50,-23.394,-43.1145536232,-29.5757666667,-26.0605333333,11.5151333334,19.6968666667,-20.4848,-4.06056666659,-76.4847333334
