wavelength,Back_CyiCyim,Belly_CyiCyim,Breast_CyiCyim,Crissum_CyiCyim,Crown_CyiCyim,DorTail_CyiCyim,Patch10_CyiCyim,Rump_CyiCyim,Throat_CyiCyim,WingTip_CyiCyim
578.26,11.8088333333,60.8198,63.3183333333,57.87525,8.5955,8.33316666667,9.67583333331,15.3418333333,10.0438333333,8.04866666667
578.60,11.838,60.8855666666,63.4,57.8931666667,8.61616666667,8.3675,9.66899999999,15.3705,10.1046666667,8.12183333334
578.94,11.8408333333,60.8748666667,63.2883333333,57.814,8.625,8.4625,9.63916666665,15.3951666666,10.1351666667,8.1365
579.28,11.7831666667,60.7693833333,63.2315,57.7083333333,8.6115,8.43283333333,9.56033333333,15.3583333334,10.1195,8.146
579.61,11.7303333333,60.7958666666,63.3046666667,57.6515833333,8.55916666666,8.377,9.50433333331,15.3628333333,10.1075,8.06133333333
579.95,11.7133333333,60.9220333334,63.4443333334,57.7359166666,8.54016666666,8.35583333333,9.43383333334,15.3708333333,10.0956666667,8.04183333333
580.29,11.6965,60.83995,63.383,57.66225,8.50433333333,8.37766666667,9.38616666668,15.3383333333,10.1346666666,8.00183333333
580.63,11.6041666667,60.6673166667,63.3033333334,57.5626666667,8.38183333333,8.281,9.30766666666,15.2263333333,10.0363333333,7.90266666667
580.97,11.561,60.7659833333,63.392,57.6340833334,8.33,8.2235,9.2785,15.2055,9.98666666669,7.92166666667
581.31,11.5381666667,60.73375,63.3851666666,57.6605,8.2725,8.24416666666,9.217,15.1503333333,9.94949999999,7.9395
581.65,11.4413333333,60.6884833333,63.3646666666,57.5873333334,8.20166666666,8.19483333333,9.13983333333,15.0755,9.85066666666,7.8495
581.98,11.4035,60.7127166666,63.4388333333,57.5745833334,8.17366666666,8.12566666667,9.056,15.0265,9.79616666665,7.80016666666
582.32,11.3643333334,60.7257666667,63.5043333333,57.67775,8.19083333334,8.158,9.04783333333,15.0176666667,9.76933333335,7.82883333333
582.66,11.3316666667,60.7541833333,63.613,57.7563333333,8.19216666667,8.117,9.07316666667,15.0308333333,9.74499999998,7.8115
583.00,11.3883333334,60.8878,63.7416666666,57.86175,8.271,8.22566666667,9.128,15.0563333333,9.81850000001,7.93483333333
583.34,11.4193333333,60.89925,63.7735,57.9199166666,8.33533333333,8.27583333334,9.1215,15.0351666666,9.84716666665,7.99483333334
583.68,11.4165,60.8287833334,63.7356666666,57.8199166667,8.36583333334,8.2935,9.1425,14.9895,9.83566666665,7.99616666667
584.01,11.4061666667,60.8978333333,63.7811666666,57.9166666667,8.39216666667,8.29333333333,9.14283333333,14.9941666667,9.81883333335,8.015
584.35,11.4576666666,61.0878666667,63.8998333334,57.9715833333,8.48583333334,8.34383333333,9.17833333334,15.0516666667,9.88749999998,8.05733333333
584.69,11.4438333333,61.03955,63.8501666666,57.8936666667,8.50333333334,8.35766666667,9.14666666667,15.0255,9.87166666668,8.03933333333
585.03,11.4566666667,61.06455,63.9675,57.9038333333,8.55183333334,8.379,9.16766666666,15.0496666667,9.88516666667,8.038
585.37,11.4916666667,61.0804166667,63.9975,57.8906666666,8.564,8.39583333334,9.23683333333,15.0916666667,9.9045,8.12116666667
585.70,11.5225,61.12055,64.0523333333,57.9129166667,8.567,8.443,9.24733333333,15.1073333333,9.92350000002,8.178
586.04,11.5541666666,61.2408333333,64.223,57.9669166667,8.5735,8.45333333333,9.29916666667,15.1056666666,9.95816666665,8.20833333334
586.38,11.4876666667,61.2676166667,64.183,57.9829166666,8.54866666666,8.40983333333,9.21833333333,15.0183333334,9.91849999999,8.20766666667
586.72,11.5053333333,61.3251833333,64.2321666667,58.035,8.50933333333,8.332,9.19016666667,15.0406666666,9.88233333331,8.186
587.06,11.4871666667,61.4100666667,64.3008333333,58.1204166667,8.50616666667,8.3465,9.162,15.0388333333,9.86366666665,8.229
587.39,11.4761666667,61.5253166666,64.3943333334,58.27075,8.49533333333,8.37983333333,9.15466666667,15.0306666666,9.88783333332,8.304
587.73,11.4775,61.5666833333,64.3953333333,58.2296666666,8.4995,8.377,9.16183333334,15.0416666667,9.89066666669,8.36383333334
588.07,11.38,61.5126833333,64.427,58.1985,8.35133333333,8.31633333333,9.0865,14.9176666666,9.78066666669,8.3105
588.41,11.2728333334,61.57915,64.4545,58.25925,8.29966666667,8.26883333333,9.05916666667,14.8701666667,9.76116666665,8.28866666667
588.74,11.1988333333,61.5825,64.3613333334,58.2569166666,8.321,8.24016666667,9.09616666667,14.8488333334,9.75716666667,8.31483333333
589.08,11.1538333333,61.6293833333,64.344,58.3000833334,8.33233333333,8.2265,9.07333333334,14.7966666667,9.75916666666,8.26366666666
589.42,11.0441666666,61.5212666666,64.2353333333,58.2606666666,8.27866666666,8.15833333334,8.98833333333,14.7403333334,9.72199999998,8.2055
589.76,11.0015,61.4403,64.1461666667,58.2403333334,8.255,8.15916666667,8.9555,14.723,9.71816666669,8.163
590.09,10.9976666667,61.4011666666,64.2223333334,58.224,8.2185,8.15016666667,8.96166666667,14.7218333333,9.738,8.19233333333
590.43,10.9846666666,61.4664833333,64.2208333334,58.215,8.25583333333,8.19033333334,9.038,14.6756666666,9.78816666669,8.23633333334
590.77,10.9363333333,61.425,64.186,58.13175,8.18216666667,8.131,9.037,14.6283333333,9.735,8.188
591.11,10.874,61.3581833333,64.085,58.083,8.09916666666,8.06166666666,8.981,14.5323333333,9.68999999998,8.10916666667
591.44,10.7973333334,61.4076333334,64.2095,58.1765833333,8.077,8.03116666667,8.96583333334,14.435,9.66716666667,8.06383333333
591.78,10.8596666666,61.3867,64.1885,58.2501666667,8.16683333333,8.12666666667,9.0405,14.5163333334,9.80966666669,8.14566666667
592.12,10.948,61.4281333333,64.3095,58.3291666666,8.27166666667,8.23533333333,9.1095,14.5656666666,9.89066666667,8.21516666666
592.46,10.9256666666,61.4741666667,64.3223333334,58.346,8.187,8.19216666666,9.0265,14.4676666667,9.84450000001,8.19733333333
592.79,10.8973333334,61.4476333333,64.3758333334,58.3405833333,8.08866666667,8.12183333333,8.94566666666,14.397,9.80083333335,8.17216666667
593.13,10.8561666667,61.5799333333,64.4661666666,58.3253333334,8.04466666666,8.09716666667,8.9915,14.358,9.77683333332,8.16666666666
593.47,10.7911666666,61.4793,64.3576666667,58.207,7.99033333333,8.02433333333,8.92533333333,14.25,9.65849999999,8.142
593.80,10.7966666667,61.44535,64.2898333334,58.15325,8.03533333333,7.971,8.92416666667,14.1746666667,9.62516666666,8.097
594.14,10.7325,61.3802166666,64.3281666667,58.2048333334,8.00466666667,7.95383333333,8.8595,14.1668333334,9.58699999999,8.07533333333
594.48,10.7755,61.5209666666,64.4628333334,58.2891666667,8.06583333333,8.02283333333,8.898,14.2248333334,9.68466666665,8.13016666666
594.81,10.8573333333,61.6637,64.5998333334,58.39875,8.15083333333,8.08066666666,9.00916666666,14.2845,9.74899999998,8.24466666667
595.15,10.9078333334,61.7090166667,64.6471666666,58.36875,8.12633333333,8.05816666667,9.02,14.2935,9.776,8.29083333333
595.49,10.8618333333,61.8288833333,64.6925,58.4353333334,8.11083333334,7.9975,9.0115,14.265,9.71516666669,8.3005
595.82,10.7973333333,61.7771166667,64.6085,58.27575,8.0295,7.90833333333,8.94816666666,14.2018333333,9.64500000001,8.26183333333
596.16,10.796,61.8017833334,64.656,58.3001666667,8.06183333333,7.9085,8.99066666666,14.2131666667,9.67766666665,8.274
596.50,10.7973333334,61.8872333334,64.7321666667,58.4024166666,8.14933333333,7.96566666667,9.04416666667,14.2371666667,9.73216666666,8.33866666667
