wavelength,Back_DigAlbf,Belly_DigAlbf,Breast_DigAlbf,Crissum_DigAlbf,Crown_DigAlbf,DorTail_DigAlbf,Patch10_DigAlbf,Rump_DigAlbf,Throat_DigAlbf,WingTip_DigAlbf
186.01,-117.451,-93.5293333333,-117.205866667,-90.8823333333,-43.8235333333,-65.5881333333,-85.5881999999,-103.235266667,-60.8823333333,-78.4313333333
186.39,-118.627466667,-94.7059333333,-116.862733333,-93.5294,-44.6079333333,-71.4706,-87.5490666668,-104.4118,-62.6470666667,-79.4117333333
186.77,-91.5556000001,-71.5555999999,-88.9777333334,-71.9998666667,-28.0888,-51.7333333333,-65.8666666667,-76.7112666666,-40.5333333333,-56.7112
187.15,-54.7125333333,-37.7011333333,-52.6053666667,-39.1571333333,1.45606666665,-25.3639333333,-33.5632666667,-41.3793333333,-11.5708666667,-24.7508666667
187.53,-52.8628,-31.6864,-44.7450999999,-32.4706666667,8.15693333334,-25.098,-31.451,-35.2940666667,-2.19593333332,-18.1961333333
187.91,-39.111,-20.6666,-31.7036666667,-19.4074,19.8519333333,-14.6666,-21.4816,-19.1110666666,8.66666666668,-6.88886666667
188.29,-51.1109333333,-31.6872,-41.6050666667,-27.819,8.39513333334,-28.0656666667,-30.0410666667,-28.2304666666,-1.31666666667,-16.0494
188.67,-84.2623333333,-61.4208666667,-73.1146333333,-54.5355333334,-5.46446666666,-60.0,-64.8087333334,-57.1584000001,-20.1092666667,-39.0163333333
189.05,-101.761,-75.8490666667,-82.5158333334,-65.0314,-10.4403333333,-79.7484666667,-80.0000666666,-71.4465333333,-29.8112666667,-51.9497333333
189.43,-75.4589333333,-59.8066666667,-60.6279999999,-45.9903333334,-10.9178666667,-61.9324,-63.2849333333,-55.8454666667,-25.1206666667,-40.4830666667
189.81,-73.0516666667,-58.2159333333,-58.7324666666,-40.0938,-11.0797333333,-60.2816666667,-62.5352666667,-54.5540666667,-26.3849333333,-38.8732666667
190.19,-53.4246,-37.7168666667,-36.0731333333,-26.6666666667,3.47026666666,-46.7580666667,-46.7580666667,-35.9817333333,-10.9588666667,-20.4565333333
190.57,-82.6667333333,-62.4445333333,-56.9445333333,-47.0001333334,-14.2222666667,-74.4444666666,-75.2221333333,-60.7777333334,-25.8889333333,-41.6666666667
190.95,-154.5,-130.666666667,-115.75,-94.6666666667,-51.3333333334,-151.166666667,-144.166666667,-125.0,-70.4999999999,-96.3333333333
191.33,-419.6492,-365.965,-323.157933333,-265.9648,-216.491133333,-411.579066667,-390.877133333,-347.0176,-234.736866667,-275.087733333
191.71,-286.933333333,-256.0,-219.2,-162.133333333,-142.666666667,-272.533333333,-266.666666667,-233.6,-160.0,-187.466666667
192.09,-250.888933333,-208.888866667,-177.888866667,-144.6666,-142.222266667,-231.333333333,-223.5556,-197.999933333,-134.2222,-165.777933333
192.47,-142.2222,-116.7522,-92.6496666667,-68.8889333334,-59.9999333333,-127.008466667,-132.4788,-105.982933333,-45.8119333334,-81.0257333333
192.85,-106.518533333,-91.1110000001,-72.1483000001,-49.0368666668,-49.4815333333,-99.8518666668,-103.852,-76.7408666667,-27.4074,-61.0370666667
193.23,-112.3076,-103.418666667,-71.7947333333,-51.9657333332,-58.1196,-106.153866667,-112.307733333,-75.0427333333,-20.5129333333,-61.8803333334
193.61,-338.0952,-311.9048,-222.380866667,-185.238,-195.714333333,-317.619066667,-350.4762,-238.095333333,-85.2381333333,-205.714266667
193.99,-238.5716,-232.857066667,-129.5237,-98.5714666665,-123.333333333,-248.571466667,-275.714333333,-151.904666667,-11.4285333333,-140.000066667
194.37,-192.000133333,-210.666533333,-87.1111666667,-50.6667333333,-91.1111333334,-204.0,-232.444466667,-104.888866667,15.9999999999,-134.2222
194.75,-83.5087999999,-100.701666667,11.7543666668,36.8421333333,-3.85966666666,-85.965,-99.6491999999,-0.7017333334,81.4035333332,-32.2807333333
195.13,-12.4136666666,-14.4828,54.7124666666,65.9769999998,35.6323333333,-6.20693333332,-18.6206666667,59.7699999999,99.5403333331,25.9771333332
195.51,8.59639999999,5.614,58.4210000001,58.4210666668,37.1928666667,10.5261999999,-4.56133333338,56.8420666667,93.1578666667,28.7718666667
195.89,5.33319999999,1.33333333333,70.1904000001,58.0952000002,25.7142,6.66666666666,-13.1428666667,62.2857333333,104.380933333,25.7142000001
196.27,-3.90806666666,-8.50579999995,81.0343666666,65.5174000002,30.5746666667,-0.4597333334,-27.1263999999,71.0344,115.862066667,28.9654666668
196.65,-92.3808000001,-81.5872666667,35.8729666667,19.0477333335,-41.5872,-93.0159333332,-96.1904666667,20.9523333333,58.4126666666,-44.1270666667
197.03,-130.9524,-93.3332000001,82.3809999999,36.6666666668,-49.0475333335,-148.095266667,-90.0,52.8571999999,87.1429333334,-44.7619333334
197.40,-65.2174,-35.3623333333,58.9856333332,39.1304666668,-11.884,-79.1305333331,-38.2607999999,44.3478666668,67.5362666666,-14.7826666667
197.78,-30.6249999999,-5.625,55.2083333333,34.7916666667,11.0416666667,-50.8333333333,-10.6249999999,56.4583333333,69.3750000003,1.66666666666
198.16,-36.1616666667,-13.1314,49.9999333333,20.2019999998,2.22226666666,-57.5758666667,-14.1413333333,51.3131333333,64.8486000001,-7.47466666665
198.54,-53.0434666668,-13.6231333333,68.9856999999,24.9275333333,-0.57979999986,-80.2898666667,-22.8985333333,65.2173999999,96.5218000001,2.60860000001
198.92,-36.9445333333,-9.72219999994,66.2500333334,15.8333333334,-1.11106666674,-61.3887333333,-9.44446666668,75.8333999999,103.0556,4.99993333326
199.30,-11.0256666667,5.12813333333,85.2564000001,17.4360666666,22.0513333333,-40.5129333333,9.23079999994,79.7436000001,102.307533333,14.3590666666
199.68,0.6897333334,7.81600000005,93.4483666667,24.5976666667,38.1609333334,-34.9424666666,27.1264666667,93.3332666665,86.8965333333,16.5516666667
200.06,-14.7127333333,-13.5631333334,67.0116333334,0.45980000002,26.207,-54.9425333335,13.5632,77.7011333333,65.2871999999,-3.44826666667
200.44,23.4568000001,22.9629333334,92.4691333334,20.7406000001,57.2838666667,-21.9754,45.4320666667,112.098733333,102.222266667,35.0617333332
200.82,72.9411333333,75.2941333333,188.039166667,67.4509333333,110.980333333,4.31353333326,98.0392,216.4706,209.803933333,101.5686
201.19,87.2222666667,94.4444666667,256.944433333,89.9999999999,145.0,10.0000666667,92.2222666668,301.111333333,291.666733334,111.6666
201.57,159.111133333,172.8888,304.444466667,168.0,215.111133333,93.7777999999,165.777733333,350.6666,296.888933333,187.999933333
201.95,348.148133333,362.962933333,618.888899999,374.814866667,419.259133333,248.888866666,379.999933333,647.407533333,544.444400001,382.963
202.33,-2720.0,-2733.33333333,-5170.0,-2806.66666667,-3160.0,-1913.33333333,-3060.0,-5286.66666667,-4426.66666667,-2953.33333333
202.71,3960.0,3786.66666667,6213.33333333,3666.66666667,4213.33333333,2946.66666666,4293.33333333,6506.66666666,5333.33333333,4160.0
203.09,436.969666667,404.848466666,646.363633333,410.302933333,422.424133333,296.969666666,432.121266667,663.030400001,504.848533333,445.454533333
203.47,478.0,438.666666667,712.666666667,467.333333333,440.0,329.333333333,482.666666667,736.000000001,562.666666667,476.666666667
203.85,286.666666667,273.333333333,365.454566667,270.606066667,256.0606,225.454466667,284.2424,390.303066667,310.606066667,280.909066667
204.22,410.526333333,405.263066667,483.8596,380.7016,351.9298,314.386133333,400.350933333,521.0526,425.614,392.982333333
204.60,742.666666667,729.333333333,883.666666667,698.000000001,628.666666667,551.333333334,731.999999999,938.666666665,744.0,679.333333333
204.98,396.333333333,382.333333333,465.166666667,369.0,345.0,305.333333333,401.666666667,493.333333333,379.666666667,355.0
205.36,237.9048,232.380933333,280.571433333,221.333266667,203.238133333,185.523933333,252.762,288.761866667,228.380933333,225.5238
205.74,220.877266667,216.491266667,256.7544,202.9824,175.4386,184.035133333,234.736933333,261.227933333,223.3332,214.912266667
206.12,166.0256,158.2052,190.769166667,155.0,125.769133333,142.820533333,179.230933333,197.307666666,167.564133334,163.846333333
206.50,153.5518,147.213133333,173.989066667,143.169333333,113.442733333,133.333466666,163.060066667,184.3716,154.098266667,158.5792
206.87,130.444466667,126.444533333,153.499933333,119.888866667,89.3331999999,111.333333333,141.222266667,168.111133333,131.333333333,133.333333333
207.25,141.0886,142.8572,170.272133333,129.251866667,100.952333333,130.204066667,164.4898,188.8436,150.7482,149.1156
207.63,160.350866667,158.421066667,189.824566667,143.508733333,104.035266667,149.2982,188.9474,223.333266667,165.4386,168.947466667
208.01,230.145,221.159466667,289.2754,206.3768,131.3044,205.797066667,272.7536,335.6522,234.492666667,234.492733333
208.39,239.130333333,226.956666667,303.478166667,222.3188,162.898466667,219.999933333,289.2754,346.087,248.985466666,245.217266667
208.77,165.405333333,146.486466666,201.2613,155.495533333,116.7568,145.765733334,200.360466667,229.91,171.351266667,167.567666667
209.14,202.2856,170.2858,227.619066667,176.1906,142.666733333,166.666666667,225.333266667,252.380933333,197.142866667,183.0476
209.52,239.310266667,194.253,256.781533333,202.2988,171.954066667,196.781533333,256.7816,304.597666667,229.655066667,201.839066667
209.90,266.376866667,193.913,274.4927,196.811466667,174.2028,187.5364,267.826066667,333.623333333,228.695666667,183.188466667
210.28,344.313733333,254.901933333,361.3726,269.804,247.451,237.647,344.705933333,440.392266667,299.2158,243.1374
210.66,761.9048,579.999999999,791.904733335,681.904866667,593.333466666,542.857199999,781.9048,986.666733333,653.333266666,522.857066667
211.03,-488.0,-334.0,-489.666666667,-430.0,-359.333333333,-322.0,-473.333333333,-613.999999999,-406.000000001,-312.0
211.41,-560.0,-426.666666667,-569.0,-509.333333333,-409.333333333,-366.666666666,-500.666666667,-658.666666668,-458.666666666,-370.0
211.79,1117.77773333,974.4444,1176.11126667,1077.7778,926.6668,781.1112,1008.88906667,1268.889,1003.33333333,817.777799999
212.17,883.809666667,768.571466667,891.428700001,841.904799999,703.809666667,589.523866666,765.714333332,1029.5238,828.5714,637.1428
212.55,449.444466667,351.666666667,442.777733333,403.888866667,302.222266667,291.666666667,373.888866667,503.888933333,392.7778,307.7778
212.92,492.121266667,380.605933333,481.515133333,423.6364,289.696933333,335.151333333,380.6062,539.394,404.848533333,326.060533333
213.30,418.181866667,330.302933334,448.1818,384.2424,238.181933333,330.909066667,342.424133333,507.8788,367.878733333,313.939466667
213.68,4940.0,3653.33333333,5536.66666667,4426.66666667,2866.66666667,4113.33333333,4226.66666667,5746.66666667,4000.0,3773.33333333
214.06,-702.222200001,-418.888800001,-847.777866667,-661.111133333,-385.555466667,-598.888933333,-647.777733333,-856.6666,-552.222266667,-553.333266667
214.44,-534.2858,-274.285733333,-639.047566667,-456.190466667,-240.000066667,-485.7142,-461.904733333,-649.523866667,-376.190466667,-366.666666667
214.81,-769.333333333,-388.0,-952.0,-552.0,-385.333333333,-736.0,-649.333333333,-989.333333334,-602.666666667,-541.333333334
215.19,550.0,317.5,695.833333333,407.5,327.5,528.333333333,473.333333333,680.833333333,479.166666667,410.833333333
215.57,409.333333333,178.666666667,539.0,268.666666667,248.0,385.333333333,360.0,534.666666667,340.666666667,291.333333333
215.95,454.0,183.333333334,583.0,289.333333333,256.0,428.0,395.333333333,591.333333333,365.333333333,316.666666667
216.32,603.809533333,162.857,803.809533333,368.5714,361.904933333,588.571333333,548.571533333,759.999866666,455.238066666,428.571533333
216.70,664.7618,248.571333333,883.809466667,442.8572,464.761933333,672.380999999,604.761933333,856.190400001,559.999866667,474.285666667
217.08,940.000000001,318.333333333,1365.0,603.333333334,760.000000001,1056.66666667,923.333333334,1403.33333333,803.333333333,643.333333333
217.46,812.000000001,269.333333333,1082.0,510.666666667,670.666666667,829.333333333,692.0,1145.33333333,646.666666667,509.333333333
217.83,221.904866667,106.666733333,294.126933333,158.4126,199.682666667,231.111066667,184.4444,309.841266667,191.111133334,144.444333333
218.21,232.7778,163.611066667,293.0555,180.2778,223.055533333,245.000066667,202.5,323.888933333,219.166666667,175.0
218.59,312.063533333,233.650866667,362.381033333,240.634933333,304.127,302.539733333,268.571533333,400.317466667,299.365133333,240.9524
218.97,261.975333333,191.6048,289.9999,206.9136,241.728333333,231.111133333,212.0988,305.926,226.913533333,186.4198
219.34,246.444466667,181.999933333,267.3332,199.3332,225.777733333,220.888866666,203.7778,276.0,205.111133333,181.333333333
219.72,342.333333333,249.0,355.833333333,274.333333333,305.0,305.0,280.666666667,372.0,279.333333333,233.0
220.10,431.282133333,305.641,448.974366667,352.8206,396.410266666,340.0,340.512866667,466.666733333,322.0512,289.230866666
220.47,275.0876,216.140266667,296.315733333,247.719266667,250.526266667,215.438666667,220.350866666,317.192933333,206.6666,203.157933333
220.85,696.666666667,614.4444,786.1112,664.444466667,660.0,527.777866667,563.333333333,861.1112,470.000066667,527.777666667
221.23,4646.66666667,4100.0,4923.33333333,4460.0,3933.33333333,2966.66666667,3546.66666667,5260.0,3400.0,3700.0
221.61,-74.8718666667,-55.6410666667,-73.4614666667,-70.0000666668,-45.6409999999,-12.0512666666,-37.4358666667,-97.1795333333,-35.3845999999,-42.5641333334
221.98,-1.98573333335,6.5248,1.91479999999,-5.6736,13.1915333333,31.3475333333,12.1984666667,-14.1844,14.3262666667,11.0637333333
222.36,6.85706666666,12.3808666667,3.71436666673,-7.23793333332,22.8572,50.0952666667,23.6191333333,-9.71433333326,30.4762666667,17.7142666667
222.74,42.4562,44.3859999999,33.6841999999,22.6316,58.9473333334,80.5262666667,57.8947333333,23.6841333333,69.9999999999,45.4385333334
223.11,49.9999333333,55.7407333332,46.6665666666,37.9629333333,67.2221333333,86.4815333333,61.2963333333,26.2962666667,73.7037333335,54.2592666666
223.49,43.3333333333,52.1333333333,50.8666666666,37.6,55.3333333334,73.6000000001,53.6,21.0666666667,62.6666666667,54.8
223.87,37.255,47.5816666667,52.2223666666,31.1111333333,47.9738,67.1895333334,54.6405333333,15.9478,59.7384666667,49.4118666667
224.24,26.212,38.9394000001,51.2878666667,30.4546666667,41.5150666667,55.3028666666,50.7576,-0.151466666666,54.6970666667,44.8484666666
224.62,11.1110666667,20.5229333333,36.0783999999,21.3072666667,25.2287333333,38.3007333333,33.8562,-9.54246666666,38.4313333333,33.8562
225.00,-4.12120000001,19.3938666667,30.0607,15.2727333334,19.5152,33.4544,27.7574666667,-16.0,33.6968666667,27.0304
225.38,5.33333333333,27.7948666667,30.9230333333,21.0256666667,20.8206,32.8206,29.3334,-11.4874,39.7949333333,30.7692666667
225.75,-28.1355333334,-7.45773333334,-7.34463333333,-13.3333333334,-11.9773333333,1.46899999999,-5.64973333332,-51.4124,8.8136,-1.92086666668
226.13,-62.4837333333,-38.5621333333,-36.0130666667,-40.0000666667,-44.8366666667,-25.8824,-32.1568666667,-91.3725999999,-17.2548,-30.8496666667
226.51,-56.6136666666,-29.4181333333,-29.4708,-35.8730666667,-42.4338666667,-26.1375333333,-29.7354,-79.5767333333,-18.307,-29.418
226.88,-64.2786666667,-33.0348666667,-38.3581666667,-45.4727333333,-49.0546666667,-36.1194,-38.209,-86.1692000001,-30.4477333333,-36.816
227.26,-47.5885333333,-26.9503333334,-32.9078333333,-37.5886,-36.8085333333,-31.2764666667,-30.4255333334,-63.0498,-24.8228,-31.3474666667
227.64,-42.4465333333,-28.0734666667,-31.1316,-35.6576,-35.2905333333,-29.9082666666,-29.5412666667,-54.5566666667,-24.2813333333,-28.0122
228.01,-17.7626666667,-9.36079999999,-12.9224,-14.0183333333,-13.1964,-8.67580000001,-11.1415333333,-26.6666666667,-5.89046666666,-7.03193333333
228.39,-9.62566666665,-5.02686666667,-9.60793333333,-10.2318,-8.30666666667,-4.67026666666,-7.55793333333,-16.1854666667,-6.02506666667,-2.70933333333
228.76,-4.704,-0.623000000001,-5.24929999999,-4.57946666666,-4.08093333334,-1.09033333333,-4.08093333333,-9.43926666667,-2.835,1.49533333333
229.14,-5.71846666667,-2.51853333333,-7.62960000001,-6.87393333332,-5.6002,-3.73333333333,-6.96306666667,-11.3185333333,-6.34066666666,-0.296266666667
229.52,-6.29479999999,-3.29046666667,-8.45486666667,-8.1546,-5.92273333334,-4.063,-7.35333333334,-10.8155333333,-8.06866666667,0.057333333334
229.89,-1.1294,3.49866666667,-3.00283333333,-1.37746666667,-1.48753333333,0.854066666667,-1.12946666667,-3.82926666667,-2.06613333333,5.67480000001
230.27,3.74366666667,8.71773333333,1.48713333333,2.94873333334,3.89746666667,5.7692,5.1282,2.84613333333,2.76913333333,10.1538666667
230.65,3.42073333333,8.03986666665,0.74906666666,2.29713333333,3.34579999999,4.09473333333,4.79406666667,3.2958,1.19833333333,9.63793333333
231.02,4.46926666667,8.38953333333,1.81026666667,3.62046666667,3.67033333334,5.1186,5.81766666667,4.7442,2.09733333333,10.9362666667
231.40,6.82533333333,10.6878666667,4.17986666667,5.42333333333,5.60833333332,8.46560000001,8.20093333334,7.22213333334,4.074,14.5237333333
231.78,6.72239999999,9.87433333334,1.25523333333,4.49086666667,5.16040000001,9.20499999999,8.81446666668,6.66659999999,2.0642,12.5802
232.15,-0.1942,2.26533333333,-6.58566666667,-3.36573333334,-1.74766666667,3.36566666666,3.5598,-2.29779999999,-7.15213333333,5.88986666666
232.53,3.45306666667,6.90593333334,-0.769233333326,2.22233333333,2.11966666667,9.02566666667,8.92313333335,1.9146,-1.74340000001,10.7351333333
232.90,1.01119999999,4.26966666667,-4.90643333334,-0.524266666673,-0.936333333327,7.45319999999,8.91386666667,-1.12366666667,-4.41946666665,9.32593333333
233.28,5.03793333334,6.32579999999,-1.42049999999,2.5,0.530199999999,9.69686666667,13.7120666667,2.84086666667,-1.51526666666,10.7196666667
233.66,3.67266666666,3.59266666667,-1.57690000001,2.1954,-1.99613333335,8.30339999999,13.4132,1.95606666667,-1.71659999998,7.62473333335
234.03,-3.39253333333,-4.57586666666,-7.1203,-5.87753333335,-8.52060000001,4.26026666667,5.12813333333,-5.36486666668,-8.67853333333,1.69619999999
234.41,-8.96673333333,-10.3702666667,-10.6433,-12.0078,-12.9044,-0.857666666673,-2.49506666666,-11.384,-15.0877333333,-4.13266666666
234.78,-11.6666666667,-12.6515333333,-12.4622333333,-14.0150666667,-14.7348,-1.17433333333,-4.3182,-14.1289333334,-15.3032,-6.28793333333
235.16,-12.036,-13.1890666667,-13.1531666667,-14.4144,-15.8558666666,-2.81073333333,-4.07213333333,-15.5676,-15.5316666667,-7.49546666667
235.54,-13.3989333333,-13.0376666667,-13.7767333333,-16.0590666667,-17.11,-5.87853333333,-4.69606666667,-17.2084666667,-15.8620666667,-9.49100000001
235.91,-12.8204,-9.3816,-11.2669666667,-14.0272,-14.8114,-7.11919999999,-4.31373333335,-16.8627333333,-13.7255333333,-7.4812
236.29,-10.0271333333,-5.50133333334,-9.11926666667,-10.813,-12.0596666667,-6.15179999999,-2.0868,-13.4148,-10.8401333333,-4.6342
236.66,-12.6246666667,-7.48026666666,-13.0184333333,-12.7559333333,-13.6221333333,-9.76379999999,-5.19686666667,-16.0892666667,-12.9132666667,-7.53286666667
237.04,-10.7180666667,-6.02553333333,-11.4871666667,-12.0256666667,-12.5128666666,-9.53840000001,-4.58966666667,-14.7435333334,-11.8461333333,-6.41033333334
237.41,-7.25933333333,-1.50599999999,-7.87663333333,-8.4198,-8.83946666667,-5.50606666667,-0.913466666667,-9.90120000001,-7.50606666667,-2.0
237.79,-7.42006666667,-1.25580000001,-7.71696666667,-9.29233333332,-7.92233333334,-5.59366666666,-0.410866666668,-8.62999999999,-7.73966666666,-2.4886
238.17,-6.05673333333,-0.936666666667,-6.8192,-9.43346666667,-6.10013333333,-5.31593333334,1.5686,-8.21346666667,-7.27673333333,-2.5926
238.54,-1.37853333333,3.55959999999,-1.65646666667,-3.93000000001,-1.29646666667,-0.411466666666,6.58439999999,-3.251,-2.3458,2.81886666667
238.92,4.59506666666,9.60446666666,5.08486666666,2.91893333333,5.4238,5.08473333333,12.6552666667,3.22033333334,3.44633333334,9.47266666667
239.29,5.052,9.73953333332,6.14586666667,3.88886666667,6.40613333333,6.21519999999,12.1007333333,4.2708,4.23613333334,10.434
239.67,7.1856,9.98419999998,7.73590000001,5.99053333333,8.25473333333,8.03466666666,13.3018666667,6.49373333333,6.06926666667,11.9652666667
240.04,8.08813333333,9.83659999999,8.5645,6.24013333333,8.61413333334,8.57146666666,13.8735333333,7.71846666667,7.13586666667,12.0398
240.42,9.66966666667,10.8909333333,10.1559333333,7.55126666667,9.90660000001,10.8162666667,14.8785333333,9.57020000001,8.89713333333,13.2710666667
240.79,7.39006666666,8.06913333334,7.9356,5.01966666667,7.468,8.9482,12.8212,7.3344,6.70006666667,11.5526
241.17,6.0098,6.94686666667,6.78256666667,4.26093333333,6.25113333333,8.13533333334,11.3720666667,6.44446666667,5.4686,10.4734
241.54,4.38666666667,5.42693333333,5.5309,2.88693333333,5.01086666667,6.7448,9.79620000001,4.66406666667,3.83193333333,9.17200000001
241.92,4.3592,5.42006666667,5.1954,3.25206666667,4.7232,6.68993333333,9.849,4.4678,3.3838,9.39986666666
242.29,4.62213333333,5.44986666667,5.12593333333,3.73673333333,4.67246666667,6.9618,10.1511333333,5.09726666667,3.66466666667,9.67593333333
242.67,3.48833333333,4.3824,3.7702,2.6832,3.8734,6.1922,9.56993333333,4.417,2.59393333333,8.64806666666
243.05,2.66393333333,3.32,2.65413333333,1.67,3.17433333333,5.79186666667,8.58173333333,3.87026666667,1.9152,7.89266666667
243.42,2.28273333333,2.7806,1.9206,0.892399999999,2.41853333333,5.4188,8.09546666667,3.64713333333,1.44206666667,7.2228
243.80,1.28353333333,2.17753333333,0.961066666666,0.0064666666674,1.2644,5.032,7.24133333333,2.7076,0.568266666667,6.3474
244.17,0.5456,1.65573333333,0.117466666666,-0.494733333333,0.627800000001,4.61153333333,6.7808,1.87746666667,-0.012733333334,6.02593333333
244.55,-0.659066666666,0.547333333334,-1.03863333333,-1.47386666667,-0.621933333332,3.24,5.62186666667,0.522533333332,-1.2064,4.75753333333
244.92,0.314333333333,1.5778,0.0407999999994,-0.605533333333,0.0465999999999,3.88953333333,6.52113333333,1.4148,-0.337666666667,5.18773333333
245.30,0.7462,1.88993333333,0.645366666667,-0.413799999999,0.435866666666,4.35193333333,7.11866666667,1.78653333334,0.206933333333,5.51186666667
245.67,1.28206666667,2.14786666667,0.846366666667,-0.133733333333,0.638466666666,4.41466666667,7.35966666667,2.242,0.574266666667,5.7066
246.05,1.93673333333,2.81606666667,1.52206666667,0.419133333334,1.1164,4.86213333333,7.8468,2.87993333333,1.4262,6.34306666667
246.42,2.3728,3.50553333333,2.03273333333,0.838066666667,1.7008,5.09006666667,8.26813333333,3.1778,1.9208,6.84086666667
246.79,2.64546666667,3.60046666667,2.28363333333,1.06506666667,1.67526666667,5.075,8.06146666667,3.05473333333,2.05786666667,6.85253333333
247.17,3.21293333333,4.17993333333,2.95433333333,1.65073333333,2.11113333333,5.5296,8.67180000001,3.266,2.5682,7.21926666667
247.54,3.71673333333,4.8066,3.5217,2.4118,2.78166666667,6.00066666667,9.29373333332,3.6024,3.15166666667,7.8574
247.92,4.34126666667,5.375,4.08336666667,2.8864,3.4018,6.3536,9.78486666667,4.1552,3.7182,8.43446666667
248.29,4.9378,5.70973333333,4.48486666667,3.39386666667,3.9426,6.88666666667,10.2298,4.89633333333,4.28053333334,8.86440000001
248.67,4.9276,5.6862,4.30096666667,3.37833333334,3.91186666667,6.87233333333,10.2089333333,4.95993333333,4.32646666667,8.85553333333
249.04,5.21166666667,5.96406666667,4.5576,3.80333333333,4.32513333333,7.20866666667,10.6004,5.27846666667,4.67286666667,9.32593333333
249.42,5.58653333333,6.56153333333,4.94646666666,4.30646666667,4.73793333333,7.61006666667,11.131,5.6566,5.14106666667,9.8754
249.79,6.27286666667,7.60406666667,5.73116666667,5.3692,5.58686666667,8.56013333333,12.0548,6.3856,6.08546666667,10.8887333333
250.17,6.52146666667,7.92906666667,6.04756666667,5.79546666667,6.1182,8.8526,12.2928,6.56193333333,6.48933333333,11.2239333333
250.54,6.4272,7.93813333333,6.1244,5.87846666667,6.08313333333,8.96580000001,12.2492,6.6666,6.40966666667,11.1824
250.92,6.75086666667,8.41173333333,6.50523333333,6.1802,6.503,9.34266666667,13.0293333333,7.1064,6.8538,11.6818666667
251.29,7.101,8.71653333333,6.52516666667,6.4224,6.5886,9.50226666665,13.6066,7.60866666666,7.10106666667,11.9522666667
251.66,7.2504,8.72953333333,6.38253333333,6.41506666667,6.6668,9.63513333335,13.9574,7.87926666667,7.21006666667,11.9094666667
252.04,7.40053333333,8.68493333334,6.46276666667,6.63093333333,6.91646666667,9.84713333333,14.3118666667,8.07326666667,7.1764,12.1966
252.41,7.4152,8.7048,6.5858,6.6456,6.8692,9.89579999999,14.2643333333,7.96126666667,7.046,12.2983333333
