wavelength,Back_ThlInom,Belly_ThlInom,Breast_ThlInom,Crissum_ThlInom,Crown_ThlInom,DorTail_ThlInom,Rump_ThlInom,Throat_ThlInom,WingTip_ThlInom
193.99,67.8458333334,70.9906666666,63.9151666667,38.836375,43.3176666667,47.0125833334,57.5865,36.045625,16.1949166667
194.37,74.9998333333,77.1042499999,70.8753333333,41.7087083333,49.66325,54.0404166666,62.584125,43.4343333333,22.2221666667
194.75,79.65375,86.147125,77.7055833334,40.3139583333,48.0520833333,56.8182500001,64.28575,46.04975,17.0998333333
195.13,78.2862500001,78.3451250001,72.8873333332,32.687875,37.3240833333,47.3004166667,57.101,34.683,1.4085
195.51,84.1530000001,81.4891249999,75.5462500001,30.1229166666,30.4644999999,43.8523333333,59.4945416667,35.9974166667,-11.4755
195.89,80.6200833332,72.1897916667,73.2558333335,14.147375,6.00766666667,27.71325,59.2054166667,25.87225,-49.9999166667
196.27,101.666666667,77.0833333332,78.3333333333,-29.7916666666,-67.9166666669,-10.8333333334,52.7083333334,-2.9166666665,-187.916666666
196.65,1350.0,637.5,683.333333332,-1537.5,-2325.0,-1158.33333333,679.166666667,-720.833333333,-4716.66666667
197.03,-78.1250000001,-18.4895833333,-23.9583333332,119.791666667,190.104166667,95.8333333333,-20.5729166667,79.6875,319.270833333
197.40,-147.222333333,-1.38891666675,-85.1851666667,188.888875,300.926,197.222166667,-63.426,176.851708333,565.740666667
197.78,-327.083333333,40.625,-210.416666667,483.333333333,714.583333334,437.500000002,-19.7916666667,460.416666666,1293.75
198.16,13.9880833334,68.0059166667,27.3809166666,126.041625,165.47625,102.678416667,51.488125,127.381041666,234.821416667
198.54,65.0000000001,130.0,79.6666666666,183.166666667,220.666666667,161.666666667,99.0000000001,186.666666666,307.333333334
198.92,116.666666667,239.285541667,157.142916667,358.33325,377.976166667,300.595166667,189.583291667,351.190416667,523.21425
199.30,92.9486666665,216.987291667,120.51275,380.769291667,348.076916667,283.974333333,137.179333333,300.000041667,508.333416667
199.68,185.0,332.083333333,215.833333333,573.749999999,499.166666667,399.166666667,203.75,439.583333334,685.833333333
200.06,87.2807499999,161.403583333,108.333333333,293.421,245.1755,199.122833333,86.1841666668,220.613958333,326.315916667
200.44,133.333416667,359.523833333,225.000083333,702.380999999,542.857,415.476083333,88.6904583334,547.619166667,757.142916667
200.82,291.666666667,497.023833333,366.666583333,813.095166667,632.142666667,497.619083333,252.976375,688.6905,878.571500001
201.19,379.166666667,664.583333333,412.5,1151.04166667,822.916666665,635.416666668,143.75,984.374999999,1345.83333334
201.57,87.1795,138.461458333,93.9102499999,209.45525,159.615333333,112.499833334,51.4422499999,179.48725,230.448833334
201.95,67.8570833334,102.261791667,81.1905,155.476166667,115.714333333,100.47625,36.904625,130.9525,177.619
202.33,83.3333333333,156.34925,100.396833333,217.063458333,163.492083333,161.507833333,38.0952083331,190.872958333,265.0795
202.71,58.0128333333,134.294958333,71.4743333333,173.237083333,154.48725,143.26925,33.9742916667,166.666666667,207.69225
203.09,37.7976666667,119.34525,48.5119166666,138.095333333,144.345416667,125.59525,18.1547083333,139.732208333,185.416833333
203.47,32.2915833333,113.194333333,53.1249166667,137.499958333,161.805666667,129.514,15.625125,154.86125,197.91675
203.85,31.4285833333,87.8571666667,43.3332500001,96.4287083333,113.571416667,100.47625,19.6429166667,114.761791667,139.76175
204.22,54.8850833333,122.557416667,67.5287500001,142.816,143.39075,133.62075,56.3217916667,155.890833333,201.149416667
204.60,87.3561666667,159.91375,87.931,186.063208333,184.770083333,151.436666667,104.453958333,177.58625,235.0575
