wavelength,Back_OryCram,Belly_OryCram,Breast_OryCram,Crissum_OryCram,Crown_OryCram,DorTail_OryCram,Patch10_OryCram,Rump_OryCram,Throat_OryCram,WingTip_OryCram
196.27,7.57573333332,27.2727333333,-28.6363666667,7.27280000019,-1.36356666666,92.2727666667,52.1210666666,84.5454666667,50.0908599999,39.5453333334
196.65,-1.75433333338,21.4034666667,-54.5614333333,-7.3684666666,-19.6493333333,94.2105333332,41.7542666667,85.6139333331,58.6666599999,29.1227666668
197.03,-49.6666666667,-11.3333333333,-75.8333333333,-65.9999999999,-47.5,57.3333333333,14.6666666667,58.0,16.1000000001,9.1666666666
197.40,-105.7144,-58.0952666667,-107.142866667,-119.0476,-113.809466667,62.8571333335,12.8570666667,31.9048666667,16.3809400001,-18.8093666666
197.78,-636.0,-517.333333333,-598.666666667,-607.999999999,-714.0,-166.666666667,-284.0,-130.666666667,-290.399999999,-271.333333333
198.16,-714.666666667,-598.666666667,-679.333333333,-649.333333333,-884.666666667,-252.0,-356.0,-193.333333333,-367.599999999,-463.333333333
198.54,-688.8888,-596.666666667,-619.9999,-628.888933333,-883.333233333,-328.888766667,-382.222266667,-239.999933333,-406.555473333,-535.0
198.92,972.0,877.333333333,892.666666667,908.0,1254.0,556.666666667,614.666666667,469.333333334,571.466666667,860.666666667
199.30,-533.939333333,-478.787866667,-510.000033333,-511.5152,-651.515133333,-373.6363,-357.575666667,-314.545466667,-316.242293333,-570.6062
199.68,7380.0,6333.33333333,7476.66666667,7346.66666666,8749.99999999,5496.66666666,5193.33333334,4440.0,4579.33333333,7863.33333333
200.06,-509.0476,-429.047533333,-520.476066667,-504.285733333,-604.0476,-331.6666,-341.9048,-300.4762,-295.42846,-547.142833333
200.44,-469.7778,-383.111066667,-459.555633333,-438.6668,-573.777766667,-301.3333,-317.777866667,-272.000066667,-277.06672,-534.888966667
200.82,-523.8096,-419.0476,-471.6667,-448.5714,-624.047466667,-345.2381,-331.904866667,-281.428666667,-306.142913333,-571.1904
201.19,3800.0,2916.66666667,3628.33333333,3183.33333333,4495.0,2568.33333333,2560.0,2166.66666667,2255.66666667,4081.66666667
201.57,1040.00013333,798.095266667,1102.8571,895.238000001,1218.09516667,734.2856,747.619066666,567.619133333,665.047693334,1165.23806667
201.95,-1018.09513334,-711.428533334,-1090.95243333,-896.190533332,-1130.47616667,-706.666666667,-659.047600001,-572.380999999,-585.142906667,-1159.99986667
202.33,-3880.0,-2713.33333334,-3953.33333333,-3443.33333333,-4145.0,-2631.66666667,-2436.66666667,-2356.66666667,-2380.0,-3991.66666667
202.71,856.363666667,638.181866667,914.242466666,773.333333334,890.0001,586.9697,585.454533333,570.302933333,600.727273333,845.757666667
203.09,1982.66666666,1469.33333333,2068.0,1702.66666667,2056.66666667,1310.0,1389.33333333,1341.33333333,1448.26666667,1930.0
203.47,499.697,385.757533333,518.030333333,435.454666666,531.0606,352.5758,378.787733333,365.1514,376.66674,467.8789
203.85,3482.22233334,2668.88906667,3668.88886667,3053.33333333,3702.2222,2555.5555,2608.88893334,2653.33326667,2745.55556,3236.66666667
204.22,551.0,418.333333333,569.0,477.666666667,579.166666667,441.333333333,405.666666667,433.0,447.4,490.333333333
204.60,1227.4074,938.518466667,1307.03693333,1071.111,1264.0741,1000.3704,894.074199999,977.036999999,978.815006666,1107.77776667
204.98,-6.89613692941e+15,-5.3821427365e+15,-7.64033970874e+15,-6.32465743124e+15,-7.18827383705e+15,-5.79582565682e+15,-5.09213821504e+15,-5.72758929882e+15,-5.66447066768e+15,-6.62532388364e+15
205.36,-847.692266668,-725.1282,-945.384566667,-794.871933334,-932.564066667,-733.3333,-644.615266667,-733.333333333,-713.436053333,-845.128166667
205.74,-540.606133333,-468.181733333,-586.818266667,-492.1212,-594.242433333,-469.999966667,-418.181866667,-476.969666667,-442.8485,-533.1819
206.12,-483.611133333,-440.2778,-535.555466667,-442.777733333,-543.6112,-431.805466667,-394.722266666,-430.2778,-393.777853333,-477.361066667
206.50,-382.069,-350.804666667,-436.436866667,-348.505666667,-428.735633333,-342.988433333,-319.3104,-332.873466666,-306.7585,-384.4826
206.87,-336.888866667,-299.1112,-384.778,-311.333333333,-371.666733333,-304.111233333,-279.1112,-291.3334,-260.33334,-335.8887
207.25,-198.405933333,-176.6666,-242.3914,-192.608666666,-219.710166667,-181.4491,-156.956466667,-170.579666667,-148.0724,-208.115733333
207.63,-162.060666667,-148.727266666,-202.181866667,-154.666666667,-176.5455,-143.2726,-125.090933333,-138.303,-119.175666667,-163.818133333
208.01,-175.646266667,-169.251733333,-217.687033333,-173.7414,-201.292533333,-160.2721,-139.863866667,-156.4626,-125.972973333,-184.013466667
208.39,-176.527733334,-179.861133333,-225.4861,-176.25,-205.0,-158.8195,-149.4444,-155.277733333,-129.91658,-186.7361
208.77,-203.968133333,-213.809533333,-251.7461,-202.539733333,-234.523833333,-181.111033333,-170.000133333,-179.365133333,-149.984173333,-211.825333333
209.14,-274.117533333,-281.960866667,-329.902033333,-269.6078,-303.1372,-246.960766667,-233.5294,-243.333333333,-211.90212,-275.882266667
209.52,-330.8644,-336.5432,-404.074066667,-334.074066667,-369.1358,-316.4198,-284.4444,-292.345666667,-257.38266,-339.8767
209.90,-552.5,-577.5,-688.333333333,-582.916666667,-624.375,-543.333333333,-453.75,-491.25,-425.125,-572.916666667
210.28,-273.999866667,-282.222333333,-350.111033333,-289.111133333,-315.222266667,-273.3333,-216.889,-239.555666667,-213.888933333,-286.111133333
210.66,-383.611066667,-398.3334,-488.333433333,-400.0,-442.916566667,-390.694433333,-306.6666,-347.5,-314.333286667,-400.972133333
211.03,-238.9744,-247.3504,-290.3419,-239.6582,-270.341866667,-238.290533333,-184.2736,-215.213666667,-192.068286667,-236.068366667
211.41,-277.1428,-291.4286,-326.5714,-271.047666667,-315.238133333,-267.238033333,-221.9048,-243.428466667,-225.14294,-255.333233333
211.79,-282.626266667,-302.828266667,-335.858566667,-285.656533333,-321.0101,-274.646433333,-229.494866667,-250.908933333,-234.040366667,-263.737366667
212.17,-205.333333333,-222.666666667,-259.416666667,-207.166666667,-234.75,-203.0,-161.5,-175.166666667,-170.266666667,-182.25
212.55,-140.833333333,-147.738133334,-173.928533333,-141.904733333,-159.2261,-138.273733333,-104.047533333,-120.238133333,-116.10704,-130.118833333
212.92,-187.092133333,-203.687933333,-234.468166667,-188.085133333,-214.6099,-191.3474,-146.808466667,-169.5034,-161.02122,-177.659466667
213.30,-133.118133333,-148.709666667,-161.505366667,-124.408666667,-151.8278,-133.0645,-94.6235333332,-119.139733333,-105.731166667,-115.376333333
213.68,-132.820533333,-148.307666667,-157.948666667,-117.230866667,-145.692333333,-126.769233333,-93.8462,-117.9488,-103.651346667,-105.487366667
214.06,-132.7364,-144.278666667,-151.691533333,-111.6418,-145.323466667,-120.646833334,-95.5224666667,-117.711533333,-102.477766667,-102.835766667
214.44,-217.361133333,-231.527733333,-241.6666,-185.2776,-230.4167,-202.152833333,-169.7222,-199.4444,-170.944486667,-172.361033333
214.81,-172.9762,-182.5,-183.869,-143.5714,-180.773833333,-161.547566667,-131.7858,-154.166533333,-131.428533333,-131.0714
215.19,-205.555466666,-219.3054,-222.6389,-173.75,-222.7777,-200.277733333,-162.638866667,-185.416733333,-157.05564,-179.652766667
215.57,-156.7742,-164.086066667,-165.376266667,-133.5484,-166.3979,-154.139733333,-117.7418,-141.182733333,-115.483753333,-139.946233333
215.95,-173.095266667,-178.9286,-189.940566667,-144.404866667,-182.6786,-174.4643,-124.4048,-154.404933333,-126.761906667,-149.999966667
216.32,-291.833333334,-287.666666667,-309.583333333,-235.833333333,-293.333333333,-273.916666667,-208.0,-257.833333333,-215.45,-243.75
216.70,-347.254866667,-340.588133334,-371.568533333,-272.156933333,-341.7647,-321.372566667,-249.2158,-297.647066666,-246.05878,-270.294033333
217.08,-304.736866667,-288.596666667,-309.210666667,-240.0,-288.6842,-264.298166667,-204.210466666,-242.631533333,-212.947453333,-223.3335
217.46,-321.481466667,-298.889,-320.462833333,-259.2592,-309.351833333,-272.963166667,-212.592533333,-237.963066667,-213.444433333,-245.3702
217.83,-305.982866667,-275.726466667,-300.4273,-261.025666667,-296.581133333,-262.4786,-205.983,-230.085533333,-212.73514,-245.042766667
218.21,-314.8718,-287.6922,-311.0256,-275.726466667,-303.077033333,-282.393133333,-217.094066667,-235.0426,-225.79478,-255.0429
218.59,-392.156666667,-372.941066667,-390.196133333,-358.4314,-386.372633333,-352.254933333,-278.8236,-302.7452,-283.764713333,-336.176633333
218.97,-490.952333333,-473.095133333,-511.0714,-459.285866667,-496.1904,-448.095166667,-359.999933333,-386.4286,-358.714326667,-426.309533333
219.34,-615.7576,-619.697,-667.878733333,-602.7272,-645.303066667,-582.8788,-479.697,-506.060666667,-470.84846,-518.030133333
219.72,1536.0,1556.0,1646.66666667,1492.66666667,1607.0,1487.33333333,1274.0,1290.0,1231.73333333,1277.0
220.10,-2553.33333333,-2587.7778,-2604.44443333,-2457.7778,-2702.2223,-2452.77773334,-2150.0,-2142.22213333,-2042.55558,-2201.111
220.47,-645.0794,-680.317533333,-653.809533333,-629.523733333,-716.507966667,-648.888833333,-558.412733333,-547.619066667,-526.285813333,-571.904766667
220.85,-392.929333333,-414.5454,-388.080766667,-391.3132,-448.7879,-398.585866667,-344.848466667,-335.9596,-317.717113333,-363.434333333
221.23,-443.908066667,-459.310333333,-437.930933333,-434.942533333,-512.873633333,-465.517233333,-400.689733333,-385.747133333,-362.344806667,-432.8734
221.61,-591.818333333,-609.090933333,-605.303,-594.848533333,-681.666733333,-628.181966667,-552.121133333,-543.3334,-508.151573333,-581.969733333
221.98,-546.376866667,-567.826,-552.319066667,-519.1304,-611.014466667,-565.6522,-498.261,-504.9276,-447.507266667,-540.7247
222.36,-307.387466667,-320.180266667,-315.225166667,-294.0542,-351.441333333,-316.306133334,-287.3874,-289.189133333,-258.3423,-306.756766667
222.74,-154.166666667,-158.8096,-158.452433333,-144.523733333,-176.904833333,-157.797633333,-139.642866667,-149.0476,-129.345266667,-151.9049
223.11,-143.742666667,-150.8772,-142.339233333,-128.888933333,-157.777666667,-142.397733333,-125.731,-134.269,-119.415126667,-143.6843
223.49,-151.149466667,-152.988466667,-151.2069,-125.172466667,-158.563333333,-144.138033333,-127.701133333,-134.367866667,-124.000106667,-149.252866667
223.87,-130.6254,-135.416933333,-132.6044,-108.021133333,-138.541966667,-124.948266667,-112.6044,-119.271133333,-110.041846667,-137.500133333
224.24,-148.187066667,-162.573066667,-155.555566667,-126.198733333,-156.5498,-142.982433334,-126.7836,-134.152,-121.6959,-154.5028
224.62,-149.166666667,-167.738133333,-154.4049,-132.2618,-155.714266667,-146.607333333,-130.0,-139.047733333,-120.821366667,-162.916566667
225.00,-273.9394,-312.727333333,-291.9192,-245.8586,-280.908966667,-274.646333333,-242.2224,-254.545466667,-234.58588,-312.4242
225.38,-143.8096,-182.176866667,-164.489766667,-136.054466667,-152.585066667,-144.8299,-130.204,-139.319733333,-117.115493333,-168.231366667
225.75,-123.703733333,-161.604933333,-144.629733333,-120.740666667,-129.753166667,-126.049333333,-110.123533333,-125.061866667,-99.3333333334,-148.7038
226.13,-60.6926,-88.5714,-77.4457666667,-65.6278666667,-70.0866,-66.3204,-52.9004,-61.9047999999,-50.3809533333,-76.0606666667
226.51,-61.1872,-89.4977999999,-79.3608,-64.1096,-69.0867666666,-64.9315,-51.872,-60.3653333333,-39.8994733333,-74.1551333333
226.88,-52.3076,-81.9656666667,-70.1281666667,-59.8291333334,-62.8631666666,-56.7949666667,-42.7351333333,-48.2906,-30.6751933333,-66.3248
227.26,-28.0586666667,-51.2820666667,-45.4577666667,-39.9266666667,-39.304,-32.8571,-25.3479333333,-29.9634,-12.0000066667,-42.5641333333
227.64,-17.5886,-40.4254666667,-36.4185,-33.6880666667,-30.0709333333,-22.4113,-15.9574,-22.6239333333,-3.13476666665,-33.8652
228.01,-8.20986666667,-26.8518,-26.0801666667,-22.2838666667,-16.3580666667,-10.1235,-4.13573333334,-9.87640000001,6.98154666665,-19.5986333333
228.39,-8.96753333333,-21.5928666667,-24.0707666667,-23.2447333333,-15.6931666667,-10.7078333333,-5.30973333332,-11.7404666667,5.02639333333,-19.3214666667
228.76,-18.4346666667,-25.9129333334,-33.0144,-30.6666,-22.4927,-12.3188666667,-10.5508666667,-14.6667333333,-0.823193333326,-20.8696
229.14,-9.00759999999,-13.9441333333,-21.7304333333,-18.8803333333,-11.5522,-0.152600000006,0.559866666668,-5.69973333333,8.50397333334,-5.7761
229.52,-13.9889333334,-17.1038,-27.7595,-23.2240666667,-15.0819666667,-3.6066,-1.36606666668,-7.92339999999,4.59016000001,-10.3005666667
229.89,-9.7312,-12.2580666667,-21.4246,-15.645,-11.7472666667,3.68276666666,2.41926666666,-0.698933333328,9.96786,-5.86016666667
230.27,-18.8201333333,-20.8849333333,-30.1181,-24.0116,-20.6489,-1.65203333333,-6.66666666667,-8.43646666665,2.97935333335,-17.4040666667
230.65,-26.9725333333,-28.3180666667,-33.2414333333,-32.1712666667,-26.4831333333,-10.8868666667,-11.0703333333,-18.1652666667,-8.92351999999,-24.8622
231.02,-41.5686,-45.0328,-49.5098,-47.9738666667,-45.3595,-24.1830333333,-28.1045333333,-33.8562,-28.1960866667,-41.3727333333
231.40,-59.9298,-63.5788666667,-65.0526,-65.8946666667,-65.7193,-38.1403666667,-42.3859333333,-49.6140666667,-45.1299333333,-61.8947666667
231.78,-34.3502666666,-36.0450666667,-33.3334,-38.1920666667,-35.7061,-15.2825,-18.2484,-24.6892666667,-20.8247866667,-32.3729
232.15,-22.2762666667,-22.7098666667,-19.6205,-26.2870666667,-22.7641,-3.5772,-6.50406666666,-15.9348,-11.4038466667,-19.3224
232.53,-19.4827333333,-22.5862,-21.6666333333,-23.7357333333,-20.8046333333,0.862133333326,-1.7816,-15.2874666667,-11.0976133333,-17.5287666667
232.90,-21.021,-28.2883333333,-24.3843,-26.4866,-22.3424,-1.65166666665,-5.58566666666,-21.5014666667,-16.0540066667,-21.8317
233.28,-29.8214,-39.1667333333,-32.9465333333,-35.5356666667,-30.3571,-11.3691,-14.5238,-30.7143333333,-26.01202,-31.8752
233.66,-29.5466666667,-38.24,-33.8133333333,-33.0666666667,-30.56,-11.7333333333,-15.4133333333,-33.28,-27.248,-31.8133333333
234.03,-31.2860666667,-42.9396666667,-40.8398666667,-37.4803333333,-31.0236,-16.1680666667,-18.4252,-38.53,-34.4881266667,-33.7533
234.41,-39.6078,-52.5488666667,-52.4090666667,-45.434,-37.2548666667,-24.3977666667,-24.3137333333,-48.4034,-42.1008266667,-40.8123
234.78,-30.3937333333,-41.7322666667,-45.6692,-32.8608666667,-27.7690666667,-12.2310333333,-14.6456666667,-36.7454666667,-33.0603666667,-32.5721
235.16,-24.1860666667,-31.9896,-41.0335666667,-24.3411333333,-19.7156666667,-6.12396666666,-8.63053333332,-30.9560666667,-26.0930266667,-23.7726333333
235.54,-22.3232666667,-28.485,-40.1262666667,-18.7373333333,-15.5051666667,-5.80810000001,-6.41413333335,-31.0101333333,-25.0453666667,-18.6868333333
235.91,-31.7707333333,-37.3436666667,-51.5362,-26.6144,-24.5051333333,-14.3228333333,-13.0206666667,-40.9373333333,-36.7865133333,-27.5782333333
236.29,-41.7814666667,-51.6668,-65.7758666667,-35.9195333333,-38.1322333333,-23.7069333333,-21.5517333333,-51.4942666667,-50.23566,-42.5575
236.66,-45.7671333333,-52.2751333333,-66.1375666667,-38.4655333333,-41.2433333333,-26.1111666667,-24.9736,-51.6930666667,-51.5342133333,-47.4602333333
237.04,-38.1094,-44.2786666667,-62.1145,-33.6318666667,-35.1493333333,-22.4129333333,-17.6119333333,-44.9751333334,-46.40806,-41.7660666667
237.41,-42.3773333333,-48.4236666667,-71.5503333333,-40.8784666667,-41.8088,-29.2248333333,-24.186,-51.9897333333,-54.6306266667,-45.6073
237.79,-43.4375333333,-47.1873333333,-73.5676333333,-43.2812666667,-44.7655333333,-35.2604333334,-26.5625333333,-51.1458666667,-55.6614733333,-45.4688
238.17,-51.2195333333,-50.8402,-77.561,-50.5692,-55.8538333333,-43.4960666667,-34.6342,-56.477,-61.5718333333,-49.6204666667
238.54,-46.2498666667,-45.2082666667,-70.7811333333,-48.3333333333,-53.1769333333,-37.2135,-31.4062,-50.7812,-57.21342,-44.6873666667
238.92,-44.6043333333,-43.2614,-69.7122333333,-51.3189333333,-53.4053666667,-34.7002,-32.9017333333,-50.8395333333,-55.69318,-44.6764
239.29,-43.4286666667,-42.0952,-68.4523333333,-49.8572,-52.8333,-32.7382,-31.9047333333,-49.2858,-53.83346,-45.0716
239.67,-40.129,-39.4409333333,-61.0538333333,-46.1936,-49.1829,-28.1075666667,-27.699,-42.4515333333,-46.78276,-38.6022666667
240.04,-42.6748666667,-40.9876666667,-63.2714333333,-48.9713333333,-52.7160666667,-31.0904,-32.4690666667,-44.5267333333,-48.8312933333,-42.5927
240.42,-34.2659333333,-32.5388,-52.3316,-40.7254,-41.7963,-25.2504333333,-24.2142666667,-35.3713333333,-39.3920933333,-34.3522333333
240.79,-31.8895333334,-30.3534,-47.6498333333,-38.8632666667,-38.5099666667,-24.7006,-23.1950666667,-32.3811333333,-37.36402,-29.4009
241.17,-24.6487333333,-23.3718,-35.9770333333,-30.6003333333,-30.4214666667,-18.5823666667,-17.8544,-24.4444666667,-27.5274533333,-21.226
241.54,-17.0298,-16.6881333333,-25.9082,-21.8162,-23.4722666667,-10.9080333333,-11.5812666667,-16.7948666667,-19.83542,-15.3739333333
241.92,-9.76800000002,-10.1021333333,-17.6603,-14.7631333333,-16.2024,-3.21256666666,-5.84966666667,-10.325,-12.689,-8.78376666666
242.29,-5.84353333333,-6.53486666668,-13.5473333333,-10.6009333333,-11.8684,0.864099999999,-2.0412,-6.00833333334,-8.32250666666,-5.87656666667
242.67,-4.5736,-5.6124,-12.3177666667,-8.75966666667,-10.2713333333,0.751800000001,-1.16266666667,-5.47266666666,-6.75500666667,-4.68213333333
243.05,-4.4886,-5.88693333333,-11.3761666667,-7.46153333334,-9.7204,0.559266666668,-1.41293333333,-5.53346666666,-5.92799999999,-3.73796666666
243.42,-6.8632,-8.44906666666,-12.7999666667,-9.83866666667,-11.4034,-2.24563333333,-3.41053333333,-7.87373333333,-8.20627999999,-4.96133333333
243.80,-8.25593333333,-9.71853333334,-14.5148,-11.3080666667,-12.9886666667,-4.01546666667,-4.9788,-10.0280666667,-10.2743133333,-6.86346666667
244.17,-5.97693333333,-7.72139999999,-11.7984666667,-8.80320000001,-10.3042333333,-2.0352,-2.73173333333,-7.53213333333,-7.77689333333,-3.84743333333
244.55,-4.33346666667,-5.75633333333,-9.2821,-6.73086666667,-8.24363333334,0.160266666667,-1.4488,-5.60266666667,-5.89239333333,-1.4936
244.92,-1.8546,-3.63633333333,-6.903,-4.13319999999,-5.84843333333,2.33933333333,0.496999999999,-3.41813333333,-3.55149333333,0.394
245.30,-2.72626666667,-4.0092,-7.13623333333,-4.26106666667,-5.30939999999,1.63806666667,0.320666666667,-3.5394,-4.52223333333,-1.28883333333
245.67,-2.54706666667,-3.41733333333,-6.15833333333,-3.85746666667,-3.64783333334,1.67713333333,1.05866666667,-3.52213333333,-3.35653333333,-0.828066666668
246.05,-3.1624,-4.47286666667,-6.5053,-4.58686666667,-3.77483333334,1.07796666667,0.921200000001,-4.18806666667,-4.10545333333,-0.579166666666
246.42,-2.6038,-4.12413333333,-6.1206,-4.34253333333,-2.52516666666,1.3541,1.53773333333,-4.13293333334,-3.74478,0.362533333334
246.79,-1.3836,-2.61786666667,-4.6108,-3.16033333333,-1.3482,2.59426666667,2.71226666667,-2.35066666667,-2.66822,1.34053333333
247.17,-0.162933333334,-1.15553333333,-3.04076666667,-2.22966666667,0.073966666668,3.29636666667,4.34813333333,-0.577733333335,-1.39992,2.18523333333
247.54,0.028266666666,-0.839599999999,-2.81836666667,-1.94006666667,0.1022,3.6084,4.63486666666,-0.056466666666,-1.01091333333,2.13043333333
247.92,1.70206666667,0.270133333333,-1.577,-0.905133333334,1.3982,4.61326666667,5.53873333333,1.41173333333,0.251879999999,3.81636666667
248.29,1.63373333333,0.474466666667,-1.1759,-1.14633333333,1.3736,4.8583,5.5336,1.62046666667,0.314873333333,3.33006666667
248.67,0.698866666666,-0.517533333332,-2.71836666667,-2.36546666667,0.396433333333,3.72993333333,4.52953333333,0.544466666667,-0.609513333331,2.38893333333
249.04,0.386933333333,-0.5598,-3.29863333333,-2.87393333333,0.207166666669,2.9464,4.4008,0.117533333334,-0.942386666665,1.7307
249.42,1.50153333333,0.797533333334,-2.7262,-1.77446666667,0.743466666668,4.0734,5.33066666667,1.08473333333,0.420966666666,3.14666666667
249.79,0.321133333333,-0.540599999999,-4.4849,-3.04733333333,-0.830300000001,2.89066666667,4.22246666667,0.188000000001,-0.795246666669,2.26396666667
250.17,-0.861,-1.37253333334,-5.7802,-4.237,-2.2293,1.76913333333,3.16286666667,-0.835466666666,-1.56448,0.0938333333326
250.54,-2.31953333333,-2.43833333334,-7.21003333333,-5.49773333333,-4.1826,0.077533333332,1.81726666667,-2.22826666667,-2.69123333333,-1.16443333333
