wavelength,Back_CyaCaem,Belly_CyaCaem,Breast_CyaCaem,Crissum_CyaCaem,Crown_CyaCaem,DorTail_CyaCaem,Patch10_CyaCaem,Rump_CyaCaem,Throat_CyaCaem,WingTip_CyaCaem
790.85,9.23619999999,7.39246666667,8.21179999999,7.73766666667,8.47533333333,6.28613333333,4.67673333333,10.7639333333,3.47086666667,5.32633333333
791.16,10.2799333333,8.24046666667,9.10706666667,8.48226666667,9.40159999999,7.15,5.8592,11.7239333333,4.55646666667,6.41893333334
791.47,10.9549333333,8.60033333334,9.72726666667,9.03326666667,9.82793333335,7.88853333333,6.72613333333,12.2716,5.44493333333,7.2242
791.78,11.1171333333,8.46846666666,9.66953333333,8.49246666667,9.65173333334,7.81380000001,6.66053333333,12.0842666667,5.37526666667,6.99113333333
792.08,11.1755333333,8.77599999999,9.76126666667,8.87273333333,9.95473333333,8.4074,6.86,12.2332666667,5.45786666667,7.11393333333
792.39,11.6194,9.06986666666,9.90540000001,8.86253333333,10.3262666667,8.41726666666,6.92300000001,12.1865333333,5.74566666667,7.28880000001
792.70,12.0151333333,9.4412,9.75513333335,9.06460000001,10.1444666667,8.37399999999,6.6102,12.2097333333,5.56173333333,7.30693333333
793.01,12.0162666667,9.55786666667,9.9216,9.36973333333,9.99073333332,8.3348,6.70426666666,12.2106666667,5.8954,7.51966666667
793.32,11.3016,8.73639999999,9.07933333333,8.72393333332,9.17473333334,7.40946666667,5.854,11.473,5.23173333333,7.43479999999
793.62,11.4258666667,9.13300000001,9.42839999999,9.46046666666,9.3256,7.77133333333,6.21066666667,11.6570666667,5.43993333333,7.36673333333
793.93,12.131,10.0599333333,10.0156666667,10.1226666667,9.9214,8.44820000001,7.00026666666,12.3322,6.06853333333,8.15253333333
794.24,12.534,10.7434666667,10.1982,10.5824,10.3656,8.73613333333,7.54033333333,12.8190666667,6.6232,8.63686666666
794.55,12.6747333333,10.9057333333,10.4421333333,10.9606,10.4361333333,9.06979999999,8.0574,13.1930666666,7.05106666667,8.9538
794.86,12.5743333333,11.1293333333,10.3218,11.1292666667,10.6799333333,9.10140000001,8.05713333333,13.4062,7.122,8.80386666667
