wavelength,Back_SicUrof,Belly_SicUrof,Breast_SicUrof,Crissum_SicUrof,Crown_SicUrof,DorTail_SicUrof,Patch10_SicUrof,Patch11_SicUrof,Rump_SicUrof,Throat_SicUrof,WingTip_SicUrof
624.28,16.6030518518,51.5394666667,27.7347333333,49.4511333333,14.6258,15.0903587302,13.6088666667,18.8694666667,16.2367333333,32.9231,13.8622
624.62,16.5999703704,51.5828666667,27.7719333333,49.4795333333,14.6204666667,15.085615873,13.5873333333,18.8578,16.2317333334,32.9601,13.8451333333
624.95,16.5991851852,51.6378,27.7918,49.5231333333,14.6316666667,15.1055206349,13.6078,18.8832666666,16.2786666667,32.9984,13.8350666667
625.28,16.5441777778,51.5593333333,27.7380666667,49.4127333333,14.5935333333,15.0568952381,13.5911333333,18.8162,16.2024666667,32.9455333333,13.784
625.61,16.4486888889,51.4472,27.6425333333,49.2548,14.4952,14.9564698413,13.5313333333,18.6906,16.1092,32.8707333333,13.7164666667
625.95,16.3826074074,51.3758,27.5430666667,49.1791333333,14.4090666667,14.8546666667,13.4656666667,18.5944666667,16.0335333333,32.7363666667,13.6250666666
626.28,16.318274074,51.3202,27.4715333333,49.1338,14.3292666667,14.780752381,13.3555333333,18.5235333333,15.959,32.6473,13.5608
626.61,16.310362963,51.2447333333,27.4558666667,49.0862666667,14.3429333334,14.7749619048,13.3741333333,18.5106,15.9425333333,32.5927666667,13.5594
626.94,16.3242740741,51.3276,27.4767333333,49.1497333333,14.3880666667,14.7713269841,13.3971333333,18.5577333333,15.9559333333,32.6477333333,13.5967333333
627.28,16.3380296296,51.3456666667,27.4585333333,49.1414666667,14.4099333333,14.7853492064,13.4032,18.5512666666,15.9958,32.6450333333,13.5943333333
627.61,16.3183925926,51.3814666667,27.4078,49.1478,14.3793333333,14.7059396825,13.3444666667,18.5168666667,15.9366,32.597,13.548
627.94,16.373437037,51.5292,27.4292,49.232,14.4329333333,14.7369936508,13.3812666666,18.5761333333,16.0008666667,32.6747333333,13.5867333333
628.27,16.4439703704,51.4624,27.3887333333,49.2100666667,14.5016,14.8215206349,13.4416666667,18.6107333333,16.051,32.6586,13.6474666667
628.61,16.4058592593,51.4553333333,27.3655333333,49.1662666667,14.5028666667,14.7861492064,13.4004,18.5727333333,16.0221333333,32.618,13.604
628.94,16.4367407407,51.5262666667,27.3896666667,49.2172666667,14.5460666667,14.8223111111,13.3978,18.6156,16.0422,32.6546333333,13.6466666667
629.27,16.5049555555,51.5990666667,27.4181333333,49.26,14.6080666667,14.8979015873,13.4248666667,18.6934666666,16.1058,32.6941,13.692
629.60,16.5408,51.7276,27.4671333333,49.3490666667,14.6914666666,14.9798888889,13.48,18.7748,16.1821333333,32.8115666667,13.7583333333
629.94,16.5688148148,51.763,27.4863333333,49.3362666667,14.7461333333,15.0195809524,13.529,18.8376,16.2207333333,32.8559666667,13.8022
630.27,16.5438222222,51.7870666667,27.4624,49.3493333333,14.7094,15.0374126984,13.4936666667,18.8237333334,16.2042666666,32.8241333333,13.7486666667
630.60,16.5447037037,51.7593333333,27.4604666667,49.3612666667,14.7132666667,15.049784127,13.4754666667,18.8265333333,16.2164,32.8281,13.7436
630.93,16.5480592592,51.8364,27.4574,49.4613333333,14.7066666667,15.0755523809,13.5077333334,18.8336,16.2055333333,32.8761666667,13.7817333333
631.26,16.6220666667,51.8609333333,27.5294666667,49.5206666667,14.7812,15.1995269841,13.6276,18.932,16.2912,32.9838333334,13.8634
631.60,16.6634296296,51.8934666667,27.5834666667,49.5970666667,14.8218,15.3016984127,13.6892,18.9683333333,16.2784666667,33.0281,13.8902
631.93,16.6704,51.9026,27.6598666667,49.5887333334,14.8367333333,15.2796412698,13.7116,18.9742,16.2514,33.0349,13.8906
632.26,16.7616074074,51.9620666667,27.7060666667,49.6522,14.9047333333,15.3486,13.801,19.0675333333,16.3008666667,33.1315333334,13.9972666667
632.59,16.8301333333,52.0565333333,27.7642666667,49.7407333333,14.9442666667,15.410647619,13.9226,19.131,16.3596,33.2389333333,14.0593333333
632.92,16.8131703704,52.0293333333,27.781,49.6929333333,14.9690666667,15.4060603175,13.9329333333,19.1470666666,16.3498,33.2795666667,14.0921333333
633.26,16.9257851852,52.152,27.9572666667,49.8170666667,15.0640666666,15.5270888889,14.0392,19.2322,16.4212,33.4086666667,14.1831333333
633.59,16.8756148148,52.0526666667,27.9031333333,49.7302,15.0129333333,15.4565301587,14.0037333333,19.1804,16.3877333334,33.3222333333,14.1374
633.92,16.8979703704,52.0650666667,27.917,49.7685333333,15.036,15.4606634921,14.0472,19.2315333333,16.407,33.4077,14.1831333333
634.25,16.8905925926,52.1298666666,27.9195333333,49.8004,15.0537333333,15.4467746032,14.0841333333,19.2436666667,16.4340666667,33.4097666667,14.1598666666
634.58,16.9054814815,52.1352666667,27.9615333333,49.7808,15.0712666666,15.4292095238,14.0870666667,19.2452,16.465,33.4033,14.1197333333
634.91,16.9220592593,52.1869333334,27.9844,49.7794666667,15.0804666667,15.4158031746,14.0624666667,19.2078,16.4758666667,33.3775333333,14.1402666667
635.25,16.9224740741,52.1762,27.9834666667,49.7304666667,15.0727333333,15.3821174603,14.0477333333,19.2080666667,16.4742,33.4033666667,14.1819333333
635.58,16.9244740741,52.2615333333,27.9947333334,49.7620666667,15.1124,15.4144507936,14.0382,19.2140666667,16.5139333334,33.4005,14.1885333333
635.91,16.9259259259,52.2796,28.0094,49.7574666667,15.116,15.467031746,14.0534666667,19.2176,16.543,33.3693666667,14.2006
636.24,16.8896814815,52.2018,27.9592,49.6798,15.0894666666,15.4291587302,13.966,19.1726666667,16.5340666666,33.2477666667,14.1420666667
636.57,17.0283111111,52.3182,28.0544666667,49.8617333333,15.1711333333,15.5763269841,14.0824666667,19.2723333333,16.6494,33.2804333333,14.225
636.90,17.010037037,52.3013333333,27.9743333333,49.8266,15.1285333333,15.5286507937,14.0648666666,19.2658666667,16.656,33.2456666667,14.2055333333
637.23,17.0521259259,52.4330666667,28.0556666667,49.9306666667,15.1642666667,15.5607968254,14.1166666667,19.3326,16.694,33.3330333333,14.2364666667
637.56,17.092162963,52.4401333333,28.0859333333,49.9054,15.1766,15.5738539683,14.125,19.3202,16.7144666667,33.2792333333,14.2253333333
