wavelength,Back_TanCyam,Belly_TanCyam,Breast_TanCyam,Crissum_TanCyam,Crown_TanCyam,DorTail_TanCyam,Patch10_TanCyam,Patch11_TanCyam,Patch12_TanCyam,Patch13_TanCyam,Rump_TanCyam,Throat_TanCyam,WingTip_TanCyam
187.15,642.97975,692.868703333,720.606066667,624.646466667,726.0606,648.888866667,592.727266667,561.6162,674.949533333,548.686866667,705.353466667,647.4748,586.868666667
187.53,1151.56853333,1242.66665667,1294.11766667,1134.90186667,1303.13726667,1172.94113333,1057.255,977.647266667,1207.84306667,957.646933335,1304.5098,1144.3138,1008.23526667
187.91,-4628.33333333,-4970.91666667,-5091.66666667,-4533.33333333,-5245.0,-4708.33333333,-4101.66666667,-3691.66666667,-4750.0,-3530.0,-5249.16666667,-4426.66666666,-3860.0
188.29,-605.595249999,-647.178506667,-667.618933333,-595.714266667,-700.4762,-618.095166667,-538.3332,-469.285733333,-613.809533333,-431.666666667,-703.452333333,-558.571466667,-484.285866667
188.67,-1158.55555,-1261.35557667,-1272.4446,-1157.3334,-1339.55546667,-1190.22226667,-1025.33333333,-905.777866666,-1155.99993333,-802.666666667,-1356.2222,-1051.99993333,-909.7778
189.05,-700.139000001,-761.777996667,-750.000066666,-711.666600001,-801.388866667,-703.055566667,-588.611200001,-539.722266667,-676.388999999,-445.000066667,-815.694533334,-612.7776,-514.7222
189.43,-465.185183333,-489.407513333,-480.925933333,-464.6296,-524.259266667,-446.0186,-371.8518,-335.7406,-430.370333333,-271.296133333,-536.111066667,-383.518533333,-305.740733333
189.81,-352.462033333,-363.18934,-357.121066667,-346.666733333,-395.4546,-332.727433333,-261.6666,-242.878866667,-313.636266667,-181.212066667,-411.060633333,-271.818133333,-204.394
190.19,-297.29165,-305.798706667,-306.805533333,-291.666666667,-339.444533333,-272.569366667,-203.3332,-194.722066667,-262.916666667,-136.111066667,-351.6667,-217.5,-154.305466667
190.57,-308.26085,-316.123206667,-318.9854,-298.985466667,-353.4782,-272.680966667,-212.318733333,-210.4348,-281.739066667,-141.8842,-361.8116,-225.072466667,-153.188533333
190.95,-339.206416667,-340.000106667,-347.1428,-327.618933333,-392.6984,-293.730066667,-232.063533333,-235.2382,-307.777866666,-163.650733333,-396.428466667,-253.015866667,-166.031933333
191.33,-285.7143,-285.238083333,-291.8368,-271.9728,-329.931933334,-245.442133333,-189.523933333,-198.7756,-255.782333333,-139.319733333,-329.659866666,-208.707466667,-126.258466667
191.71,-298.876916667,-293.514533333,-302.463666667,-280.000133333,-341.7392,-250.4349,-191.3044,-209.8552,-259.130533333,-135.362333333,-340.217366666,-208.405733333,-118.985466667
192.09,-338.708333333,-328.666666667,-337.333333333,-313.666666667,-387.166666667,-275.5,-220.666666667,-241.833333333,-289.0,-154.0,-392.083333333,-240.5,-129.333333333
192.47,-347.5,-342.475,-350.166666667,-327.166666667,-399.166666667,-285.916666667,-227.0,-254.0,-291.333333333,-162.333333333,-400.083333333,-253.0,-146.0
192.85,-192.70805,-184.8851,-189.2706,-173.333066667,-220.833133333,-144.999733333,-112.395533333,-128.541533333,-154.062333333,-75.1038666667,-221.666466666,-130.312333333,-60.5206666667
193.23,-170.980366667,-165.186236667,-171.176466667,-149.999933333,-194.804,-123.7745,-92.8430666667,-106.5686,-134.3138,-65.8824,-200.1962,-112.353,-43.5294666667
193.61,-146.255783333,-143.004646667,-153.150533333,-129.6804,-168.493266667,-99.6802666666,-73.5158666666,-86.2100666667,-111.050333333,-54.7031333333,-178.721433333,-93.6985333333,-33.1507333333
193.99,-106.7361,-108.569486667,-115.347333333,-101.1806,-126.250066667,-70.5902666667,-54.8611333333,-62.0139333333,-81.1110666667,-44.0278000001,-135.763933333,-69.5833333333,-21.875
194.37,-88.3626333334,-88.7192833334,-94.9707999999,-82.3977333334,-101.228066667,-50.8479666666,-46.5497333334,-55.9064,-66.0819333333,-36.6666,-114.5322,-58.0118666666,-16.7252
194.75,-93.4545333333,-91.1303566667,-99.6970666666,-88.1210666667,-103.818066667,-54.9696333333,-48.6666666667,-61.5757333333,-66.9090666667,-40.4242000001,-123.545466667,-60.1817333333,-20.4242
195.13,-91.3422666667,-85.4544266666,-95.5751333334,-84.3658000001,-97.6991999999,-53.7460999999,-45.3687999999,-59.4099333333,-63.3628666667,-35.7523333333,-121.9764,-56.6960000001,-20.1769333333
195.51,-69.2400833333,-63.9117500001,-72.549,-62.9412000001,-75.2941333333,-36.7647,-32.0097333334,-45.6864,-45.0491333333,-23.4313333334,-95.3923000001,-42.6961333334,-12.794
195.89,-49.9222833333,-46.5843766666,-55.4666666667,-45.1111333334,-55.9556,-22.5999666667,-17.3333333333,-30.3110666667,-29.0222,-9.82219999993,-73.3777666667,-27.9555999999,-1.95553333334
196.27,-42.6206499999,-38.0481933333,-48.5965333333,-39.8245333333,-46.4035333333,-15.1973333334,-7.76326666667,-24.2544666667,-20.4385333333,-4.21053333335,-64.2324333333,-18.8158666667,4.82466666667
196.65,-36.1996166667,-29.9894033333,-40.3820666666,-32.3567333334,-38.3015333334,-7.04886666672,-0.33966666666,-17.0698666666,-14.1400666668,1.82579999993,-56.2207666667,-12.1020666667,12.9086666667
197.03,-43.8966,-34.7930833334,-49.4252,-40.7816000001,-46.4826666667,-13.5172666667,-3.90813333334,-22.9884666667,-18.9885333333,-2.25286666667,-64.8735666667,-15.9540666667,7.44833333334
197.40,-42.8722166667,-30.02597,-48.7943333333,-41.7966666667,-46.8084666667,-12.4824333333,-2.22233333333,-22.2696,-18.8650666667,2.69513333328,-64.3736,-14.137,8.88893333334
197.78,-45.0354166667,-28.8984166667,-49.4562666667,-43.9244000001,-50.2127333334,-18.2978666667,-4.30259999994,-24.4917333333,-21.2292000001,1.70219999992,-66.4303666667,-14.4208666667,6.85566666667
198.16,-50.7348500001,-30.9869633333,-52.5459333334,-45.8268000001,-55.3280666667,-22.3096333334,-3.4645333334,-29.5537333333,-22.0996666667,1.94233333334,-73.2021,-13.7008,5.82660000001
198.54,-59.6217499999,-38.1652833333,-60.9523999999,-55.9663333333,-64.9859999999,-35.2660666667,-10.3081333333,-37.1429333333,-29.2438000001,-3.3052666666,-82.2690333333,-19.5517333334,2.01686666667
198.92,-64.3019666665,-42.97143,-65.9828666667,-63.4758000001,-70.1424666667,-39.1452999999,-14.5870666667,-41.7094666666,-35.0996666666,-6.49573333332,-88.7465333335,-24.6725333333,0.740866666674
199.30,-53.3205833332,-34.9642699999,-57.5572,-56.9466666668,-58.8294666666,-31.7811999999,-10.3308,-34.7074666667,-30.5343333333,-2.69726666674,-74.6819333333,-19.7456,3.96940000002
199.68,-57.8762333333,-34.5644900001,-60.6450666667,-60.4838666665,-59.5699333333,-34.2740666667,-10.0537333333,-33.2258666666,-34.5162,-2.47319999994,-78.4678666666,-18.7096666667,4.99993333333
200.06,-68.7466166667,-41.7327299999,-68.0442666666,-71.2397333333,-68.0990666667,-43.4434666666,-17.4654666666,-39.6693333333,-44.8485333333,-11.6804000001,-90.8539333335,-27.0524666667,-2.53446666667
200.44,-60.1439,-36.5321866666,-58.2733333334,-58.1296000001,-56.9785333334,-37.8657333333,-16.4028666667,-33.8609333333,-40.3836666667,-10.5036000001,-78.7289666666,-23.4533333333,-0.86346666666
200.82,-49.7046500001,-27.4472233333,-46.4133999999,-46.962,-45.6962,-28.9871999999,-11.7300666667,-26.8776666667,-30.3795999999,-6.41353333326,-65.4431000001,-14.2615333333,2.91140000002
201.19,-44.9487166667,-23.30467,-39.5092,-44.4171333333,-40.6544,-24.9282666667,-10.1022666667,-24.458,-25.3578666667,-4.70360000006,-59.9796666667,-11.7383333333,6.62580000001
201.57,-46.5475500001,-25.49396,-39.8412666667,-44.9206666668,-41.6666,-26.6664333333,-12.024,-26.7858,-26.0713333334,-9.32540000001,-60.1586999999,-13.8096666667,3.53180000001
201.95,-38.7249166667,-20.4371366667,-32.787,-37.8141999999,-31.8032666667,-20.4919333333,-6.88520000001,-20.7651333333,-18.7977333334,-4.99086666668,-50.8743333333,-9.50813333331,6.95806666667
202.33,-41.0208,-22.9625433333,-36.6291333333,-42.5093999999,-33.1460666667,-21.4233,-9.47573333332,-20.5994,-22.9588666667,-7.75266666675,-51.9476666667,-10.2996,5.46826666667
202.71,-44.6843500001,-24.5542833333,-37.5936,-46.2721333334,-34.5562666666,-23.8067666667,-9.90133333335,-21.8539333333,-25.4832666667,-8.71793333333,-55.1280999999,-10.8482,5.71993333334
203.09,-32.7073333333,-13.6437466667,-25.291,-33.1216000001,-22.5397333333,-15.3263666667,-1.72840000001,-9.8764,-14.7796666667,-1.09333333334,-40.6348,-1.1288,12.6278666667
203.47,-31.5674666667,-12.14417,-23.6397333333,-30.9910666667,-19.7117333333,-15.3153,1.18913333333,-6.52246666668,-11.2792666667,0.32433333334,-40.5406,1.83779999999,16.9728
203.85,-29.8351333333,-11.1207966667,-21.0622666667,-32.0878666667,-18.4614,-15.1099333333,3.4434,-4.76200000002,-9.63366666666,1.31866666668,-40.0549666667,4.54213333335,18.9011333333
204.22,-23.6309166667,-6.54772666666,-15.2381333333,-25.5442,-14.966,-9.62593333332,6.08839999998,-4.2178,-5.54419999999,2.51693333332,-34.3027333333,7.58513333336,21.4285333333
204.60,-26.1773666667,-8.02537666668,-17.1376,-32.0289999999,-19.7101333334,-12.8260333333,4.27533333336,-7.971,-6.77533333335,-6.66666600004e-05,-39.8732,5.86960000001,18.8766666667
204.98,-31.1932666667,-12.9329166667,-19.5267333333,-41.2229333332,-25.7197999999,-20.7496666667,-0.19713333334,-11.2426,-14.7929333333,-4.4970666666,-48.3629333333,1.42013333335,16.213
205.36,-33.9633999999,-15.2033966667,-23.0081333333,-44.4309333334,-29.2682000001,-26.1382333334,-1.62593333334,-13.4147333333,-20.1626666667,-7.3170666666,-54.1056000001,-1.70733333334,13.4552
205.74,-28.7350166667,-12.5682833333,-18.5543333333,-38.6747333335,-24.1364666667,-22.8312999999,2.28906666666,-9.7992,-15.9840000001,-4.699,-49.6184666666,2.32933333334,18.6746666667
206.12,-40.8570833334,-21.9666733333,-27.0000666667,-52.7143333332,-34.8095333334,-33.0952333333,-4.47619999994,-18.0001333333,-26.1905333334,-12.3332666667,-64.3095666666,-3.619,17.3332666667
206.50,-38.1081999999,-16.2860533333,-22.5674666667,-49.5946,-32.7026666667,-31.1264,-3.24313333334,-18.3784666667,-22.1170666666,-8.28833333334,-62.6350333332,-4.59453333332,17.8829333333
206.87,-51.39095,-26.8971166667,-34.0851999999,-67.1178666667,-45.4134666666,-45.5389,-13.584,-28.7719333333,-31.6290000001,-19.2983333333,-79.0976666667,-14.386,6.86719999998
207.25,-55.8589333332,-31.06407,-35.8973999999,-70.0,-49.5384000001,-48.0256666667,-15.2819333333,-30.4101999999,-33.8460666667,-21.6409333334,-82.8461999999,-14.9230666667,2.20513333334
207.63,-59.8425666667,-35.5695066667,-38.6350666666,-72.7559333333,-51.7061333333,-49.7113000001,-18.0052666667,-34.6981333333,-34.8031999999,-24.7769333333,-86.4041000001,-14.5932,-1.1024
208.01,-60.9199999999,-38.36,-42.0266666667,-73.7066666668,-52.5333333333,-51.8666666666,-18.1333333334,-38.1333333334,-35.84,-25.9199999999,-89.3866666665,-16.4266666666,-3.09333333333
208.39,-67.8332,-42.77776,-47.3331999999,-80.8889333332,-56.8888000001,-59.6667333334,-17.9443999999,-36.8333999999,-37.7222000001,-26.8332666667,-93.4999666666,-17.9444666667,-9.38886666665
208.77,-55.5839666666,-34.0828933333,-39.5619999999,-66.8612666665,-45.7907333333,-50.8028333334,-11.5815333333,-26.7639333333,-31.5815999999,-18.9294666667,-76.764,-11.9709333333,-5.20673333333
209.14,-58.8128833332,-36.1055466667,-46.3788666667,-70.5516000001,-47.1942666667,-53.5730333333,-14.1006666667,-32.5658666667,-34.2923999999,-24.4603999999,-80.1439333333,-16.4028666667,-11.0791333333
209.52,-59.0097166667,-37.2511633333,-46.9082000001,-70.2414666667,-45.0725333332,-53.3815333333,-15.0240666667,-32.4638,-33.8648000001,-23.3334000001,-78.5024666668,-15.5555333333,-8.69573333334
209.90,-66.8216666666,-42.7751699999,-52.9715999999,-80.0000666666,-52.248,-61.8345,-21.0336,-36.4857333333,-38.2427333333,-26.9250666666,-87.7778,-21.8605333333,-13.23
210.28,-64.2732166667,-42.1504066667,-47.4185333334,-75.2382666667,-52.9824,-59.0478000001,-20.8020000001,-34.5363333333,-37.8948666667,-24.6116666666,-85.6643,-20.6015333333,-13.1328
210.66,-69.2179666668,-47.9538466667,-49.9486666667,-77.3331999999,-55.6923999999,-63.3846333333,-24.359,-34.9744000001,-42.4100666667,-28.7180000001,-88.3076999999,-20.5643333333,-15.6923333333
211.03,-49.2099333333,-30.7987566667,-30.9090000001,-51.7315999999,-36.1472,-40.7575333334,-9.65366666668,-17.2726666667,-26.7532666667,-13.6797333333,-63.5931333333,-6.53686666667,-1.12553333333
211.41,-52.8808,-36.5649466667,-36.3796666667,-56.6887333333,-40.3531999999,-46.7551,-14.4812,-22.4723333333,-33.8630666666,-18.9845999999,-70.5518999999,-11.1257333333,-4.76833333333
211.79,-50.3179666666,-35.1447966667,-33.9912666667,-56.6668666667,-40.0000666667,-45.9430333333,-13.4211333333,-20.5702,-34.3420666667,-17.6755333334,-68.5305999999,-11.4036,-5.87720000001
212.17,-59.8496166667,-44.1504366667,-40.8796666667,-67.3148,-48.2872000001,-56.2730999999,-21.0186000001,-27.5462,-42.639,-24.9538000001,-78.7501,-20.6481333333,-13.3796
212.55,-74.8266666667,-60.9706666666,-53.7066666666,-85.9199999999,-62.5066666667,-71.5466666667,-35.8399999999,-41.0133333334,-57.76,-35.8933333333,-101.093333333,-34.6666666667,-22.4533333333
212.92,-78.6608666667,-67.9744766666,-55.3276000001,-91.6238000001,-65.7549333333,-77.0941333333,-36.4673333334,-42.4500666667,-58.1767999999,-37.3788666666,-108.432933333,-36.6382666666,-22.2223333333
213.30,-80.6918999999,-73.3334666667,-54.7797999999,-94.4653333335,-67.1069333332,-83.2388666666,-33.0188666666,-40.1886,-58.0504000001,-31.5093999999,-112.452766667,-34.6540000001,-18.3647333333
213.68,-89.6699499999,-81.9141333333,-62.0462666667,-102.5082,-74.3233333333,-91.0232666666,-37.3597333333,-46.6665999999,-62.9702666667,-38.8118000001,-123.168333333,-36.8978,-26.9306666667
214.06,-94.8680499999,-86.17478,-67.3267999999,-106.4688,-78.3498,-95.1156666667,-40.8581333334,-50.6270666666,-66.8648,-44.5544666667,-124.917533333,-38.1517333334,-34.3893333333
214.44,-82.6697166667,-73.8610466667,-61.4814666667,-97.9012,-65.5556666668,-87.3766333333,-32.9630000001,-43.3334,-54.3826000001,-36.7901333334,-108.765466667,-29.7532000001,-24.7529333333
214.81,-86.9256166667,-78.2621566667,-64.272,-106.4078,-70.8090666665,-93.7215000001,-35.0162000001,-49.9029333334,-55.4692666666,-37.7346666667,-113.786333333,-34.2394666666,-28.1552666667
215.19,-122.20245,-113.369,-96.0317333334,-146.190533333,-105.3174,-134.047566667,-58.7302000001,-76.9842666666,-83.6508666667,-62.3016000001,-154.682633333,-57.8571333334,-50.4761333333
215.57,-144.054116667,-128.040413333,-110.540466667,-164.414333333,-121.261266667,-156.126233333,-64.8648666667,-90.0000666666,-94.1440000001,-70.1802,-171.576566667,-66.5765333334,-64.0540666667
215.95,-214.941516667,-187.853806667,-170.292466667,-236.0234,-183.742733333,-229.532166667,-109.122733333,-137.8948,-144.7954,-110.175466667,-245.848033333,-110.292533333,-109.2398
216.32,-212.202433333,-183.285756667,-166.547533333,-230.119133333,-181.904933333,-224.047533333,-106.6666,-133.214333333,-142.976266667,-105.595066667,-239.3452,-96.5476000001,-104.880866667
216.70,-171.91185,-139.063673333,-131.176466667,-182.1568,-141.9608,-180.000133333,-79.1176000001,-104.902,-112.8432,-78.5294666667,-184.5588,-67.5488666666,-75.2940666667
217.08,-232.264116667,-181.176223333,-179.7484,-245.283066667,-199.622533333,-244.402333333,-115.346,-149.937266667,-157.8616,-115.345933333,-248.679233333,-93.0818,-103.647666667
217.46,-168.94375,-126.652553333,-124.131466667,-177.6526,-145.727666667,-179.718133333,-85.2582666666,-105.915533333,-109.108,-84.3191333333,-183.192533333,-60.8452000001,-71.1735333333
217.83,-149.2734,-110.16682,-108.974333333,-158.4616,-128.632466667,-162.734933333,-73.3333333334,-92.3076,-95.7266,-73.4188000001,-159.914466667,-56.581,-61.3673333333
218.21,-137.7235,-99.8698866666,-101.951266667,-145.365933333,-113.008,-154.390333333,-67.2357333333,-83.252,-88.9431333334,-63.7397333333,-148.211466667,-48.5365333333,-51.382
218.59,-165.9389,-124.422646667,-126.666666667,-172.8638,-139.060933333,-184.507266667,-82.2535333333,-103.380266667,-112.582133333,-80.0940000001,-181.3145,-60.8450666666,-71.7370666667
218.97,-150.244516667,-113.133376667,-113.422066667,-152.888933333,-119.8222,-164.2223,-70.8444666667,-84.2667333333,-102.044533333,-69.3334,-163.511166667,-50.8444666667,-60.1776666667
219.34,-120.020016667,-86.2450933334,-88.6746666667,-124.498066667,-90.9236666667,-135.100433333,-50.9237333334,-64.3372666667,-77.8314,-51.2449999999,-135.903666667,-31.8876000001,-40.0000666667
219.72,-105.4892,-77.7934700001,-78.4781999999,-114.1304,-81.3043333333,-120.5435,-47.0290666667,-57.3913333333,-67.4636666667,-43.2608,-124.818833333,-28.9130666666,-30.7246
220.10,-91.3697166668,-68.8648733333,-64.3564666667,-97.0297333334,-68.9109333333,-105.973666667,-38.4159333333,-48.1847999999,-55.0496000001,-37.1616666668,-109.538133333,-20.0,-21.122
220.47,-105.51415,-79.4537999999,-74.5390666666,-106.666533333,-80.7092666667,-120.602833333,-47.8014000001,-58.1559999999,-61.7732,-48.8650666666,-123.7233,-27.7305333333,-28.0852
220.85,-107.46375,-84.1810833334,-72.2461999999,-105.2174,-82.8261333333,-119.492633333,-46.3767333333,-55.3623999999,-60.5072666666,-51.3768000001,-128.442066667,-26.0868666667,-27.6086
221.23,-96.0560999999,-79.5049599999,-61.9801333333,-94.3233999999,-69.3069333334,-101.3861,-38.9438666667,-44.8184666667,-51.8811999999,-42.5082000001,-111.716233333,-22.4421999999,-25.7426666667
221.61,-121.124,-105.201526667,-82.2480666665,-115.348933333,-88.6822,-118.372133333,-52.9458666667,-57.8294666667,-68.0619333334,-54.3412,-131.511566667,-33.1007999999,-32.2479333333
221.98,-123.02685,-105.716493333,-79.6934666666,-116.321933333,-89.0422000001,-118.582266667,-54.6360666667,-55.4790666667,-70.5749333334,-52.6437333334,-128.812166666,-30.4215333333,-29.1186666667
222.36,-107.3298,-94.7097,-63.2976,-104.014266667,-82.1505999999,-103.440733333,-43.0106666666,-45.1614,-59.4264666667,-42.9390666668,-113.190033333,-20.0716666667,-18.9965333333
222.74,-78.9181833333,-67.9473433333,-38.1286666666,-73.7427333333,-57.6023333334,-72.5438999999,-25.7310000001,-26.6082,-34.7953999999,-23.2748666667,-81.4327000001,-5.20459999999,-3.68419999998
223.11,-74.8718166667,-65.8147933334,-39.4871999999,-70.5412666667,-57.7777333334,-71.3105333333,-23.8746666667,-27.2364000001,-31.2819333333,-22.4500666667,-77.0086000001,-2.4502,-2.73493333332
223.49,-68.8933333335,-60.9279999999,-37.5466666667,-66.0800000001,-55.7333333332,-63.7333333334,-19.8933333334,-25.6533333333,-26.72,-18.1866666667,-67.2000000001,-0.426666666674,-4.79999999998
223.87,-73.5186166666,-63.33339,-41.6524666666,-69.4586666668,-58.6323999999,-65.6409333333,-21.4244666666,-27.1794666666,-27.4074666667,-19.6580666667,-66.0968333333,-2.90613333333,-4.7862
224.24,-67.6922499999,-57.9601166667,-38.3475333333,-66.1537999999,-54.6437333334,-58.8318666666,-16.2392666667,-23.7036,-23.8175333333,-14.0170666667,-58.7465333333,-2.39313333332,-0.114
224.62,-50.8521999999,-44.26076,-27.2681333334,-51.0776666667,-40.0500666666,-43.6089666666,-5.31333333335,-12.7318666667,-14.0852666667,-3.15773333339,-43.0325333333,3.60893333332,6.81700000001
225.00,-62.4583333332,-58.2583199999,-43.7777999999,-66.4443999999,-53.4445999999,-55.9721333333,-15.7777333333,-20.889,-24.3888,-11.5556666667,-53.5000666667,-6.33340000001,0.000133333346001
225.38,-77.1053666667,-69.4034433334,-59.2397333333,-80.0584666668,-68.7720666667,-73.0992,-31.4034666667,-34.5613999999,-37.4270000001,-24.5029333333,-67.2222666667,-16.7251333333,-9.7074
225.75,-78.6431666665,-66.7787133333,-62.8908666667,-83.1858666667,-68.2006666667,-77.1975,-30.3244666667,-35.5752000001,-36.1650666666,-26.3128666666,-70.1475666665,-18.7611999999,-13.8052666667
226.13,-67.9027333333,-55.8778233333,-53.5000666666,-71.8889333333,-58.2222666665,-66.0555,-21.6110666667,-28.1667333334,-24.0556666667,-15.3887999999,-61.2499333333,-9.99993333332,-8.05553333333
226.51,-70.0393666665,-53.0919166667,-56.1154666666,-69.9738000001,-58.3727333333,-64.2520666667,-25.6692666667,-28.4515333334,-22.6771333333,-17.1127999999,-62.5460333334,-13.6484,-12.5458666667
226.88,-73.2796166666,-54.6047433333,-64.9999333333,-75.3762666667,-62.9031999999,-71.5860000001,-30.3226666666,-30.2151333333,-27.7958,-23.9785333333,-67.9031000001,-19.5698666667,-16.9891333333
227.26,-62.1362333333,-44.19024,-53.4741333333,-64.4131333333,-53.7089333335,-58.1455333334,-23.9436,-24.0846000001,-21.7841333333,-17.4177333333,-58.9907,-15.1644,-12.9577333333
227.64,-51.3785666667,-37.8559466666,-45.6789333333,-55.5556666667,-45.1027999999,-49.5267333333,-20.8230666667,-18.6008666667,-16.8313333333,-14.1151333333,-50.7819333334,-10.2056666667,-8.72439999999
228.01,-34.0656666667,-24.7037466667,-29.1584,-38.3164000001,-29.8989333333,-32.7609333333,-11.3131333333,-7.03713333332,-6.633,-4.94946666665,-33.3838,2.28960000001,-0.100866666674
228.39,-28.3713166667,-19.5828966667,-25.2663333333,-32.9679333333,-24.8098666667,-27.1842,-8.79746666667,-3.37906666668,-3.83546666667,-1.61346666666,-28.28,5.90573333334,1.27859999998
228.76,-25.0703166667,-16.2685566667,-21.9127333333,-31.7582666667,-22.5315333333,-23.5724,-7.98886666667,-1.09693333334,-2.391,0.534533333334,-24.4303666667,6.18853333332,2.64406666667
229.14,-22.2506833333,-11.8883966667,-16.7716666667,-28.7138666667,-18.5564666667,-20.0918,-5.22313333333,0.472333333326,-3.5527136788e-16,2.78213333332,-19.6194666667,7.92646666667,3.28080000001
229.52,-17.3580833333,-7.58273000001,-11.6542,-22.7408,-12.8394666667,-14.3332333333,0.024800000006,4.09873333332,3.03693333334,6.44433333332,-13.9014,10.8887333333,6.22226666666
229.89,-20.2933,-10.98738,-13.658,-25.8677333333,-15.8552,-16.5294,-2.32206666667,1.09853333333,-0.449400000006,3.24593333332,-16.4294666667,9.66293333333,3.17113333335
230.27,-20.2398666667,-12.5983366667,-14.4192666667,-27.298,-15.1010666667,-16.3511,-2.87873333334,1.59100000002,-2.17173333333,1.66673333333,-16.8436,9.41906666667,2.34846666667
230.65,-17.9974333333,-11.5349733333,-12.5956666667,-27.2464666667,-12.6480666667,-16.3373333333,-0.658933333334,4.18966666668,-0.65873333334,2.95119999998,-14.1238333333,11.4624,4.0052
231.02,-21.3495166667,-15.09985,-14.4668666667,-30.9310666667,-14.6828666666,-18.2186,-3.10393333333,1.21453333333,-3.5628,0.782666666666,-15.9379666667,9.68959999999,2.37519999999
231.40,-26.16945,-19.3670266667,-18.9474,-36.6666666667,-16.9006,-24.0789666667,-6.60820000001,-1.22813333333,-7.25146666665,-1.87133333333,-19.1666666666,6.92980000001,0.701733333326
231.78,-32.9549,-23.56841,-22.3189333333,-41.1273333334,-18.9051333334,-29.7101666667,-9.30746666668,-2.93080000001,-10.3382666667,-2.99540000001,-23.3172666667,4.57326666667,-0.90186666666
