wavelength,Back_ParCorm,Belly_ParCorm,Breast_ParCorm,Crissum_ParCorm,Crown_ParCorm,DorTail_ParCorm,Rump_ParCorm,Throat_ParCorm,WingTip_ParCorm
731.35,13.3086666666,58.9557333333,47.9839333333,52.1520666667,53.2234666667,8.32446666667,13.756,46.3692666667,11.0278666667
731.67,13.1236666667,58.8528,47.8895333334,51.8668,52.9268666666,8.19013333333,13.6047333334,46.2006666667,10.9749333333
731.98,13.0985333333,58.6759333333,47.7230666667,51.729,52.7388666667,8.05706666667,13.4950666667,46.106,10.8412
732.30,12.8727333333,58.5656666667,47.589,51.5880666667,52.5922,7.78293333333,13.2714666667,45.8647333334,10.6693333333
732.62,12.7194,58.3048666667,47.3205333333,51.3366,52.3472666667,7.66086666667,13.1209333333,45.6783333333,10.5088666667
732.94,12.7412666667,58.2656,47.4278666667,51.3562666667,52.3282666667,7.75466666667,13.1343333333,45.6898666667,10.5618
733.25,12.8434,58.2554,47.3764666667,51.3031333333,52.2888666667,7.82453333334,13.2628,45.6664666667,10.6266666667
733.57,13.1338666667,58.4112666666,47.6368,51.5198666667,52.4574666667,8.12973333333,13.6208666667,45.7956,10.8674
733.89,13.2634666667,58.4569333333,47.6810666667,51.5559333333,52.4796,8.23313333333,13.7368,45.8817333333,11.0714666667
734.21,13.272,58.3758666667,47.7164,51.5864666667,52.545,8.24686666667,13.7188,45.8872666667,11.0123333333
734.52,12.9873333333,58.2774666666,47.5278,51.5341333333,52.5912666667,7.91613333333,13.4562666667,45.7656666667,10.8123333333
734.84,12.8578666666,58.2829333333,47.4172,51.4380666667,52.5657333334,7.7774,13.3962,45.6452,10.744
735.16,12.9446666667,58.3622,47.4372666667,51.5507333333,52.8494,7.7376,13.4525333333,45.6841333333,10.866
735.48,12.8287333333,58.2406,47.2846,51.3584666667,52.7141333333,7.71,13.3934666667,45.5592,10.8156666667
735.79,12.8777333333,58.3232,47.3904,51.5136,52.8402666667,7.7502,13.4486,45.7498,10.8509333333
736.11,12.6832666667,58.4863333333,47.5458666667,51.6386666667,53.0506,7.65613333333,13.3389333333,45.707,10.6608666667
736.43,12.5788,58.3814666667,47.2618666666,51.4314,52.8806,7.59353333333,13.2948666667,45.5519333333,10.5772
736.74,12.5568666667,58.4298666667,47.4058666666,51.5062666667,53.0219333333,7.6856,13.3232,45.5974666667,10.6407333333
737.06,12.3472,58.2824666667,47.0482,51.2142,52.8193333333,7.54486666667,13.054,45.5236,10.5362666667
737.38,12.5524666667,58.3184666667,47.1570666667,51.3181333333,52.9565333333,7.78146666667,13.2414666667,45.5433333333,10.625
737.69,12.4940666667,58.5192666667,47.1982,51.4207333333,53.0676,7.6662,13.1746,45.6381333333,10.5728666667
738.01,12.5365333333,58.5866,47.2008,51.4668,53.0374666667,7.70186666667,13.2176666667,45.6676666667,10.4850666667
738.33,12.6504666667,58.9110666667,47.5104,51.7384,53.255,7.812,13.3115333333,45.8664666667,10.5987333333
738.64,12.8161333333,59.0918666667,47.7010666667,52.0895333333,53.4436666667,7.9656,13.5164,46.1463333333,10.7409333333
738.96,12.9578666667,59.3220666667,47.9319333333,52.2814666667,53.7832666667,8.13646666667,13.6314,46.4124,10.87
739.28,13.0436,59.4632,48.0006,52.2596666667,53.8128,8.18146666667,13.5716,46.5475333333,10.9552
739.59,13.4628,59.4114666667,47.9834666667,52.2886,53.8306,8.4234,13.8278,46.7181333333,11.3117333333
739.91,13.6024,59.462,48.1468666667,52.4608666667,53.9515333333,8.43513333333,13.8535333334,46.8212,11.3791333333
740.23,13.5946666667,59.4592,48.0441333333,52.4545333333,53.8936666667,8.39573333333,13.7675333334,46.8244666667,11.2619333333
740.54,13.6848666667,59.5922666667,48.2402,52.6273333333,53.9268666667,8.35873333333,13.8523333333,46.8554,11.2987333333
740.86,13.4706666667,59.5033333333,48.1116,52.5545333333,53.7497333333,8.17166666667,13.6601333333,46.7684666667,11.1697333333
741.18,13.4770666667,59.4271333333,48.1011333333,52.5856666667,53.6986,8.2246,13.7156666667,46.7744,11.2682666667
741.49,13.6054,59.2089333333,48.0065333333,52.3442,53.5817333333,8.32746666667,13.7312,46.6273333333,11.3973333333
741.81,13.5600666667,58.8952666667,47.7270666667,52.0399333333,53.3619333333,8.38946666667,13.6739333333,46.5351333333,11.39
742.12,13.5567333333,58.5086666667,47.5279333333,51.6220666667,53.0207333333,8.40673333333,13.5741333333,46.2264666667,11.3445333333
742.44,13.2898,57.9431333333,47.0419333333,51.2153333333,52.4877333333,8.04713333333,13.2786,45.7984666667,11.0591333333
742.76,13.1307333333,58.0010666667,47.1207333333,51.2788666667,52.5299333333,7.8212,13.1896666667,45.7308,10.8378
743.07,13.0210666667,57.9309333333,47.1906666667,51.2692,52.5896,7.92946666667,13.216,45.7378666667,10.8973333333
743.39,13.0074,57.8863333333,47.2271333333,51.1198666667,52.6034,8.1332,13.2634,45.8152,10.9954
743.70,13.3736666667,58.219,47.5513333333,51.5085333333,52.9987333333,8.40226666666,13.4998,46.2648666667,11.3488
744.02,13.4215333333,58.2939333333,47.6791333333,51.5374,53.2266,8.58653333333,13.6232,46.4378,11.5001333333
744.34,13.4807333333,58.4156,47.8381333333,51.5193333333,53.3710666667,8.66226666667,13.7034,46.6288666667,11.5912
744.65,13.2764666667,58.2109333333,47.6182,51.2392,53.1834,8.50913333334,13.5038666667,46.4375333333,11.3272
744.97,13.4413333333,58.5783333333,47.8988,51.6802,53.5438,8.80546666666,13.8066,46.912,11.6053333333
745.28,13.5429333333,58.6461333333,47.9821333333,51.8082,53.6182,8.89066666667,13.8486,46.9531333333,11.7348
745.60,13.2521333333,58.8102666667,48.0734,51.8488,53.7816666667,8.73359999999,13.6952,47.0356,11.5665333333
745.91,13.4843333333,59.4138,48.491,52.2711333333,54.2587333333,8.97066666667,13.8501333333,47.4322666667,11.7914
746.23,13.3317333333,58.9216666667,48.0486666667,51.8542666667,54.0076,9.00706666666,13.7375333333,47.092,11.7024
746.55,13.2894,58.9162,48.013,51.8124666667,53.8356666667,8.86426666666,13.6294,46.9416,11.555
746.86,13.3685333333,58.977,48.033,52.0936,53.8844,8.84853333334,13.7014,47.0013333333,11.6340666667
747.18,13.3175333333,58.8956666667,47.9321333333,52.0084666667,53.8250666667,8.86853333333,13.7394,46.8155333333,11.5358666667
747.49,13.5207333333,58.7659333333,47.9527333333,52.0124666667,53.8123333333,9.03760000001,13.8783333333,46.8975333334,11.7070666667
747.81,13.7691333333,58.5623333333,47.8212,52.0226666666,53.8120666667,9.27406666666,14.0640666667,46.7678666667,11.9318
748.12,13.919,58.4126666667,47.7599333333,51.9836,53.7696,9.49320000001,14.2517333333,46.8076,12.2060666667
748.44,13.9693333333,58.3333333333,47.7244,51.8354,53.7382,9.48206666667,14.3320666667,46.6854,12.2014
748.75,13.9263333334,58.2326666667,47.7920666667,51.8052,53.7697333333,9.37933333334,14.265,46.7172666667,12.0782
749.07,13.9949333333,58.2350666667,47.6407333333,51.8637333333,53.7464,9.43726666668,14.299,46.6514666667,12.0587333333
749.38,14.0348666667,58.186,47.689,51.8934,53.7776666667,9.51133333333,14.5043333333,46.7853333334,12.1942666667
749.70,14.3394,58.5789333333,48.044,52.2752,54.1194666666,9.722,14.7980666667,47.1958666667,12.4413333333
750.01,14.4004,58.6938666667,48.0199333333,52.3032666667,54.2504,9.71293333333,15.0113333333,47.4358,12.5322
750.33,14.4377333333,58.6073333333,47.9684666667,52.0958,54.2994,9.61380000001,14.8827333333,47.4068,12.5105333333
750.64,14.2922666667,58.5988666667,48.0169333333,52.0592666667,54.243,9.37566666667,14.6531333333,47.5663333333,12.4542
750.96,14.2902666667,58.5097333333,48.0126,52.0792,54.1848,9.2992,14.5670666667,47.4756666667,12.3698
751.27,14.0780666667,58.7172666667,48.0672,52.1136,54.2233333334,9.1228,14.4864,47.5582666667,12.2623333333
751.59,14.2108666667,58.8994666667,48.2779333333,52.2826,54.4493333333,9.20200000001,14.5881333334,47.6454666667,12.3235333333
751.90,14.1478,59.0512666667,48.4056,52.488,54.5729333333,9.22340000001,14.4869333333,47.7532,12.3346
752.22,14.1369333333,59.0532666667,48.3116666667,52.4261333333,54.5731333333,9.24473333333,14.5266666667,47.753,12.3710666666
752.53,14.3572666667,59.1774666667,48.489,52.5606666667,54.6497333333,9.44779999999,14.7652,47.8765333333,12.6466666667
752.85,14.3878,59.0839333333,48.3899333333,52.4535333333,54.6262666667,9.41499999999,14.6107333333,47.7244,12.5588666667
753.16,14.2614666667,58.7774666667,48.1937333333,52.2830666667,54.406,9.35593333333,14.53,47.5154666667,12.4811333333
753.47,14.2198,58.746,48.2278,52.3122,54.3630666667,9.41100000001,14.4441333333,47.3463333333,12.445
753.79,13.9184666667,58.5868666667,48.1788666667,52.3714,54.2257333333,9.3056,14.3021333333,47.1562666667,12.3107333333
754.10,13.9709333333,58.3824,48.0270666667,52.2126666667,54.1534,9.42406666667,14.4174,46.8543333333,12.3828
754.42,13.6800666667,58.2768666667,47.7768666667,52.0235333333,53.9323333333,9.31613333333,14.2158666667,46.6508666667,12.1933333333
754.73,13.6060666667,57.9578,47.525,51.6868666667,53.6606,9.24886666667,14.0054,46.4064,12.072
755.05,13.4698666667,58.0124666667,47.4023333333,51.5408,53.5602666666,9.06913333334,13.8777333333,46.3562666667,11.9859333333
755.36,13.4424,57.9,47.3298,51.3906666666,53.4512666667,8.97393333333,13.7390666667,46.3146,11.9606
