wavelength,Back_HemPiuf,Belly_HemPiuf,Breast_HemPiuf,Crissum_HemPiuf,Crown_HemPiuf,DorTail_HemPiuf,Patch10_HemPiuf,Rump_HemPiuf,Throat_HemPiuf,WingTip_HemPiuf
762.57,14.2008333333,39.6770416667,36.3989166666,34.2901666667,10.6116666667,15.087875,36.0434166667,18.121625,9.15516666667,17.10775
762.88,14.3535833334,39.8255416666,36.5315833333,34.6443333333,10.54775,15.14,35.9731666667,18.1392916667,9.11058333332,17.0398333333
763.20,14.74425,39.9670416667,37.02475,34.605875,10.8755833333,15.5280416666,36.2935,18.5935416667,9.55183333332,17.172
763.51,15.1004166667,40.0447083333,37.1610833333,34.7383333333,11.23425,15.804375,36.5745,19.2199583334,10.0051666667,17.5876666667
763.82,15.4476666667,40.0780416667,37.516,35.1905833333,11.713,16.3287916667,36.67825,19.641875,10.4998333333,18.07925
764.14,15.5603333333,40.2372916667,37.70125,35.2464166667,11.8440833333,16.48,36.702,19.8558333333,10.6186666667,18.2338333333
764.45,15.6368333333,40.3977083334,37.7200833333,35.2581666667,12.0334166666,16.5418333333,36.831,20.022,10.7101666667,18.2483333333
764.76,16.1069166667,40.6054583333,38.05975,35.5646666667,12.4251666667,16.9509166667,37.1319166667,20.5070833333,11.1648333333,18.66025
765.07,16.293,40.6777916667,38.5089166667,35.5551666667,12.4283333333,17.135375,37.282,20.7150416667,11.1920833333,18.8186666667
765.39,16.13875,40.4893333334,38.3445,35.6110833333,12.1211666667,16.9159583333,37.1506666667,20.4380833333,10.8455833333,18.5588333333
765.70,16.0620833333,40.3415833334,38.336,35.7447083333,12.05775,16.9170416667,37.189,20.39625,10.9936666667,18.68425
766.01,15.8938333334,40.2395,38.53525,35.719125,12.02975,16.8380416667,37.0989166666,20.1989166667,10.8159166667,18.4783333333
766.32,16.15725,40.410625,38.917,35.715375,12.4541666667,17.187625,37.3009166666,20.416,11.3550833333,18.884
766.64,15.92425,40.3067916667,38.7126666667,35.6011666667,12.1629166667,16.9895,37.2155,20.054375,11.2025833333,18.71675
766.95,15.8755833333,40.1627916666,38.81125,35.698125,12.1066666667,16.9670833334,37.0176666667,19.5832916666,11.15925,18.8368333334
767.26,15.6261666667,40.1014166667,38.483,35.2947916667,11.6144166667,16.3899166666,36.9330833333,18.82525,10.7554166667,18.4378333333
767.57,15.4359166666,39.88425,38.2705,34.9198333333,11.5335,16.44775,36.7935,18.5881666667,10.8954166667,18.4308333333
767.88,15.4970833333,39.7895833333,38.0728333333,35.2220833333,11.3755,16.4495833333,36.6678333333,18.322,10.7196666667,18.4965833333
768.20,15.6134166667,40.4779583333,38.364,35.4547916667,11.35575,16.2581666667,37.163,18.345125,10.8486666667,19.0391666667
768.51,15.3401666667,40.2818333334,38.0011666667,35.1662083333,11.0824166667,16.1755,36.9380833333,18.061625,10.7128333333,18.8994166667
768.82,16.1654166667,40.9924166667,38.7065833333,35.79,11.9809166666,16.8165,37.7970833334,18.9915,11.6604166667,19.8493333333
769.13,15.4868333333,40.5449583333,38.12175,35.3543333333,11.35975,16.2221666667,36.9576666667,18.1772083334,10.99475,19.2381666667
769.44,14.8155,40.1167083333,37.18775,34.8534583334,10.1954166667,15.56725,36.3571666667,17.6709583333,10.13025,18.6156666667
769.76,14.6205,39.6344166667,36.8408333333,34.5024583333,10.203,15.1722083333,36.1680833333,17.5406666667,9.73408333334,18.5308333333
770.07,14.3884166667,39.4920833334,36.5545,34.4976666666,10.1066666667,14.8680833334,35.8584166667,17.452375,9.31533333334,18.5579166666
770.38,14.01975,39.3500416667,35.8775833334,34.1331666667,9.893,14.5805833333,35.576,17.4207916667,9.04483333334,17.9643333333
770.69,13.6054166666,39.5026666667,35.9781666667,34.36275,9.94016666669,14.5350416667,35.638,17.5082916666,8.949,17.8101666666
771.00,12.9510833333,38.7898333334,35.3955833334,33.8715833334,9.16908333333,13.5582916667,34.8545,16.507375,7.76816666667,16.6666666667
771.32,12.7531666667,38.6581666667,35.4851666667,33.3912083333,9.21725000002,13.4570833333,34.78425,16.4653333333,7.84566666668,16.484
771.63,12.27975,37.7080833333,34.7893333334,32.71225,9.14091666668,13.3197916667,34.1655833333,16.2475416667,7.7215,15.5776666667
771.94,12.4755,37.724125,34.9435833333,32.6696666667,9.66683333335,13.3144166667,34.0154166667,16.709625,8.02000000001,15.7695
772.25,11.7196666666,37.0605416666,34.3229166667,32.0091666667,9.09549999998,13.0470416667,33.0814166667,16.076625,7.54066666666,15.3206666667
772.56,11.8295,37.2049166666,34.4449166667,31.7282083333,9.28349999999,13.1646666667,33.1408333333,16.225875,7.56349999999,15.6420833333
772.87,12.5623333333,37.1262916667,34.9151666667,31.651875,10.3138333333,13.8857083333,33.321,16.62625,8.36441666667,16.2369166667
773.18,12.0954166667,36.893125,34.3890833333,31.5125,10.0025833333,13.7297083333,33.0489166667,16.2777083333,8.18158333334,15.8320833334
773.50,11.7010833333,36.40075,33.7166666667,30.968875,9.54758333333,13.39475,32.5345833333,15.9030416667,7.65616666667,15.4396666667
773.81,11.5341666667,36.0992916667,33.7455,30.7251666667,9.04816666666,13.063625,32.3545833333,15.6975416667,7.42533333332,14.99875
774.12,11.3895,35.9200416667,33.683,30.1993333334,8.53408333332,13.0277916666,32.1226666667,15.5206666667,7.103,14.9896666667
774.43,11.9325,36.183375,33.8650833334,30.791125,9.14391666666,13.7418333333,32.7950833333,16.3619583333,8.22308333333,15.8170833334
774.74,11.8136666667,36.085,33.6,30.7116666667,9.31574999999,13.589625,32.70875,16.1854166667,8.07975000001,15.7818333333
775.05,11.2605833333,35.597875,33.4256666667,30.70275,8.91358333334,13.0011666667,32.1400833333,15.740375,7.36416666666,15.1174166667
775.36,10.6585,35.4334166667,33.1250833333,30.5141666667,7.99050000001,12.7889166667,32.0565,15.242,6.39783333333,14.5430833333
775.67,10.5364166667,35.7312083333,33.2581666667,30.8327916667,7.98433333334,12.650375,32.3549166666,15.4522916667,6.37666666666,14.56625
775.98,11.27175,35.927625,33.63625,31.3757083333,8.45016666668,12.8235416667,32.7965833334,15.961375,6.85375,14.6848333333
776.30,11.298,35.9966666667,33.5226666667,31.9070833333,8.08816666665,12.33875,33.13725,15.7974583334,6.56724999999,14.5501666667
776.61,12.0778333333,36.61325,33.7274166667,32.46425,8.25591666666,12.6760833333,33.31225,16.0227083333,6.76374999999,15.0338333333
776.92,12.8210833333,37.2565833333,34.8999166667,33.224,9.11658333331,13.6817916667,34.2154166667,16.6525416667,7.71941666668,15.5586666667
777.23,12.41825,37.1376666666,34.8395,33.0883333334,9.11483333333,13.8429166667,33.6459166667,16.5565416666,7.62308333333,15.4590833333
777.54,12.7681666667,37.1388333333,34.7138333333,33.19025,9.02716666668,13.6407916666,33.4835833333,16.8383333333,7.94708333334,15.1788333333
777.85,12.69975,37.7759583333,35.2224166667,33.365875,8.95083333332,13.6660416666,33.4713333333,16.79375,7.62124999999,14.95925
778.16,12.8673333333,37.488875,35.4495833333,33.74475,8.72275000001,13.690375,33.53175,16.9789166667,7.73816666666,14.8149166667
778.47,12.8499166667,37.603125,35.19725,33.746125,8.53233333333,13.4504583333,33.6208333333,16.8988333333,7.60391666667,15.1561666667
778.78,14.0598333333,37.8516666667,35.5009166666,34.5817083333,9.23416666667,14.0707916667,34.03625,17.4832083333,8.6775,16.1688333333
779.09,15.2215,38.380375,36.4583333333,35.2186666667,10.3065833333,15.0015833334,34.8958333333,18.207125,9.79324999999,16.806
779.40,15.2530833333,38.5065,36.3676666667,35.4315,10.16875,15.19025,34.87275,18.3910833333,10.0576666667,16.7405833333
779.71,15.1620833333,38.3849583333,36.6445833333,35.1696666667,10.2950833333,15.4719583333,34.8156666667,18.8569166667,10.1549166667,16.4380833333
780.02,14.18825,37.9341666667,36.5318333333,34.5800833333,9.87683333334,15.4164166667,34.4314166667,18.7925416667,9.89166666666,15.806
780.33,14.1726666666,38.2691666667,36.7758333333,34.9947083333,10.1404166667,15.5653333333,34.6101666667,18.8955,10.1105,16.1365
780.64,14.3559166667,38.5000833333,36.92425,35.4582916667,10.3105,15.5417916667,34.8938333333,18.7537916667,9.75750000002,16.46975
780.95,14.2566666667,38.1345416666,36.8918333334,35.7056666667,10.81825,15.9272083334,34.9324166667,18.915125,9.69958333333,17.0420833333
781.26,13.8206666667,37.211625,36.263,34.6462916667,10.0029166667,15.0538333333,34.38825,18.2871666667,8.71266666666,16.3630833334
781.57,12.8674166667,36.82375,36.046,34.1307083333,9.12283333334,14.1651666667,33.91975,17.601,7.42658333333,15.8613333333
781.88,12.73825,36.2342083333,36.2778333334,33.6509583333,8.58733333333,14.3770416666,33.9444166667,17.476125,7.33325000001,15.6110833333
782.19,12.2290833333,36.2107083333,36.25125,32.844375,8.43841666667,13.7042916667,33.6565833333,17.4062916667,7.06441666668,15.1148333334
