wavelength,Back_PinInof,Belly_PinInof,Breast_PinInof,Crissum_PinInof,Crown_PinInof,DorTail_PinInof,Patch10_PinInof,Rump_PinInof,Throat_PinInof,WingTip_PinInof
561.26,10.1144,39.2665833333,29.8928888889,30.9384166666,7.88891666667,8.54329166667,8.28508333333,12.1833611111,21.98275,10.3009166667
561.60,10.10535,39.24,29.8854444444,30.9126666667,7.90375,8.567,8.28758333333,12.1883333333,21.9864166667,10.3131666666
561.94,10.10395,39.2900833333,29.926,30.9861666666,7.90066666667,8.593125,8.30516666667,12.1934444444,22.0166666667,10.3086666667
562.28,10.0992333333,39.3141666667,29.9751111111,30.9665833334,7.89266666667,8.58595833333,8.30775,12.1856944445,22.0223333333,10.2964166666
562.62,10.0625333333,39.2783333333,29.9824444444,30.9446666667,7.83825,8.55858333333,8.25758333333,12.1608888889,21.9750833333,10.2425
562.96,10.0481166667,39.29275,29.9648888889,30.9333333333,7.81575,8.54154166667,8.2395,12.1763333333,21.946,10.2229166666
563.30,10.0640666667,39.29175,29.9867777778,30.9494166666,7.79925,8.58025,8.2365,12.1883611111,22.0004166667,10.2649166667
563.64,10.06475,39.3695833334,30.0522222222,30.9924166667,7.80691666667,8.60716666666,8.212,12.196,22.0711666667,10.2741666667
563.99,10.0030833333,39.3065,29.9854444444,30.9431666667,7.78483333333,8.53341666666,8.16183333333,12.1474166667,22.0151666667,10.24475
564.33,9.97609999998,39.3615833333,29.9931111111,30.9345,7.75533333333,8.49720833333,8.15133333333,12.1656666667,22.0296666667,10.1961666667
564.67,9.94903333333,39.33575,30.0324444444,30.9203333334,7.72716666667,8.46558333334,8.12208333334,12.1455277778,22.0053333333,10.1428333333
565.01,9.99684999998,39.3495833333,30.103,30.9313333333,7.77291666667,8.518875,8.17058333333,12.1968888889,22.0595,10.18325
565.35,10.0415,39.4254166667,30.1598888889,31.0524166667,7.79141666667,8.53933333333,8.16866666667,12.2405555555,22.10075,10.1975
565.69,10.0814333333,39.5130833334,30.2295555556,31.0905833334,7.8425,8.573125,8.22133333333,12.3043611111,22.1785,10.24625
566.03,10.1094333333,39.5621666667,30.2212222222,31.13475,7.85558333333,8.58075,8.23408333334,12.3268333333,22.1839166667,10.2640833333
566.37,10.1495666666,39.6199166667,30.2022222222,31.1718333333,7.87233333333,8.61683333333,8.25175,12.3257222223,22.2000833333,10.2801666667
566.71,10.1920166667,39.7001666667,30.2683333333,31.2553333333,7.90258333333,8.6705,8.29875,12.3632777778,22.2750833334,10.3186666667
567.05,10.1782333333,39.7420833333,30.29,31.312,7.92741666667,8.66820833334,8.31016666667,12.3865,22.2713333333,10.2973333333
567.39,10.1665333333,39.7203333333,30.2311111111,31.28175,7.91108333333,8.62854166667,8.315,12.3757222222,22.24975,10.29875
567.73,10.2222166667,39.78625,30.268,31.3266666667,7.94425,8.67370833333,8.35916666667,12.4108055556,22.2811666667,10.3525
568.07,10.2804833333,39.8073333334,30.2893333333,31.3720833333,7.99283333333,8.759,8.39308333333,12.4496944444,22.3193333333,10.4326666667
568.41,10.2786,39.7835,30.2125555555,31.36275,7.99225,8.73525,8.39066666667,12.4501111111,22.31825,10.4286666667
568.75,10.3188,39.8520833333,30.2277777778,31.4235,8.04275,8.784375,8.418,12.5037777778,22.3936666667,10.47675
569.09,10.3154166667,39.8120833334,30.1845555556,31.3499166667,8.04058333334,8.77479166667,8.44816666666,12.4962777778,22.3613333333,10.4615
569.43,10.28235,39.7581666667,30.1324444444,31.3074166667,7.98425,8.714625,8.39116666667,12.4603333333,22.3028333334,10.42075
569.77,10.2864166667,39.75575,30.1442222222,31.3134166667,7.974,8.71454166666,8.35508333333,12.4710555556,22.30375,10.4125
570.11,10.2720666666,39.7803333333,30.2021111111,31.32875,7.983,8.69095833333,8.35191666667,12.4845833333,22.309,10.3976666666
570.45,10.2473833334,39.7523333333,30.2045555555,31.3000833333,7.9575,8.661125,8.3195,12.4790833333,22.2640833334,10.4013333333
570.79,10.2696166667,39.811,30.2525555555,31.3259166667,7.94766666667,8.678875,8.29875,12.4875277777,22.3064166667,10.4281666667
571.13,10.2958666667,39.7944166667,30.2873333333,31.3436666667,7.93516666667,8.68766666667,8.32383333333,12.5029444444,22.2998333334,10.4006666667
571.47,10.2852333333,39.8378333333,30.3502222222,31.3805833333,7.91258333334,8.67370833334,8.31116666667,12.5001388889,22.308,10.3905833333
571.81,10.2568166667,39.8380833333,30.3281111111,31.3628333334,7.89858333333,8.64108333333,8.29091666666,12.4776111111,22.2840833333,10.3374166667
572.15,10.2813666667,39.8971666667,30.3895555556,31.4059166667,7.91475,8.65579166666,8.31158333334,12.4845833333,22.3230833333,10.3554166667
572.49,10.2606666667,39.8990833333,30.3802222222,31.3861666667,7.87708333333,8.60270833333,8.30691666667,12.4491388889,22.2789166666,10.3076666667
572.83,10.2457,39.9438333333,30.4145555555,31.4085833333,7.88808333333,8.601375,8.30066666667,12.4655,22.2903333333,10.329
573.17,10.2464833333,39.92825,30.4407777778,31.415,7.91666666666,8.62325,8.31333333333,12.4891666667,22.2820833333,10.34025
573.51,10.2582333333,39.9609166667,30.4878888889,31.4328333334,7.93066666667,8.63729166666,8.35183333333,12.5254722222,22.3136666667,10.38
573.85,10.3142,39.9561666667,30.5303333333,31.464,7.98433333333,8.68966666666,8.40508333333,12.5802222222,22.363,10.44625
574.19,10.3086333333,39.9389166667,30.4886666667,31.4626666667,7.978,8.668,8.41666666666,12.5609444444,22.3526666666,10.4049166667
574.53,10.301,39.90525,30.4755555555,31.435,7.99491666667,8.63133333333,8.43025,12.5820277778,22.3343333333,10.4335
574.87,10.3,39.9421666667,30.4851111111,31.42525,8.03041666667,8.65879166666,8.43208333333,12.6079166667,22.35725,10.4506666667
575.21,10.3276333333,39.9101666667,30.436,31.4199166667,8.0735,8.703875,8.47525,12.6558611111,22.36175,10.4648333333
575.55,10.3782333333,39.9661666667,30.5303333333,31.4926666667,8.11358333334,8.73495833333,8.50941666667,12.7148333334,22.4048333333,10.5188333333
575.89,10.3274166667,39.9503333333,30.4787777778,31.4661666667,8.09675,8.727375,8.47625,12.6943333333,22.3543333333,10.5045
576.22,10.2887,39.93175,30.4724444444,31.46275,8.06075,8.688625,8.41316666667,12.6721666667,22.3459166666,10.5040833333
576.56,10.2910833333,39.9093333333,30.4777777778,31.4619166667,8.07075,8.70183333333,8.40625,12.6683055556,22.3358333333,10.4868333333
576.90,10.33455,39.937,30.4855555556,31.505,8.10575,8.71545833334,8.40966666667,12.6726666667,22.3580833333,10.53575
577.24,10.3275,39.96025,30.4781111111,31.5493333333,8.10933333333,8.70933333333,8.375,12.6823611111,22.3674166667,10.50825
577.58,10.3095666667,39.9905833334,30.434,31.5843333333,8.07966666667,8.68225,8.34425,12.6573888889,22.3151666667,10.4965833333
577.92,10.3056,39.9480833333,30.4235555556,31.57175,8.09775,8.71204166666,8.32591666666,12.6550277778,22.3385,10.5105
578.26,10.3234166667,39.98175,30.4286666667,31.5864166667,8.11025,8.706375,8.32991666666,12.6608611111,22.3116666667,10.485
578.60,10.26555,39.9756666667,30.3905555556,31.6073333333,8.05691666667,8.61845833333,8.26733333333,12.6040277777,22.2949166667,10.4471666667
578.94,10.1856333333,39.9398333333,30.295,31.54575,7.99366666666,8.5135,8.12058333334,12.5149166667,22.2393333333,10.36825
579.28,10.1575666667,39.9531666667,30.2065555555,31.55625,7.99925,8.50454166667,8.09641666667,12.4935833333,22.2055833333,10.3516666667
579.61,10.17735,39.9769166667,30.2492222222,31.5878333333,7.992,8.526625,8.09675,12.5011388889,22.2536666666,10.3671666667
579.95,10.1527166667,39.96125,30.229,31.589,8.00241666667,8.52295833333,8.10016666667,12.5000555556,22.232,10.3395
580.29,10.1706833333,39.9386666667,30.1817777778,31.5743333333,7.98708333333,8.49870833333,8.10008333333,12.5041666667,22.2188333333,10.3665
580.63,10.09475,39.8553333333,30.1043333333,31.5119166667,7.89425,8.44404166667,8.07233333333,12.4539722222,22.1886666667,10.30025
580.97,10.0816833333,39.7365,30.0364444444,31.4179166667,7.87725,8.42679166667,8.09183333333,12.3873611111,22.12075,10.3090833333
581.31,10.0402666667,39.7096666667,30.0503333333,31.3551666667,7.8535,8.42041666667,8.04908333334,12.3588888889,22.1578333333,10.27425
581.65,10.0408333333,39.6858333333,30.0251111111,31.3264166667,7.85691666667,8.39779166667,8.03291666667,12.3866388889,22.0799166667,10.304
581.98,10.04285,39.6444166667,30.0104444444,31.334,7.8925,8.48195833333,8.06583333334,12.4196666667,22.1119166666,10.3153333333
582.32,10.01785,39.5643333333,29.9292222222,31.2390833333,7.85708333333,8.47291666667,8.01783333334,12.3820833333,22.0311666667,10.2915833333
582.66,10.0875333333,39.66275,29.9985555555,31.3070833333,7.884,8.5205,8.07325,12.4118611111,22.0584166667,10.3390833333
583.00,10.04345,39.6014166666,29.9757777778,31.23725,7.82033333334,8.47758333333,8.03291666667,12.3498888889,22.03,10.2739166667
583.34,10.06515,39.631,29.962,31.26725,7.831,8.47575,8.0325,12.3752777778,22.0361666667,10.27575
583.68,10.1074166667,39.58675,29.8983333334,31.2294166666,7.87458333333,8.50295833333,8.08058333333,12.4155555556,21.99875,10.2818333333
584.01,10.0984333334,39.6028333333,29.8964444444,31.213,7.8715,8.47416666666,8.07591666666,12.3995555556,22.0130833333,10.2558333333
584.35,10.1420166667,39.6945,29.9277777778,31.2481666667,7.93958333333,8.51258333333,8.1,12.4487222222,22.0513333333,10.2691666667
584.69,10.1182333333,39.7170833334,29.9292222222,31.2215,7.93533333333,8.479,8.09958333333,12.4457777778,22.0341666667,10.2315833333
585.03,10.1193833333,39.6735833334,29.8171111111,31.2159166667,7.92191666667,8.434,8.07983333333,12.4255555556,21.9509166667,10.2225
585.37,10.12035,39.69325,29.8142222222,31.2284166667,7.95241666667,8.46129166667,8.09991666667,12.4294166667,21.99325,10.22675
585.70,10.0588333333,39.67325,29.7327777778,31.1719166667,7.86375,8.33179166666,8.01458333333,12.3659166666,21.9204166667,10.1598333333
586.04,10.05755,39.6606666667,29.8114444445,31.201,7.86325,8.298625,8.05166666667,12.3939166667,21.9536666667,10.1856666667
586.38,10.0641,39.6385833333,29.8152222222,31.19325,7.86691666667,8.32145833333,8.07666666666,12.4339166666,22.0065,10.1941666667
586.72,10.1327833333,39.6600833334,29.8807777778,31.3005833333,7.9335,8.37454166666,8.13658333333,12.4981111111,22.0630833334,10.29375
587.06,10.01915,39.5005,29.733,31.1378333333,7.87041666667,8.30404166667,8.05475,12.38775,21.9315,10.2136666667
587.39,10.00625,39.5236666667,29.7876666667,31.17575,7.83341666667,8.311,7.99233333333,12.3486388889,21.95475,10.2243333333
587.73,9.94725000002,39.53825,29.7884444444,31.178,7.775,8.28,7.91216666667,12.3074722223,21.9176666667,10.21475
588.07,9.90473333333,39.5856666666,29.8412222222,31.2194166667,7.70575,8.237375,7.862,12.2677777778,21.898,10.1805833333
588.41,9.93003333334,39.7340833334,29.932,31.3725833333,7.72875,8.251125,7.86733333333,12.2863611111,22.00825,10.2115
588.74,9.91748333334,39.8095833333,29.9838888889,31.3500833333,7.74766666667,8.26883333333,7.87716666667,12.273,22.0401666667,10.22825
589.08,9.90446666666,39.89275,30.043,31.404,7.69058333333,8.229875,7.87125,12.2621666666,22.0526666667,10.1799166667
589.42,9.90675,39.9839166666,30.1184444445,31.4445833333,7.70191666667,8.28425,7.89608333333,12.2792222222,22.1259166667,10.2011666667
589.76,9.912,40.0546666667,30.1163333333,31.4713333333,7.70825,8.33904166667,7.86775,12.2931666667,22.1149166667,10.2275
590.09,9.89276666666,40.1306666667,30.1568888889,31.502,7.71425,8.309375,7.89916666667,12.2966944445,22.1091666667,10.23525
590.43,9.82908333335,40.12425,30.1125555556,31.4179166667,7.66133333333,8.23591666667,7.84266666667,12.2548055555,22.07075,10.1499166667
590.77,9.75225,40.15275,30.1562222222,31.4261666667,7.56741666667,8.14254166667,7.75708333333,12.228,22.084,10.106
591.11,9.74546666666,40.1939166667,30.1461111111,31.4300833333,7.52833333333,8.11395833333,7.75208333333,12.2233611111,22.1094166667,10.10125
591.44,9.83598333334,40.2300833333,30.2148888889,31.49125,7.622,8.196625,7.85183333333,12.3314722222,22.2089166667,10.1509166666
591.78,9.83033333335,40.25925,30.1602222222,31.4765,7.6405,8.242625,7.8625,12.3712777778,22.217,10.1809166667
592.12,9.80588333332,40.2156666667,30.09,31.4025833333,7.59983333333,8.209125,7.82166666667,12.3670277778,22.12125,10.1328333333
592.46,9.77473333335,40.1154166666,30.0732222222,31.4218333334,7.5395,8.16895833333,7.79441666667,12.3931944445,22.0849166667,10.0518333333
592.79,9.82283333335,40.2141666667,30.131,31.4831666667,7.559,8.20766666667,7.79416666667,12.4297777777,22.126,10.0945833333
593.13,9.88446666665,40.2439166667,30.2093333333,31.55875,7.59925,8.26079166667,7.83883333333,12.5030555556,22.1478333334,10.1529166667
593.47,9.95386666666,40.2750833333,30.2762222222,31.6648333333,7.64208333334,8.30720833333,7.9155,12.5618055556,22.23475,10.15025
593.80,9.95545000001,40.2495,30.311,31.67525,7.61791666667,8.35108333333,7.89441666667,12.5410277778,22.2410833333,10.1291666667
594.14,9.98360000002,40.293,30.3315555555,31.6959166667,7.63975,8.37204166666,7.93241666666,12.5916944444,22.2638333334,10.1693333333
594.48,10.2091666667,40.4818333333,30.5263333333,31.91175,7.87883333333,8.548875,8.15866666667,12.7665,22.4660833333,10.3138333333
594.81,10.3028,40.6016666667,30.6302222222,32.027,7.996,8.646875,8.27975,12.8733055556,22.5465833333,10.3926666667
595.15,10.2738333333,40.6554166667,30.67,32.0680833334,7.97841666666,8.63108333333,8.28041666667,12.8445277778,22.5346666667,10.3901666667
595.49,10.3278,40.6781666667,30.7596666667,32.1303333334,8.00841666667,8.65733333333,8.32783333333,12.8828888889,22.5674166667,10.3834166667
595.82,10.3493833333,40.71,30.8267777778,32.1720833333,8.04791666667,8.71004166667,8.38408333333,12.9148611111,22.6436666667,10.41725
596.16,10.4433666667,40.8505833333,30.9143333333,32.2695833333,8.12866666667,8.806875,8.46808333332,13.0007777778,22.7495,10.5091666667
596.50,10.43125,40.7695,30.8311111111,32.2051666667,8.13308333333,8.78375,8.46500000001,12.9819444444,22.7233333333,10.5055833333
596.83,10.45385,40.8330833334,30.8896666667,32.2420833333,8.16025,8.81704166667,8.49416666666,13.0124166667,22.75825,10.509
597.17,10.4151166667,40.8984166667,30.9134444444,32.2524166666,8.15316666666,8.82033333333,8.46675,13.0140555555,22.7518333333,10.525
597.51,10.4466333333,40.87075,30.875,32.2283333333,8.19708333333,8.8165,8.51141666668,13.0561666667,22.7445833334,10.5766666667
597.84,10.5014666667,40.9245833333,30.935,32.2840833333,8.23525,8.88391666667,8.55866666667,13.09525,22.8119166666,10.6170833333
598.18,10.44655,40.8693333333,30.858,32.22725,8.15958333333,8.85070833333,8.49575,13.0535833333,22.7329166667,10.6219166666
598.52,10.41185,40.765,30.821,32.1789166666,8.1275,8.8425,8.46983333333,13.0342222222,22.7079166667,10.6150833334
598.85,10.4278833333,40.8249166666,30.8621111111,32.2439166667,8.12708333333,8.86020833333,8.47766666666,13.0789444444,22.7220833333,10.58675
599.19,10.4227833333,40.7451666667,30.8075555556,32.20225,8.1495,8.87608333333,8.48558333333,13.0991111111,22.721,10.6358333333
599.53,10.40225,40.7333333333,30.769,32.1840833333,8.09508333334,8.81654166667,8.42883333333,13.0587777778,22.647,10.6125833333
599.86,10.37455,40.7205833333,30.7874444444,32.147,8.05633333334,8.70791666667,8.39225,13.0089166667,22.59175,10.56075
600.20,10.3665333334,40.8644166667,30.9536666667,32.2701666667,8.096,8.74908333333,8.43741666666,13.0770555556,22.6415,10.6430833333
600.53,10.3087166666,40.8235,30.874,32.2585,8.03058333334,8.6865,8.38841666667,13.0046388889,22.6093333334,10.6018333333
600.87,10.3323833333,40.7759166666,30.8622222222,32.2695,8.04825,8.68141666667,8.43691666666,13.0196666667,22.5923333333,10.6395
601.21,10.3627833333,40.9005,30.943,32.3671666667,8.08166666666,8.74358333333,8.48308333333,13.0888055555,22.656,10.6570833333
601.54,10.2854333333,40.861,30.8902222222,32.3034166667,7.99875,8.67666666667,8.40991666667,13.0323333333,22.59875,10.6306666667
601.88,10.2875333333,40.9155,30.957,32.3400833333,7.97133333334,8.67020833333,8.40708333333,13.0516111111,22.63775,10.5805833333
602.21,10.3664333333,41.1034166667,30.9923333333,32.4235,8.00291666667,8.69033333333,8.42749999999,13.0741111111,22.69225,10.6061666667
602.55,10.4571,41.1169166667,31.0491111111,32.4608333334,8.08233333333,8.77591666667,8.51174999999,13.1383611111,22.7851666666,10.70625
602.88,10.4776166667,41.2139166667,31.1032222222,32.50475,8.04475,8.74491666667,8.50541666667,13.1315555555,22.8000833333,10.6924166667
603.22,10.5124,41.2363333333,31.1396666667,32.5475833333,8.10925,8.81775,8.56766666668,13.2089722222,22.8710833333,10.726
603.56,10.5815333333,41.27275,31.1648888889,32.5931666667,8.17375,8.91258333334,8.63441666667,13.2880833333,22.9445833333,10.833
603.89,10.6194,41.2528333333,31.1447777778,32.55675,8.1575,8.92541666667,8.60941666666,13.2658055556,22.97875,10.78775
604.23,10.6564,41.2503333333,31.1583333333,32.5458333333,8.1605,8.8795,8.5965,13.26525,22.9854166667,10.8065
604.56,10.6922166667,41.2558333333,31.1135555555,32.5081666666,8.18625,8.87129166667,8.60266666666,13.2672777777,23.0236666667,10.77425
604.90,10.6602666667,41.2516666667,31.1464444444,32.5189166667,8.16775,8.83416666667,8.56574999999,13.2551944444,23.0378333334,10.7691666667
605.23,10.7587833334,41.32125,31.2337777778,32.603,8.26133333333,8.91733333333,8.65191666666,13.3486388889,23.09825,10.8725833334
605.57,10.8210166667,41.3610833333,31.2654444445,32.64375,8.34558333333,8.983625,8.73133333333,13.4140555556,23.1424166667,10.96425
605.90,10.8078666666,41.34625,31.3133333333,32.6706666667,8.36308333333,9.02383333333,8.7555,13.4764444444,23.1650833333,10.9745833334
606.24,10.7892666667,41.3055833334,31.2357777778,32.6046666667,8.38383333333,9.001875,8.73958333333,13.4544444445,23.14275,10.9624166667
606.58,10.87565,41.3305,31.3127777778,32.6814166667,8.49266666667,9.102125,8.81591666667,13.5628888889,23.2169166667,11.0495
606.91,10.88425,41.30775,31.3167777778,32.6640833333,8.47308333333,9.11645833334,8.81466666668,13.5524444444,23.24575,11.0565833333
607.25,10.7426333333,41.2711666667,31.2257777778,32.66025,8.36091666667,9.0275,8.68275,13.4328888889,23.1480833333,10.93925
607.58,10.6917166667,41.18475,31.1374444444,32.5994166667,8.331,9.01858333334,8.68575,13.4355,23.0800833333,10.9315
607.92,10.7082833333,41.15575,31.1582222222,32.6203333333,8.38283333333,9.08791666667,8.74133333333,13.4763611111,23.1086666666,10.9693333333
608.25,10.7349166667,41.1618333333,31.1864444444,32.6340833333,8.37633333333,9.14329166667,8.79058333333,13.4991111111,23.11425,11.0644166667
608.59,10.7311666667,40.9880833333,31.0434444444,32.5056666667,8.346,9.14320833334,8.78116666667,13.4623055555,23.032,11.0838333333
608.92,10.59015,40.7414166666,30.8211111111,32.2885,8.22416666667,9.010125,8.66258333332,13.3131111111,22.86525,10.91475
609.26,10.5405333333,40.5403333333,30.6768888889,32.0930833334,8.16991666667,8.99866666667,8.60408333334,13.2581666667,22.78825,10.8835833333
609.59,10.4267666666,40.2885833333,30.4834444444,31.8911666666,8.08066666667,8.88225,8.52408333334,13.1305555555,22.66375,10.7951666667
609.93,10.3757833333,40.1158333333,30.3651111111,31.7719166667,7.99125,8.8185,8.46016666667,13.0761944444,22.5729166667,10.7635
610.26,10.28065,39.8909166667,30.149,31.55975,7.91116666667,8.73929166667,8.39325,12.9446388889,22.4428333333,10.6869166667
610.60,10.3338833333,39.8115,30.1374444444,31.5360833333,7.97566666667,8.75995833333,8.42058333334,12.9670555556,22.4218333333,10.78225
610.93,10.3223833333,39.6669166666,30.0835555556,31.3623333333,7.98275,8.78058333333,8.45533333334,12.9755,22.4018333333,10.8416666667
611.27,10.25635,39.5049166666,29.9978888889,31.2578333333,7.9095,8.677125,8.38116666667,12.8772777778,22.2989166667,10.7798333333
611.60,10.17475,39.41325,29.8622222222,31.1161666667,7.842,8.64841666667,8.30241666666,12.8019444445,22.1823333333,10.704
611.93,10.1603166667,39.3660833333,29.8591111111,31.125,7.84333333333,8.64791666667,8.26583333333,12.8250555556,22.18175,10.6753333333
612.27,10.1953833333,39.3460833333,29.8931111111,31.1329166667,7.87975,8.67570833334,8.29841666667,12.8369722222,22.2345,10.665
612.60,10.2782333333,39.52925,30.0155555555,31.313,7.97875,8.77625,8.39416666667,12.9613333333,22.39025,10.799
612.94,10.3431,39.6296666667,30.0562222222,31.4995,8.05208333333,8.81429166667,8.46083333333,13.023,22.48425,10.91475
613.27,10.4355166667,39.8261666667,30.2142222222,31.637,8.16241666667,8.90554166667,8.54891666666,13.1164722222,22.57575,10.9879166667
613.61,10.35925,39.8324166667,30.1597777778,31.6200833333,8.09058333334,8.879625,8.46124999999,13.0358333333,22.5558333333,10.9133333333
613.94,10.47085,40.09375,30.3638888889,31.8095833333,8.19658333333,9.00141666666,8.58224999999,13.1623611111,22.7026666667,11.04775
614.28,10.5239833333,40.2274166667,30.4433333333,31.8814166667,8.26925,9.064625,8.65591666666,13.2504722222,22.7926666667,11.1114166667
614.61,10.7355666667,40.4574166667,30.6393333333,32.14625,8.47658333333,9.208875,8.82758333334,13.4459444444,23.0291666666,11.2361666667
614.94,11.0272666667,40.7726666666,30.8698888889,32.42425,8.77375,9.488,9.08916666666,13.7270555555,23.3124166667,11.4920833333
615.28,11.2072333333,40.8771666667,31.0195555556,32.59625,8.93833333332,9.631,9.25566666667,13.8679444444,23.4571666667,11.6735833333
