wavelength,Back_GeoFulm,Belly_GeoFulm,Breast_GeoFulm,Crissum_GeoFulm,Crown_GeoFulm,DorTail_GeoFulm,Patch10_GeoFulm,Rump_GeoFulm,Throat_GeoFulm,WingTip_GeoFulm
194.37,-204.7058,-87.8431999999,-158.431533333,-213.725533333,-198.8234,-145.490133333,-169.411733333,-185.098066667,-132.941266667,-247.450933333
194.75,-85.0000666665,-18.5186666667,-63.1481333332,-89.4444666665,-86.1110666667,-51.4814000001,-62.9629999999,-66.8518,-52.7777999999,-92.9628000001
195.13,-47.5361333333,1.88413333334,-36.9566,-61.1594,-57.3913333333,-20.8694666667,-30.2899333333,-37.6810666667,-25.2173333333,-62.7535999999
195.51,-47.1318,8.06200000002,-38.4494666667,-77.6744000001,-56.7443333333,-11.628,-23.876,-26.6666666666,-23.7209333334,-60.1549333334
195.89,-19.8692666667,21.0458,-5.49013333332,-47.1895333334,-33.2027333333,7.1896,-1.17646666666,-6.01306666667,0.261400000005,-29.8038
196.27,-39.9998666667,2.26186666667,-27.7380666667,-62.0238000001,-46.5476666667,-17.0237333333,-20.0002,-24.4047333334,-20.4762000001,-49.4048666667
196.65,-27.4074,23.8272,-9.62980000002,-41.7284000001,-24.1975333333,5.55553333334,-9.5062,0.37046666668,-3.20973333332,-36.0494666667
197.03,-52.6127333333,19.0992,-22.3423333333,-67.0270000001,-42.3424,11.8918666667,-34.7747333333,-13.1532,-29.3693333333,-57.1173333333
197.40,-28.3333333333,16.5384666667,-13.9744,-46.1539333333,-26.923,18.5897333333,-19.4873333333,0.38446666668,-23.5897333333,-33.7179333333
197.78,-63.4344666666,28.2828666666,-29.8989999999,-90.5049333333,-53.3333333333,13.1313333333,-52.7271999999,-15.1514666667,-47.4748000001,-66.6666666667
198.16,-42.8333333334,36.1666666666,-17.5000000001,-60.8333333334,-39.1666666667,29.8333333333,-20.3333333333,5.33333333333,-22.3333333333,-34.9999999999
198.54,-89.5237999999,26.9048,-48.5713999999,-102.857066667,-66.6666666667,38.8095999999,-59.9999333333,-27.8571333333,-54.9999333333,-76.1904
198.92,-719.999999999,-76.0000000002,-545.333333333,-836.000000001,-644.000000001,-63.9999999999,-612.0,-377.333333334,-570.666666666,-776.0
199.30,1531.111,471.111,1326.66673333,1673.33333333,1453.33346667,477.777666667,1502.2222,979.999933331,1395.5556,1673.33333333
199.68,-250.833333333,-45.8333333334,-222.083333333,-264.583333333,-240.0,-95.4166666665,-260.0,-164.583333333,-213.333333333,-252.916666667
200.06,639.999933334,245.185266667,590.370399999,699.2592,614.8148,337.0372,674.074066667,477.037,541.481533333,595.555666667
200.44,234.444466666,110.2776,229.4444,259.1666,250.0,110.000066667,256.9444,182.7778,189.166666667,221.111133333
200.82,278.484733333,158.181733333,290.606,330.303066667,316.969666667,145.454533334,321.212133333,257.272666667,237.5758,258.484733333
201.19,1386.66666666,613.333333333,1365.0,1540.0,1566.66666667,663.333333335,1485.0,1246.66666667,1045.0,1210.0
201.57,-1880.0,-283.333333334,-1770.0,-2010.0,-2176.66666667,-413.333333332,-2053.33333333,-1590.0,-933.333333335,-1423.33333333
201.95,-609.999933333,-107.777733333,-633.333333333,-613.3332,-676.666666667,-111.111133333,-661.111066667,-551.111266666,-238.888933333,-474.4444
202.33,581.904799999,123.809466667,514.285600001,555.238066667,583.8096,79.9999333333,634.285666667,487.619066667,201.9046,454.285466667
202.71,-316.666666667,86.6666666667,-262.5,-334.166666667,-361.666666667,110.0,-350.0,-206.666666667,3.33333333347,-170.0
203.09,-570.000000001,218.333333333,-528.333333333,-633.333333333,-669.999999999,290.0,-716.666666667,-434.999999999,105.000000001,-168.333333333
203.47,415.238,-62.8572666666,358.095266667,407.619133333,406.6666,-129.523866667,424.762,298.0952,-12.381,122.8572
203.85,81.0101333335,-6.2626666668,77.9798666667,80.8079999999,75.9596000001,-44.2424666667,78.5857333334,48.6869333334,-9.49493333334,31.7173333333
204.22,78.3333333333,-62.6666666667,102.666666667,52.6666666666,81.6666666666,-117.333333333,62.3333333334,22.0000000001,-68.0000000001,18.3333333333
204.60,86.6666666667,-66.0605333333,108.484866667,70.6059999999,72.1212000001,-80.606,62.1214000001,26.6666666665,-54.5454000001,20.9091333334
204.98,58.5715333333,-21.27,65.2379999999,51.5873333334,49.6824666667,-34.9205333333,43.4920666667,15.5556,-18.8888666666,23.3334
205.36,41.5554666667,-5.22220000002,46.2223333333,49.7778,35.1111333333,-29.4444,34.0,10.2222666667,-8.88893333333,15.4443333333
205.74,53.7777333333,15.0222666667,52.4444666665,59.0222,42.3111333333,-5.24440000001,42.9333333333,29.0668,14.6666666667,30.9333333333
206.12,50.2438666667,17.4797333333,46.0164,52.3576666667,42.1136666667,-8.04866666665,40.5691333333,24.0651333333,11.9512666667,26.4228
