wavelength,Back_HemReym,Belly_HemReym,Breast_HemReym,Crissum_HemReym,Crown_HemReym,DorTail_HemReym,Rump_HemReym,Throat_HemReym,WingTip_HemReym
342.70,2.566,8.52133333333,2.52566666667,6.403,3.813,3.453,1.80666666667,4.53266666667,4.868
343.06,2.69333333333,8.881,2.615,6.31333333333,3.80833333333,3.33733333333,1.83733333333,4.43666666667,4.664
343.43,2.68533333333,9.12,2.824,6.52,3.912,3.41033333333,2.21433333333,4.421,4.653
343.79,2.693,9.22766666667,2.91933333333,6.61833333333,3.81233333333,3.46433333333,2.20866666667,4.26633333333,4.493
344.16,3.043,9.62666666667,3.184,6.806,3.97066666667,3.622,2.56066666667,4.973,4.609
344.52,3.02566666667,9.66866666667,3.06233333333,6.629,3.85866666667,3.50066666667,2.29466666667,4.87466666667,4.473
344.89,3.05433333333,9.75533333333,3.09766666667,6.67266666667,3.87166666667,3.416,2.193,5.11666666667,4.386
345.25,3.38,10.0036666667,3.42266666667,6.80933333333,4.14266666667,3.822,2.55266666667,5.56833333333,4.749
345.62,3.46733333333,10.1043333333,3.616,6.90633333333,4.43866666667,3.96366666667,2.62366666667,5.89266666667,4.85
345.99,3.33533333333,10.148,3.442,6.82666666667,4.511,3.93033333333,2.45033333333,5.453,4.95
346.35,3.45733333333,10.039,3.59133333333,6.73033333333,4.51766666667,3.98733333333,2.531,5.585,5.027
346.72,3.50033333333,9.81433333333,3.58566666667,6.838,4.40033333333,3.798,2.381,5.71166666667,5.123
347.08,3.337,9.71833333333,3.70066666667,6.945,4.39933333333,3.722,2.36,5.81133333333,5.241
347.45,3.22933333333,9.43666666667,3.34433333333,6.767,4.16233333333,3.473,2.04533333333,5.734,5.145
347.81,3.17633333333,9.363,3.241,6.756,4.17733333333,3.39966666667,2.02366666667,5.834,5.078
348.18,3.076,9.38033333333,3.24933333333,6.759,4.25333333333,3.20633333333,1.97866666667,5.72666666667,4.961
348.54,3.13966666667,9.37466666667,3.27,6.91566666667,4.34766666667,2.937,2.069,5.686,4.905
348.91,3.07766666667,9.42066666667,3.27266666667,6.75466666667,4.226,2.94,2.153,5.62766666667,4.681
349.27,2.88033333333,9.277,3.24166666667,6.714,4.14366666667,2.69266666667,1.87033333333,5.422,4.483
349.64,3.083,9.278,3.10466666667,6.76833333333,4.20166666667,2.624,1.90733333333,5.58533333333,4.646
350.00,3.408,9.57033333333,3.60666666667,7.16366666667,4.487,3.00333333333,2.279,6.177,4.878
350.37,3.28666666667,9.641,3.428,7.266,4.41766666667,3.004,2.10633333333,6.24866666667,4.771
350.73,3.34866666667,9.82866666667,3.53133333333,7.21,4.53533333333,3.166,2.14133333333,6.206,4.802
351.10,3.36233333333,9.85766666667,3.39733333333,7.122,4.553,3.133,1.94933333333,6.203,4.929
351.46,3.64866666667,10.106,3.90366666667,7.40733333333,4.85333333333,3.35266666667,2.203,6.485,5.06
351.83,3.79133333333,10.3813333333,3.98266666667,7.53433333333,4.83133333333,3.44866666667,2.436,6.61033333333,5.091
352.19,3.701,10.423,3.96566666667,7.53733333333,4.699,3.43566666667,2.50566666667,6.49866666667,4.991
352.55,3.667,10.5773333333,4.15166666667,7.61666666667,4.77066666667,3.68033333333,2.64433333333,6.65466666667,5.127
352.92,3.63,10.537,4.24833333333,7.798,4.913,3.796,2.533,6.542,5.325
353.28,3.66133333333,10.585,4.18566666667,7.78833333333,4.84733333333,3.88433333333,2.51533333333,6.629,5.404
353.65,3.50333333333,10.749,4.24033333333,7.80833333333,4.71833333333,3.904,2.46933333333,6.67066666667,5.216
354.01,3.54033333333,10.6606666667,4.01266666667,7.72566666667,4.70166666667,3.82133333333,2.533,6.66666666667,5.129
354.38,3.78233333333,10.732,4.12833333333,7.97333333333,4.945,4.04033333333,2.78366666667,6.81133333333,5.485
354.74,3.6,10.634,4.02566666667,7.829,4.821,3.921,2.63266666667,6.63366666667,5.326
355.11,3.61333333333,10.5623333333,4.114,7.78133333333,4.856,3.93333333333,2.70833333333,6.744,5.176
355.47,3.399,10.5416666667,3.98833333333,7.64266666667,4.68433333333,3.756,2.512,6.81533333333,5.018
355.83,3.41733333333,10.3273333333,4.05166666667,7.597,4.66866666667,3.70833333333,2.33433333333,6.90966666667,5.222
356.20,3.65,10.238,4.12233333333,7.72666666667,4.8,3.855,2.27766666667,6.947,5.552
356.56,3.628,10.202,4.09866666667,7.71033333333,4.84333333333,3.841,2.262,7.055,5.627
356.93,3.76533333333,10.4596666667,4.27166666667,7.77866666667,4.839,4.02433333333,2.41133333333,7.234,5.731
357.29,3.992,10.5726666667,4.49766666667,8.08733333333,4.99833333333,4.13333333333,2.692,7.55433333333,5.874
357.66,4.12333333333,10.5226666667,4.532,8.29966666667,5.178,4.24133333333,2.85266666667,7.53,6.088
358.02,4.03233333333,10.445,4.633,8.235,5.095,4.20766666667,2.72033333333,7.47,6.12
358.38,3.972,10.2943333333,4.57533333333,7.95433333333,4.98433333333,4.019,2.51866666667,7.48166666667,5.934
358.75,4.09133333333,10.2693333333,4.617,8.04866666667,5.091,4.05,2.68466666667,7.698,6.013
359.11,4.466,10.6156666667,4.854,8.332,5.39333333333,4.451,3.02433333333,7.85333333333,6.427
359.48,4.719,10.7856666667,5.01666666667,8.48466666667,5.53466666667,4.65033333333,3.224,7.94233333333,6.712
359.84,4.783,10.872,5.11533333333,8.49733333333,5.771,4.78766666667,3.548,7.97933333333,6.697
360.20,5.01333333333,11.219,5.38766666667,8.76066666667,6.09,5.018,3.881,8.271,6.82
360.57,5.118,11.3396666667,5.49966666667,8.77866666667,6.07333333333,4.97033333333,3.93833333333,8.267,6.688
360.93,5.04666666667,11.1576666667,5.432,8.69133333333,6.11566666667,4.80133333333,3.95133333333,8.29266666667,6.558
