wavelength,Back_CamPaum,Belly_CamPaum,Breast_CamPaum,Crissum_CamPaum,Crown_CamPaum,DorTail_CamPaum,Rump_CamPaum,Throat_CamPaum,WingTip_CamPaum
759.44,20.5982666667,45.5092,21.9549333333,40.9008,15.9390666667,18.1941333333,22.9426,15.4691333333,21.4311333333
759.75,20.2795111111,45.2546666667,21.6562666667,40.3677333333,15.6340666667,17.9127666667,22.6457333333,15.1633333333,21.1355666667
760.07,20.0598555555,44.8580666667,21.5202,40.0182,15.4736666667,17.7722,22.2222666667,14.9149333333,20.8896333333
760.38,19.8059777778,44.9528666667,21.3729333333,39.9590666667,15.279,17.6476,21.9116,14.754,20.7046666667
760.69,19.8022666667,44.6528666667,21.1698,39.4596666667,15.2266666667,17.8299333333,21.6589333333,14.5923333333,20.4307333333
761.01,20.0726444444,45.0573333333,21.594,39.7591333333,15.4614666667,18.1696,21.9089333333,14.6776666667,20.6457666667
761.32,20.4690888889,45.4766666667,21.9539333333,40.383,15.7688666667,18.5693,22.2386666667,14.9298666667,20.9984
761.63,20.9659555555,45.5676,22.327,40.6058,16.2209333333,18.8713333333,22.5166,15.4869333333,21.2378333333
761.94,20.9583444445,45.5764666667,22.1686,40.4801333333,15.9760666667,18.9484,22.5264666667,15.5135333333,21.0921
762.26,20.7677111111,45.4296666667,21.798,40.202,15.7166666667,18.6212,22.2058666667,15.0444,20.7120666667
762.57,20.5902666667,45.3588,21.4207333333,40.0163333333,15.3561333333,18.4273,22.0081333333,14.8977333333,20.5012
762.88,20.6157111111,45.566,21.4267333333,40.0389333333,15.231,18.3695,21.9028666667,14.9452,20.4655666667
763.20,20.8253111111,45.6816666667,21.6007333333,40.1028,15.4404,18.4788,22.054,15.1618,20.6165333333
763.51,20.9480555555,46.0700666667,21.7086666667,40.3118,15.4961333333,18.4075666667,22.1171333333,15.1708666666,20.5458
763.82,21.1776777778,46.2098,21.7805333333,40.479,15.5420666667,18.5188,22.2459333333,15.2402666667,20.7327
764.14,21.4016,46.4532666667,21.7128666667,40.5473333333,15.49,18.5456,22.3142666667,15.3393333333,20.8953
764.45,21.4215333333,46.5355333333,21.5070666667,40.5605333333,15.2801333333,18.5075333333,22.2174666667,15.2784666667,20.8354666667
764.76,21.2768111111,46.3476,21.2674666667,40.2874,15.0929333333,18.3222333333,22.0612666667,15.0736,20.7212333333
765.07,20.9688888889,46.4539333333,20.8196,40.2239333333,14.5898,17.9544666667,21.6652,14.4583333333,20.3032666667
765.39,20.8985,46.4421333333,20.8941333333,40.1451333333,14.599,17.8279,21.5482,14.3802666667,20.1965333333
765.70,21.0169555556,46.6198,20.7800666667,40.2798666667,14.5179333333,17.9840333333,21.6258,14.3975333333,20.3666
766.01,21.1715333334,46.7399333333,20.9972666667,40.3454,14.6998666667,18.1379,21.8308,14.4603333333,20.6606
766.32,21.3946666667,46.7215333333,21.0014,40.2581333333,14.7188666667,18.1973333333,21.9274666667,14.2683333333,20.6001333333
766.64,21.5010777778,46.6545333333,21.0003333333,40.3162666667,14.6962666667,18.2917,21.9596,14.1308666667,20.6789
766.95,21.7979888889,46.8328,21.2513333333,40.4405333333,14.9446,18.9602333333,22.3414666667,14.2092666667,21.1808666667
767.26,21.0906444444,46.1257333333,20.6873333333,39.7020666667,14.2349333333,18.3535666666,21.7508666667,13.4588,20.4273
767.57,20.9947111111,46.2263333333,20.8940666667,39.9266,14.3797333333,18.3055333333,21.6904,13.2899333333,20.3845
767.88,20.8161777778,45.9672666667,20.8774666667,39.8161333333,14.5118666667,18.2505333333,21.6770666667,13.3194666667,20.5041
768.20,20.7931111111,45.8516,20.6714,39.6641333333,14.3579333333,18.0713,21.4521333333,13.1954666667,20.2669333333
768.51,20.8855777778,45.6659333333,20.5018,39.5421333333,14.2635333333,18.2203333333,21.4025333333,13.2687333333,20.4194333333
768.82,20.8306111111,45.4387333333,20.0539333333,39.4160666667,14.109,18.2285333333,21.2698666667,13.0397333333,20.4986666667
769.13,20.7952222222,45.5200666667,20.0340666667,39.3990666667,14.0174666667,18.1628333333,20.974,13.136,20.1141
769.44,20.6209333333,45.0492,19.5776666667,39.1396,13.7837333333,18.0650666667,20.5756,12.9171333333,19.7731
769.76,19.9720666667,44.6146,19.0268,38.9048666667,13.1697333333,17.4566666667,19.7108666667,12.2157333333,19.0156666667
770.07,19.7103333334,44.5394666666,18.7138666667,38.7269333333,12.8653333333,17.4389666667,19.3191333333,11.9685333333,18.5811666667
770.38,19.3710444444,43.9035333333,18.2810666667,38.1912666666,12.5518666667,16.8779333333,18.7331333333,11.8038,17.9351333333
770.69,19.3796333333,43.8308,18.044,38.2232,12.697,16.9662,18.3554666667,11.7764666667,17.4840666667
771.00,19.6984888889,43.6537333334,18.2516,38.2616666667,12.8903333333,17.3706666667,18.5889333333,12.0039333333,17.6568666667
771.32,19.0905888889,43.2376666667,17.5136,37.6456666667,12.1474,16.7154333333,17.8612666667,11.4102666667,16.8961
771.63,19.1622,43.5806666667,17.8368,37.8048666667,12.3436,16.9830333333,18.1088666667,11.6295333333,17.1121
771.94,19.0626,43.4926666667,17.9974,37.8005333333,12.4018666667,16.6307666667,17.9724666667,11.7033333333,16.9549333333
772.25,19.3776222222,43.6769333333,18.4284666667,38.231,12.5402666667,16.7542333333,17.9859333333,12.0249333333,16.875
772.56,18.7376777778,43.3950666667,17.9460666667,37.9794,11.9849333333,16.2483,17.5873333334,11.2716,16.4538
772.87,18.5021333333,43.7579333334,18.0365333333,38.1558,11.735,16.0788,17.4485333333,11.1200666667,16.1153666667
773.18,18.9715444444,43.9861333333,18.3219333333,37.9877333333,12.3656666667,16.7646666667,18.2334666667,12.0162666667,16.9451
773.50,18.3201,43.4526,17.6840666667,37.2701333334,11.486,15.8523666667,17.4302666667,11.3141333333,16.0807333333
773.81,18.2389444445,43.3888666667,17.3960666667,37.3602,11.1534,15.6360666667,17.2413333333,11.0938,15.9195333333
774.12,18.4142777778,43.6022,17.5623333333,37.7028,11.2369333333,15.4778666667,17.5782,11.5541333333,16.5280333333
774.43,17.7655777778,43.6184,16.8984666667,37.2511333333,10.6584,14.7568333333,17.0050666667,10.9825333333,15.9198666667
774.74,18.3242777778,44.1644666667,17.6600666667,37.8178666667,10.9932666667,15.1683333333,17.4148,11.4006,16.2176666667
775.05,17.8287333333,43.4296666667,16.9722666667,37.1440666667,10.2094,14.4452333333,16.3735333333,10.758,15.2427666667
775.36,18.1537,43.701,17.0594,37.4628666667,10.5608,15.066,16.6854666667,11.0314,15.5177
775.67,17.9059777778,43.7998666666,16.7172,37.0912666667,10.416,14.9244333333,16.3008666667,11.2147333333,15.3928
775.98,18.3975333333,44.0638666667,17.1913333333,37.3676,10.7642,15.2560333333,16.7924,11.9814,15.85
776.30,18.0233,43.2082,16.7542,36.7333333334,10.2252,14.6537333333,16.1408666667,11.4893333333,15.1896666667
776.61,18.3098888889,43.4998666667,16.6266666667,37.3267333333,10.1413333333,14.6659,16.2977333333,11.2714,15.3406
776.92,18.3869777778,43.4909333333,16.7149333333,37.5393333333,10.4942666667,15.0220666667,16.4584,11.4786,15.5394
