wavelength,Back_TanLavf,Belly_TanLavf,Breast_TanLavf,Crissum_TanLavf,Crown_TanLavf,DorTail_TanLavf,Patch10_TanLavf,Rump_TanLavf,Throat_TanLavf,WingTip_TanLavf
199.30,159.72225,145.8335,9.7223333335,208.333333333,154.1665,470.8335,131.944666667,-81.9443333335,127.777833333,188.889
199.68,135.763833334,132.639,52.0833333333,143.0555,130.5555,267.361166666,141.666666666,17.3611666666,103.472333333,168.055333334
200.06,182.291666666,206.25,87.5,247.916666666,193.75,404.166666667,207.291666667,59.375,142.708333334,295.833333334
200.44,126.149416667,136.206833333,77.0115,155.747333333,115.517333334,237.931,137.931,72.9885,98.2759999999,183.333333333
200.82,106.25,112.5,87.4999999999,125.833333333,109.583333334,185.0,120.416666667,73.75,87.9166666667,155.416666667
201.19,107.60875,113.768166667,90.2175,122.463833334,114.492833334,184.42,125.724666667,71.3768333333,96.3768333335,159.420333333
201.57,127.325833333,134.883666667,108.527,148.837333333,142.248,213.565833333,149.224666667,80.6201666665,112.790666667,182.558333334
201.95,284.126916666,300.7935,212.698166667,300.7935,309.523666666,473.015833333,319.841166666,164.285833333,215.0795,391.269833334
202.33,363.157916667,367.543833333,244.736833333,349.122666666,368.421166666,532.456166667,371.052833333,198.2455,249.999833334,475.4385
202.71,286.0,271.333333334,199.333333333,257.333333334,276.666666667,414.0,266.0,138.666666667,205.333333334,377.333333334
203.09,286.594,268.8405,160.8695,254.347666667,252.173833333,394.9275,222.463666666,98.5506666668,207.971166666,374.637666667
203.47,495.833416667,452.381,247.619166667,359.523666667,402.381166667,598.8095,333.333166667,139.285833333,340.476166667,613.095166667
203.85,933.333333331,847.916666669,510.416666667,647.916666667,708.333333333,1127.08333334,512.5,260.416666667,633.333333333,1033.33333333
204.22,4.69658057731e+15,3.8489570679e+15,2.67614466494e+15,2.92136907647e+15,3.65704231106e+15,5.67214725796e+15,2.38827252966e+15,8.63616405815e+14,3.4651275542e+15,4.93647402338e+15
204.60,-513.690333334,-422.619,-315.476,-294.0475,-416.666833333,-635.714166666,-223.809666666,-70.2381666665,-400.0,-579.761833334
204.98,-376.4705,-356.862833333,-240.196166667,-216.666666667,-338.235166667,-469.607666666,-181.3725,-23.5291666665,-310.7845,-420.588166667
205.36,-2255.55558333,-2166.66666667,-1494.4445,-1227.77766667,-1950.0,-2550.0,-1072.22216667,-388.888833333,-1677.7775,-2155.5555
205.74,-1427.08333333,-1325.0,-891.666666665,-520.833333334,-1220.83333334,-1650.0,-633.333333333,-33.3333333335,-1162.5,-1483.33333334
206.12,212.179416667,223.718,178.846166666,107.051166667,185.897333334,249.358833334,96.7948333331,1.282,182.6925,237.179333334
206.50,148.648583333,165.315333333,144.144166667,72.0718333333,140.090166667,181.982166667,62.162,0.9008333333,128.3785,168.017833333
206.87,150.219416666,162.280666667,135.526166666,87.2808333331,153.508833333,176.7545,67.1053333333,14.0351666666,121.491333333,160.526166667
207.25,139.361666667,149.645666667,134.751833334,88.6525,150.354833333,159.219833333,79.0781666667,44.6808333334,112.411333333,147.517666666
207.63,136.879333333,148.227,140.4255,109.219833333,155.319166667,182.269333333,89.3616666668,64.5389999998,117.375833333,157.801166667
208.01,127.462,130.302833333,138.636166667,109.090833333,154.166833333,186.7425,90.9088333334,60.6058333335,107.196833333,160.606
208.39,124.166666667,133.666666667,138.333333333,113.666666666,141.666666667,177.666666667,92.6666666665,71.3333333333,92.6666666665,157.666666667
208.77,120.555416667,143.3335,137.777833334,122.963,139.999833333,185.1855,93.7038333335,78.8886666665,84.8148333333,160.370166667
209.14,141.89825,169.4445,161.574166667,143.9815,148.611166666,240.277833333,100.0,92.5925,98.6109999998,194.444333333
209.52,239.35175,309.259333333,288.888833333,270.370333334,239.814666667,456.481333334,175.925833333,137.037,187.037,335.184833333
209.90,169.64275,221.428666667,227.976333333,217.261833333,188.0955,304.761833334,130.357,127.381,133.333333333,211.309333333
210.28,177.69625,193.627333333,230.392166667,207.843333333,192.156833333,290.196166667,139.215833333,152.941166667,144.1175,204.902
210.66,209.408416667,241.398,269.892666667,256.989333333,241.9355,332.795666667,172.580833334,202.1505,194.085833334,238.172
211.03,300.000083334,367.424333333,393.181666667,364.394,337.121333333,491.666666667,268.9395,308.3335,295.454666667,360.606
211.41,1730.55566666,2305.55533333,2605.55583333,2316.6665,2116.66666666,3261.111,1577.77766666,1794.44433334,1733.3335,2244.4445
211.79,883.333333334,1263.33333334,1486.66666667,1260.0,1210.0,1690.0,806.666666667,899.999999999,896.666666666,1180.0
212.17,200.724583333,305.072333334,318.115833334,286.956666666,303.623166667,345.652166666,182.608666666,208.6955,210.144833334,285.5075
212.55,133.783666667,187.837666667,190.991,183.784,205.856,211.7115,119.82,139.639666667,148.198166667,172.972833334
212.92,132.708333333,163.333333334,175.0,182.083333333,202.5,199.166666667,117.916666667,116.666666667,147.5,154.166666667
213.30,135.077583334,144.185833333,162.403,180.620166667,195.7365,184.8835,116.279,113.565833333,140.697833334,137.597
213.68,116.22025,116.071166667,140.4765,146.428666667,177.380666667,161.904666667,111.011833333,110.4165,126.785666667,131.547333333
214.06,119.047583334,120.238,136.3095,144.642833333,183.333333333,169.047666667,118.154666667,114.881,130.059666666,146.726
214.44,137.500166667,153.409166666,152.6515,172.7275,218.5605,195.4545,144.697,139.7725,167.803,183.712
214.81,123.148166667,136.666666666,141.4815,164.074166666,195.185333334,174.444666666,142.962833333,128.518666667,152.592666667,178.518333334
215.19,105.782333333,117.006833333,123.809666667,150.340166667,176.5305,144.558,133.673333334,114.285666667,136.0545,159.5235
215.57,110.34475,120.115166666,120.115,157.7585,165.804666667,137.068833333,134.482833334,113.505666667,137.931,153.7355
215.95,109.178916667,111.111,114.976,140.338,145.652166666,127.777666666,122.946833333,103.864666666,131.6425,138.888833333
216.32,116.269833333,119.576666667,131.746166667,149.471,150.793666667,139.947,138.888666667,115.0795,146.296166666,143.650833334
216.70,121.111083333,132.500166667,143.888833333,152.5,156.111,141.111333333,149.444666666,118.611166667,153.055666667,154.4445
217.08,105.769166667,120.940333334,125.427166666,127.991333333,132.051333333,119.872,127.3505,111.324666666,126.709333333,133.7605
217.46,110.126416667,128.903166666,128.481,126.5825,137.552666667,114.768,121.097,113.080333333,124.261666667,142.826833333
217.83,116.176416666,133.725333333,125.098,127.843166666,135.294166667,115.686,117.0585,117.255,119.607833333,141.7645
218.21,129.835333333,144.444333333,134.773666666,146.913833334,144.032833333,128.395166667,129.424,129.012166667,128.806666667,149.5885
218.59,126.175333333,140.384666667,129.487166667,145.085333333,145.299166666,130.7695,121.153833333,122.222166667,122.222,136.965666667
218.97,121.230083333,130.158833334,114.285666667,132.539666667,133.730333333,125.595333334,106.746,109.325333333,111.508,125.595333334
219.34,134.28575,140.952333334,124.762,143.095333333,147.618833333,147.381,106.666666667,113.3335,119.761833333,141.190666667
219.72,128.744,133.333166667,120.5315,134.541333334,135.990333334,145.4105,103.623166666,106.763333333,115.7005,144.685833333
220.10,138.01175,146.783666667,121.637333334,155.5555,152.924166667,171.345,118.713666667,111.4035,128.947333334,169.298166667
220.47,181.060666666,192.424166667,155.302833334,200.7575,198.106333334,228.030333333,145.833333333,132.575833333,167.803,221.212166666
220.85,175.21375,191.8805,154.273666666,210.683833333,197.863,261.111166667,143.162333333,131.624166667,161.111166666,213.247666666
221.23,268.47825,280.434666667,224.637666666,308.695666667,298.5505,397.826166667,203.623333333,172.463666666,239.855166666,303.623333333
221.61,238.271666666,250.617333333,205.555666667,276.543166666,284.567833334,370.370333333,195.679,167.901333333,233.9505,261.728333334
221.98,-3.17725541894e+15,-3.40115596859e+15,-2.86805942178e+15,-4.19013885785e+15,-4.22212465066e+15,-5.26699388239e+15,-2.60151114838e+15,-2.00444301597e+15,-3.17725541893e+15,-3.6996900348e+15
222.36,-220.8335,-245.238,-194.0475,-297.619166667,-358.333333333,-442.857333333,-153.571333333,-91.6666666668,-258.333333334,-294.047666667
222.74,-115.064,-121.154,-107.692166667,-150.641,-183.333166667,-237.179333333,-90.3845000001,-58.3333333335,-126.923166666,-178.205
223.11,-61.1108333335,-69.6581666668,-72.6495,-88.0343333332,-122.6495,-135.47,-53.8463333334,-37.607,-63.6753333333,-115.384666667
223.49,-115.384583334,-142.948666667,-130.769166667,-152.564166667,-196.153833334,-221.153666666,-105.769333333,-82.0513333332,-117.307666667,-174.999833333
223.87,-135.22725,-159.8485,-135.606,-178.787833333,-247.727333333,-268.9395,-140.1515,-100.757666667,-118.181666667,-167.424166667
224.24,-164.58325,-197.916666666,-164.5835,-193.055666667,-259.722333334,-253.472166667,-168.0555,-136.111166667,-131.25,-183.333333333
224.62,-243.421,-277.193,-220.1755,-259.649166666,-348.2455,-319.2985,-257.894666667,-207.894833333,-165.7895,-249.122666666
225.00,-193.2795,-194.085833333,-144.086333333,-182.795833334,-239.247166667,-200.537666667,-173.655833333,-142.473166667,-119.8925,-192.473
225.38,-287.878666667,-300.0,-218.182,-304.545333334,-358.333333334,-317.424333334,-289.394,-222.727333333,-190.151666667,-329.5455
225.75,-122.435916667,-126.495833333,-84.188,-140.170833334,-155.555666667,-126.495666667,-140.598333333,-93.5898333334,-64.1026666666,-157.6925
226.13,-173.21425,-189.285833333,-113.095,-182.142666667,-217.261833333,-164.881,-208.333333333,-126.190666667,-101.1905,-232.738
226.51,-129.72975,-146.846833333,-87.3875,-126.126166667,-151.351333334,-128.829,-154.054,-93.2431666669,-69.8196666665,-150.0
226.88,-109.791666667,-122.916666667,-69.1666666667,-97.0833333333,-119.166666667,-84.1666666665,-134.583333333,-59.1666666667,-54.5833333333,-98.7500000002
227.26,-79.7100000001,-94.5653333333,-53.6231666667,-75.0001666667,-88.0435,-51.4491666667,-98.9131666665,-35.5071666667,-44.203,-59.0578333333
227.64,-57.7955833334,-68.8175,-45.699,-51.0753333334,-69.0861666667,-23.1183333333,-70.43,-24.1936666667,-28.4948333333,-37.9028333333
228.01,-36.531,-48.8373333334,-31.9768333334,-29.2636666666,-43.2171666667,-7.94583333333,-35.4651666666,-15.6976666667,-15.1161666667,-18.023
228.39,-25.08,-32.2113333333,-16.0258333334,-19.5515,-24.3591666667,-2.56416666666,-15.2243333333,-8.17316666668,-1.76283333335,-3.52549999999
228.76,-19.79175,-30.0,-13.8886666666,-21.3888333333,-17.5,-6.25016666666,-5.97216666667,-6.80549999998,0.972166666665,-5.69416666666
229.14,-14.0123333333,-20.4938333333,-11.7285,-17.5306666667,-11.6051666667,-5.55566666667,-0.74066666667,-7.1605,2.963,-4.07433333333
229.52,-12.4715833334,-17.2336666667,-6.8025,-12.5851666667,-9.75066666668,-4.4215,2.721,-8.73033333334,1.9275,0.34
229.89,-15.9188333333,-17.8421666667,-7.69216666665,-14.1023333333,-12.8205,-8.97433333334,2.56416666665,-10.3635,-2.56416666667,-1.70933333333
230.27,-21.6773333333,-18.249,-13.8186666667,-20.1475,-19.6203333334,-12.6581666667,-2.10966666665,-13.8186666666,-5.80166666666,-6.54
230.65,-27.27775,-24.889,-18.3333333333,-29.7776666666,-30.6666666666,-17.7778333334,-8.55549999999,-21.2221666667,-12.2223333333,-13.7776666666
231.02,-26.7315833333,-22.9436666666,-15.801,-32.6838333334,-30.5196666666,-19.264,-6.92633333333,-23.5931666666,-12.5541666667,-17.2078333333
231.40,-35.5666666667,-30.8278333334,-21.242,-36.7103333333,-35.0763333334,-29.8471666667,-13.3986666667,-33.878,-18.0826666666,-24.9455
231.78,-27.8770833334,-24.008,-13.3928333333,-31.3493333334,-23.5118333333,-24.7021666667,-10.4168333333,-28.8691666667,-10.9126666667,-18.8491666667
232.15,-24.1379166666,-20.3065,-8.52466666665,-26.5328333333,-18.3905,-22.318,-9.96166666665,-25.0958333333,-9.67433333335,-13.8888333333
232.53,-20.098,-17.255,-8.23516666665,-22.1566666667,-20.3923333333,-23.6273333334,-10.8825,-25.9805,-8.82350000001,-11.4705
232.90,-10.88625,-5.2025,-0.867,-9.15216666665,-13.0056666667,-15.7996666667,-5.39516666665,-18.6896666666,-1.54133333333,-0.578
233.28,-2.54241666668,1.50666666666,5.744,-1.22416666667,-6.59116666668,-6.12066666667,0.3765,-9.13383333335,5.27333333333,6.30883333332
233.66,-2.86741666669,3.22583333334,3.58416666666,-3.40516666667,-6.89966666665,-2.06083333333,0.17933333333,-7.52700000002,5.914,7.34799999999
234.03,-4.65441666666,1.4185,1.59566666667,-3.98933333333,-5.05316666666,-4.07816666667,-1.95016666667,-8.06733333334,6.47166666667,7.80133333334
234.41,2.831,7.33633333334,11.0846666666,3.0305,5.343,1.67483333333,6.85799999999,0.318833333335,14.3538333333,17.3841666666
234.78,5.82975,11.2303333333,11.5165,7.0815,11.445,5.5795,9.08433333333,3.79116666667,16.9528333334,17.8115
235.16,4.78566666667,9.23700000001,9.90633333334,8.56749999998,10.9105,6.96116666667,8.50066666665,5.28783333335,17.0011666667,16.5328333333
235.54,7.00916666667,13.0491666667,12.4678333334,9.81933333335,11.3048333334,9.49599999998,9.23766666665,8.78566666666,20.2198333333,17.8296666666
235.91,7.44833333333,16.3003333334,13.9803333333,11.5383333333,12.4541666666,10.3786666667,9.09650000002,10.806,19.353,16.1173333333
236.29,7.96425,20.2335,15.498,14.0835,14.5755,14.637,11.316,12.8535,21.156,14.391
236.66,8.77675,21.6728333333,15.146,12.7376666667,16.2863333334,17.8073333333,10.0761666667,13.0545,20.9758333333,13.7513333333
237.04,4.21425,17.4905,12.0406666667,6.21050000001,12.4206666666,16.2865,5.3865,8.87216666665,15.3358333333,8.9985
237.41,0.561916666669,12.1098333333,6.804,1.87266666666,8.614,10.4868333333,-0.249833333335,2.1225,8.61416666668,5.11833333334
237.79,2.10591666666,11.2515,5.716,3.7905,9.02516666665,9.68716666669,1.083,4.09133333333,10.1681666667,4.57283333333
238.17,3.25341666667,12.0431666667,6.3355,3.88133333334,9.70316666667,9.93150000001,1.1415,5.13700000002,10.5595,3.9385
238.54,1.42066666667,9.78133333335,3.989,2.51366666667,7.81416666666,7.15866666666,-0.81966666667,2.78683333333,6.55733333334,0.87416666667
238.92,-2.0365,6.53783333333,1.9295,-2.08983333334,4.34066666667,6.1095,-2.197,0.107166666665,4.073,-1.6615
239.29,-0.987916666667,7.85216666666,2.48233333334,-2.27966666667,4.20466666667,4.96466666667,-1.06383333333,0.10133333333,2.58366666666,0.35433333333
239.67,-1.68508333333,6.60183333333,0.600166666665,-3.047,4.66283333333,4.8475,-1.75433333333,-0.184666666668,0.554,1.20033333334
240.04,-2.23525,3.64583333334,-0.781166666665,-3.86283333333,1.606,3.42866666667,-1.085,-2.08333333333,0.781333333332,1.51916666667
240.42,-3.82416666667,1.36983333333,-2.169,-4.7185,-0.685,-0.038,-1.446,-2.77766666666,-0.0761666666665,2.0925
240.79,-5.08808333333,0.652333333333,-1.27216666667,-5.08816666666,-1.533,-0.750166666665,-0.978666666668,-2.93566666667,-0.260833333335,1.59816666667
241.17,-3.52283333333,1.64116666666,-0.537666666665,-3.056,0.113166666665,-0.339833333333,0.566,-1.64116666666,1.64116666667,3.36733333333
241.54,-2.89225,2.6715,0.637166666669,-1.4215,0.980499999999,1.69133333333,2.54916666667,-0.0245,3.9705,4.43616666667
241.92,-1.78866666667,3.883,1.96333333333,0.850666666665,2.269,3.55566666667,3.57783333333,0.567333333334,5.192,5.97733333334
242.29,-1.93325,3.50033333333,1.56716666666,1.4855,1.689,3.4595,3.60216666667,0.000333333333,5.35216666667,6.12533333333
242.67,-1.80766666667,3.7315,1.58533333333,1.1215,1.58533333333,3.44133333333,3.15133333333,-0.406000000002,6.03233333333,5.3365
243.05,-0.787166666665,4.85166666667,2.68533333334,2.29616666667,2.648,3.62966666666,3.85183333333,0.425833333333,7.16683333333,5.46283333334
243.42,0.347,5.354,4.16183333334,3.13083333333,3.00616666667,4.48233333334,4.41116666667,1.0495,8.50233333333,6.10083333334
243.80,0.88125,5.89883333333,5.3055,4.5025,3.2635,5.00866666667,5.21816666667,1.74516666666,9.47633333334,6.16066666666
244.17,1.80666666666,7.869,6.31533333333,5.7075,4.458,6.096,6.3155,3.22533333334,10.7228333333,6.4505
244.55,1.50383333333,7.61016666667,6.16366666666,5.079,4.24066666666,6.1475,5.60466666667,2.67916666667,10.5358333333,5.24333333334
244.92,1.51733333333,7.85866666667,5.47783333333,5.61783333333,4.18633333333,6.75383333333,5.50883333333,3.3145,10.6908333333,5.49333333334
245.30,2.47758333333,8.96866666667,6.19833333333,6.798,4.74166666667,7.79766666667,6.22683333333,4.59866666667,12.011,6.79783333333
245.67,3.20991666666,9.83966666668,7.10333333333,7.28766666667,5.19583333333,8.445,7.143,5.51183333333,12.6808333333,7.70866666667
246.05,2.90425,9.9085,7.19083333334,6.5175,4.68983333333,7.84033333333,6.98666666667,5.303,12.4578333333,7.588
246.42,3.53566666667,10.4151666667,8.05433333334,6.7435,4.97266666666,8.743,7.61733333333,5.96716666667,13.3988333333,7.97816666667
246.79,4.18666666666,10.6903333334,8.27383333334,7.15033333333,5.2605,9.45716666666,8.214,6.60316666667,14.1308333333,8.93033333333
247.17,3.52383333333,10.03,7.62783333333,6.82383333334,4.46816666667,9.21683333333,7.665,6.076,13.825,8.56216666667
247.54,2.88675,9.63116666666,7.00866666667,6.48066666666,4.198,8.69116666667,7.16083333333,5.81816666667,13.5248333333,8.074
247.92,2.97458333333,9.51899999998,6.79166666666,6.14033333334,4.03,8.355,7.0695,5.541,13.323,8.2075
248.29,2.01775,8.30333333333,5.6615,4.9905,3.02883333334,7.18466666667,6.16916666666,4.34516666667,12.2955,7.7785
248.67,2.71333333334,8.7535,5.84683333333,5.487,3.15516666667,7.356,6.67016666667,4.51833333334,12.7658333333,8.376
249.04,3.07525,8.9325,6.3165,5.70433333334,3.4995,7.79533333333,7.3315,4.50583333333,13.0446666667,8.73149999999
249.42,3.43041666667,9.0625,6.62266666666,5.78783333333,3.7055,8.191,7.64983333333,4.46716666666,13.291,8.98016666668
249.79,3.40116666667,8.81416666666,6.22316666666,5.70283333334,3.2195,8.039,7.028,3.85733333334,13.1625,8.716
250.17,3.52008333334,8.43933333334,6.00083333334,5.3965,3.04283333334,7.89883333334,6.69,3.73216666667,13.4223333334,8.85316666667
250.54,3.49175,7.9515,5.82116666667,4.98983333333,3.08733333333,7.5415,6.24283333333,3.2695,12.8961666667,8.93150000001
250.92,3.26016666667,7.53366666666,5.38466666666,5.18933333334,2.66183333334,7.00866666667,5.90966666667,2.84483333333,12.1976666667,8.81566666669
251.29,4.48908333333,8.45233333333,6.3485,6.123,3.7315,7.7885,7.15016666667,3.85683333334,12.86,10.3431666666
251.66,4.95775,8.58316666667,6.20033333334,6.35416666667,3.8815,8.10916666667,7.59666666667,3.71516666667,12.8748333334,10.7095
252.04,6.04525,9.44850000001,7.41166666667,7.2955,4.82083333333,9.12583333334,8.868,4.97566666667,14.3981666666,11.5235
252.41,6.93358333334,9.59633333334,8.3985,8.24216666667,5.521,10.1433333334,9.284,5.7945,15.2603333334,11.9531666667
252.79,6.16158333333,8.83283333333,8.07366666667,7.68733333333,5.156,10.1653333333,8.79283333334,5.66216666666,14.9746666667,11.804
253.16,6.17066666666,8.78466666667,8.50166666666,8.192,5.12,9.88949999999,8.6095,6.15733333333,15.279,11.8566666667
253.54,5.39908333333,8.462,8.16333333334,8.06816666667,4.57733333333,9.07333333334,8.43483333333,6.03066666667,14.6288333333,10.9478333333
253.91,5.11933333333,8.14616666667,8.38183333333,7.66166666666,4.72433333334,8.4375,8.34033333333,5.999,14.63,10.6816666667
254.28,5.7735,8.83266666665,8.88883333334,9.01533333333,5.71016666666,9.15633333335,8.7905,6.32916666666,15.0775,10.6048333334
254.66,5.97116666666,9.34683333333,8.53016666667,9.755,6.09516666667,9.14283333334,8.76366666666,6.63466666667,15.1646666667,10.7175
255.03,5.48241666667,9.17033333335,8.58216666667,9.68333333333,6.10833333334,8.62733333333,8.8085,6.68166666667,15.2188333334,10.3166666667
255.41,4.95091666667,8.8665,8.43666666667,9.80583333333,5.683,8.18216666666,8.43683333333,6.68566666666,15.3133333333,9.806
255.78,5.06733333333,9.44383333335,8.99949999998,10.4311666667,5.72566666667,8.81883333334,8.687,7.20633333333,16.1896666666,9.98683333333
256.15,3.38308333333,8.4245,7.76116666667,9.20383333331,4.51083333334,7.7115,6.88233333333,5.87083333333,14.5108333333,8.49083333335
256.53,2.39825,9.12466666669,7.47733333334,8.88233333331,3.9405,7.18666666666,6.67,5.3135,14.1636666666,8.10733333331
256.90,3.55116666667,10.5936666667,8.505,10.027,5.08783333333,7.92283333333,7.4605,6.43116666666,14.8016666667,8.4005
