wavelength,Back_PooHism,Belly_PooHism,Breast_PooHism,Crissum_PooHism,Crown_PooHism,DorTail_PooHism,Patch10_PooHism,Patch11_PooHism,Patch12_PooHism,Rump_PooHism,Throat_PooHism,WingTip_PooHism
742.44,13.7986666667,61.4210666667,6.9274,33.7327333333,10.6511333333,12.8102,43.6692,8.91466666667,50.5373333333,16.3292,44.2882,15.2578666667
742.76,13.7002,61.4912,7.00026666667,33.6669333333,10.6195333333,12.7829333333,43.6996,8.93013333332,50.7214,16.3038,44.345,15.1730666667
743.07,13.8299333333,61.4542,7.0772,33.7809333333,10.6647333333,12.8857333333,43.7885333333,9.01613333333,50.7372,16.3718,44.3441333333,15.3433333333
743.39,14.0114666667,61.4256666667,7.25293333333,33.833,10.8234,13.0681333333,43.8660666667,9.23439999999,50.713,16.4755333333,44.3945333333,15.4830666667
743.70,14.0168,61.643,7.117,33.9735333333,10.686,13.1106666667,43.9744666667,9.14826666667,50.8966,16.4224,44.537,15.5182
744.02,14.1131333334,61.492,7.22346666667,33.9974,10.9198,13.2728,44.0040666667,9.32560000001,50.8454666667,16.6494666667,44.5158666667,15.6620666667
744.34,13.8511333333,61.1697333333,7.00393333333,33.8026,10.7612666667,13.0396,43.7190666667,9.08933333333,50.5786,16.4494666667,44.1936,15.4153333333
744.65,13.6278,61.0902666667,6.7314,33.726,10.4864,12.7005333333,43.6463333333,8.82980000001,50.532,16.2748666667,44.0651333333,15.1686666667
744.97,13.703,61.4836666667,6.80806666667,33.9364666667,10.603,12.7003333333,43.6586666667,8.83813333332,50.8011333333,16.343,44.1609333333,15.2448666667
745.28,13.5333333333,61.6256666667,6.6488,33.8330666666,10.5425333333,12.6766,43.6795333333,8.73833333333,50.9564666666,16.2847333333,44.2310666667,15.2463333333
745.60,13.4792666667,61.3616,6.65066666667,33.6518,10.6014666667,12.7512666667,43.4400666667,8.72746666667,50.8186,16.293,44.0915333333,15.3106
745.91,13.5434,61.4166,6.68266666666,33.7996,10.6388666667,12.9044666667,43.5042,8.78273333333,50.929,16.4280666667,44.0825333333,15.46
746.23,13.7413333333,61.553,6.7956,34.0972,10.6978666667,13.0649333333,43.693,8.86920000001,51.1844,16.5754666667,44.3209333333,15.6038666667
746.55,13.7017333333,61.7166,6.77386666667,34.0932666667,10.6402666667,12.9613333333,43.6928,8.88419999999,51.2303333333,16.5236,44.3795333333,15.5526
746.86,13.537,61.6381333333,6.58453333333,34.0110666667,10.5506666667,12.9166,43.4639333333,8.74286666668,51.2464,16.3322666667,44.2382,15.3864
747.18,13.4521333334,61.4855333333,6.5654,33.8693333333,10.5573333333,12.7849333333,43.2356666667,8.59620000001,51.0029333333,16.1786666667,43.951,15.2485333333
747.49,13.3244666667,61.4953333333,6.5128,33.8943333333,10.4166666667,12.5316,43.1255333333,8.44359999999,51.0132,15.986,43.7962,15.1544666667
747.81,13.5552666667,61.8045333333,6.8658,34.2127333333,10.7075333333,12.8751333333,43.4152666667,8.73740000001,51.3207333333,16.2603333333,44.1325333333,15.4850666667
748.12,14.0820666667,62.2040666667,7.37866666667,34.5362,11.1730666667,13.4246666667,43.8243333333,9.23553333333,51.6255333333,16.6911333333,44.5256,15.9353333333
748.44,14.2859333333,62.2396666667,7.61933333333,34.7108,11.4193333333,13.6834,44.1290666667,9.51586666668,51.7015333333,16.9662,44.7598,16.2086666667
748.75,14.5359333333,62.4346666667,7.87966666667,35.0385333334,11.7218,13.9051333333,44.362,9.77719999999,51.7859333333,17.2115333333,44.9908,16.3816
