wavelength,Back_SalAlbf,Belly_SalAlbf,Breast_SalAlbf,Crissum_SalAlbf,Crown_SalAlbf,DorTail_SalAlbf,Patch10_SalAlbf,Patch11_SalAlbf,Rump_SalAlbf,Throat_SalAlbf,WingTip_SalAlbf
770.38,16.5330666667,54.4567333333,34.0029333333,54.006,14.6401333333,22.8392,17.9075333333,32.725,21.0268,48.5305333333,24.13
770.69,16.5003333333,54.568,34.0378666667,54.2617333333,14.7588,22.683,17.8402666667,32.9282666667,20.9974666667,48.6387333333,24.1383333333
771.00,16.5416666667,54.6393333333,34.0797333333,54.1460666667,14.6695333334,22.7354,17.7879333333,32.7303333333,20.9195333334,48.5890666667,24.2212666667
771.32,16.4505333333,54.8035333333,34.2316666667,54.2079333333,14.6572,22.7395333333,17.7574666666,32.5983333334,20.7384666667,48.9026,24.1550666667
771.63,16.3671333333,54.7684,34.2170666667,54.2380666667,14.4116666667,22.3748666667,17.5976666666,32.3312,20.5722,48.9964,23.8343333333
771.94,16.5636,54.6673333333,34.1156,54.0597333333,14.5066666667,22.553,17.4926,32.0761333333,20.2130666667,48.6712,23.6563333333
772.25,16.3903333333,54.1678666667,33.7208,53.7066,14.2138,22.2362666667,17.1472,31.6042,19.7852,48.0965333333,23.1978
772.56,16.4436666667,54.5859333333,34.1396,54.1576666667,14.3665333333,22.5413333333,17.1886666667,31.8716666667,19.9424666667,48.3440666667,23.2828
772.87,16.7372,54.3776666667,34.4173333333,53.8464666667,14.4464,22.8256,17.2502666667,32.0471333333,20.0289333333,48.3035333333,23.3568
773.18,17.5896,54.4843333333,34.8390666667,54.1874,15.1828,23.5831333333,17.9840666667,32.6203333333,20.7310666667,48.7478666667,24.1693333333
773.50,17.7668,54.4627333333,35.1424666667,54.1448666667,15.3655333333,23.7646666667,18.2090666667,32.7448,20.8662666667,48.6220666667,24.4809333333
773.81,17.7408,54.7184,35.4888,54.3519333333,15.6926,23.8999333334,18.3704,32.826,21.0038,48.6331333333,24.6778666667
774.12,17.9518666667,54.7000666667,35.6926666667,54.2592666667,16.0480666667,24.2296666667,18.7185333333,32.7294666667,21.2593333333,48.6964,24.9148
774.43,18.1532666667,54.4822666667,36.0568,54.4785333333,16.4930666667,24.5290666667,19.1494,32.8446,21.4362,48.67,25.0738
774.74,18.091,53.7530666667,35.7066666666,54.1614666667,16.4604666667,24.2747333333,18.9972666667,32.6053333333,21.4337333333,48.1152,24.8914666667
775.05,18.6554666667,54.0355333333,36.1120666667,54.4912,17.0346,25.0008666667,19.3576666667,33.2102,21.9160666667,48.6312,25.5612
775.36,18.6102666667,54.1220666667,36.3079333333,54.5127333333,17.0402666667,24.8524666667,19.4666666667,33.6000666667,22.3062,48.8113333333,25.6788666667
