wavelength,Back_OrcAbef,Belly_OrcAbef,Breast_OrcAbef,Crissum_OrcAbef,Crown_OrcAbef,DorTail_OrcAbef,Patch10_OrcAbef,Patch11_OrcAbef,Rump_OrcAbef,Throat_OrcAbef,WingTip_OrcAbef
359.11,3.22747971781,5.41305555556,4.60233333333,4.16222222222,3.24294444444,6.00533333333,6.24688888889,3.46555555555,3.36222222222,4.70461111111,5.59655555556
359.48,3.1164356261,5.41011111111,4.57633333333,4.12888888889,3.22555555556,5.88044444444,6.16683333333,3.45455555556,3.27,4.70022222222,5.43877777778
359.84,3.15602469136,5.30111111111,4.45077777778,4.071,3.24277777778,5.79222222222,6.09733333333,3.47433333333,3.23011111111,4.70766666667,5.36166666667
360.20,3.63246737213,5.7545,4.84055555556,4.44611111111,3.77922222222,6.14233333333,6.45305555555,3.92411111111,3.63611111111,5.07855555556,5.649
360.57,3.52862962963,5.68066666667,4.72033333333,4.43011111111,3.73916666667,6.05888888889,6.34488888889,3.839,3.46155555556,5.02233333333,5.58077777778
360.93,3.62925220459,5.82161111111,4.819,4.59844444444,3.83566666666,6.17727777778,6.49344444444,3.93677777778,3.59733333333,5.13822222222,5.76
361.29,3.593335097,5.83511111111,4.78777777778,4.52377777778,3.78438888889,6.18866666667,6.43061111111,3.84088888889,3.52433333333,5.07238888889,5.61211111111
361.66,3.56475837743,5.79316666667,4.64866666666,4.43711111111,3.67072222222,6.13888888889,6.32266666667,3.74411111111,3.38422222222,4.95755555556,5.58155555556
362.02,3.52908289242,5.7815,4.60555555556,4.40677777778,3.61583333333,6.09711111111,6.30094444445,3.69788888889,3.25788888889,4.8925,5.56855555556
362.39,3.55240740741,5.76233333333,4.647,4.50355555555,3.64,6.09033333333,6.33338888889,3.74577777778,3.29733333333,4.89761111111,5.65877777778
362.75,3.70715343915,5.92327777778,4.80322222222,4.64411111111,3.76594444444,6.23766666667,6.44805555555,3.89111111111,3.45311111111,5.00483333333,5.828
363.11,3.86632804233,6.11233333333,4.96977777778,4.81033333333,3.89266666667,6.31138888889,6.56277777778,4.00055555555,3.53133333334,5.18255555556,5.90811111111
363.48,3.86622222222,6.11872222222,4.93755555555,4.82466666667,3.77205555556,6.33138888889,6.56583333333,3.92933333333,3.53744444444,5.18183333333,5.92511111111
363.84,3.84679717813,6.21177777778,5.04522222222,4.97388888889,3.74622222222,6.442,6.54077777778,3.90088888889,3.55188888889,5.16177777778,5.98133333333
364.20,3.87240388007,6.30505555556,5.10777777778,5.05944444444,3.74816666667,6.47583333333,6.65133333333,3.87211111111,3.65722222222,5.33016666667,6.11066666667
364.57,4.03650088183,6.43555555555,5.28133333333,5.15622222222,3.87761111111,6.50272222222,6.76616666667,4.04377777778,3.849,5.42427777778,6.21144444445
364.93,4.01041798942,6.41211111111,5.293,5.10044444445,3.90555555556,6.50177777778,6.70961111111,4.00033333333,3.81077777778,5.43405555556,6.17044444445
365.29,4.03858377425,6.44088888889,5.40844444444,5.17655555556,3.99483333333,6.5505,6.78016666667,4.115,3.94488888889,5.55716666667,6.24944444445
365.66,4.1159382716,6.58366666667,5.53166666667,5.31055555555,4.05272222222,6.54033333333,6.91611111111,4.172,4.04533333333,5.75966666667,6.318
366.02,4.36430511464,6.85333333333,5.74544444444,5.61166666667,4.20333333333,6.71738888889,7.17566666667,4.42833333333,4.35122222222,6.01083333333,6.53488888889
366.38,4.49649911816,7.02316666667,5.78955555555,5.77188888889,4.32622222222,6.83072222222,7.28605555556,4.51844444445,4.54911111111,6.20316666667,6.60088888889
366.75,4.58037742504,7.12772222222,5.83477777778,5.88633333334,4.40311111111,6.87094444445,7.36088888889,4.54044444444,4.68244444445,6.26655555556,6.68055555556
367.11,4.57905114639,7.07688888889,5.81611111111,5.82433333333,4.33477777778,6.89222222222,7.29544444445,4.55333333333,4.74588888889,6.30288888889,6.82011111111
367.47,4.60435802469,6.98272222222,5.78811111111,5.78477777778,4.32611111111,6.78094444444,7.15305555556,4.50833333333,4.62655555556,6.14611111111,6.80044444444
367.84,4.60479012346,6.96072222222,5.69388888889,5.66944444445,4.28538888889,6.70855555555,7.21127777778,4.48155555555,4.62,6.139,6.78588888889
368.20,4.51979365079,6.82205555556,5.58888888889,5.54177777778,4.16944444444,6.65677777778,7.09977777778,4.43255555556,4.48766666667,5.93422222222,6.70322222222
